^SAMPLE = GSM1230158
!Sample_title = AU565_PTX_1
!Sample_geo_accession = GSM1230158
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = AU565 Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: AU565
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230158/suppl/GSM1230158_CEL_284_4900_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.152
AFFX-BioB-M_at	7.361
AFFX-BioB-3_at	7.14
AFFX-BioC-5_at	8.649
AFFX-BioC-3_at	9.233
AFFX-BioDn-5_at	10.268
AFFX-BioDn-3_at	11.08
AFFX-CreX-5_at	12.127
AFFX-CreX-3_at	12.347
AFFX-DapX-5_at	2.534
AFFX-DapX-M_at	2.301
AFFX-DapX-3_at	2.94
AFFX-LysX-5_at	2.236
AFFX-LysX-M_at	2.894
AFFX-LysX-3_at	2.155
AFFX-PheX-5_at	2.607
AFFX-PheX-M_at	2.313
AFFX-PheX-3_at	4.006
AFFX-ThrX-5_at	2.683
AFFX-ThrX-M_at	2.584
AFFX-ThrX-3_at	3.728
AFFX-TrpnX-5_at	3.412
AFFX-TrpnX-M_at	2.627
AFFX-TrpnX-3_at	2.406
AFFX-r2-Ec-bioB-5_at	7.362
AFFX-r2-Ec-bioB-M_at	7.586
AFFX-r2-Ec-bioB-3_at	7.502
AFFX-r2-Ec-bioC-5_at	9.218
AFFX-r2-Ec-bioC-3_at	9.496
AFFX-r2-Ec-bioD-5_at	11.348
AFFX-r2-Ec-bioD-3_at	11.652
AFFX-r2-P1-cre-5_at	12.655
AFFX-r2-P1-cre-3_at	12.793
AFFX-r2-Bs-dap-5_at	3.166
AFFX-r2-Bs-dap-M_at	2.055
AFFX-r2-Bs-dap-3_at	2.045
AFFX-r2-Bs-lys-5_at	2.122
AFFX-r2-Bs-lys-M_at	2.19
AFFX-r2-Bs-lys-3_at	2.601
AFFX-r2-Bs-phe-5_at	2.148
AFFX-r2-Bs-phe-M_at	2.324
AFFX-r2-Bs-phe-3_at	2.597
AFFX-r2-Bs-thr-3_s_at	3.114
AFFX-r2-Bs-thr-M_s_at	3.286
AFFX-r2-Bs-thr-5_s_at	2.521
AFFX-HUMISGF3A/M97935_5_at	4.233
AFFX-HUMISGF3A/M97935_MA_at	5.992
AFFX-HUMISGF3A/M97935_MB_at	6.146
AFFX-HUMISGF3A/M97935_3_at	8.737
AFFX-HUMRGE/M10098_5_at	12.634
AFFX-HUMRGE/M10098_M_at	12.018
AFFX-HUMRGE/M10098_3_at	11.268
AFFX-HUMGAPDH/M33197_5_at	12.66
AFFX-HUMGAPDH/M33197_M_at	12.801
AFFX-HUMGAPDH/M33197_3_at	12.823
AFFX-HSAC07/X00351_5_at	10.77
AFFX-HSAC07/X00351_M_at	11.337
AFFX-HSAC07/X00351_3_at	12.04
AFFX-M27830_5_at	11.882
AFFX-M27830_M_at	10.714
AFFX-M27830_3_at	4.891
AFFX-hum_alu_at	13.07
1007_s_at	10.644
1053_at	9.433
117_at	4.638
121_at	6.973
1255_g_at	2.514
1294_at	5.433
1316_at	5.419
1320_at	5.236
1405_i_at	2.334
1431_at	3.014
1438_at	5.336
1487_at	8.329
1494_f_at	5.567
1598_g_at	6.688
160020_at	5.708
1729_at	7.151
1773_at	5.734
177_at	4.992
179_at	7.382
1861_at	6.679
200000_s_at	8.413
200001_at	9.207
200002_at	12.176
200003_s_at	12.539
200004_at	11.905
200005_at	10.77
200006_at	11.87
200007_at	11.597
200008_s_at	10.312
200009_at	11.549
200010_at	12.278
200011_s_at	8.431
200012_x_at	12.844
200013_at	12.362
200014_s_at	11.004
200015_s_at	10.735
200016_x_at	12.796
200017_at	12.608
200018_at	12.8
200019_s_at	12.11
200020_at	9.983
200021_at	11.883
200022_at	12.258
200023_s_at	11.511
200024_at	12.251
200025_s_at	12.51
200026_at	12.294
200027_at	11.537
200028_s_at	11.163
200029_at	13.617
200030_s_at	12.078
200031_s_at	12.712
200032_s_at	12.407
200033_at	12.142
200034_s_at	12.715
200035_at	7.45
200036_s_at	11.799
200037_s_at	11.973
200038_s_at	12.46
200039_s_at	10.612
200040_at	10.563
200041_s_at	8.503
200042_at	9.212
200043_at	11.903
200044_at	10.48
200045_at	9.374
200046_at	11.029
200047_s_at	11.218
200048_s_at	12.075
200049_at	6.561
200050_at	10.282
200051_at	7.467
200052_s_at	10.814
200053_at	8.53
200054_at	8.831
200055_at	9.258
200056_s_at	9.382
200057_s_at	11.094
200058_s_at	9.987
200059_s_at	11.707
200060_s_at	9.676
200061_s_at	13.095
200062_s_at	12.626
200063_s_at	12.54
200064_at	11.191
200065_s_at	11.076
200066_at	9.754
200067_x_at	10.788
