^SAMPLE = GSM587188
!Sample_title = conventional glioma cell line, serum, est. from GS line-generating tumors_ML-5 p7
!Sample_geo_accession = GSM587188
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = conventional glioma cell line established from primary tumor GS.5T
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: ML-5 p7
!Sample_characteristics_ch1 = sample type: conventional glioma cell line (monolayer culture established from the same tumors as GS-lines using standard serum conditions)
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = conventional glioma cell line, serum conditions, established from GS line-generating tumors
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587188/suppl/GSM587188.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	9.064074
1053_at	5.218176
117_at	3.017204
121_at	3.508258
1255_g_at	1.711349
1294_at	4.215791
1316_at	3.888295
1320_at	3.735945
1405_i_at	3.228893
1431_at	2.624521
1438_at	2.566275
1487_at	5.403098
1494_f_at	2.668879
1552256_a_at	8.618017
1552257_a_at	7.306146
1552258_at	2.702164
1552261_at	2.801337
1552263_at	3.621109
1552264_a_at	6.944662
1552266_at	2.85215
1552269_at	2.082895
1552271_at	1.9312
1552272_a_at	1.909253
1552274_at	7.612692
1552275_s_at	7.520978
1552276_a_at	2.603658
1552277_a_at	9.774341
1552278_a_at	2.794295
1552279_a_at	4.394053
1552280_at	1.744765
1552281_at	3.340923
1552283_s_at	3.621414
1552286_at	3.318535
1552287_s_at	4.695421
1552288_at	3.379505
1552289_a_at	1.703356
1552291_at	9.062659
1552293_at	3.260435
1552295_a_at	6.969166
1552296_at	2.077044
1552299_at	3.409138
1552301_a_at	4.167839
1552302_at	4.585762
1552303_a_at	3.635068
1552304_at	1.949564
1552306_at	3.585558
1552307_a_at	2.376012
1552309_a_at	8.82499
1552310_at	7.527036
1552311_a_at	3.197659
1552312_a_at	5.681893
1552314_a_at	3.175209
1552315_at	2.313548
1552316_a_at	1.823713
1552318_at	2.328793
1552319_a_at	2.844307
1552320_a_at	3.181009
1552321_a_at	2.256837
1552322_at	2.166872
1552323_s_at	3.017671
1552325_at	3.426325
1552326_a_at	2.622733
1552327_at	2.363149
1552329_at	5.796779
1552330_at	6.14361
1552332_at	4.078104
1552334_at	3.613234
1552335_at	2.529321
1552337_s_at	2.043012
1552338_at	1.118951
1552340_at	2.154464
1552343_s_at	2.063427
1552344_s_at	4.788995
1552347_at	5.949376
1552348_at	2.921361
1552349_a_at	2.691251
1552354_at	2.564345
1552355_s_at	2.082601
1552359_at	2.61734
1552360_a_at	3.27837
1552362_a_at	3.316777
1552364_s_at	2.644874
1552365_at	3.191819
1552367_a_at	3.256932
1552368_at	2.556767
1552370_at	3.593341
1552372_at	2.532514
1552373_s_at	2.779336
1552375_at	2.887761
1552377_s_at	2.993318
1552378_s_at	3.822722
1552379_at	2.276021
1552381_at	3.069147
1552383_at	4.265665
1552384_a_at	2.376939
1552386_at	2.07665
1552388_at	2.225158
1552389_at	3.43154
1552390_a_at	2.441854
