^SAMPLE = GSM231690
!Sample_title = SK-N-SH_BDNF_6h_rep2
!Sample_geo_accession = GSM231690
!Sample_status = Public on Sep 01 2009
!Sample_submission_date = Sep 26 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma cell, brain-derived neurotrophic factor (BDNF), 6hour
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line: SH-SY5Y (HTB-11, obtained from ATCC (American Type Culture Collection Cultures))
!Sample_treatment_protocol_ch1 = SK-N-SH cells were washed with D-MEM/F12 twice after five days in the presence of RA and then incubated with 50 ng/ml of BDNF in D-MEM/F12 without serum for three days.
!Sample_growth_protocol_ch1 = Tissue culture cells were maintained in D-MEM/F12 1:1 mixture supplemented with 15% FBS (Fetal Bovine Serum) and 1% NEAA (Non-essential amino acid) in a 5% CO2 humidified incubator at 37oC. The culture medium was changed twice a week.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total cellular RNA was extracted from the cells at specific intervals using the RiboPure Kit (Ambion, An Applied Biosystems Business, Austin, TX, USA) according to the manufacturer’s instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = First-strand cDNA was synthesized using 5 μg of total RNA and the GeneChip One-cycle cDNA Synthesis Kit (Affymetrix, Inc.). Biotin-labeled cRNA was generated by the GeneChip IVT labeling Kit (Affymetrix, Inc.)
!Sample_hyb_protocol = Biotin-labeled cRNA was applied on the Human Genome U133 Plus 2.0 Array (Affymetrix, Inc.) and then hybridized at 45oC for 17 h in a GeneChip Hybridization Oven (Affymetrix, Inc.).
!Sample_scan_protocol = Washing, staining and scanning of the array were performed using the GeneChip Wash and Stain Kit and a GeneChip Scanner 3000 (Affymetrix, Inc.), respectively.
!Sample_description = Sampling of RNA was performed at six different time points (0h, 6h, 1d, 2d, 3d, and 5d, respectively) under RA inducible conditions and at five different time points (0h, 6h, 1d, 2d and 3d, respectively) after the cells were transferred to serum-free medium containing BDNF.
!Sample_data_processing = The average signal intensity for all probes was initially tuned to 500 as global scaling and individual signal intensities were evaluated by detection call (present/marginal/absent) using the Affymetrix Micro Array Suite 5.0 (MAS 5.0) software (Affymetrix, Inc.).
!Sample_platform_id = GPL570
!Sample_contact_name = Tadayuki,,Takeda
!Sample_contact_email = ttakeda@gsc.riken.jp
!Sample_contact_phone = (+81) 45 503 9286
!Sample_contact_fax = (+81) 45 503 9176
!Sample_contact_laboratory = Genome Annotation and Comparative Analysis Team
!Sample_contact_department = Computatinal and Experimental Systems Biology Group
!Sample_contact_institute = RIKEN GSC
!Sample_contact_address = 1-7-22, Suehiro-cho, Tsurumi-ku
!Sample_contact_city = Yokohama
!Sample_contact_state = Kanagawa
!Sample_contact_zip/postal_code = 230-0045
!Sample_contact_country = Japan
!Sample_contact_web_link = http://hgp.gsc.riken.go.jp/index.php/Main_Page
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM231nnn/GSM231690/suppl/GSM231690.CEL.gz
!Sample_series_id = GSE9169
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Signal
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	753.559	P	0.000753643
AFFX-BioB-M_at	842.295	P	5.16732e-05
AFFX-BioB-3_at	572.032	P	6.02111e-05
AFFX-BioC-5_at	1964.64	P	5.16732e-05
AFFX-BioC-3_at	2625.26	P	4.42873e-05
AFFX-BioDn-5_at	4398.71	P	4.42873e-05
AFFX-BioDn-3_at	10416.4	P	0.00010954
AFFX-CreX-5_at	22268.2	P	5.16732e-05
AFFX-CreX-3_at	25311.3	P	4.42873e-05
AFFX-DapX-5_at	478.885	P	5.16732e-05
AFFX-DapX-M_at	889.307	P	0.000753643
AFFX-DapX-3_at	1177.65	P	8.14279e-05
AFFX-LysX-5_at	93.4502	P	0.00499819
AFFX-LysX-M_at	151.39	M	0.050229
AFFX-LysX-3_at	306.094	P	5.16732e-05
AFFX-PheX-5_at	133.868	P	0.000340305
AFFX-PheX-M_at	150.545	P	0.00359458
AFFX-PheX-3_at	167.136	P	0.00110197
AFFX-ThrX-5_at	113.333	P	0.0113844
AFFX-ThrX-M_at	199.344	P	0.000753643
AFFX-ThrX-3_at	308.936	P	0.000856509
AFFX-TrpnX-5_at	5.50815	A	0.275129
AFFX-TrpnX-M_at	5.96328	A	0.891021
AFFX-TrpnX-3_at	3.02491	A	0.631562
AFFX-r2-Ec-bioB-5_at	980.311	P	0.000244141
AFFX-r2-Ec-bioB-M_at	1016.05	P	0.000244141
AFFX-r2-Ec-bioB-3_at	853.318	P	0.000244141
AFFX-r2-Ec-bioC-5_at	2537.48	P	0.000244141
AFFX-r2-Ec-bioC-3_at	3081.8	P	0.000244141
AFFX-r2-Ec-bioD-5_at	12369.9	P	0.000244141
AFFX-r2-Ec-bioD-3_at	12392.3	P	0.000244141
AFFX-r2-P1-cre-5_at	25370.8	P	0.000244141
AFFX-r2-P1-cre-3_at	34353.4	P	0.000244141
AFFX-r2-Bs-dap-5_at	450.065	P	0.000244141
AFFX-r2-Bs-dap-M_at	961.922	P	0.000244141
AFFX-r2-Bs-dap-3_at	1570.02	P	0.000244141
AFFX-r2-Bs-lys-5_at	103.27	P	0.000244141
AFFX-r2-Bs-lys-M_at	145.442	P	0.000244141
AFFX-r2-Bs-lys-3_at	165.846	P	0.000244141
AFFX-r2-Bs-phe-5_at	118.848	P	0.000244141
AFFX-r2-Bs-phe-M_at	162.887	P	0.000732422
AFFX-r2-Bs-phe-3_at	359.036	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	495.301	P	0.00585938
AFFX-r2-Bs-thr-M_s_at	333.141	P	0.00585938
AFFX-r2-Bs-thr-5_s_at	255.698	P	0.000732422
AFFX-HUMISGF3A/M97935_5_at	360.963	P	0.000581214
AFFX-HUMISGF3A/M97935_MA_at	649.499	P	0.000581214
AFFX-HUMISGF3A/M97935_MB_at	703.265	P	5.16732e-05
AFFX-HUMISGF3A/M97935_3_at	2800.7	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	410.797	P	0.000753643
AFFX-HUMRGE/M10098_M_at	263.102	P	0.000258358
AFFX-HUMRGE/M10098_3_at	416.083	P	0.00255552
AFFX-HUMGAPDH/M33197_5_at	32702.6	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	28596.1	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	33689.3	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	27797	P	4.42873e-05
