^SAMPLE = GSM587156
!Sample_title = conventional glioma cell line, serum_G122
!Sample_geo_accession = GSM587156
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = conventional glioma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: G122
!Sample_characteristics_ch1 = sample type: conventional glioma cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = conventional glioma cell line, serum conditions
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587156/suppl/GSM587156.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	9.232603
1053_at	9.345547
117_at	3.195756
121_at	3.446029
1255_g_at	1.889218
1294_at	3.225104
1316_at	3.092653
1320_at	3.348024
1405_i_at	2.335946
1431_at	2.006261
1438_at	4.758836
1487_at	5.932114
1494_f_at	2.869406
1552256_a_at	8.458354
1552257_a_at	7.564053
1552258_at	2.309769
1552261_at	2.5514
1552263_at	3.370667
1552264_a_at	7.401074
1552266_at	2.698371
1552269_at	2.450603
1552271_at	2.447581
1552272_a_at	2.817816
1552274_at	5.577234
1552275_s_at	4.914867
1552276_a_at	3.116046
1552277_a_at	9.523897
1552278_a_at	3.536787
1552279_a_at	4.292815
1552280_at	1.891366
1552281_at	2.715178
1552283_s_at	4.142834
1552286_at	3.612008
1552287_s_at	5.988898
1552288_at	2.880346
1552289_a_at	1.808428
1552291_at	9.353316
1552293_at	2.873281
1552295_a_at	4.932041
1552296_at	2.4139
1552299_at	2.786098
1552301_a_at	3.291236
1552302_at	3.135445
1552303_a_at	3.117792
1552304_at	2.299183
1552306_at	3.820557
1552307_a_at	4.26232
1552309_a_at	3.632111
1552310_at	8.768194
1552311_a_at	3.308769
1552312_a_at	7.914
1552314_a_at	3.584355
1552315_at	2.385729
1552316_a_at	1.82455
1552318_at	1.919437
1552319_a_at	2.421329
1552320_a_at	3.035396
1552321_a_at	2.070837
1552322_at	1.919874
1552323_s_at	3.267599
1552325_at	2.877157
1552326_a_at	2.466852
1552327_at	2.286203
1552329_at	5.575199
1552330_at	4.606352
1552332_at	3.430685
1552334_at	3.475363
1552335_at	3.505689
1552337_s_at	1.581006
1552338_at	1.928118
1552340_at	2.467831
1552343_s_at	2.340996
1552344_s_at	5.340928
1552347_at	4.747094
1552348_at	2.870861
1552349_a_at	2.218788
1552354_at	2.495157
1552355_s_at	2.447355
1552359_at	2.711354
1552360_a_at	4.0971
1552362_a_at	3.808522
1552364_s_at	3.819817
1552365_at	2.961879
1552367_a_at	3.25735
1552368_at	2.427393
1552370_at	3.526458
1552372_at	2.385775
1552373_s_at	2.20396
1552375_at	3.230801
1552377_s_at	3.508497
1552378_s_at	4.769041
1552379_at	1.853287
1552381_at	2.890351
