^SAMPLE = GSM1230663
!Sample_title = MFE-280_PTX_1
!Sample_geo_accession = GSM1230663
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MFE-280 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MFE-280
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230663/suppl/GSM1230663_CEL_276_4457_12_14_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.613
AFFX-BioB-M_at	5.242
AFFX-BioB-3_at	4.317
AFFX-BioC-5_at	8.654
AFFX-BioC-3_at	9.297
AFFX-BioDn-5_at	10.425
AFFX-BioDn-3_at	11.131
AFFX-CreX-5_at	12.214
AFFX-CreX-3_at	12.541
AFFX-DapX-5_at	2.3
AFFX-DapX-M_at	2.408
AFFX-DapX-3_at	2.787
AFFX-LysX-5_at	2.214
AFFX-LysX-M_at	2.573
AFFX-LysX-3_at	2.263
AFFX-PheX-5_at	2.707
AFFX-PheX-M_at	2.663
AFFX-PheX-3_at	3.903
AFFX-ThrX-5_at	2.896
AFFX-ThrX-M_at	2.586
AFFX-ThrX-3_at	3.644
AFFX-TrpnX-5_at	2.901
AFFX-TrpnX-M_at	2.652
AFFX-TrpnX-3_at	2.357
AFFX-r2-Ec-bioB-5_at	4.634
AFFX-r2-Ec-bioB-M_at	5.197
AFFX-r2-Ec-bioB-3_at	5.698
AFFX-r2-Ec-bioC-5_at	9.273
AFFX-r2-Ec-bioC-3_at	9.594
AFFX-r2-Ec-bioD-5_at	11.498
AFFX-r2-Ec-bioD-3_at	11.746
AFFX-r2-P1-cre-5_at	12.732
AFFX-r2-P1-cre-3_at	12.902
AFFX-r2-Bs-dap-5_at	2.351
AFFX-r2-Bs-dap-M_at	2.339
AFFX-r2-Bs-dap-3_at	2.08
AFFX-r2-Bs-lys-5_at	2.576
AFFX-r2-Bs-lys-M_at	2.424
AFFX-r2-Bs-lys-3_at	2.53
AFFX-r2-Bs-phe-5_at	1.882
AFFX-r2-Bs-phe-M_at	2.458
AFFX-r2-Bs-phe-3_at	2.56
AFFX-r2-Bs-thr-3_s_at	3.23
AFFX-r2-Bs-thr-M_s_at	3.228
AFFX-r2-Bs-thr-5_s_at	2.603
AFFX-HUMISGF3A/M97935_5_at	4.656
AFFX-HUMISGF3A/M97935_MA_at	5.588
AFFX-HUMISGF3A/M97935_MB_at	5.713
AFFX-HUMISGF3A/M97935_3_at	8.63
AFFX-HUMRGE/M10098_5_at	12.924
AFFX-HUMRGE/M10098_M_at	12.392
AFFX-HUMRGE/M10098_3_at	12.039
AFFX-HUMGAPDH/M33197_5_at	12.222
AFFX-HUMGAPDH/M33197_M_at	12.477
AFFX-HUMGAPDH/M33197_3_at	12.554
AFFX-HSAC07/X00351_5_at	11.366
AFFX-HSAC07/X00351_M_at	11.941
AFFX-HSAC07/X00351_3_at	12.267
AFFX-M27830_5_at	12.44
AFFX-M27830_M_at	10.706
AFFX-M27830_3_at	5.024
AFFX-hum_alu_at	13.491
1007_s_at	10.819
1053_at	9.108
117_at	4.794
121_at	10.721
1255_g_at	2.529
