^SAMPLE = GSM385024
!Sample_title = human non-Hodgkins lymphoma cell line, KARPAS-1106P_rep1
!Sample_geo_accession = GSM385024
!Sample_status = Public on May 11 2009
!Sample_submission_date = Mar 20 2009
!Sample_last_update_date = May 11 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human non-Hodgkins lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: KARPAS-1106P
!Sample_characteristics_ch1 = cell type: human non-Hodgkins lymphoma
!Sample_treatment_protocol_ch1 = Cells were untreated.
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = KARPAS-1106P_rep1
!Sample_data_processing = Expression was normalized and estimated using the GC-RMA package of BioConductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Peng,,Yue
!Sample_contact_email = pengy@gene.com
!Sample_contact_phone = 650-467-3587
!Sample_contact_institute = Genentech Inc
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM385nnn/GSM385024/suppl/GSM385024.CEL.gz
!Sample_series_id = GSE15329
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = GC-RMA value
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.49779452
1053_at	10.13170136
117_at	3.138674099
121_at	6.34924981
1255_g_at	1.957004681
1294_at	2.714233617
1316_at	2.904784897
1320_at	2.623846878
1405_i_at	6.545037227
1431_at	2.945784391
1438_at	2.108179069
1487_at	7.804197684
1494_f_at	2.390796216
1552256_a_at	10.74533969
1552257_a_at	7.673797095
1552258_at	2.372132876
1552261_at	3.077363623
1552263_at	6.308466148
1552264_a_at	7.222872778
1552266_at	3.568052898
1552269_at	2.122590596
1552271_at	1.521167881
1552272_a_at	1.973957047
1552274_at	10.2828408
1552275_s_at	9.456853532
1552276_a_at	2.233480768
1552277_a_at	8.340836416
1552278_a_at	2.344781102
1552279_a_at	2.254336392
1552280_at	2.26444265
1552281_at	2.177235397
1552283_s_at	4.614983799
1552286_at	5.200392586
1552287_s_at	7.778754637
1552288_at	3.140968673
1552289_a_at	1.551205907
1552291_at	9.216418518
1552293_at	2.425287966
1552295_a_at	4.892740044
1552296_at	2.770932417
1552299_at	3.993863454
1552301_a_at	2.983887218
1552302_at	5.393845562
1552303_a_at	6.314880841
1552304_at	2.263370665
1552306_at	6.680477649
1552307_a_at	4.642558788
1552309_a_at	1.963966456
1552310_at	9.677999829
1552311_a_at	3.331883348
1552312_a_at	4.916665889
1552314_a_at	5.105936311
1552315_at	1.984532058
1552316_a_at	2.568833177
1552318_at	3.087585153
1552319_a_at	3.170142806
1552320_a_at	3.609808075
1552321_a_at	2.635619121
1552322_at	2.356320278
1552323_s_at	4.18203399
1552325_at	4.37720337
1552326_a_at	1.987148719
1552327_at	2.595915845
1552329_at	6.984979604
1552330_at	4.481790188
1552332_at	5.857665439
1552334_at	4.364824218
1552335_at	2.031737627
1552337_s_at	2.093772554
1552338_at	1.55309734
1552340_at	2.151766513
1552343_s_at	3.846442991
1552344_s_at	7.144468515
1552347_at	8.301167056
1552348_at	3.056647772
1552349_a_at	2.147047044
1552354_at	2.432406241
1552355_s_at	1.907026559
1552359_at	2.695864866
1552360_a_at	7.022279664
1552362_a_at	5.967344284
1552364_s_at	3.310813333
1552365_at	2.862789728
1552367_a_at	3.047961664
1552368_at	2.748088878
1552370_at	8.292632565
1552372_at	3.17517754
1552373_s_at	2.911654959
1552375_at	4.963175114
1552377_s_at	2.042917104
1552378_s_at	3.023902912
1552379_at	3.150879914
1552381_at	2.274799965
1552383_at	4.850726866
1552384_a_at	2.135061868
1552386_at	3.434098388
1552388_at	1.613048991
1552389_at	3.424942686
1552390_a_at	2.631329227
1552391_at	3.879461628
1552393_at	3.209951363
1552394_a_at	3.069142172
1552395_at	1.979510499
1552396_at	2.441353433
1552398_a_at	2.682867293
1552399_a_at	3.426339151
1552400_a_at	2.077012605
1552401_a_at	2.898408431
1552402_at	4.164664882
1552405_at	1.935492931
1552408_at	2.390866965
1552409_a_at	2.825044211
1552410_at	2.104175261
1552411_at	-0.160679433
1552412_a_at	2.727852881
1552414_at	2.857938494
1552415_a_at	2.058365323
1552417_a_at	7.350369615
1552418_at	2.140196628
1552419_s_at	1.781889453
1552421_a_at	2.504754327
1552422_at	3.083534402
1552423_at	3.044542551
1552424_at	2.587150218
1552425_a_at	2.325775268
1552426_a_at	10.09266988
1552427_at	5.455780481
1552430_at	3.681911823
1552432_at	2.23632795
1552436_a_at	1.561304876
1552438_a_at	2.518834966
1552439_s_at	5.415894529
1552440_at	4.031514212
1552445_a_at	4.299429775
1552448_a_at	2.395858724
1552449_a_at	2.403126893
1552450_a_at	1.635477754
1552452_at	2.236394925
1552453_a_at	2.137555891
1552455_at	2.490251024
1552456_a_at	2.198484472
1552457_a_at	2.226843712
1552458_at	3.017197641
1552459_a_at	1.916740915
1552461_at	2.426352617
1552463_at	2.498715555
1552466_x_at	3.974735466
1552467_at	2.980674653
1552468_a_at	2.110508046
1552470_a_at	1.892100257
1552472_a_at	7.2794585
1552473_at	5.127547411
1552474_a_at	5.822773968
1552476_s_at	2.008203905
1552477_a_at	2.212442979
1552478_a_at	2.959276724
1552480_s_at	3.287456977
1552481_s_at	2.763072623
1552482_at	3.684038442
1552484_at	1.851572953
1552485_at	6.418377457
1552486_s_at	8.898995335
1552487_a_at	2.750123187
1552489_s_at	2.746172732
1552490_at	2.58447983
1552491_at	1.823208122
1552493_s_at	2.401763559
1552494_at	1.878502958
1552496_a_at	2.335589804
1552497_a_at	9.726891745
1552498_at	1.889806168
1552499_a_at	1.777611373
1552501_a_at	2.072264645
1552502_s_at	2.414571605
1552503_at	1.822693331
1552504_a_at	2.712790831
1552506_at	1.693307938
1552507_at	1.956668696
1552508_at	1.860475684
1552509_a_at	2.645917774
1552510_at	3.046692408
1552511_a_at	8.5819709
1552514_at	2.663272642
1552515_at	2.33356363
1552516_a_at	2.405034872
1552518_s_at	6.089557737
1552519_at	2.149284124
1552520_at	3.234078648
1552521_a_at	3.119709259
1552522_at	3.384705921
1552523_a_at	2.889444567
1552524_at	2.296451094
1552526_at	1.984683574
1552528_at	1.867093872
1552531_a_at	4.900810166
1552532_a_at	2.915394873
1552535_at	2.474331755
1552536_at	3.042243773
1552538_a_at	2.715338641
1552540_s_at	3.009053516
1552541_at	5.311529937
1552542_s_at	5.494278144
1552543_a_at	1.962347034
1552544_at	3.316689299
1552546_a_at	2.37707421
1552548_at	2.678371639
1552549_a_at	2.534337344
1552552_s_at	3.330952425
1552553_a_at	2.360692167
1552554_a_at	3.05396997
1552555_at	2.234703956
1552557_a_at	3.371466464
1552558_a_at	2.418334412
1552559_a_at	2.614450226
1552562_at	1.635138611
1552563_a_at	2.510576335
1552564_at	5.619048573
1552566_at	1.704339905
1552568_at	2.282535441
1552569_a_at	1.946130705
1552570_at	2.129391796
1552572_a_at	3.260337727
1552573_s_at	3.000263959
1552575_a_at	2.883184682
1552576_at	2.829711896
1552578_a_at	7.870826707
1552579_a_at	2.882304651
1552580_at	2.980196332
1552582_at	3.367576618
1552583_s_at	1.979113166
1552584_at	6.631996436
1552585_s_at	3.321360213
1552586_at	1.958737784
1552587_at	3.008757768
1552588_a_at	2.317517029
1552590_a_at	1.922858984
1552592_at	3.148929195
1552594_at	1.279411369
1552596_at	1.67151475
1552598_at	1.864214943
1552599_at	1.454227736
1552602_at	3.038526056
1552604_at	2.657034136
1552605_s_at	3.394508142
1552607_at	3.320272819
1552608_at	3.026766375
1552609_s_at	2.144344392
1552610_a_at	10.94285054
1552611_a_at	8.734356713
1552612_at	6.673280571
1552613_s_at	9.148836693
1552615_at	2.087375156
1552616_a_at	1.801561991
1552617_a_at	9.062505156
1552618_at	5.43234403
1552619_a_at	7.692834416
1552620_at	2.551451524
1552621_at	8.711368229
1552622_s_at	8.554390271
1552623_at	10.51159752
1552625_a_at	5.69591608
1552626_a_at	3.018577258
1552627_a_at	3.153216828
1552628_a_at	10.34532748
1552629_a_at	1.939311712
1552630_a_at	2.378164912
1552631_a_at	2.432063621
1552632_a_at	2.533159949
1552633_at	6.505023871
1552634_a_at	7.520428124
1552637_at	1.920089627
1552639_at	2.110126429
1552641_s_at	4.626214772
1552643_at	4.764666851
1552644_a_at	5.312486902
1552646_at	2.341651921
1552648_a_at	5.076383492
1552649_a_at	2.04896481
1552651_a_at	4.915166924
1552652_at	6.136811324
1552656_s_at	2.818633885
1552657_a_at	2.425958757
1552658_a_at	3.139825495
1552660_a_at	4.43689603
1552661_at	3.654675177
1552662_a_at	1.937312822
1552663_a_at	4.67453981
1552664_at	8.645272465
1552665_at	2.514451222
1552666_a_at	2.544251122
1552667_a_at	5.629865813
1552669_at	2.356820146
1552670_a_at	2.70757982
1552671_a_at	6.722400849
1552672_a_at	1.490187992
1552673_at	2.234498614
1552674_at	3.387531884
1552675_at	2.847423765
1552676_at	2.007196183
1552677_a_at	3.450120166
1552678_a_at	5.536611237
1552680_a_at	5.064245416
1552682_a_at	4.238877875
1552684_a_at	2.653042867
