^SAMPLE = GSM748818
!Sample_title = G361 cells, untreated, 3h, rep1
!Sample_geo_accession = GSM748818
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = G361 cells, untreated, 3h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: G361
!Sample_characteristics_ch1 = stress: untreated
!Sample_characteristics_ch1 = time: 3h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from untreated G361 cells, 3h
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748818/suppl/GSM748818_G.C3.a.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748818/suppl/GSM748818_G.C3a.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.98639
AFFX-BioB-M_at	7.26544
AFFX-BioB-3_at	6.96249
AFFX-BioC-5_at	8.31562
AFFX-BioC-3_at	8.50691
AFFX-BioDn-5_at	9.85093
AFFX-BioDn-3_at	10.8762
AFFX-CreX-5_at	11.9288
AFFX-CreX-3_at	12.2162
AFFX-DapX-5_at	6.91961
AFFX-DapX-M_at	8.49129
AFFX-DapX-3_at	9.46476
AFFX-LysX-5_at	4.56511
AFFX-LysX-M_at	5.32691
AFFX-LysX-3_at	6.94233
AFFX-PheX-5_at	5.43647
AFFX-PheX-M_at	5.6731
AFFX-PheX-3_at	6.61536
AFFX-ThrX-5_at	5.80333
AFFX-ThrX-M_at	6.69685
AFFX-ThrX-3_at	7.95491
AFFX-TrpnX-5_at	2.63048
AFFX-TrpnX-M_at	2.43424
AFFX-TrpnX-3_at	2.36477
AFFX-r2-Ec-bioB-5_at	7.30768
AFFX-r2-Ec-bioB-M_at	7.52807
AFFX-r2-Ec-bioB-3_at	7.50111
AFFX-r2-Ec-bioC-5_at	8.93183
AFFX-r2-Ec-bioC-3_at	8.8896
AFFX-r2-Ec-bioD-5_at	11.0169
AFFX-r2-Ec-bioD-3_at	11.4903
AFFX-r2-P1-cre-5_at	12.6495
AFFX-r2-P1-cre-3_at	12.6341
AFFX-r2-Bs-dap-5_at	7.53932
AFFX-r2-Bs-dap-M_at	8.53844
AFFX-r2-Bs-dap-3_at	9.33314
AFFX-r2-Bs-lys-5_at	5.2415
AFFX-r2-Bs-lys-M_at	5.97982
AFFX-r2-Bs-lys-3_at	5.71459
AFFX-r2-Bs-phe-5_at	6.02554
AFFX-r2-Bs-phe-M_at	5.70816
AFFX-r2-Bs-phe-3_at	7.03264
AFFX-r2-Bs-thr-3_s_at	8.175
AFFX-r2-Bs-thr-M_s_at	7.20704
AFFX-r2-Bs-thr-5_s_at	6.50457
AFFX-HUMISGF3A/M97935_5_at	3.72185
AFFX-HUMISGF3A/M97935_MA_at	5.85382
AFFX-HUMISGF3A/M97935_MB_at	5.6149
AFFX-HUMISGF3A/M97935_3_at	8.82193
AFFX-HUMRGE/M10098_5_at	4.0679
AFFX-HUMRGE/M10098_M_at	3.67717
AFFX-HUMRGE/M10098_3_at	4.59958
AFFX-HUMGAPDH/M33197_5_at	12.6564
AFFX-HUMGAPDH/M33197_M_at	13.1588
AFFX-HUMGAPDH/M33197_3_at	13.3542
AFFX-HSAC07/X00351_5_at	11.6218
AFFX-HSAC07/X00351_M_at	12.8343
AFFX-HSAC07/X00351_3_at	13.2801
AFFX-M27830_5_at	6.40319
AFFX-M27830_M_at	9.07156
AFFX-M27830_3_at	4.50844
AFFX-hum_alu_at	13.5757
1007_s_at	8.09326
1053_at	8.92989
117_at	4.11423
121_at	6.04121
1255_g_at	2.52724
1294_at	4.38234
1316_at	4.18063
1320_at	3.31694
1405_i_at	2.89023
1431_at	2.29491
1438_at	3.74053
1487_at	7.46366
1494_f_at	3.85491
1598_g_at	6.45921
160020_at	8.6758
1729_at	6.65822
1773_at	6.43337
177_at	4.8231
179_at	6.75037
1861_at	5.02654
200000_s_at	9.15086
200001_at	10.1093
200002_at	12.7372
200003_s_at	12.356
200004_at	12.1001
200005_at	11.6787
200006_at	12.0777
200007_at	11.8283
200008_s_at	9.62361
200009_at	11.3881
200010_at	12.4035
200011_s_at	9.399
200012_x_at	13.029
200013_at	12.9406
200014_s_at	10.5947
200015_s_at	11.1463
200016_x_at	12.7353
200017_at	12.5902
200018_at	13.1852
200019_s_at	12.3293
200020_at	10.3115
200021_at	13.0964
200022_at	12.8102
200023_s_at	11.9442
200024_at	12.2929
200025_s_at	13.1128
200026_at	12.3674
200027_at	12.0943
200028_s_at	11.2138
200029_at	13.2732
200030_s_at	12.4095
200031_s_at	12.2753
200032_s_at	12.8611
200033_at	11.619
200034_s_at	12.491
200035_at	8.7154
200036_s_at	12.4737
200037_s_at	11.6886
200038_s_at	12.9291
200039_s_at	10.9407
200040_at	11.0479
200041_s_at	10.8799
200042_at	10.6959
200043_at	11.2238
200044_at	9.80859
200045_at	9.00951
200046_at	9.89089
200047_s_at	10.4319
200048_s_at	11.1329
200049_at	7.7367
200050_at	9.89965
200051_at	8.04986
200052_s_at	10.4443
200053_at	8.04615
200054_at	7.85758
200055_at	10.3099
200056_s_at	9.20193
200057_s_at	11.5929
200058_s_at	9.84156
200059_s_at	12.0833
200060_s_at	9.86751
200061_s_at	12.5409
200062_s_at	13.0119
200063_s_at	12.9642
200064_at	12.738
200065_s_at	10.3434
200066_at	9.62542
200067_x_at	10.1407
200068_s_at	11.7847
200069_at	8.67037
200070_at	7.57886
200071_at	9.38287
200072_s_at	10.6427
200073_s_at	10.8934
200074_s_at	12.3413
200075_s_at	8.46785
