^SAMPLE = GSM820816
!Sample_title = MDA-MB-231 rep3
!Sample_geo_accession = GSM820816
!Sample_status = Public on Jun 01 2012
!Sample_submission_date = Oct 21 2011
!Sample_last_update_date = Jun 01 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MDA-MB-231 cells cultured in MEGM (Lonza)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Human breast cancer-derived cell line MDA-MB-231
!Sample_characteristics_ch1 = culture medium: MEGM
!Sample_treatment_protocol_ch1 = DKAT, HMEC, or MDA-MB-231 cells were cultured in MEGM (Lonza).
!Sample_growth_protocol_ch1 = DKAT, HMEC, or MDA-MB-231 cells were cultured in MEGM (Lonza).
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Extraction of total RNA was performed using the Qiagen RNeasy kit according to the manufacturer's instructions with option DNAse step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized in an Affymetrix Hybridization Oven 640 for 16 hr at 45°C on HG-U133 Plus2.0 GeneChips. GeneChips were washed and stained on an Affymetrix Fluidics Station 450, using the manufacture’s recommended protocol.
!Sample_scan_protocol = GeneChips were scanned using an Affymetrix GeneChip Scanner.
!Sample_description = MDA-MB-231 cells cultured in MEGM (Lonza)
!Sample_description = HGU133(+2.0)_16_6C.CEL
!Sample_data_processing = The data were analyzed with RMA using the affy package implemented in BRB array tools (Simon and Lam, ver. 3.7.0; R ver. 2.6.0)
!Sample_platform_id = GPL570
!Sample_contact_name = Nicholas,,D'Amato
!Sample_contact_laboratory = Seewaldt
!Sample_contact_department = Pharmacology and Cancer Biology
!Sample_contact_institute = Duke University
!Sample_contact_address = MSRB Room 217, Research Dr.
!Sample_contact_city = Durham
!Sample_contact_state = NC
!Sample_contact_zip/postal_code = 27710
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM820nnn/GSM820816/suppl/GSM820816.CEL.gz
!Sample_series_id = GSE33145
!Sample_series_id = GSE33167
!Sample_data_row_count = 11462
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.582386971
1438_at	6.364125252
1552256_a_at	8.87555027
1552258_at	5.334208012
1552274_at	7.879920959
1552275_s_at	7.47706604
1552286_at	6.392856598
1552291_at	8.177518845
1552295_a_at	9.024225235
1552306_at	5.536648273
1552309_a_at	8.249781609
1552310_at	7.521844864
1552312_a_at	7.857386112
1552314_a_at	5.791148663
1552319_a_at	4.451737404
1552329_at	5.589332581
1552330_at	5.609776974
1552335_at	7.70104599
1552337_s_at	5.850190163
1552344_s_at	8.277489662
1552347_at	8.563926697
1552364_s_at	6.858311653
1552390_a_at	3.659387589
1552417_a_at	7.173630714
1552426_a_at	8.249422073
1552427_at	5.501320362
1552472_a_at	7.899752617
1552474_a_at	9.384444237
1552476_s_at	7.845983505
1552477_a_at	4.522044182
1552478_a_at	4.483688831
1552485_at	7.404392719
1552486_s_at	7.383733273
1552487_a_at	3.849919558
1552502_s_at	4.066298485
1552543_a_at	5.074915886
1552546_a_at	8.292943954
1552575_a_at	6.732652664
1552580_at	5.314047337
1552612_at	7.395992279
1552617_a_at	8.530991554
1552618_at	7.960575104
1552619_a_at	11.88499832
1552622_s_at	6.775274754
1552644_a_at	5.456438541
1552648_a_at	8.366041183
1552656_s_at	7.683223724
1552658_a_at	4.808265686
1552663_a_at	7.852629662
1552664_at	7.711351395
1552670_a_at	6.088772297
1552680_a_at	6.832144737
1552682_a_at	6.112981319
1552684_a_at	6.232573986
1552685_a_at	5.434290886
1552696_at	6.413548946
1552701_a_at	4.329425335
1552703_s_at	4.174768925
1552711_a_at	6.747045517
1552716_at	4.960743904
1552721_a_at	3.603756905
1552736_a_at	4.063990593
1552737_s_at	5.136241436
1552777_a_at	5.249294758
1552790_a_at	6.890176296
1552797_s_at	5.91823101
1552798_a_at	8.438423157
1552897_a_at	4.154314041
1552927_at	5.086769104
1552928_s_at	5.283773422
1552946_at	5.534477711
1552947_x_at	5.488669395
1553027_a_at	9.053227425
1553031_at	4.686279774
1553055_a_at	4.641041756
1553102_a_at	6.182605743
1553105_s_at	9.425217628
1553111_a_at	5.522714615
1553112_s_at	7.461857319
1553113_s_at	7.466747284
1553117_a_at	9.808120728
1553120_at	5.530100346
1553132_a_at	4.070006371
1553141_at	4.943014145
1553142_at	3.899757385
1553158_at	6.970947266
1553167_a_at	5.30197525
1553185_at	7.669804096
1553186_x_at	6.707688332
1553218_a_at	8.774717331
1553219_a_at	6.973137379
1553220_at	4.561631203
1553252_a_at	4.945508003
1553284_s_at	7.014233589
1553293_at	4.924228191
1553423_a_at	4.32111454
1553436_at	4.323804855
1553528_a_at	8.907234192
1553551_s_at	14.24521446
1553565_s_at	7.848479748
1553574_at	4.172408581
1553575_at	8.518622398
1553587_a_at	9.383015633
1553613_s_at	6.6287117
1553622_a_at	4.038241386
1553646_at	3.790210962
1553654_at	3.965658665
1553672_at	4.311870098
1553679_s_at	7.765706062
1553690_at	6.897560596
1553691_at	6.119553089
1553694_a_at	9.639600754
1553705_a_at	5.076346874
1553709_a_at	9.428266525
1553725_s_at	7.742249012
1553726_s_at	3.967212915
1553743_at	5.330657959
1553746_a_at	4.600182533
1553749_at	6.840333939
1553750_a_at	5.992098808
1553764_a_at	11.56347179
1553768_a_at	8.249755859
1553787_at	4.311357975
1553798_a_at	5.586673737
1553801_a_at	6.47660017
1553844_a_at	5.667664528
1553928_at	8.353459358
1553955_at	8.239886284
1553956_at	9.003900528
1553962_s_at	9.710754395
1553972_a_at	5.877971649
1553973_a_at	4.90780592
1553974_at	7.129870892
1553976_a_at	8.297162056
1553979_at	10.03965092
1553982_a_at	5.55463028
1553984_s_at	11.16143036
1553986_at	5.596669674
1553991_s_at	5.873396873
1553992_s_at	7.152409077
1553993_s_at	9.241518974
1553994_at	9.213458061
1553995_a_at	9.049870491
1554003_at	10.50741673
1554004_a_at	9.508337975
1554007_at	4.080094337
1554008_at	9.216750145
1554014_at	7.35187006
1554018_at	3.580092669
1554020_at	7.090176582
1554021_a_at	7.785746574
1554026_a_at	5.615826607
1554036_at	7.257511139
1554047_at	7.127026081
1554053_at	6.685115814
1554057_at	7.083958626
1554062_at	4.035498142
1554067_at	4.644799232
1554078_s_at	10.59929657
1554079_at	6.162969589
1554089_s_at	10.89132309
1554095_at	8.120687485
1554096_a_at	5.678291798
1554097_a_at	5.528942585
1554122_a_at	5.702763557
1554127_s_at	7.582807064
1554145_a_at	7.258350849
1554148_a_at	7.543041706
1554152_a_at	7.855454445
1554154_at	7.737235069
1554155_at	6.106428146
1554168_a_at	7.122299194
1554177_a_at	8.522947311
1554193_s_at	5.945649147
1554195_a_at	5.633591175
1554199_at	3.602919579
1554206_at	5.052738667
1554242_a_at	5.065143108
1554246_at	4.225498199
1554250_s_at	7.824901104
1554252_a_at	3.983531475
1554253_a_at	6.207444668
1554256_a_at	5.874155998
1554262_s_at	6.795940876
1554273_a_at	4.609167099
1554314_at	4.998280525
1554334_a_at	4.851890564
1554339_a_at	5.22977829
1554352_s_at	8.260659218
1554360_at	4.937854767
1554383_a_at	9.11894989
1554390_s_at	9.875014305
1554408_a_at	10.99125004
1554414_a_at	8.014683723
1554445_at	4.799975872
1554447_at	4.801531315
1554455_at	5.176643848
1554462_a_at	8.487914085
1554464_a_at	9.946101189
1554465_s_at	5.025606155
1554466_a_at	9.180968285
1554469_at	5.611098289
1554474_a_at	5.500291824
1554480_a_at	8.478446007
1554486_a_at	4.399812698
1554489_a_at	7.437882423
1554493_s_at	7.869074821
1554534_at	6.735193729
1554536_at	4.824602127
1554539_a_at	8.325242996
1554541_a_at	5.869990349
1554544_a_at	8.296676636
1554547_at	3.88711071
1554553_s_at	9.238605499
1554556_a_at	6.838072777
1554557_at	5.603913784
1554572_a_at	10.42591858
1554575_a_at	7.570628166
1554577_a_at	10.92452621
1554588_a_at	4.198395729
1554592_a_at	3.958438396
1554593_s_at	3.917110682
1554594_at	7.755471706
1554595_at	7.939080715
1554597_at	8.032427788
1554606_at	6.134636879
1554608_at	5.564241409
1554614_a_at	4.724339008
1554628_at	7.757511616
1554637_a_at	6.368685722
1554640_at	4.503118992
1554667_s_at	9.177143097
1554679_a_at	10.33555984
1554690_a_at	6.794487476
1554696_s_at	11.89392662
1554697_at	5.158915997
1554701_a_at	6.977806568
1554704_at	7.861439705
1554724_at	3.775642157
1554726_at	6.30576086
1554741_s_at	4.225623608
1554742_at	4.291955471
1554743_x_at	5.100416183
1554758_a_at	7.909297466
1554767_s_at	7.758615494
1554768_a_at	11.49679089
1554776_at	5.443212986
