^SAMPLE = GSM562816
!Sample_title = MOLP-8
!Sample_geo_accession = GSM562816
!Sample_status = Public on Apr 30 2011
!Sample_submission_date = Jul 06 2010
!Sample_last_update_date = Nov 06 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Multiple myeloma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MOLP-8
!Sample_characteristics_ch1 = culturing medium: RPMI-1640, 20% FBS
!Sample_treatment_protocol_ch1 = Untreated. The density of the culture was determined and 5 million cells were harvested and stored in 1 ml Trizol until RNA extraction.
!Sample_growth_protocol_ch1 = The cell lines were subcultured 2 times per week. Subcultured 24 hours before harvest for RNA extraction.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using Invitrogen TRIzol Reagent combined with Qiagen RNeasy Mini kit. RNA quality was assessed using the Bioanalyser
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 ug total RNA (Expression Analysis Technical Manual, P/N 702232 Rev. 2, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 -18 hr at 45˚ C on GeneChip HG U133 Plus 2.0. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner.
!Sample_description = Gene expression data from the multiple myeloma cell line MOLP-8
!Sample_data_processing = .CEL files were background corrected and normalized by the just.rma function in the Bioconductor package affy
!Sample_platform_id = GPL570
!Sample_contact_name = Martin,,Boegsted
!Sample_contact_email = martin.boegsted@rn.dk
!Sample_contact_department = Department of Haematology
!Sample_contact_institute = Aalborg Hospital, Aarhus University Hospital
!Sample_contact_address = Sdr. Skovvej 15
!Sample_contact_city = Aalborg
!Sample_contact_zip/postal_code = 9000
!Sample_contact_country = Denmark
!Sample_contact_web_link = www.blodet.dk
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562816/suppl/GSM562816.CEL.gz
!Sample_relation = Reanalyzed by: GSM1300961
!Sample_series_id = GSE22759
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.599537813
1053_at	8.670385199
117_at	5.547996277
121_at	8.401476305
1255_g_at	3.336178001
1294_at	6.417333786
1316_at	5.686247635
1320_at	4.85684472
1405_i_at	6.620477473
1431_at	3.978469954
1438_at	5.781310697
1487_at	8.411193905
1494_f_at	6.128670392
1552256_a_at	10.36948967
1552257_a_at	9.225432647
1552258_at	5.486150559
1552261_at	5.111273064
1552263_at	4.570885822
1552264_a_at	6.389519629
1552266_at	3.425213407
1552269_at	4.108065616
1552271_at	6.438297984
1552272_a_at	6.402554309
1552274_at	7.311829514
1552275_s_at	7.181983073
1552276_a_at	6.488499558
1552277_a_at	8.201952476
1552278_a_at	5.276546472
1552279_a_at	7.345400397
1552280_at	3.946685407
1552281_at	7.700543359
1552283_s_at	5.900765857
1552286_at	6.854554612
1552287_s_at	7.825951451
1552288_at	4.655500104
1552289_a_at	4.865368089
1552291_at	7.054259988
1552293_at	5.842882354
1552295_a_at	8.023786161
1552296_at	4.90237617
1552299_at	5.654244883
1552301_a_at	5.533520235
1552302_at	4.98779848
1552303_a_at	6.271004647
1552304_at	5.570728356
1552306_at	6.463175923
1552307_a_at	5.252197241
1552309_a_at	3.538879398
1552310_at	8.493355065
1552311_a_at	7.383020437
1552312_a_at	8.560673199
1552314_a_at	5.821203745
1552315_at	5.149020004
1552316_a_at	3.349626008
1552318_at	3.450078637
1552319_a_at	4.612735541
1552320_a_at	3.439412057
1552321_a_at	3.548593115
1552322_at	3.197956979
1552323_s_at	4.374920302
1552325_at	3.18923768
1552326_a_at	4.883068413
1552327_at	3.580786893
1552329_at	7.583998186
1552330_at	6.881712638
1552332_at	7.309553828
1552334_at	6.114786027
1552335_at	5.449263867
1552337_s_at	6.921248234
1552338_at	4.729734901
1552340_at	5.115748121
1552343_s_at	5.482203982
1552344_s_at	7.761242581
1552347_at	7.606327328
1552348_at	6.304195865
1552349_a_at	5.25038965
1552354_at	4.779180411
1552355_s_at	5.965196348
1552359_at	3.233216304
1552360_a_at	5.925108309
1552362_a_at	7.312947221
1552364_s_at	7.622780948
1552365_at	3.373692895
1552367_a_at	3.388924561
1552368_at	3.618162917
1552370_at	7.060457747
1552372_at	3.073035317
1552373_s_at	3.22285342
1552375_at	4.312391993
1552377_s_at	6.916699055
1552378_s_at	5.421268059
1552379_at	2.981571009
1552381_at	3.877095532
1552383_at	6.77952303
1552384_a_at	5.835611393
1552386_at	3.426773877
1552388_at	6.264097182
1552389_at	3.335892752
1552390_a_at	3.658962064
1552391_at	4.325532356
1552393_at	3.386271682
1552394_a_at	3.897178395
1552395_at	8.105888092
1552396_at	4.772467976
1552398_a_at	3.151042971
1552399_a_at	5.358811719
1552400_a_at	5.239207419
1552401_a_at	3.82040679
1552402_at	4.243448799
1552405_at	5.526310215
1552408_at	4.221213041
1552409_a_at	6.314811116
1552410_at	5.468122382
1552411_at	6.625478744
1552412_a_at	3.614570911
1552414_at	3.90989667
1552415_a_at	4.747537859
1552417_a_at	7.360662479
1552418_at	5.931623086
1552419_s_at	6.221595012
1552421_a_at	3.735315767
1552422_at	4.414100879
1552423_at	6.587935198
1552424_at	3.667873753
1552425_a_at	4.937035014
1552426_a_at	9.984854041
1552427_at	4.816196683
1552430_at	3.538952538
1552432_at	5.673152543
1552436_a_at	6.204270769
1552438_a_at	3.881198607
1552439_s_at	3.770844767
1552440_at	4.625096981
1552445_a_at	4.14787878
1552448_a_at	4.048892177
1552449_a_at	3.799839392
1552450_a_at	6.056347937
1552452_at	3.920637535
1552453_a_at	3.746281194
1552455_at	3.836410896
1552456_a_at	5.579710783
1552457_a_at	3.853116051
1552458_at	3.549525574
1552459_a_at	5.462001814
1552461_at	3.517527894
1552463_at	3.613396833
1552466_x_at	3.494009372
1552467_at	6.668291861
1552468_a_at	5.834872568
1552470_a_at	5.566612026
1552472_a_at	7.852852451
1552473_at	7.790802691
1552474_a_at	9.261083755
1552476_s_at	6.222487313
1552477_a_at	4.540892077
1552478_a_at	4.164591179
1552480_s_at	3.053662888
1552481_s_at	6.942974656
1552482_at	3.710643638
1552484_at	7.071225946
1552485_at	5.774172737
1552486_s_at	6.289501276
1552487_a_at	3.112577787
1552489_s_at	3.131207689
1552490_at	4.499347337
1552491_at	5.53820438
1552493_s_at	5.091949312
1552494_at	4.959569043
1552496_a_at	3.710769935
1552497_a_at	6.013801243
1552498_at	5.071136747
1552499_a_at	4.467015134
1552501_a_at	6.025030842
1552502_s_at	3.713336876
1552503_at	5.707521188
1552504_a_at	7.575180658
1552506_at	4.179260007
1552507_at	4.509553451
1552508_at	4.611607484
1552509_a_at	3.778870467
1552510_at	8.59235783
1552511_a_at	3.055580315
1552514_at	4.062911927
1552515_at	4.547738377
1552516_a_at	6.769658086
1552518_s_at	4.47995029
1552519_at	7.12212121
1552520_at	3.942556278
1552521_a_at	3.168366126
1552522_at	3.411246656
1552523_a_at	5.290109425
1552524_at	6.585046401
1552526_at	4.849839719
1552528_at	7.222872641
1552531_a_at	9.511379666
1552532_a_at	3.719861855
1552535_at	6.31631654
1552536_at	4.815293382
1552538_a_at	4.165296061
1552540_s_at	5.34037046
1552541_at	8.42624158
1552542_s_at	8.520864442
1552543_a_at	4.042727322
1552544_at	4.448449896
1552546_a_at	4.103148104
1552548_at	4.286436858
1552549_a_at	5.808027021
1552552_s_at	3.771924303
1552553_a_at	3.713618111
1552554_a_at	4.208940348
1552555_at	6.073741915
1552557_a_at	3.569602358
1552558_a_at	6.67707922
1552559_a_at	4.927225566
1552562_at	4.735437258
1552563_a_at	5.05746004
1552564_at	3.960387277
1552566_at	4.233881714
1552568_at	8.697815769
1552569_a_at	9.847425281
1552570_at	4.324524479
1552572_a_at	2.958815561
1552573_s_at	3.212120556
1552575_a_at	3.94508275
1552576_at	4.960270397
1552578_a_at	3.253437279
1552579_a_at	4.573506279
1552580_at	5.363168525
1552582_at	3.520041416
1552583_s_at	4.088252844
1552584_at	7.445073231
1552585_s_at	3.660830613
1552586_at	5.782750005
1552587_at	3.629589299
1552588_a_at	3.732864827
1552590_a_at	3.262130663
1552592_at	3.261859963
1552594_at	5.979289118
1552596_at	6.950009355
1552598_at	4.772842385
1552599_at	3.858467775
1552602_at	5.826866089
1552604_at	4.897397897
1552605_s_at	4.125354123
1552607_at	4.792459666
1552608_at	5.257478315
1552609_s_at	5.136422114
1552610_a_at	9.320202249
1552611_a_at	7.986743792
1552612_at	8.692127717
1552613_s_at	8.352704884
1552615_at	8.421471567
1552616_a_at	5.533520235
1552617_a_at	9.075564126
1552618_at	8.448828305
1552619_a_at	8.736800631
1552620_at	7.584058767
1552621_at	10.71917268
1552622_s_at	9.96170144
1552623_at	4.946377539
1552625_a_at	8.521714576
1552626_a_at	4.30644816
1552627_a_at	7.295089411
1552628_a_at	9.14533683
1552629_a_at	3.858238077
1552630_a_at	6.160700853
1552631_a_at	5.454299756
1552632_a_at	5.713635763
1552633_at	6.498019825
1552634_a_at	6.496698563
1552637_at	4.553966934
1552639_at	5.318003998
1552641_s_at	8.8551459
1552643_at	6.441562924
1552644_a_at	6.647375538
1552646_at	5.586075169
1552648_a_at	8.777639486
1552649_a_at	5.316328496
1552651_a_at	5.987580134
1552652_at	6.565974768
1552656_s_at	8.36737918
1552657_a_at	5.399045783
1552658_a_at	3.492411964
1552660_a_at	8.559143846
1552661_at	2.851401952
1552662_a_at	5.819314061
1552663_a_at	7.811357674
1552664_at	7.170879729
1552665_at	4.492387903
1552666_a_at	3.06645388
1552667_a_at	7.923814468
1552669_at	4.451868796
1552670_a_at	6.359481076
1552671_a_at	5.351062158
1552672_a_at	5.151383391
1552673_at	3.589620803
1552674_at	3.064916101
1552675_at	3.458253049
1552676_at	6.172845608
1552677_a_at	6.069295559
1552678_a_at	7.642273349
1552680_a_at	8.27912129
1552682_a_at	7.18265963
1552684_a_at	5.176776718
1552685_a_at	5.827661022
1552686_at	4.676691322
1552687_a_at	4.463304977
1552689_at	6.30770417
1552690_a_at	4.639174173
1552691_at	3.94449406
1552693_at	3.229084708
1552694_at	3.206650055
1552695_a_at	4.346280013
1552696_at	4.651865433
1552698_at	6.128469582
1552701_a_at	5.126431069
1552703_s_at	7.253385424
1552705_at	3.725709487
1552708_a_at	3.704052931
1552711_a_at	7.740406755
1552712_a_at	4.863178274
1552713_a_at	4.089565121
1552714_at	3.521868761
1552715_a_at	3.364699309
1552716_at	4.2147153
1552717_s_at	7.711232889
1552718_at	5.714448595
1552719_at	6.269775439
1552721_a_at	3.384784701
1552722_at	3.232217538
1552724_at	5.497388983
1552725_s_at	4.784168169
1552726_at	4.755080552
1552727_s_at	4.187277005
1552729_at	7.03941527
1552730_at	4.823803799
1552731_at	3.74347848
1552732_at	3.156037261
1552733_at	4.282352899
1552734_at	4.690625045
1552735_at	5.19136356
1552736_a_at	3.94786144
1552737_s_at	5.598866335
1552738_a_at	4.638982031
1552739_s_at	5.898031517
1552740_at	3.4083093
1552742_at	3.736349834
1552743_at	3.702778929
1552745_at	4.862338784
1552747_a_at	3.339524718
1552749_a_at	8.057320394
1552750_at	4.323120004
1552751_a_at	5.87329288
1552752_a_at	4.126624784
1552754_a_at	3.35941704
1552755_at	7.182223093
1552757_s_at	4.628034594
1552758_at	3.907857356
1552760_at	4.028994852
1552761_at	6.611117576
1552763_at	3.541701001
1552765_x_at	3.575757806
1552766_at	8.846860291
1552767_a_at	10.70278888
1552768_at	6.086143505
1552769_at	4.389585306
1552770_s_at	4.85628167
1552771_a_at	3.549505414
1552772_at	3.943585133
1552773_at	4.278331026
1552774_a_at	4.202880866
1552775_at	5.597235822
1552777_a_at	4.222507149
1552779_a_at	5.423270226
1552782_at	4.129240405
1552783_at	3.188174772
1552785_at	3.238970903
1552787_at	5.772925062
1552788_a_at	6.293056909
1552789_at	7.568044146
1552790_a_at	9.061712269
1552791_a_at	3.356958003
1552792_at	5.690076134
1552793_at	4.866018208
1552794_a_at	3.430391392
1552796_a_at	4.316607351
1552797_s_at	3.197047437
1552798_a_at	4.691518905
1552799_at	5.211404193
1552800_at	7.447275276
1552801_at	4.513024297
1552803_a_at	4.135669829
1552804_a_at	6.883111356
1552806_a_at	4.598972611
1552807_a_at	5.539765626
1552808_at	3.432100798
1552809_at	3.826338063
1552811_at	6.595437229
1552812_a_at	7.148393696
1552813_at	5.562286927
1552814_a_at	4.838855128
1552816_at	3.815202794
1552818_a_at	3.395653515
1552819_at	4.782984332
1552822_at	3.719955188
1552825_at	3.370428023
1552826_at	3.147662047
1552827_s_at	4.303632249
1552828_at	6.784117151
1552829_at	5.176776718
1552830_at	4.020499764
1552833_at	5.291959343
1552834_at	6.048668516
1552835_at	5.528999233
1552836_at	6.824948516
1552837_at	2.844032463
1552839_at	4.098929735
1552841_s_at	3.800376017
1552842_at	4.773743588
1552843_at	3.949159674
1552845_at	5.972248116
1552846_s_at	7.726257253
1552848_a_at	4.282394308
1552849_at	3.054701965
1552851_at	3.323361479
1552852_a_at	3.390767098
1552853_at	4.714832529
1552854_a_at	4.916446527
1552856_at	4.16909462
1552857_a_at	4.900792436
1552858_at	2.861129226
1552860_at	4.375475891
1552862_at	5.992216274
1552863_a_at	7.931723465
1552865_a_at	6.333504217
1552867_at	4.965605409
1552868_at	6.513019309
1552870_s_at	4.066193523
1552872_at	5.272129993
1552873_s_at	6.636851858
1552875_a_at	3.340307696
1552876_at	3.814152745
1552877_s_at	5.390723111
1552878_at	3.109232489
1552879_a_at	3.905011692
1552880_at	6.149260053
1552882_a_at	5.150206526
1552884_at	5.019437997
1552885_a_at	7.438380428
1552887_at	5.435345995
1552889_a_at	7.753719891
1552890_a_at	4.776043721
1552892_at	6.810186072
1552893_at	7.065928906
1552895_a_at	4.566554846
1552897_a_at	3.476370833
1552898_a_at	4.247035715
1552899_at	3.061423051
1552900_a_at	3.272393564
1552902_a_at	5.406600629
1552903_at	5.153067571
1552904_at	2.832165006
1552906_at	4.93300749
1552908_at	4.59202322
1552910_at	3.941477466
1552911_at	4.482781113
1552912_a_at	3.245023048
1552913_at	3.100369419
1552914_a_at	6.32116013
1552915_at	4.652154977
1552917_at	5.716343267
1552919_at	4.073728428
1552921_a_at	8.458349603
1552922_at	3.556156992
1552923_a_at	4.714607167
1552924_a_at	4.652994958
1552925_at	4.651865433
1552927_at	4.486554995
1552928_s_at	5.080957242
1552929_at	4.118690813
1552930_at	6.334517906
1552931_a_at	7.237931857
1552932_at	4.515857002
1552933_at	3.444480019
1552935_at	4.997400322
1552937_s_at	7.307700341
1552938_at	4.313942152
1552939_at	3.455279151
1552940_at	4.160419331
1552942_at	5.20133083
1552943_at	3.480760272
1552944_a_at	8.250731373
1552946_at	5.835316091
1552947_x_at	5.885693971
1552948_at	5.704683058
1552950_at	3.213568501
1552952_at	3.718706017
1552953_a_at	5.115510565
1552954_at	5.346898222
1552955_at	5.013090106
1552957_at	3.464326631
1552960_at	5.206001702
1552961_at	4.171354489
1552964_at	5.761777923
1552965_a_at	5.354509391
1552967_at	4.362264718
1552969_a_at	5.565468094
1552970_s_at	5.312489698
1552971_at	3.596745624
1552972_at	2.958912749
1552973_at	5.348106157
1552974_at	2.901174497
1552975_x_at	3.217979846
1552976_at	5.783699957
1552977_a_at	7.939256545
1552978_a_at	9.295545308
1552979_at	3.739437692
1552980_at	5.220124752
1552982_a_at	4.855410318
1552985_at	4.892296819
1552986_at	5.489091527
1552987_a_at	3.062441299
1552988_at	3.42885263
1552990_at	3.787541808
1552991_at	4.719210051
1552993_at	3.069109454
1552995_at	6.154286694
1552997_a_at	5.561976733
1552998_at	3.4426289
1552999_a_at	4.496813542
1553002_at	3.675400997
1553003_at	5.075483721
1553004_at	4.14162273
1553006_at	4.012483809
1553007_a_at	5.115691236
1553009_s_at	4.425900685
1553011_at	5.798670852
1553013_at	4.246829614
1553015_a_at	8.345316386
1553016_at	5.024855226
1553019_at	6.244439741
1553020_at	4.182035162
1553021_s_at	6.321864089
1553022_at	3.241064141
1553023_a_at	5.046992867
1553024_at	3.319988552
1553025_at	3.473146348
1553027_a_at	4.862161954
1553028_at	4.634550805
1553030_a_at	7.280233072
1553031_at	5.072624004
1553032_at	3.619962212
1553033_at	3.956680288
1553034_at	6.38222276
1553036_at	3.967999746
1553037_a_at	3.86786196
1553039_a_at	7.961208907
1553041_at	5.49100983
1553042_a_at	6.205518638
1553043_a_at	5.183737109
1553044_at	5.357184748
1553045_at	5.205701309
1553046_s_at	6.595952504
1553047_at	6.421012045
1553048_a_at	6.871401559
1553051_s_at	5.192259993
1553052_at	3.794957669
1553053_at	4.739940762
1553055_a_at	3.50755304
1553057_at	5.126293844
1553058_at	5.048004903
1553059_at	3.786876156
