^SAMPLE = GSM206552
!Sample_title = SW480
!Sample_geo_accession = GSM206552
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SW480 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206552/suppl/GSM206552_1.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206552/suppl/GSM206552_2.CEL.gz
!Sample_relation = Reanalyzed by: GSE39923
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	374.13
AFFX-BioB-M_at	612.9
AFFX-BioB-3_at	324.82
AFFX-BioC-5_at	1010.35
AFFX-BioC-3_at	929.48
AFFX-BioDn-5_at	1211.94
AFFX-BioDn-3_at	5672.55
AFFX-CreX-5_at	13596.83
AFFX-CreX-3_at	15261.01
AFFX-DapX-5_at	1959.5
AFFX-DapX-M_at	3463.23
AFFX-DapX-3_at	4099.31
AFFX-LysX-5_at	480.75
AFFX-LysX-M_at	646.9
AFFX-LysX-3_at	1179.26
AFFX-PheX-5_at	576.2
AFFX-PheX-M_at	683.69
AFFX-PheX-3_at	450.32
AFFX-ThrX-5_at	12106.49
AFFX-ThrX-M_at	16782.16
AFFX-ThrX-3_at	20024.46
AFFX-TrpnX-5_at	21.35
AFFX-TrpnX-M_at	6
AFFX-TrpnX-3_at	14.37
AFFX-r2-Ec-bioB-5_at	424.63
AFFX-r2-Ec-bioB-M_at	668.38
AFFX-r2-Ec-bioB-3_at	640.65
AFFX-r2-Ec-bioC-5_at	1053.34
AFFX-r2-Ec-bioC-3_at	1582.7
AFFX-r2-Ec-bioD-5_at	5035.15
AFFX-r2-Ec-bioD-3_at	6254.6
AFFX-r2-P1-cre-5_at	22108.13
AFFX-r2-P1-cre-3_at	22702.4
AFFX-r2-Bs-dap-5_at	2122.36
AFFX-r2-Bs-dap-M_at	4217.43
AFFX-r2-Bs-dap-3_at	5776.33
AFFX-r2-Bs-lys-5_at	697.33
AFFX-r2-Bs-lys-M_at	673.94
AFFX-r2-Bs-lys-3_at	693.53
AFFX-r2-Bs-phe-5_at	763.63
AFFX-r2-Bs-phe-M_at	976.06
AFFX-r2-Bs-phe-3_at	1452.28
AFFX-r2-Bs-thr-3_s_at	24391.77
AFFX-r2-Bs-thr-M_s_at	22122.39
AFFX-r2-Bs-thr-5_s_at	15009.62
AFFX-HUMISGF3A/M97935_5_at	438.13
AFFX-HUMISGF3A/M97935_MA_at	730.67
AFFX-HUMISGF3A/M97935_MB_at	880.27
AFFX-HUMISGF3A/M97935_3_at	2500.57
AFFX-HUMRGE/M10098_5_at	234.97
AFFX-HUMRGE/M10098_M_at	185.27
AFFX-HUMRGE/M10098_3_at	213.81
