^SAMPLE = GSM748862
!Sample_title = U2OS cells, untreated, 0h, rep3
!Sample_geo_accession = GSM748862
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = U2OS cells, untreated, 0h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: U2OS
!Sample_characteristics_ch1 = stress: untreated
!Sample_characteristics_ch1 = time: 0h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from untreated U2OS cells, 0h
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748862/suppl/GSM748862_U.C0c.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748862/suppl/GSM748862_U.C0c.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.80826
AFFX-BioB-M_at	8.16886
AFFX-BioB-3_at	7.84256
AFFX-BioC-5_at	9.13696
AFFX-BioC-3_at	9.30217
AFFX-BioDn-5_at	10.612
AFFX-BioDn-3_at	11.6369
AFFX-CreX-5_at	12.3733
AFFX-CreX-3_at	12.6793
AFFX-DapX-5_at	6.89512
AFFX-DapX-M_at	8.28543
AFFX-DapX-3_at	9.30753
AFFX-LysX-5_at	4.27326
AFFX-LysX-M_at	4.87404
AFFX-LysX-3_at	6.38102
AFFX-PheX-5_at	5.17736
AFFX-PheX-M_at	5.3135
AFFX-PheX-3_at	6.44575
AFFX-ThrX-5_at	6.05274
AFFX-ThrX-M_at	6.36578
AFFX-ThrX-3_at	7.77654
AFFX-TrpnX-5_at	2.75281
AFFX-TrpnX-M_at	2.54208
AFFX-TrpnX-3_at	2.5434
AFFX-r2-Ec-bioB-5_at	8.16133
AFFX-r2-Ec-bioB-M_at	8.4877
AFFX-r2-Ec-bioB-3_at	8.48866
AFFX-r2-Ec-bioC-5_at	9.84426
AFFX-r2-Ec-bioC-3_at	9.81359
AFFX-r2-Ec-bioD-5_at	11.7987
AFFX-r2-Ec-bioD-3_at	12.2068
AFFX-r2-P1-cre-5_at	12.9548
AFFX-r2-P1-cre-3_at	12.914
AFFX-r2-Bs-dap-5_at	7.63852
AFFX-r2-Bs-dap-M_at	8.14605
AFFX-r2-Bs-dap-3_at	8.93732
AFFX-r2-Bs-lys-5_at	5.06428
AFFX-r2-Bs-lys-M_at	5.2856
AFFX-r2-Bs-lys-3_at	5.20205
AFFX-r2-Bs-phe-5_at	5.88987
AFFX-r2-Bs-phe-M_at	5.42965
AFFX-r2-Bs-phe-3_at	6.44954
AFFX-r2-Bs-thr-3_s_at	8.192
AFFX-r2-Bs-thr-M_s_at	6.8679
AFFX-r2-Bs-thr-5_s_at	6.64693
AFFX-HUMISGF3A/M97935_5_at	4.48968
AFFX-HUMISGF3A/M97935_MA_at	6.48616
AFFX-HUMISGF3A/M97935_MB_at	6.68843
AFFX-HUMISGF3A/M97935_3_at	9.08961
AFFX-HUMRGE/M10098_5_at	8.76593
AFFX-HUMRGE/M10098_M_at	5.12951
AFFX-HUMRGE/M10098_3_at	5.4523
AFFX-HUMGAPDH/M33197_5_at	13.4291
AFFX-HUMGAPDH/M33197_M_at	13.5116
AFFX-HUMGAPDH/M33197_3_at	13.5121
AFFX-HSAC07/X00351_5_at	12.4652
AFFX-HSAC07/X00351_M_at	12.8053
AFFX-HSAC07/X00351_3_at	13.3357
AFFX-M27830_5_at	5.81238
AFFX-M27830_M_at	10.6708
AFFX-M27830_3_at	4.14669
AFFX-hum_alu_at	13.4718
1007_s_at	7.8488
1053_at	8.58112
117_at	3.78828
121_at	6.25746
1255_g_at	2.70832
1294_at	4.85365
1316_at	4.4106
1320_at	4.64401
1405_i_at	2.54492
1431_at	2.3643
1438_at	4.33546
1487_at	6.56494
1494_f_at	3.91277
