^SAMPLE = GSM1230764
!Sample_title = COLO-704:Ctrl_1
!Sample_geo_accession = GSM1230764
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = COLO-704 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: COLO-704
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230764/suppl/GSM1230764_CEL_281_4607_02_02_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.707
AFFX-BioB-M_at	7.048
AFFX-BioB-3_at	6.463
AFFX-BioC-5_at	7.938
AFFX-BioC-3_at	8.54
AFFX-BioDn-5_at	9.602
AFFX-BioDn-3_at	10.49
AFFX-CreX-5_at	11.793
AFFX-CreX-3_at	12
AFFX-DapX-5_at	2.113
AFFX-DapX-M_at	1.733
AFFX-DapX-3_at	2.58
AFFX-LysX-5_at	1.774
AFFX-LysX-M_at	2.415
AFFX-LysX-3_at	1.727
AFFX-PheX-5_at	2.421
AFFX-PheX-M_at	1.92
AFFX-PheX-3_at	3.167
AFFX-ThrX-5_at	2.058
AFFX-ThrX-M_at	2.127
AFFX-ThrX-3_at	3.324
AFFX-TrpnX-5_at	2.509
AFFX-TrpnX-M_at	2.358
AFFX-TrpnX-3_at	1.937
AFFX-r2-Ec-bioB-5_at	6.842
AFFX-r2-Ec-bioB-M_at	7.033
AFFX-r2-Ec-bioB-3_at	7.043
AFFX-r2-Ec-bioC-5_at	8.51
AFFX-r2-Ec-bioC-3_at	8.91
AFFX-r2-Ec-bioD-5_at	10.697
AFFX-r2-Ec-bioD-3_at	11.051
AFFX-r2-P1-cre-5_at	12.325
AFFX-r2-P1-cre-3_at	12.504
AFFX-r2-Bs-dap-5_at	1.913
AFFX-r2-Bs-dap-M_at	1.846
AFFX-r2-Bs-dap-3_at	1.827
AFFX-r2-Bs-lys-5_at	1.923
AFFX-r2-Bs-lys-M_at	1.907
AFFX-r2-Bs-lys-3_at	2.009
AFFX-r2-Bs-phe-5_at	1.923
AFFX-r2-Bs-phe-M_at	1.971
AFFX-r2-Bs-phe-3_at	2.07
AFFX-r2-Bs-thr-3_s_at	2.664
AFFX-r2-Bs-thr-M_s_at	3.261
AFFX-r2-Bs-thr-5_s_at	2.379
AFFX-HUMISGF3A/M97935_5_at	4.149
AFFX-HUMISGF3A/M97935_MA_at	5.131
AFFX-HUMISGF3A/M97935_MB_at	4.688
AFFX-HUMISGF3A/M97935_3_at	6.897
AFFX-HUMRGE/M10098_5_at	12.674
AFFX-HUMRGE/M10098_M_at	12.167
AFFX-HUMRGE/M10098_3_at	11.578
AFFX-HUMGAPDH/M33197_5_at	12.152
AFFX-HUMGAPDH/M33197_M_at	12.317
AFFX-HUMGAPDH/M33197_3_at	12.407
AFFX-HSAC07/X00351_5_at	10.777
AFFX-HSAC07/X00351_M_at	11.095
AFFX-HSAC07/X00351_3_at	11.738
AFFX-M27830_5_at	11.807
AFFX-M27830_M_at	9.653
AFFX-M27830_3_at	4.336
AFFX-hum_alu_at	13.197
1007_s_at	8.175
1053_at	8.54
117_at	4.487
121_at	7.039
1255_g_at	3.746
1294_at	4.182
1316_at	5.364
1320_at	3.904
1405_i_at	2.14
1431_at	2.958
1438_at	4.309
1487_at	6.869
1494_f_at	5.01
1598_g_at	6.854
160020_at	5.661
1729_at	6.008
1773_at	5.108
177_at	3.521
179_at	7.059
1861_at	6.678
200000_s_at	8.814
200001_at	8.578
200002_at	12.037
200003_s_at	12.402
200004_at	11.602
200005_at	9.354
200006_at	11.476
200007_at	11.616
200008_s_at	9.088
200009_at	10.577
200010_at	11.914
200011_s_at	7.713
200012_x_at	12.404
200013_at	12.351
200014_s_at	11.092
200015_s_at	10.624
200016_x_at	12.674
200017_at	12.148
200018_at	12.381
