^SAMPLE = GSM1300964
!Sample_title = Cell line drug naive_RPMI-8226
!Sample_geo_accession = GSM1300964
!Sample_status = Public on Apr 19 2015
!Sample_submission_date = Jan 03 2014
!Sample_last_update_date = Nov 06 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = malignant human B-cell cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: RPMI-8226
!Sample_characteristics_ch1 = disease: Multiple myeloma
!Sample_characteristics_ch1 = growth medium: RPMI+10% FBS
!Sample_characteristics_ch1 = cyclophosphamide auc: 350 (346, 353)
!Sample_characteristics_ch1 = cyclophosphamide: Resistant
!Sample_characteristics_ch1 = doxorubicin auc: 297 (292, 306)
!Sample_characteristics_ch1 = cyclophosphamide: Intermediate
!Sample_characteristics_ch1 = vincristine auc: 111 (102, 120)
!Sample_characteristics_ch1 = vincristine: Sensitive
!Sample_treatment_protocol_ch1 = 5*10^6 cells in the exponential phase were harvested for total RNA isolation.
!Sample_growth_protocol_ch1 = Cell lines were cultured under standard conditions at 37°C in a humidified atmosphere of 95% air and 5% CO2.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated using a modified protocol of Trizol Reagent and Qiagen RNeasy. Shortly Trizol was added to cell pellets and incubated for 5 minutes at RT, 200µl chloroform was added and 2 minutes incubation at RT, the mixture was centrifuges at 12,000 g for 10 minutes at 4°C. The aqurous phase transfered to a new tube and 100 % ethanol added in 1.25X the volume. Mix well and transfer to mirVana columns and follow the manufacturers instruction from this point.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared using the GeneChip Expression 3’ amplification One-cycle Target Labeling (Affymetrix) from 5 ug total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45°C on Affymetrix GeneChip HG-U133 Plus 2.0 array using GeneChip Hybridization Oven 640 according to the manufacturer’s protocol. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Gene Chips were scanned using the Affymetrix GeneChip scanner 3000 7G
!Sample_description = Gene expression data from cell lines before they are treated with chemotherapy
!Sample_data_processing = Data were analyzed using R version 3.0.1  and several R and Bioconductor packages. The .CEL-files were pre-processed using the Robust Multichip Average procedure (RMA) as implemented in the just.rma function from the Bioconductor package affy. All RMA-normalised arrays passed the statistical quality control provided by the function arrayQualityMetrics in the R-package arrayQualityMetrics.
!Sample_platform_id = GPL570
!Sample_contact_name = Steffen,Falgreen,Larsen
!Sample_contact_email = sfl@rn.dk
!Sample_contact_phone = +45 26 94 98 38
!Sample_contact_department = Department of Haematology
!Sample_contact_institute = Aalborg University Hospital
!Sample_contact_address = Sdr Skovvej 15
!Sample_contact_city = Aalborg
!Sample_contact_zip/postal_code = 9000
!Sample_contact_country = Denmark
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1300nnn/GSM1300964/suppl/GSM1300964_RPMI-8226.CEL.gz
!Sample_relation = Reanalysis of: GSM562819
!Sample_series_id = GSE53798
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA normalized
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.356491621
1053_at	8.838580201
117_at	5.616114125
121_at	8.610827689
1255_g_at	3.393904853
1294_at	6.283948343
1316_at	5.471944848
1320_at	4.471881406
1405_i_at	9.333526042
1431_at	3.882928339
1438_at	5.7550035
1487_at	9.574094936
1494_f_at	6.03787619
1552256_a_at	9.311820606
1552257_a_at	9.734056261
1552258_at	5.766995039
1552261_at	5.057735412
1552263_at	4.838201956
1552264_a_at	6.869585036
1552266_at	3.216592588
1552269_at	4.239600122
1552271_at	5.864476306
1552272_a_at	6.313699157
1552274_at	6.942591871
1552275_s_at	6.655289893
1552276_a_at	5.621946288
1552277_a_at	7.318709895
1552278_a_at	4.869381214
1552279_a_at	7.061812121
1552280_at	4.369777212
1552281_at	7.308200982
1552283_s_at	5.740248711
1552286_at	7.728402594
1552287_s_at	6.428343301
1552288_at	3.755868524
1552289_a_at	5.238406315
1552291_at	7.651815378
1552293_at	5.809550445
1552295_a_at	6.952439394
1552296_at	4.014640714
1552299_at	5.786911951
1552301_a_at	5.667517613
1552302_at	4.291444657
1552303_a_at	5.830835975
1552304_at	4.761876322
1552306_at	5.998409421
1552307_a_at	4.400254898
1552309_a_at	3.309046212
1552310_at	7.895563014
1552311_a_at	7.186234121
1552312_a_at	6.544930006
1552314_a_at	5.63750067
1552315_at	4.803892918
1552316_a_at	3.272900749
1552318_at	3.544713855
1552319_a_at	4.541522246
1552320_a_at	3.178293038
1552321_a_at	3.553805393
1552322_at	3.59244668
1552323_s_at	5.172940628
1552325_at	3.086491802
1552326_a_at	5.180550112
1552327_at	3.319887922
1552329_at	8.667962018
1552330_at	6.066967409
1552332_at	7.492304527
1552334_at	6.173350277
1552335_at	6.593039828
1552337_s_at	4.713368512
1552338_at	5.121531355
1552340_at	5.080919162
1552343_s_at	5.342385835
1552344_s_at	6.233672618
1552347_at	8.772842073
1552348_at	5.998439234
1552349_a_at	5.153599565
1552354_at	4.943786945
1552355_s_at	5.733363411
1552359_at	2.926739288
1552360_a_at	6.134076522
1552362_a_at	7.027320229
1552364_s_at	6.404233974
1552365_at	3.619695613
1552367_a_at	3.498943084
1552368_at	3.15154238
1552370_at	7.48664278
1552372_at	2.779998341
1552373_s_at	3.034671023
1552375_at	3.878477457
1552377_s_at	6.754717418
1552378_s_at	4.608439819
1552379_at	2.869790707
1552381_at	2.987148626
1552383_at	6.576881964
1552384_a_at	5.416354876
1552386_at	3.32386934
1552388_at	5.864503848
1552389_at	3.116977184
1552390_a_at	3.152793269
1552391_at	4.51684956
1552393_at	3.271742447
1552394_a_at	3.666257763
1552395_at	8.119153958
1552396_at	4.7019007
1552398_a_at	3.174780413
1552399_a_at	4.534577795
1552400_a_at	5.600662081
1552401_a_at	3.667385896
1552402_at	4.735568982
1552405_at	5.681716664
1552408_at	3.824522878
1552409_a_at	6.226434782
1552410_at	5.383612375
1552411_at	5.878990576
1552412_a_at	3.567742989
1552414_at	3.90279354
1552415_a_at	4.825375609
1552417_a_at	6.688813831
1552418_at	5.66081323
1552419_s_at	6.325843056
1552421_a_at	3.843764463
1552422_at	5.408415589
1552423_at	7.164422441
1552424_at	3.806137884
1552425_a_at	4.570731127
1552426_a_at	10.22847328
1552427_at	3.86745835
1552430_at	3.145080966
1552432_at	5.244668425
1552436_a_at	6.064382091
1552438_a_at	3.239565691
1552439_s_at	3.413654208
1552440_at	4.299859832
1552445_a_at	3.799366257
1552448_a_at	3.764349764
1552449_a_at	3.422068263
1552450_a_at	5.756342394
1552452_at	4.276064621
1552453_a_at	3.668810054
1552455_at	4.015307894
1552456_a_at	5.662041118
1552457_a_at	3.681771455
1552458_at	3.126915806
1552459_a_at	4.609687844
1552461_at	3.040218552
1552463_at	3.528189246
1552466_x_at	3.171846317
1552467_at	6.330794032
1552468_a_at	6.160136137
1552470_a_at	5.943266843
1552472_a_at	6.904578296
1552473_at	7.833144158
1552474_a_at	8.820381771
1552476_s_at	6.324426236
1552477_a_at	3.661160666
1552478_a_at	3.82546323
1552480_s_at	2.867497873
1552481_s_at	4.83806771
1552482_at	4.042212963
1552484_at	6.381399155
1552485_at	7.691078464
1552486_s_at	8.484825296
1552487_a_at	2.971863567
1552489_s_at	2.995488484
1552490_at	4.246352221
1552491_at	5.505949618
1552493_s_at	4.943786945
1552494_at	5.213653563
1552496_a_at	6.197402865
1552497_a_at	7.041587245
1552498_at	5.90442794
1552499_a_at	4.438135537
1552501_a_at	5.610239188
1552502_s_at	3.561728646
1552503_at	5.748484361
1552504_a_at	6.909756111
1552506_at	3.901702594
1552507_at	4.203306764
1552508_at	4.266811156
1552509_a_at	3.530193545
