^SAMPLE = GSM170980
!Sample_title = Melanoma cell line SKMEL13
!Sample_geo_accession = GSM170980
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 22 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line SKMEL13
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = SKMCC
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170980/suppl/GSM170980.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170980/suppl/GSM170980.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	213.496	P	0.000389797
AFFX-BioB-M_at	380.881	P	4.42873e-05
AFFX-BioB-3_at	241.293	P	0.00010954
AFFX-BioC-5_at	513.052	P	6.02111e-05
AFFX-BioC-3_at	565.614	P	4.42873e-05
AFFX-BioDn-5_at	631.893	P	4.42873e-05
AFFX-BioDn-3_at	2415.5	P	4.42873e-05
AFFX-CreX-5_at	6252.43	P	4.42873e-05
AFFX-CreX-3_at	9283.39	P	4.42873e-05
AFFX-DapX-5_at	130.359	P	6.02111e-05
AFFX-DapX-M_at	227.266	P	0.0012475
AFFX-DapX-3_at	254.588	P	0.000195116
AFFX-LysX-5_at	18.1435	A	0.0676785
AFFX-LysX-M_at	28.8743	P	0.0396608
AFFX-LysX-3_at	45.6708	P	0.00255552
AFFX-PheX-5_at	22.6129	P	0.0020226
AFFX-PheX-M_at	24.4523	P	0.0113844
AFFX-PheX-3_at	35.3256	P	0.0200219
AFFX-ThrX-5_at	46.5339	P	0.00227496
AFFX-ThrX-M_at	55.7086	P	0.000581214
AFFX-ThrX-3_at	52.1597	P	0.000509415
AFFX-TrpnX-5_at	14.1353	P	0.0218927
AFFX-TrpnX-M_at	7.06784	A	0.772364
AFFX-TrpnX-3_at	1.30547	A	0.824672
AFFX-r2-Ec-bioB-5_at	252.616	P	0.000244141
AFFX-r2-Ec-bioB-M_at	426.868	P	0.000244141
AFFX-r2-Ec-bioB-3_at	271.265	P	0.000244141
AFFX-r2-Ec-bioC-5_at	634.321	P	0.000244141
AFFX-r2-Ec-bioC-3_at	828.865	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2476.66	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2783.73	P	0.000244141
AFFX-r2-P1-cre-5_at	11437.4	P	0.000244141
AFFX-r2-P1-cre-3_at	13418.3	P	0.000244141
AFFX-r2-Bs-dap-5_at	167.173	P	0.000244141
AFFX-r2-Bs-dap-M_at	254.982	P	0.000244141
AFFX-r2-Bs-dap-3_at	305.31	P	0.000244141
AFFX-r2-Bs-lys-5_at	28.2095	P	0.00585938
AFFX-r2-Bs-lys-M_at	26.3133	P	0.00195313
AFFX-r2-Bs-lys-3_at	19.291	P	0.0012207
AFFX-r2-Bs-phe-5_at	32.5877	P	0.00585938
AFFX-r2-Bs-phe-M_at	49.6762	P	0.000244141
AFFX-r2-Bs-phe-3_at	48.5769	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	94.7594	P	0.0461426
AFFX-r2-Bs-thr-M_s_at	90.2875	P	0.00415039
AFFX-r2-Bs-thr-5_s_at	52.2453	P	0.00195313
AFFX-HUMISGF3A/M97935_5_at	199.14	P	0.0012475
AFFX-HUMISGF3A/M97935_MA_at	316.049	P	0.000126798
AFFX-HUMISGF3A/M97935_MB_at	256.805	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	686.216	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	96.5875	P	0.000753643
AFFX-HUMRGE/M10098_M_at	92.1484	P	0.000972149
AFFX-HUMRGE/M10098_3_at	142.687	P	0.0020226
AFFX-HUMGAPDH/M33197_5_at	13453	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	12286.8	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	13300	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	11418.3	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	11526.7	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	11823	P	4.42873e-05
AFFX-M27830_5_at	704.392	P	4.42873e-05
AFFX-M27830_M_at	972.502	P	0.000340305
AFFX-M27830_3_at	27.456	A	0.368438
AFFX-hum_alu_at	14583	P	2.6068e-13
1007_s_at	365.928	P	0.00189162
1053_at	651.192	P	0.000321521
117_at	30.9103	A	0.0668649
121_at	200.9	P	0.00160229
1255_g_at	8.39901	A	0.458816
1294_at	34.9342	A	0.0813367
1316_at	30.2311	P	0.0130918
1320_at	19.6805	A	0.5
1405_i_at	1.27768	A	0.818657
1431_at	10.1564	P	0.0170005
1438_at	39.2347	M	0.0544704
1487_at	290.217	P	0.0218664
1494_f_at	19.5895	A	0.175989
1598_g_at	50.2676	A	0.35869
160020_at	802.284	P	0.000321521
1729_at	129.525	P	0.0011411
1773_at	418.204	P	0.000467546
177_at	83.1197	P	0.000218889
179_at	169.367	P	0.0351629
1861_at	175.542	P	0.000321521
200000_s_at	1627.58	P	0.000244141
