^SAMPLE = GSM1044976
!Sample_title = Z138 0.025% DMSO 3h rep2
!Sample_geo_accession = GSM1044976
!Sample_status = Public on Dec 01 2013
!Sample_submission_date = Nov 27 2012
!Sample_last_update_date = Dec 01 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Z-138 cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = mantle cell lymphoma (mcl) line: Z-138
!Sample_characteristics_ch1 = stn sensitivity: insensitive
!Sample_characteristics_ch1 = agent: 0.025% DMSO
!Sample_treatment_protocol_ch1 = 3 million cells were resuspended in 3ml of fresh media in 6 well dishes.  The next day, DMSO or Sotrastaurin was added for 3hrs.
!Sample_growth_protocol_ch1 = Jeko-1 and Mino cells were cultured in 20% FBS RPMI; Z-138 and Maver-1 cells were cultured in 10% FBS RPMI.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNeasy Plus kit (qiagen) following the manufacturers instructions
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Nugen Ovation RNA Amplification System+ WB + FL cDNA Biotin Module V2 (NuGen Lts)
!Sample_hyb_protocol = Affymetrix GeneChip eukaryotic hybridization protocol (Affymetrix Inc.)
!Sample_scan_protocol = GeneChip Scanner 3000 (Affymetrix Inc.)
!Sample_description = Gene expression data from Z-138 cells treated with DMSO
!Sample_data_processing = Micorarray Analysis Suite version 5.0 (MAS 5.0) background correction, scaled to 150
!Sample_platform_id = GPL570
!Sample_contact_name = Joshua,M,Korn
!Sample_contact_email = joshkorn@gmail.com
!Sample_contact_institute = Novartis
!Sample_contact_address = 250 Mass Ave
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02141
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1044nnn/GSM1044976/suppl/GSM1044976_NUID-0000-0144-6843.cel.gz
!Sample_series_id = GSE42549
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5 with a target trimmed mean of 150
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	282.8
AFFX-BioB-M_at	464.5
AFFX-BioB-3_at	311.6
AFFX-BioC-5_at	835
AFFX-BioC-3_at	682.5
AFFX-BioDn-5_at	1648.8
AFFX-BioDn-3_at	2350.2
AFFX-CreX-5_at	5132.9
AFFX-CreX-3_at	4728.3
AFFX-DapX-5_at	85.3
AFFX-DapX-M_at	126.2
AFFX-DapX-3_at	196.3
AFFX-LysX-5_at	8.3
AFFX-LysX-M_at	9.8
AFFX-LysX-3_at	11.7
AFFX-PheX-5_at	15.9
AFFX-PheX-M_at	17.4
AFFX-PheX-3_at	23.4
AFFX-ThrX-5_at	16.9
AFFX-ThrX-M_at	12.9
AFFX-ThrX-3_at	33
AFFX-TrpnX-5_at	6.1
AFFX-TrpnX-M_at	3.1
AFFX-TrpnX-3_at	1.6
AFFX-r2-Ec-bioB-5_at	370.3
AFFX-r2-Ec-bioB-M_at	363.2
AFFX-r2-Ec-bioB-3_at	453.7
AFFX-r2-Ec-bioC-5_at	952
AFFX-r2-Ec-bioC-3_at	960.3
AFFX-r2-Ec-bioD-5_at	2686.9
AFFX-r2-Ec-bioD-3_at	3456
AFFX-r2-P1-cre-5_at	4555.4
AFFX-r2-P1-cre-3_at	6204.2
AFFX-r2-Bs-dap-5_at	96.1
AFFX-r2-Bs-dap-M_at	143.1
AFFX-r2-Bs-dap-3_at	217.7
AFFX-r2-Bs-lys-5_at	6.1
AFFX-r2-Bs-lys-M_at	14.6
AFFX-r2-Bs-lys-3_at	19.9
AFFX-r2-Bs-phe-5_at	10.6
AFFX-r2-Bs-phe-M_at	7.5
AFFX-r2-Bs-phe-3_at	26.4
AFFX-r2-Bs-thr-3_s_at	24
AFFX-r2-Bs-thr-M_s_at	14.4
AFFX-r2-Bs-thr-5_s_at	15.1
AFFX-HUMISGF3A/M97935_5_at	244.3
AFFX-HUMISGF3A/M97935_MA_at	34.8
AFFX-HUMISGF3A/M97935_MB_at	94
AFFX-HUMISGF3A/M97935_3_at	625.9
AFFX-HUMRGE/M10098_5_at	51.1
AFFX-HUMRGE/M10098_M_at	780.4
AFFX-HUMRGE/M10098_3_at	85.1
AFFX-HUMGAPDH/M33197_5_at	2821.4
