^SAMPLE = GSM219749
!Sample_title = TE617T, rhabdomyosarcoma cell line
!Sample_geo_accession = GSM219749
!Sample_status = Public on Jun 04 2009
!Sample_submission_date = Aug 21 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = TE617T
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line from a rhabdomyosarcoma tumor
!Sample_biomaterial_provider_ch1 = ATCC (CRL-7774™)
!Sample_growth_protocol_ch1 = TE617T cells were cultured in RPMI (Invitrogen) containing 10% fetal calf serum at 37 degrees Celsius.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to manufacturer’s protocol.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA sample integrity was checked on an Agilent 2100 Bioanalyzer
!Sample_label_protocol_ch1 = (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis 
!Sample_label_protocol_ch1 = and fragmented. Labeling was performed with One-Cycle cDNA synthesis 
!Sample_label_protocol_ch1 = Kit (Affymetrix) according to manufacturer’s protocol. Sample quality was 
!Sample_label_protocol_ch1 = checked on a Bioanalyzer prior and after fragmentation.
!Sample_hyb_protocol = 10 µg of labeled cRNA was hybridized to Affymetrix Human genome 
!Sample_hyb_protocol = U133 Plus 2.0 arrays according to manufacturer’s protocol (Affymetrix).
!Sample_scan_protocol = Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to manufacturer’s protocol
!Sample_description = TE617T cells were grown under standard conditions and harvested at 70%
!Sample_description = confluency. Total RNA was isolated and analyzed on Affymetrix U133
!Sample_description = Plus 2.0 to generate expression profiles.
!Sample_data_processing = Expression data (.cel files) were normalized with the MAS5.0 algorithm 
!Sample_data_processing = (target signal = 100) using GCOS software (Affymetrix)
!Sample_platform_id = GPL570
!Sample_contact_name = Richard,,Volckmann
!Sample_contact_email = r.volckmann@amsterdamumc.nl
!Sample_contact_laboratory = Cancer Center Amsterdam
!Sample_contact_department = Laboratory of Experimental Oncology and Radiobiology
!Sample_contact_institute = msterdam UMC and University of Amsterdam
!Sample_contact_address = van der Boechorststraat 6a
!Sample_contact_city = Amsterdam
!Sample_contact_state = Noord-Holland
!Sample_contact_zip/postal_code = 1081BT
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM219nnn/GSM219749/suppl/GSM219749.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM219nnn/GSM219749/suppl/GSM219749.CHP.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8840
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Mas5-calculated signal intensity
#ABS_CALL = ABS_CALL
#DETECTION P-VALUE = DETECTION P-VALUE
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	98.9192	P	0.000753643
AFFX-BioB-M_at	137.372	P	4.42873e-05
AFFX-BioB-3_at	72.8736	P	7.00668e-05
AFFX-BioC-5_at	269.301	P	6.02111e-05
AFFX-BioC-3_at	346.651	P	4.42873e-05
AFFX-BioDn-5_at	628.567	P	4.42873e-05
AFFX-BioDn-3_at	1313.39	P	8.14279e-05
AFFX-CreX-5_at	2833.15	P	5.16732e-05
AFFX-CreX-3_at	3669.04	P	4.42873e-05
AFFX-DapX-5_at	165.649	P	6.02111e-05
AFFX-DapX-M_at	507.777	P	0.000258358
AFFX-DapX-3_at	973.262	P	5.16732e-05
AFFX-LysX-5_at	34.4749	P	0.000340305
AFFX-LysX-M_at	70.4129	P	0.000753643
AFFX-LysX-3_at	156.446	P	5.16732e-05
AFFX-PheX-5_at	33.0075	P	0.00010954
AFFX-PheX-M_at	93.9684	P	8.14279e-05
AFFX-PheX-3_at	98.5754	P	5.16732e-05
AFFX-ThrX-5_at	32.5999	P	9.4506e-05
AFFX-ThrX-M_at	104.791	P	4.42873e-05
AFFX-ThrX-3_at	292.541	P	4.42873e-05
AFFX-TrpnX-5_at	6.05936	A	0.275146
AFFX-TrpnX-M_at	1.18382	A	0.699394
AFFX-TrpnX-3_at	2.11827	A	0.470241
AFFX-r2-Ec-bioB-5_at	129.45	P	0.000244141
AFFX-r2-Ec-bioB-M_at	137.585	P	0.000244141
AFFX-r2-Ec-bioB-3_at	114.273	P	0.000244141
AFFX-r2-Ec-bioC-5_at	328.008	P	0.000244141
AFFX-r2-Ec-bioC-3_at	395.601	P	0.000244141
AFFX-r2-Ec-bioD-5_at	1399.97	P	0.000244141
AFFX-r2-Ec-bioD-3_at	1633.81	P	0.000244141
AFFX-r2-P1-cre-5_at	3511.44	P	0.000244141
AFFX-r2-P1-cre-3_at	4868.35	P	0.000244141
AFFX-r2-Bs-dap-5_at	186.615	P	0.000244141
AFFX-r2-Bs-dap-M_at	588.201	P	0.000244141
AFFX-r2-Bs-dap-3_at	1136.82	P	0.000244141
AFFX-r2-Bs-lys-5_at	59.3989	P	0.000244141
AFFX-r2-Bs-lys-M_at	65.206	P	0.000244141
AFFX-r2-Bs-lys-3_at	84.0604	P	0.000244141
AFFX-r2-Bs-phe-5_at	51.948	P	0.000244141
AFFX-r2-Bs-phe-M_at	86.9294	P	0.000244141
AFFX-r2-Bs-phe-3_at	208.652	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	338.376	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	130.643	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	58.7386	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	9.56305	A	0.227636
AFFX-HUMISGF3A/M97935_MA_at	103.398	P	0.000340305
AFFX-HUMISGF3A/M97935_MB_at	135.53	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	621.376	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	720.175	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	664.929	P	4.42873e-05
AFFX-HUMRGE/M10098_3_at	1341.9	P	4.42873e-05
AFFX-HUMGAPDH/M33197_5_at	3684.24	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	4261.13	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	4953.69	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	3256.02	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	4572.53	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	5429.87	P	4.42873e-05
AFFX-M27830_5_at	2985.59	P	4.42873e-05
AFFX-M27830_M_at	1390.19	P	0.0020226
AFFX-M27830_3_at	6.34903	A	0.5
AFFX-hum_alu_at	6005.36	P	2.6068e-13
1007_s_at	245.579	P	0.000388206
1053_at	223.441	P	0.000467546
117_at	20.9924	P	0.0393654
121_at	94.0216	P	0.00564279
1255_g_at	5.91823	A	0.418069
1294_at	9.99437	A	0.250724
1316_at	14.1114	P	0.0393654
1320_at	21.6784	A	0.0813367
1405_i_at	1.79172	A	0.611244
1431_at	27.7143	P	0.00189162
1438_at	9.04871	A	0.561639
1487_at	244.265	P	0.00261695
1494_f_at	13.5202	P	0.0351629
1598_g_at	96.7708	P	0.00653198
160020_at	20.4618	A	0.107301
1729_at	110.546	P	0.000804598
1773_at	9.45823	A	0.339558
177_at	122.415	P	0.000218889
179_at	62.6581	A	0.138765
1861_at	105.125	P	0.000959383
200000_s_at	1230.4	P	0.000244141
200001_at	1905.46	P	0.000244141
200002_at	4009.36	P	0.000244141
200003_s_at	5180.32	P	0.000244141
200004_at	3968.94	P	0.000244141
200005_at	1968.46	P	0.000244141
200006_at	3359.57	P	0.000244141
200007_at	2273.05	P	0.000244141
200008_s_at	799.614	P	0.000244141
200009_at	2498.96	P	0.000244141
200010_at	4693.05	P	0.000244141
200011_s_at	1467.48	P	0.000244141
200012_x_at	3865.11	P	0.000244141
200013_at	4808.22	P	0.000244141
200014_s_at	2190.58	P	0.000244141
200015_s_at	2638.98	P	0.000732422
200016_x_at	5152.77	P	0.000244141
200017_at	5488.65	P	0.000244141
200018_at	5277.19	P	0.000244141
200019_s_at	4152.85	P	0.000244141
200020_at	1208.69	P	0.000244141
200021_at	4575.89	P	0.000732422
200022_at	4604.62	P	0.000244141
200023_s_at	2162.92	P	0.000244141
200024_at	3778.77	P	0.000732422
200025_s_at	4564.49	P	0.000244141
200026_at	4652.61	P	0.000244141
200027_at	2004.95	P	0.000244141
200028_s_at	1356.27	P	0.000244141
200029_at	4409.32	P	0.000244141
200030_s_at	3349.69	P	0.000244141
200031_s_at	5946.04	P	0.000244141
200032_s_at	5382.16	P	0.000244141
200033_at	3412.28	P	0.000244141
200034_s_at	4446.93	P	0.000244141
200035_at	581.564	P	0.000732422
200036_s_at	3534.88	P	0.000244141
200037_s_at	2047.76	P	0.000244141
200038_s_at	5312.98	P	0.000244141
200039_s_at	2091.47	P	0.000244141
200040_at	2559.46	P	0.000244141
200041_s_at	2751.01	P	0.000244141
200042_at	812.849	P	0.000244141
200043_at	3324.6	P	0.000244141
200044_at	1954.98	P	0.000244141
200045_at	699.474	P	0.000244141
200046_at	1555.49	P	0.000244141
200047_s_at	1733.6	P	0.000244141
200048_s_at	1915.94	P	0.000244141
200049_at	193.153	P	0.000244141
200050_at	612.449	P	0.000732422
200051_at	234.266	P	0.000244141
200052_s_at	1505.36	P	0.000244141
200053_at	591.303	P	0.000244141
200054_at	288.25	P	0.000732422
200055_at	872.37	P	0.000244141
200056_s_at	536.393	P	0.000244141
200057_s_at	2875.25	P	0.000244141
200058_s_at	1422.53	P	0.000244141
200059_s_at	3715.46	P	0.000244141
200060_s_at	1867.78	P	0.000244141
200061_s_at	4015.19	P	0.000244141
200062_s_at	5098.2	P	0.000244141
200063_s_at	4445.4	P	0.000244141
200064_at	4049.57	P	0.000244141
200065_s_at	2291.78	P	0.000244141
200066_at	458.123	P	0.000244141
200067_x_at	1580.64	P	0.000244141
200068_s_at	1895.79	P	0.000244141
200069_at	282.827	P	0.000244141
200070_at	153.247	P	0.000244141
200071_at	1204.46	P	0.000244141
200072_s_at	2133.12	P	0.000244141
200073_s_at	2258.34	P	0.000244141
200074_s_at	2879.05	P	0.000244141
200075_s_at	756.793	P	0.000244141
200076_s_at	419.282	P	0.000732422
200077_s_at	3400.13	P	0.000244141
200078_s_at	687.527	P	0.000244141
200079_s_at	2152.22	P	0.000244141
200080_s_at	3651.54	P	0.000244141
200081_s_at	4918.37	P	0.000244141
200082_s_at	4729.38	P	0.000244141
200083_at	1287.04	P	0.000244141
200084_at	1598.78	P	0.000244141
200085_s_at	1910.7	P	0.000244141
200086_s_at	1883.25	P	0.000244141
200087_s_at	2123.2	P	0.000244141
200088_x_at	4933.45	P	0.000244141
200089_s_at	4342.4	P	0.000244141
200090_at	1382.52	P	0.000244141
200091_s_at	3788.8	P	0.000244141
200092_s_at	4638.66	P	0.000244141
200093_s_at	2145.03	P	0.000244141
200094_s_at	4549.92	P	0.000244141
200095_x_at	5753.1	P	0.000244141
200096_s_at	1461.42	P	0.000244141
200097_s_at	2387.94	P	0.000244141
200098_s_at	1368.19	P	0.000244141
200099_s_at	5726.5	P	0.000244141
200593_s_at	948.251	P	0.000244141
200594_x_at	2549.18	P	0.000244141
200595_s_at	2085.39	P	0.000244141
200596_s_at	795.264	P	0.000244141
200597_at	408.13	P	0.000244141
200598_s_at	895.546	P	0.000244141
200599_s_at	3422.73	P	0.000244141
200600_at	711.906	P	0.000244141
200601_at	529.924	P	0.000732422
200602_at	544.577	P	0.000244141
200603_at	1546.91	P	0.000244141
200604_s_at	285.955	P	0.000244141
200605_s_at	1600.75	P	0.000244141
200606_at	0.938674	A	0.780518
200607_s_at	287.14	P	0.000244141
200608_s_at	1500.45	P	0.000244141
200609_s_at	1736.07	P	0.000244141
200610_s_at	3437.64	P	0.000244141
200611_s_at	1795.88	P	0.000244141
200612_s_at	446.882	P	0.000244141
200613_at	1872.87	P	0.000244141
200614_at	3595.69	P	0.000244141
200615_s_at	496.197	P	0.000244141
200616_s_at	286.256	P	0.00195313
200617_at	664.2	P	0.000244141
200618_at	2412.02	P	0.000244141
200619_at	1098	P	0.00292969
200620_at	610.643	P	0.000244141
200621_at	768.562	P	0.000244141
200622_x_at	326.012	P	0.000244141
200623_s_at	682.038	P	0.000244141
200624_s_at	1445.17	P	0.000244141
200625_s_at	2052.69	P	0.000244141
200626_s_at	2087.16	P	0.000244141
200627_at	3882.46	P	0.000244141
200628_s_at	289.948	P	0.0185547
200629_at	434.876	P	0.000244141
200630_x_at	920.371	P	0.000244141
200631_s_at	2296.09	P	0.000244141
200632_s_at	27.9969	P	0.00195313
200633_at	4751.63	P	0.000244141
200634_at	4260.98	P	0.000244141
200635_s_at	143.287	P	0.0012207
200636_s_at	498.209	P	0.000244141
200637_s_at	87.1266	P	0.00415039
200638_s_at	1907.31	P	0.000244141
200639_s_at	2841.73	P	0.000244141
200640_at	2575.1	P	0.000244141
200641_s_at	742.972	P	0.000244141
200642_at	3275.43	P	0.000244141
200643_at	609.97	P	0.000732422
200644_at	1348.78	P	0.000244141
200645_at	1002.79	P	0.000244141
200646_s_at	148.809	P	0.00415039
200647_x_at	2903.4	P	0.000244141
200648_s_at	1.37949	A	0.80542
200649_at	335.448	P	0.000244141
200650_s_at	4712.21	P	0.000244141
200651_at	4446.51	P	0.000244141
200652_at	1809.84	P	0.000244141
200653_s_at	1641.94	P	0.000244141
200654_at	3431.19	P	0.00292969
200655_s_at	1388.63	P	0.000244141
200656_s_at	1847.99	P	0.000244141
200657_at	2983.98	P	0.000244141
200658_s_at	1140.72	P	0.000244141
200659_s_at	379.259	P	0.000244141
200660_at	6.45452	A	0.466064
200661_at	825.708	P	0.000244141
200662_s_at	2977.21	P	0.000244141
200663_at	2055.82	P	0.000244141
200664_s_at	174.643	P	0.00292969
200665_s_at	10.6386	A	0.303711
200666_s_at	425.152	P	0.000244141
200667_at	1088.53	P	0.000244141
200668_s_at	2758.62	P	0.000244141
200669_s_at	1062.61	P	0.000244141
200670_at	336.439	P	0.000244141
200671_s_at	20.7326	A	0.334473
200672_x_at	100.774	P	0.000732422
200673_at	1755.79	P	0.000244141
200674_s_at	4184.35	P	0.000244141
200675_at	1642.98	P	0.000244141
200676_s_at	253.902	P	0.000244141
200677_at	1245.06	P	0.000244141
200678_x_at	573.482	P	0.000244141
200679_x_at	1876.28	P	0.000244141
200680_x_at	3985.09	P	0.000244141
200681_at	2376.71	P	0.000244141
200682_s_at	1838.09	P	0.000244141
200683_s_at	637.832	P	0.000244141
200684_s_at	433.609	P	0.000244141
200685_at	346.211	P	0.000244141
200686_s_at	2171.6	P	0.000244141
200687_s_at	699.427	P	0.000244141
200688_at	128.561	P	0.00415039
200689_x_at	3709.49	P	0.000244141
200690_at	409.483	P	0.000244141
200691_s_at	2149.35	P	0.000244141
200692_s_at	1305.42	P	0.000244141
200693_at	3438.28	P	0.000244141
200694_s_at	789.232	P	0.000244141
200695_at	495.685	P	0.000244141
200696_s_at	107.159	P	0.00292969
200697_at	369.88	P	0.000732422
200698_at	1341.24	P	0.000244141
200699_at	1209.67	P	0.000244141
200700_s_at	1176.01	P	0.000244141
200701_at	523.435	P	0.000244141
200702_s_at	45.8746	P	0.00195313
200703_at	3360.41	P	0.000244141
200704_at	565.205	P	0.000244141
200705_s_at	3809	P	0.000244141
200706_s_at	227.878	P	0.000732422
200707_at	723.197	P	0.000732422
200708_at	1278.09	P	0.000244141
200709_at	1476.63	P	0.000244141
200710_at	1080.91	P	0.000244141
200711_s_at	828.273	P	0.000244141
200712_s_at	501.712	P	0.000244141
200713_s_at	1587.38	P	0.000244141
200714_x_at	552.683	P	0.000244141
200715_x_at	3091.41	P	0.000244141
200716_x_at	5463.09	P	0.000244141
200717_x_at	5731.49	P	0.000244141
200718_s_at	3371.49	P	0.000244141
200719_at	171.489	P	0.000244141
200720_s_at	234.473	P	0.000244141
200721_s_at	325.074	P	0.000244141
200722_s_at	678.369	P	0.000244141
200723_s_at	2099.57	P	0.000244141
200724_at	20.4222	A	0.067627
200725_x_at	3539.66	P	0.000244141
200726_at	2499.56	P	0.000244141
200727_s_at	127.5	P	0.00195313
200728_at	1724.26	P	0.000244141
200729_s_at	1392.24	P	0.000244141
200730_s_at	934.427	P	0.000244141
200731_s_at	902.672	P	0.000244141
200732_s_at	1562.7	P	0.000244141
200733_s_at	1512.72	P	0.000244141
200734_s_at	956.01	P	0.000244141
200735_x_at	4539.1	P	0.000244141
200736_s_at	622.581	P	0.000244141
200737_at	698.378	P	0.000244141
200738_s_at	3026.79	P	0.000244141
200739_s_at	286.568	P	0.000244141
200740_s_at	1226.12	P	0.000244141
200741_s_at	4720.07	P	0.000244141
200742_s_at	134.928	P	0.000244141
200743_s_at	352.605	P	0.000244141
200744_s_at	1001.19	P	0.000244141
200745_s_at	1402.03	P	0.000244141
200746_s_at	1835.5	P	0.000244141
200747_s_at	190.668	P	0.0012207
200748_s_at	2830.89	P	0.000244141
200749_at	1598.59	P	0.000244141
200750_s_at	4398.91	P	0.000244141
200751_s_at	1357.95	P	0.000244141
200752_s_at	168.707	P	0.000244141
200753_x_at	1103.4	P	0.000244141
200754_x_at	2410.85	P	0.000244141
200755_s_at	886.696	P	0.000244141
200756_x_at	238.015	P	0.000244141
200757_s_at	1170.35	P	0.000244141
200758_s_at	814.449	P	0.000244141
200759_x_at	985.829	P	0.000244141
200760_s_at	368.778	P	0.000244141
200761_s_at	783.088	P	0.000244141
200762_at	40.6143	P	0.000244141
200763_s_at	5080.96	P	0.000244141
200764_s_at	1246.72	P	0.000244141
200765_x_at	1823.83	P	0.000244141
200766_at	142.34	P	0.0012207
200767_s_at	61.5639	P	0.000244141
200768_s_at	1425.17	P	0.000244141
200769_s_at	114.672	P	0.0012207
200770_s_at	408.114	P	0.000244141
200771_at	1454.88	P	0.000244141
200772_x_at	2062.82	P	0.000244141
200773_x_at	2758.36	P	0.000244141
200774_at	2032.39	P	0.000244141
200775_s_at	2877.58	P	0.000244141
200776_s_at	1321.88	P	0.000244141
200777_s_at	2346.04	P	0.000244141
200778_s_at	863.164	P	0.000244141
200779_at	1777.03	P	0.000244141
200780_x_at	5021.33	P	0.000244141
200781_s_at	4278.94	P	0.000244141
200782_at	1864.16	P	0.000244141
200783_s_at	299.888	P	0.000244141
200784_s_at	27.3288	A	0.219482
200785_s_at	58.4428	P	0.000244141
200786_at	2303.95	P	0.000244141
200787_s_at	238.017	P	0.000244141
200788_s_at	1171.84	P	0.000732422
200789_at	402.351	P	0.00585938
200790_at	3526.17	P	0.000244141
200791_s_at	932.86	P	0.000244141
200792_at	2925.98	P	0.000244141
200793_s_at	841.853	P	0.000244141
200794_x_at	1538.19	P	0.000244141
200795_at	11.5772	A	0.171387
200796_s_at	37.2488	P	0.0185547
200797_s_at	1701.93	P	0.000244141
200798_x_at	939.708	P	0.000244141
200799_at	1315.64	P	0.000244141
200800_s_at	510.893	P	0.000244141
200801_x_at	6412.45	P	0.000244141
200802_at	969.962	P	0.000244141
200803_s_at	1009.79	P	0.000732422
200804_at	1869.19	P	0.000244141
200805_at	355.661	P	0.000244141
200806_s_at	3529.61	P	0.000244141
200807_s_at	5178.96	P	0.000244141
200808_s_at	664.863	P	0.000244141
200809_x_at	4267.56	P	0.000244141
200810_s_at	875.097	P	0.000244141
200811_at	423.758	P	0.00195313
200812_at	1864.27	P	0.000244141
200813_s_at	208.47	P	0.000244141
200814_at	328.235	P	0.000244141
200815_s_at	524.998	P	0.000244141
200816_s_at	863.61	P	0.000732422
200817_x_at	6064.29	P	0.000244141
200818_at	2301.16	P	0.000244141
200819_s_at	5100.21	P	0.000244141
200820_at	1428.32	P	0.000244141
200821_at	474.763	P	0.000244141
