^SAMPLE = GSM231628
!Sample_title = SH-SY5Y(ATCC)_RA_1d_rep2
!Sample_geo_accession = GSM231628
!Sample_status = Public on Sep 01 2009
!Sample_submission_date = Sep 26 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma cell, retinoic acid (RA), 1day
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line: SH-SY5Y (CRL-2266, obtained from ATCC (American Type Culture Collection Cultures))
!Sample_treatment_protocol_ch1 = SH-SY5Y-A cells were seeded in laminin coated culture dishes (BioCoat Laminin Cellware; BD Biosciences) for 1 day and then transferred to a medium containing 10 μM of RA for five days.
!Sample_growth_protocol_ch1 = Tissue culture cells were maintained in D-MEM/F12 1:1 mixture supplemented with 15% FBS (Fetal Bovine Serum) and 1% NEAA (Non-essential amino acid) in a 5% CO2 humidified incubator at 37oC. The culture medium was changed twice a week.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total cellular RNA was extracted from the cells at specific intervals using the RiboPure Kit (Ambion, An Applied Biosystems Business, Austin, TX, USA) according to the manufacturer’s instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = First-strand cDNA was synthesized using 5 μg of total RNA and the GeneChip One-cycle cDNA Synthesis Kit (Affymetrix, Inc.). Biotin-labeled cRNA was generated by the GeneChip IVT labeling Kit (Affymetrix, Inc.)
!Sample_hyb_protocol = Biotin-labeled cRNA was applied on the Human Genome U133 Plus 2.0 Array (Affymetrix, Inc.) and then hybridized at 45oC for 17 h in a GeneChip Hybridization Oven (Affymetrix, Inc.).
!Sample_scan_protocol = Washing, staining and scanning of the array were performed using the GeneChip Wash and Stain Kit and a GeneChip Scanner 3000 (Affymetrix, Inc.), respectively.
!Sample_description = Sampling of RNA was performed at six different time points (0h, 6h, 1d, 2d, 3d, and 5d, respectively) under RA inducible conditions.
!Sample_data_processing = The average signal intensity for all probes was initially tuned to 500 as global scaling and individual signal intensities were evaluated by detection call (present/marginal/absent) using the Affymetrix Micro Array Suite 5.0 (MAS 5.0) software (Affymetrix, Inc.).
!Sample_platform_id = GPL570
!Sample_contact_name = Tadayuki,,Takeda
!Sample_contact_email = ttakeda@gsc.riken.jp
!Sample_contact_phone = (+81) 45 503 9286
!Sample_contact_fax = (+81) 45 503 9176
!Sample_contact_laboratory = Genome Annotation and Comparative Analysis Team
!Sample_contact_department = Computatinal and Experimental Systems Biology Group
!Sample_contact_institute = RIKEN GSC
!Sample_contact_address = 1-7-22, Suehiro-cho, Tsurumi-ku
!Sample_contact_city = Yokohama
!Sample_contact_state = Kanagawa
!Sample_contact_zip/postal_code = 230-0045
!Sample_contact_country = Japan
!Sample_contact_web_link = http://hgp.gsc.riken.go.jp/index.php/Main_Page
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM231nnn/GSM231628/suppl/GSM231628.CEL.gz
!Sample_series_id = GSE9169
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Signal
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	816.216	P	0.000581214
AFFX-BioB-M_at	924.65	P	4.42873e-05
AFFX-BioB-3_at	695.02	P	5.16732e-05
AFFX-BioC-5_at	2193.6	P	5.16732e-05
AFFX-BioC-3_at	2896.55	P	5.16732e-05
AFFX-BioDn-5_at	5125.41	P	4.42873e-05
AFFX-BioDn-3_at	10555.4	P	6.02111e-05
AFFX-CreX-5_at	23801.9	P	5.16732e-05
AFFX-CreX-3_at	28506.2	P	4.42873e-05
AFFX-DapX-5_at	287.554	P	0.00010954
AFFX-DapX-M_at	472.392	P	0.00227496
AFFX-DapX-3_at	619.513	P	7.00668e-05
AFFX-LysX-5_at	37.233	A	0.0726999
AFFX-LysX-M_at	66.3844	A	0.131361
AFFX-LysX-3_at	157.951	P	0.000296708
AFFX-PheX-5_at	39.8453	A	0.250796
AFFX-PheX-M_at	69.1219	P	0.0166701
AFFX-PheX-3_at	122.281	A	0.123572
AFFX-ThrX-5_at	77.8061	P	0.00844047
AFFX-ThrX-M_at	103.282	P	0.0113844
AFFX-ThrX-3_at	174.142	P	0.0032123
AFFX-TrpnX-5_at	8.75216	A	0.485109
AFFX-TrpnX-M_at	3.79584	A	0.99238
AFFX-TrpnX-3_at	2.78476	A	0.617401
AFFX-r2-Ec-bioB-5_at	995.707	P	0.000244141
AFFX-r2-Ec-bioB-M_at	1170.46	P	0.000244141
AFFX-r2-Ec-bioB-3_at	1082.47	P	0.000244141
AFFX-r2-Ec-bioC-5_at	3013.99	P	0.000244141
AFFX-r2-Ec-bioC-3_at	3282.13	P	0.000244141
AFFX-r2-Ec-bioD-5_at	13292.6	P	0.000244141
AFFX-r2-Ec-bioD-3_at	12900.8	P	0.000244141
AFFX-r2-P1-cre-5_at	29222.3	P	0.000244141
AFFX-r2-P1-cre-3_at	39116.4	P	0.000244141
AFFX-r2-Bs-dap-5_at	324.865	P	0.000244141
AFFX-r2-Bs-dap-M_at	555.416	P	0.000244141
AFFX-r2-Bs-dap-3_at	911.145	P	0.000244141
AFFX-r2-Bs-lys-5_at	26.881	P	0.0185547
AFFX-r2-Bs-lys-M_at	47.9634	P	0.000244141
AFFX-r2-Bs-lys-3_at	89.0912	P	0.0012207
AFFX-r2-Bs-phe-5_at	81.6653	P	0.000732422
AFFX-r2-Bs-phe-M_at	112.402	P	0.000732422
AFFX-r2-Bs-phe-3_at	233.469	P	0.00415039
AFFX-r2-Bs-thr-3_s_at	297.741	A	0.149658
AFFX-r2-Bs-thr-M_s_at	181.047	P	0.0239258
AFFX-r2-Bs-thr-5_s_at	132.494	P	0.000732422
AFFX-HUMISGF3A/M97935_5_at	180.824	P	0.000753643
AFFX-HUMISGF3A/M97935_MA_at	553.065	P	0.00159257
AFFX-HUMISGF3A/M97935_MB_at	331.353	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1263.74	P	9.4506e-05
AFFX-HUMRGE/M10098_5_at	259.555	P	0.00141043
AFFX-HUMRGE/M10098_M_at	203.841	P	0.0044838
AFFX-HUMRGE/M10098_3_at	404.617	P	0.00159257
AFFX-HUMGAPDH/M33197_5_at	39469.8	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	35996.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	38481.5	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	31534	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	35145.7	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	36632.3	P	4.42873e-05
AFFX-M27830_5_at	1144.71	P	4.42873e-05
AFFX-M27830_M_at	3387.57	P	0.00179591
AFFX-M27830_3_at	17.4316	A	0.699394
AFFX-hum_alu_at	52226.4	P	2.6068e-13
1007_s_at	671.908	P	0.00754291
1053_at	1664.32	P	0.000321521
117_at	62.775	A	0.162935
121_at	593.937	P	0.00868918
1255_g_at	772.978	P	0.00358487
1294_at	169.401	A	0.0738301
1316_at	93.0835	P	0.0439678
1320_at	238.872	P	0.0130918
1405_i_at	6.13347	A	0.900939
1431_at	6.92672	A	0.162895
1438_at	419.289	P	0.0011411
1487_at	620.755	A	0.0813367
1494_f_at	118.55	P	0.0489947
1598_g_at	795.652	P	0.00754291
160020_at	207.62	P	0.0193035
1729_at	357.645	P	0.000673102
1773_at	531.261	P	0.00653198
177_at	46.4729	A	0.189687
179_at	505.238	P	0.0278597
1861_at	628.829	P	0.000321521
200000_s_at	4636.36	P	0.000244141
200001_at	4875.31	P	0.000244141
200002_at	30172.2	P	0.000244141
200003_s_at	45844.1	P	0.000244141
200004_at	25091.8	P	0.000244141
200005_at	6445.66	P	0.000244141
200006_at	15093.9	P	0.000244141
200007_at	16897.6	P	0.000244141
200008_s_at	6170.4	P	0.000244141
200009_at	10622.4	P	0.000244141
200010_at	33108.9	P	0.000244141
200011_s_at	2409.9	P	0.000244141
200012_x_at	28039.2	P	0.000244141
200013_at	30822.6	P	0.000244141
200014_s_at	6791.56	P	0.000244141
200015_s_at	12148.4	P	0.000732422
200016_x_at	36501.1	P	0.000244141
200017_at	34908.9	P	0.000244141
200018_at	41320.9	P	0.000244141
200019_s_at	19780.2	P	0.000244141
200020_at	5283.01	P	0.000244141
200021_at	31052.2	P	0.000732422
200022_at	35705.1	P	0.000244141
200023_s_at	16887.7	P	0.000244141
200024_at	27098.6	P	0.000732422
200025_s_at	33948.7	P	0.000244141
200026_at	36965.5	P	0.000244141
200027_at	9282.7	P	0.000244141
200028_s_at	4474.98	P	0.000244141
200029_at	28760.9	P	0.000244141
200030_s_at	14136.4	P	0.000244141
200031_s_at	51146.6	P	0.000244141
200032_s_at	41148.2	P	0.000244141
200033_at	19102.2	P	0.000244141
200034_s_at	35043.6	P	0.000244141
200035_at	1475.62	P	0.00195313
200036_s_at	22507.2	P	0.000244141
200037_s_at	15245.8	P	0.000244141
200038_s_at	38561.2	P	0.000244141
200039_s_at	5888.91	P	0.000244141
200040_at	11263.7	P	0.000244141
200041_s_at	9570.35	P	0.000244141
200042_at	3023.87	P	0.000244141
200043_at	18264.8	P	0.000244141
200044_at	7256.15	P	0.000244141
200045_at	2507.82	P	0.000244141
200046_at	6136.07	P	0.000244141
200047_s_at	5964.03	P	0.000244141
200048_s_at	12929.7	P	0.000244141
200049_at	1312.86	P	0.000244141
200050_at	4411.21	P	0.000244141
200051_at	828.928	P	0.000244141
200052_s_at	10086.7	P	0.000244141
200053_at	1655.89	P	0.000244141
200054_at	1397.55	P	0.000244141
200055_at	4927.06	P	0.000244141
200056_s_at	2281.88	P	0.000244141
200057_s_at	20059.4	P	0.000244141
200058_s_at	7749.79	P	0.000244141
