^SAMPLE = GSM1230575
!Sample_title = HEC-251_PTX_2
!Sample_geo_accession = GSM1230575
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HEC-251 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HEC-251
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230575/suppl/GSM1230575_CEL_273_4352_12_06_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.517
AFFX-BioB-M_at	4.93
AFFX-BioB-3_at	4.105
AFFX-BioC-5_at	8.157
AFFX-BioC-3_at	8.75
AFFX-BioDn-5_at	10.017
AFFX-BioDn-3_at	10.688
AFFX-CreX-5_at	11.925
AFFX-CreX-3_at	12.224
AFFX-DapX-5_at	2.413
AFFX-DapX-M_at	2.164
AFFX-DapX-3_at	2.67
AFFX-LysX-5_at	2.196
AFFX-LysX-M_at	2.501
AFFX-LysX-3_at	2.286
AFFX-PheX-5_at	2.648
AFFX-PheX-M_at	2.594
AFFX-PheX-3_at	4.097
AFFX-ThrX-5_at	2.691
AFFX-ThrX-M_at	2.549
AFFX-ThrX-3_at	3.454
AFFX-TrpnX-5_at	2.63
AFFX-TrpnX-M_at	2.798
AFFX-TrpnX-3_at	2.374
AFFX-r2-Ec-bioB-5_at	4.536
AFFX-r2-Ec-bioB-M_at	5.134
AFFX-r2-Ec-bioB-3_at	5.318
AFFX-r2-Ec-bioC-5_at	8.628
AFFX-r2-Ec-bioC-3_at	8.977
AFFX-r2-Ec-bioD-5_at	11.206
AFFX-r2-Ec-bioD-3_at	11.323
AFFX-r2-P1-cre-5_at	12.543
AFFX-r2-P1-cre-3_at	12.73
AFFX-r2-Bs-dap-5_at	2.383
AFFX-r2-Bs-dap-M_at	2.038
AFFX-r2-Bs-dap-3_at	2.011
AFFX-r2-Bs-lys-5_at	2.078
AFFX-r2-Bs-lys-M_at	2.375
AFFX-r2-Bs-lys-3_at	2.462
AFFX-r2-Bs-phe-5_at	1.901
AFFX-r2-Bs-phe-M_at	2.389
AFFX-r2-Bs-phe-3_at	2.662
AFFX-r2-Bs-thr-3_s_at	3.024
AFFX-r2-Bs-thr-M_s_at	3.105
AFFX-r2-Bs-thr-5_s_at	2.626
AFFX-HUMISGF3A/M97935_5_at	5.326
AFFX-HUMISGF3A/M97935_MA_at	5.422
AFFX-HUMISGF3A/M97935_MB_at	5.552
AFFX-HUMISGF3A/M97935_3_at	8.063
AFFX-HUMRGE/M10098_5_at	13.279
AFFX-HUMRGE/M10098_M_at	12.917
AFFX-HUMRGE/M10098_3_at	12.397
AFFX-HUMGAPDH/M33197_5_at	12.69
AFFX-HUMGAPDH/M33197_M_at	12.865
AFFX-HUMGAPDH/M33197_3_at	12.857
AFFX-HSAC07/X00351_5_at	11.991
AFFX-HSAC07/X00351_M_at	12.411
AFFX-HSAC07/X00351_3_at	12.605
AFFX-M27830_5_at	12.569
AFFX-M27830_M_at	10.519
AFFX-M27830_3_at	5.051
AFFX-hum_alu_at	13.419
1007_s_at	9.919
1053_at	8.655
117_at	5.465
121_at	9.721
1255_g_at	2.321
1294_at	4.956
1316_at	5.612
1320_at	4.934
1405_i_at	4.296
1431_at	3.602
1438_at	4.927
1487_at	7.646
1494_f_at	4.987
1598_g_at	6.943
160020_at	5.784
1729_at	7.739
1773_at	5.264
177_at	5.727
179_at	7.611
1861_at	6.801
200000_s_at	8.472
200001_at	9.746
200002_at	12.528
200003_s_at	12.837
200004_at	12.035
200005_at	10.693
200006_at	11.886
200007_at	12.003
200008_s_at	10.081
200009_at	11.427
200010_at	12.128
200011_s_at	8.564
200012_x_at	12.9
200013_at	12.784
200014_s_at	11.558
200015_s_at	11.517
200016_x_at	12.833
200017_at	12.692
200018_at	12.803
200019_s_at	12.015
200020_at	10.252
200021_at	12.3
200022_at	12.435
200023_s_at	11.72
200024_at	12.33
200025_s_at	12.928
200026_at	12.102
200027_at	11.727
200028_s_at	10.253
200029_at	12.704
200030_s_at	12.302
200031_s_at	12.797
200032_s_at	12.89
200033_at	12.246
200034_s_at	12.782
200035_at	8.301
200036_s_at	12.236
200037_s_at	11.76
200038_s_at	12.866
200039_s_at	11.493
200040_at	11.171
200041_s_at	9.566
200042_at	9.457
200043_at	11.973
200044_at	11.456
200045_at	9.566
200046_at	11.18
200047_s_at	11.136
200048_s_at	11.496
200049_at	7.033
200050_at	10.502
200051_at	7.776
200052_s_at	11.08
200053_at	8.777
200054_at	7.515
200055_at	10.448
200056_s_at	10.167
200057_s_at	11.831
200058_s_at	10.006
200059_s_at	12.153
200060_s_at	10.33
200061_s_at	13
200062_s_at	12.849
200063_s_at	12.967
200064_at	12.067
200065_s_at	10.947
200066_at	9.669
200067_x_at	11.366
200068_s_at	11.47
200069_at	8.638
200070_at	7.461
200071_at	10.877
200072_s_at	11.201
200073_s_at	11.946
200074_s_at	12.244
200075_s_at	9.24
200076_s_at	8.136
200077_s_at	12.601
200078_s_at	10.206
200079_s_at	11.093
200080_s_at	12.718
200081_s_at	12.855
200082_s_at	12.656
200083_at	9.968
200084_at	11.169
200085_s_at	11.245
200086_s_at	11.628
200087_s_at	12.031
200088_x_at	13.137
200089_s_at	12.364
200090_at	10.919
200091_s_at	12.495
200092_s_at	12.951
200093_s_at	11.987
200094_s_at	11.448
200095_x_at	13.179
200096_s_at	11.567
200097_s_at	11.643
200098_s_at	10.157
200099_s_at	13.317
200593_s_at	10.374
200594_x_at	11.599
200595_s_at	11.017
200596_s_at	10.638
200597_at	8.63
200598_s_at	12.452
200599_s_at	12.148
200600_at	10.212
200601_at	8.423
200602_at	10.94
200603_at	11.614
200604_s_at	8.032
200605_s_at	11.568
200606_at	11.196
200607_s_at	10.639
200608_s_at	11.348
200609_s_at	10.128
200610_s_at	11.747
200611_s_at	9.848
200612_s_at	8.639
200613_at	9.573
200614_at	12.128
200615_s_at	8.744
200616_s_at	10.896
200617_at	8.139
200618_at	11.373
200619_at	9.16
200620_at	10.432
200621_at	8.111
200622_x_at	9.04
200623_s_at	8.129
200624_s_at	11.153
200625_s_at	11.084
200626_s_at	11.534
200627_at	12.297
200628_s_at	8.23
200629_at	9.143
200630_x_at	12.402
200631_s_at	11.704
200632_s_at	7.051
200633_at	12.98
200634_at	10.984
200635_s_at	9.465
200636_s_at	10.555
200637_s_at	7.464
200638_s_at	12.345
200639_s_at	11.889
200640_at	11.557
200641_s_at	11.562
200642_at	11.458
200643_at	8.213
200644_at	10.717
200645_at	10.62
200646_s_at	4.706
200647_x_at	9.182
200648_s_at	5.82
200649_at	6.265
200650_s_at	12.689
200651_at	12.596
200652_at	10.794
200653_s_at	11.325
200654_at	10.878
200655_s_at	11.491
200656_s_at	10.002
200657_at	12.157
200658_s_at	10.031
200659_s_at	8.655
200660_at	10.612
200661_at	8.267
200662_s_at	11.039
200663_at	11.63
200664_s_at	8.343
200665_s_at	3.693
200666_s_at	9.178
200667_at	10.793
200668_s_at	11.844
200669_s_at	11.892
200670_at	9.584
200671_s_at	7.53
200672_x_at	8.475
200673_at	11.707
200674_s_at	12.859
200675_at	10.645
200676_s_at	6.753
200677_at	12.015
200678_x_at	9.214
200679_x_at	12.052
200680_x_at	12.681
200681_at	11.709
200682_s_at	11.048
200683_s_at	9.496
200684_s_at	8.316
200685_at	8.364
200686_s_at	11.8
200687_s_at	8.509
200688_at	7.009
200689_x_at	12.53
200690_at	8.957
200691_s_at	11.333
200692_s_at	10.679
200693_at	11.861
200694_s_at	9.65
200695_at	6.519
200696_s_at	7.902
200697_at	9.278
200698_at	10.775
200699_at	10.078
200700_s_at	10.545
200701_at	10.896
200702_s_at	9.687
200703_at	11.807
200704_at	9.947
200705_s_at	12.584
200706_s_at	9.943
200707_at	6.428
200708_at	10.013
200709_at	8.755
200710_at	9.352
200711_s_at	10.529
200712_s_at	9.041
200713_s_at	10.995
200714_x_at	8.231
200715_x_at	11.394
200716_x_at	12.722
200717_x_at	13.032
200718_s_at	12.659
200719_at	7.669
200720_s_at	8.388
200721_s_at	7.273
200722_s_at	8.558
200723_s_at	10.777
200724_at	4.844
200725_x_at	12.461
200726_at	11.677
200727_s_at	10.087
200728_at	10.949
200729_s_at	10.745
200730_s_at	10.424
200731_s_at	8.62
200732_s_at	9.49
200733_s_at	11.054
200734_s_at	8.825
200735_x_at	12.338
200736_s_at	11.013
200737_at	10.004
200738_s_at	11.959
200739_s_at	8.857
200740_s_at	10.529
200741_s_at	12.913
200742_s_at	6.484
200743_s_at	8.686
200744_s_at	10.187
200745_s_at	11.244
