^SAMPLE = GSM171011
!Sample_title = Melanoma cell line SKMEL5
!Sample_geo_accession = GSM171011
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 22 2007
!Sample_last_update_date = Jan 14 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line SKMEL5
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr C. Schmidt
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2).
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM171nnn/GSM171011/suppl/GSM171011.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM171nnn/GSM171011/suppl/GSM171011.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	247.02	P	0.000389797
AFFX-BioB-M_at	338.55	P	4.42873e-05
AFFX-BioB-3_at	212.726	P	0.00010954
AFFX-BioC-5_at	454.007	P	7.00668e-05
AFFX-BioC-3_at	544.076	P	4.42873e-05
AFFX-BioDn-5_at	558.548	P	4.42873e-05
AFFX-BioDn-3_at	2563.99	P	4.42873e-05
AFFX-CreX-5_at	6336.64	P	4.42873e-05
AFFX-CreX-3_at	9346.35	P	4.42873e-05
AFFX-DapX-5_at	504.439	P	4.42873e-05
AFFX-DapX-M_at	856.002	P	0.000389797
AFFX-DapX-3_at	956.161	P	5.16732e-05
AFFX-LysX-5_at	70.1921	P	9.4506e-05
AFFX-LysX-M_at	95.2355	P	0.0012475
AFFX-LysX-3_at	162.796	P	5.16732e-05
AFFX-PheX-5_at	104.634	P	4.42873e-05
AFFX-PheX-M_at	150.8	P	0.000258358
AFFX-PheX-3_at	113.261	P	0.000445901
AFFX-ThrX-5_at	114.891	P	6.02111e-05
AFFX-ThrX-M_at	146.602	P	4.42873e-05
AFFX-ThrX-3_at	221.006	P	4.42873e-05
AFFX-TrpnX-5_at	8.94306	A	0.250796
AFFX-TrpnX-M_at	2.4854	A	0.794268
AFFX-TrpnX-3_at	0.742402	A	0.969024
AFFX-r2-Ec-bioB-5_at	303.255	P	0.000244141
AFFX-r2-Ec-bioB-M_at	421.214	P	0.000244141
AFFX-r2-Ec-bioB-3_at	248.038	P	0.000244141
AFFX-r2-Ec-bioC-5_at	596.332	P	0.000244141
AFFX-r2-Ec-bioC-3_at	835.967	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2415.71	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3110.44	P	0.000244141
AFFX-r2-P1-cre-5_at	10814	P	0.000244141
AFFX-r2-P1-cre-3_at	12861.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	813.1	P	0.000244141
AFFX-r2-Bs-dap-M_at	916.793	P	0.000244141
AFFX-r2-Bs-dap-3_at	1366.88	P	0.000244141
AFFX-r2-Bs-lys-5_at	98.6292	P	0.000244141
AFFX-r2-Bs-lys-M_at	91.0211	P	0.000244141
AFFX-r2-Bs-lys-3_at	82.6208	P	0.000244141
AFFX-r2-Bs-phe-5_at	120.107	P	0.000244141
AFFX-r2-Bs-phe-M_at	133.496	P	0.000244141
AFFX-r2-Bs-phe-3_at	183.307	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	261.111	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	238.452	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	165.868	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	163.56	P	0.000753643
AFFX-HUMISGF3A/M97935_MA_at	235.277	P	0.000126798
AFFX-HUMISGF3A/M97935_MB_at	179.212	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	530.717	P	7.00668e-05
AFFX-HUMRGE/M10098_5_at	100.452	P	0.000856509
AFFX-HUMRGE/M10098_M_at	84.5627	P	0.000753643
AFFX-HUMRGE/M10098_3_at	109.8	P	0.000445901
AFFX-HUMGAPDH/M33197_5_at	13107.6	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	11812.2	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	11952.4	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8880.46	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9336	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	8732.15	P	4.42873e-05
AFFX-M27830_5_at	396.558	P	4.42873e-05
AFFX-M27830_M_at	905.257	P	0.00159257
AFFX-M27830_3_at	19.921	A	0.455413
AFFX-hum_alu_at	13016.5	P	2.6068e-13
1007_s_at	268.144	P	0.00306668
1053_at	689.419	P	0.000218889
117_at	155.958	P	0.000265621
121_at	196.543	P	0.00189162
1255_g_at	9.51158	A	0.339558
1294_at	51.4895	P	0.0489947
1316_at	29.3562	P	0.0439678
1320_at	7.73675	A	0.581931
1405_i_at	1.19754	A	0.982268
1431_at	11.9469	M	0.0544704
1438_at	12.835	A	0.378184
1487_at	247.67	P	0.0193035
1494_f_at	18.8011	A	0.204022
1598_g_at	79.4015	A	0.0813367
160020_at	118.312	P	0.00564279
1729_at	107.88	P	0.000388206
1773_at	277.582	P	0.000673102
