^SAMPLE = GSM385063
!Sample_title = human non-Hodgkins lymphoma cell line, Sc-1
!Sample_geo_accession = GSM385063
!Sample_status = Public on May 11 2009
!Sample_submission_date = Mar 20 2009
!Sample_last_update_date = May 11 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human non-Hodgkins lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Sc-1
!Sample_characteristics_ch1 = cell type: human non-Hodgkins lymphoma
!Sample_treatment_protocol_ch1 = Cells were untreated.
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = Sc-1
!Sample_data_processing = Expression was normalized and estimated using the GC-RMA package of BioConductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Peng,,Yue
!Sample_contact_email = pengy@gene.com
!Sample_contact_phone = 650-467-3587
!Sample_contact_institute = Genentech Inc
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM385nnn/GSM385063/suppl/GSM385063.CEL.gz
!Sample_series_id = GSE15329
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = GC-RMA value
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.07729266
1053_at	11.49953286
117_at	3.235203191
121_at	6.401274175
1255_g_at	2.044992285
1294_at	2.745709446
1316_at	3.017175242
1320_at	2.783250971
1405_i_at	3.951750275
1431_at	3.059664242
1438_at	2.148398288
1487_at	8.451187
1494_f_at	2.434299362
1552256_a_at	10.61086815
1552257_a_at	10.51006497
1552258_at	2.429923421
1552261_at	3.170501382
1552263_at	7.349924463
1552264_a_at	8.397176398
1552266_at	3.767480076
1552269_at	2.204008054
1552271_at	1.568274282
1552272_a_at	2.084109115
1552274_at	9.566305709
1552275_s_at	9.162130599
1552276_a_at	2.310550207
1552277_a_at	9.363652481
1552278_a_at	2.455389042
1552279_a_at	2.336711106
1552280_at	2.368953093
1552281_at	2.220843289
1552283_s_at	5.063415767
1552286_at	3.816436031
1552287_s_at	8.176278894
1552288_at	3.470032776
1552289_a_at	1.594619015
1552291_at	9.760670966
1552293_at	2.520419542
1552295_a_at	5.700305732
1552296_at	2.832229489
1552299_at	2.740243088
1552301_a_at	3.245131654
1552302_at	4.903922959
1552303_a_at	6.059853937
1552304_at	2.418188263
1552306_at	7.026637359
1552307_a_at	4.120831699
1552309_a_at	2.02699801
1552310_at	9.371763546
1552311_a_at	3.272317608
1552312_a_at	6.679542458
1552314_a_at	5.165821721
1552315_at	2.023240481
1552316_a_at	2.71446602
1552318_at	3.2492086
1552319_a_at	3.43103248
1552320_a_at	3.936755931
1552321_a_at	2.790753299
1552322_at	2.404032502
1552323_s_at	2.289346991
1552325_at	5.083389191
1552326_a_at	2.029959579
1552327_at	2.692933841
1552329_at	7.838169248
1552330_at	5.016204599
1552332_at	6.589111963
1552334_at	4.791220194
1552335_at	2.084053311
1552337_s_at	2.159954724
1552338_at	1.595739424
1552340_at	2.189803413
1552343_s_at	3.432106022
1552344_s_at	9.280127373
1552347_at	7.367593675
1552348_at	3.09599876
1552349_a_at	2.20496115
1552354_at	2.524617536
1552355_s_at	1.954156992
1552359_at	2.878922549
1552360_a_at	4.764577161
1552362_a_at	6.490399831
1552364_s_at	5.187293872
1552365_at	2.977244418
