^SAMPLE = GSM1230770
!Sample_title = COLO-704:PTX_1
!Sample_geo_accession = GSM1230770
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = COLO-704 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: COLO-704
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230770/suppl/GSM1230770_CEL_281_4613_02_02_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.23
AFFX-BioB-M_at	4
AFFX-BioB-3_at	3.749
AFFX-BioC-5_at	7.793
AFFX-BioC-3_at	8.455
AFFX-BioDn-5_at	9.513
AFFX-BioDn-3_at	10.545
AFFX-CreX-5_at	11.532
AFFX-CreX-3_at	11.899
AFFX-DapX-5_at	2.066
AFFX-DapX-M_at	1.918
AFFX-DapX-3_at	2.474
AFFX-LysX-5_at	1.852
AFFX-LysX-M_at	2.236
AFFX-LysX-3_at	1.734
AFFX-PheX-5_at	2.412
AFFX-PheX-M_at	2.092
AFFX-PheX-3_at	3.578
AFFX-ThrX-5_at	2.415
AFFX-ThrX-M_at	1.922
AFFX-ThrX-3_at	3.321
AFFX-TrpnX-5_at	2.621
AFFX-TrpnX-M_at	2.51
AFFX-TrpnX-3_at	2.015
AFFX-r2-Ec-bioB-5_at	4.387
AFFX-r2-Ec-bioB-M_at	4.399
AFFX-r2-Ec-bioB-3_at	4.648
AFFX-r2-Ec-bioC-5_at	8.496
AFFX-r2-Ec-bioC-3_at	8.938
AFFX-r2-Ec-bioD-5_at	10.766
AFFX-r2-Ec-bioD-3_at	11.135
AFFX-r2-P1-cre-5_at	12.365
AFFX-r2-P1-cre-3_at	12.507
AFFX-r2-Bs-dap-5_at	1.934
AFFX-r2-Bs-dap-M_at	1.976
AFFX-r2-Bs-dap-3_at	1.716
AFFX-r2-Bs-lys-5_at	1.776
AFFX-r2-Bs-lys-M_at	2.075
AFFX-r2-Bs-lys-3_at	2.167
AFFX-r2-Bs-phe-5_at	1.795
AFFX-r2-Bs-phe-M_at	1.909
AFFX-r2-Bs-phe-3_at	2.178
AFFX-r2-Bs-thr-3_s_at	2.463
AFFX-r2-Bs-thr-M_s_at	3.104
AFFX-r2-Bs-thr-5_s_at	2.531
AFFX-HUMISGF3A/M97935_5_at	3.944
AFFX-HUMISGF3A/M97935_MA_at	5.104
AFFX-HUMISGF3A/M97935_MB_at	4.199
AFFX-HUMISGF3A/M97935_3_at	6.816
AFFX-HUMRGE/M10098_5_at	12.681
AFFX-HUMRGE/M10098_M_at	12.136
AFFX-HUMRGE/M10098_3_at	11.66
AFFX-HUMGAPDH/M33197_5_at	12.097
AFFX-HUMGAPDH/M33197_M_at	12.318
AFFX-HUMGAPDH/M33197_3_at	12.305
AFFX-HSAC07/X00351_5_at	10.981
AFFX-HSAC07/X00351_M_at	11.238
AFFX-HSAC07/X00351_3_at	11.607
AFFX-M27830_5_at	11.876
AFFX-M27830_M_at	9.856
AFFX-M27830_3_at	3.909
AFFX-hum_alu_at	13.298
1007_s_at	7.46
1053_at	7.96
117_at	4.477
121_at	7.009
1255_g_at	4.806
1294_at	4.736
1316_at	5.127
1320_at	3.73
1405_i_at	1.855
1431_at	2.825
1438_at	4.414
1487_at	6.733
1494_f_at	5.048
1598_g_at	6.72
160020_at	5.652
1729_at	6.151
1773_at	5.202
177_at	3.558
179_at	7.058
1861_at	6.686
200000_s_at	8.55
200001_at	8.59
200002_at	12.006
200003_s_at	12.342
200004_at	11.469
200005_at	9.29
200006_at	11.403
200007_at	11.53
200008_s_at	9.329
200009_at	10.657
200010_at	11.949
200011_s_at	7.534
200012_x_at	12.398
200013_at	12.379
200014_s_at	10.925
200015_s_at	10.657
200016_x_at	12.586
200017_at	12.044
200018_at	12.378
200019_s_at	11.79
200020_at	10.108
200021_at	11.563
200022_at	12.123
200023_s_at	11.13
200024_at	12.232
200025_s_at	12.323
200026_at	11.714
200027_at	10.985
200028_s_at	10.254
200029_at	12.195
200030_s_at	11.9
200031_s_at	12.614
200032_s_at	12.313
200033_at	11.718
200034_s_at	12.205
200035_at	7.607
200036_s_at	11.542
200037_s_at	11.81
200038_s_at	12.111
200039_s_at	10.151
200040_at	10.653
200041_s_at	9.446
200042_at	8.576
200043_at	11.704
200044_at	10.719
200045_at	8.734
200046_at	9.898
200047_s_at	10.801
200048_s_at	11.792
200049_at	6.713
200050_at	10.407
200051_at	6.799
200052_s_at	11.372
200053_at	8.859
200054_at	7.161
200055_at	9.064
200056_s_at	8.709
200057_s_at	11.526
200058_s_at	9.407
200059_s_at	11.34
200060_s_at	9.968
200061_s_at	12.547
200062_s_at	12.555
200063_s_at	12.208
200064_at	11.656
200065_s_at	10.844
200066_at	8.918
200067_x_at	10.09
200068_s_at	10.634
200069_at	7.989
200070_at	7.133
200071_at	10.145
200072_s_at	11.47
200073_s_at	11.258
200074_s_at	11.493
200075_s_at	9.189
200076_s_at	7.94
200077_s_at	12.305
200078_s_at	10.274
200079_s_at	10.02
200080_s_at	12.593
200081_s_at	12.176
200082_s_at	11.926
200083_at	10.124
200084_at	10.438
200085_s_at	11.025
200086_s_at	11.253
200087_s_at	11.154
200088_x_at	12.341
200089_s_at	11.719
200090_at	10.626
200091_s_at	11.704
200092_s_at	12.275
200093_s_at	11.498
200094_s_at	11.362
200095_x_at	12.676
200096_s_at	8.488
200097_s_at	11.182
200098_s_at	9.722
200099_s_at	12.669
200593_s_at	10.593
200594_x_at	11.48
200595_s_at	10.101
200596_s_at	9.65
200597_at	8.163
200598_s_at	10.989
200599_s_at	10.882
200600_at	6.981
200601_at	6.834
200602_at	8.316
200603_at	10.353
200604_s_at	7.621
200605_s_at	10.445
200606_at	5.017
200607_s_at	11.162
200608_s_at	11.057
200609_s_at	8.903
200610_s_at	10.674
200611_s_at	7.773
200612_s_at	8.34
200613_at	8.338
200614_at	11.47
200615_s_at	7.507
200616_s_at	9.608
200617_at	6.801
200618_at	8.884
200619_at	8.943
200620_at	9.306
200621_at	5.381
200622_x_at	9.546
200623_s_at	8.449
200624_s_at	10.557
200625_s_at	9.203
200626_s_at	10.985
200627_at	11.694
200628_s_at	6.804
200629_at	7.872
200630_x_at	11.562
200631_s_at	11.044
200632_s_at	8.106
200633_at	12.914
200634_at	9.443
200635_s_at	8.09
200636_s_at	9.583
200637_s_at	6.664
200638_s_at	11.768
200639_s_at	10.72
200640_at	11.103
200641_s_at	11.342
200642_at	11.393
200643_at	6.526
200644_at	10.916
200645_at	10.657
200646_s_at	4.204
200647_x_at	10.002
200648_s_at	8.153
200649_at	5.686
200650_s_at	11.557
200651_at	12.046
200652_at	10.946
200653_s_at	10.517
200654_at	9.545
200655_s_at	10.705
200656_s_at	7.832
200657_at	11.652
200658_s_at	9.704
200659_s_at	7.494
200660_at	2.969
200661_at	7.969
200662_s_at	11.689
200663_at	10.398
200664_s_at	8.358
200665_s_at	3.419
200666_s_at	8.784
200667_at	10.16
200668_s_at	10.848
200669_s_at	10.719
200670_at	6.894
200671_s_at	5.887
200672_x_at	7.212
200673_at	10.052
200674_s_at	12.442
200675_at	8.954
200676_s_at	5.814
200677_at	9.678
200678_x_at	7.348
200679_x_at	11.303
200680_x_at	12.243
200681_at	10.412
200682_s_at	10.239
200683_s_at	8.257
200684_s_at	7.55
200685_at	7.967
200686_s_at	10.51
