^SAMPLE = GSM206512
!Sample_title = Hs695T
!Sample_geo_accession = GSM206512
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Hs695T cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206512/suppl/GSM206512.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	483.588
AFFX-BioB-M_at	811.659
AFFX-BioB-3_at	379.959
AFFX-BioC-5_at	1757.482
AFFX-BioC-3_at	2125.757
AFFX-BioDn-5_at	3073.017
AFFX-BioDn-3_at	8681.894
AFFX-CreX-5_at	20174.025
AFFX-CreX-3_at	23960.982
AFFX-DapX-5_at	199.021
AFFX-DapX-M_at	385.98
AFFX-DapX-3_at	576.931
AFFX-LysX-5_at	42.324
AFFX-LysX-M_at	76.901
AFFX-LysX-3_at	116.681
AFFX-PheX-5_at	8.229
AFFX-PheX-M_at	34.835
AFFX-PheX-3_at	102.66
AFFX-ThrX-5_at	71.979
AFFX-ThrX-M_at	71.751
AFFX-ThrX-3_at	157.808
AFFX-TrpnX-5_at	22.599
AFFX-TrpnX-M_at	6.322
AFFX-TrpnX-3_at	13.234
AFFX-r2-Ec-bioB-5_at	764.713
AFFX-r2-Ec-bioB-M_at	812.661
AFFX-r2-Ec-bioB-3_at	675.236
AFFX-r2-Ec-bioC-5_at	2174.637
AFFX-r2-Ec-bioC-3_at	2329.156
AFFX-r2-Ec-bioD-5_at	10312.804
AFFX-r2-Ec-bioD-3_at	12570.2
AFFX-r2-P1-cre-5_at	25265.586
AFFX-r2-P1-cre-3_at	35191.145
AFFX-r2-Bs-dap-5_at	210.935
AFFX-r2-Bs-dap-M_at	414.67
AFFX-r2-Bs-dap-3_at	670.088
AFFX-r2-Bs-lys-5_at	58.055
AFFX-r2-Bs-lys-M_at	76.884
AFFX-r2-Bs-lys-3_at	67.576
AFFX-r2-Bs-phe-5_at	58.685
AFFX-r2-Bs-phe-M_at	66.57
AFFX-r2-Bs-phe-3_at	134.138
AFFX-r2-Bs-thr-3_s_at	207.823
AFFX-r2-Bs-thr-M_s_at	216.508
AFFX-r2-Bs-thr-5_s_at	119.29
AFFX-HUMISGF3A/M97935_5_at	198.936
AFFX-HUMISGF3A/M97935_MA_at	714.617
AFFX-HUMISGF3A/M97935_MB_at	850.021
AFFX-HUMISGF3A/M97935_3_at	2304.425
AFFX-HUMRGE/M10098_5_at	73.762
AFFX-HUMRGE/M10098_M_at	131.576
AFFX-HUMRGE/M10098_3_at	187.084
AFFX-HUMGAPDH/M33197_5_at	31257.23
AFFX-HUMGAPDH/M33197_M_at	28822.932
AFFX-HUMGAPDH/M33197_3_at	30116.764
AFFX-HSAC07/X00351_5_at	24654.686
AFFX-HSAC07/X00351_M_at	31542.943
AFFX-HSAC07/X00351_3_at	32994.691
AFFX-M27830_5_at	400.577
AFFX-M27830_M_at	469.195
AFFX-M27830_3_at	217.384
AFFX-hum_alu_at	7225.279
1007_s_at	5002.427
1053_at	2338.674
117_at	274.797
121_at	1605.783
1255_g_at	22.035
1294_at	321.835
1316_at	93.447
1320_at	128.963
1405_i_at	3.415
1431_at	42.576
1438_at	1553.329
1487_at	600.923
1494_f_at	175.049
1598_g_at	1975.998
160020_at	2087.754
1729_at	533.387
1773_at	431.752
177_at	410.576
179_at	1249.611
1861_at	405.324
200000_s_at	6056.9
200001_at	11148.098
200002_at	17753.496
200003_s_at	26257.211
200004_at	14539.831
200005_at	9430.701
200006_at	15798.434
200007_at	10400.427
200008_s_at	3572.855
200009_at	7567.777
200010_at	19844.564
200011_s_at	3851.584
200012_x_at	17723.021
200013_at	24235.883
200014_s_at	4249.241
200015_s_at	4720.271
200016_x_at	24529.254
200017_at	29458.238
200018_at	26929.205
200019_s_at	10692.893
200020_at	4208.562
200021_at	25078.623
200022_at	21344.264
200023_s_at	7904.67
200024_at	19755.445
200025_s_at	22476.703
200026_at	18023.609
200027_at	8474.584
200028_s_at	6096.62
200029_at	21258.16
200030_s_at	14891.151
200031_s_at	28839.092
200032_s_at	27504.857
200033_at	15341.884
200034_s_at	23446.725
200035_at	3624.597
200036_s_at	13305.676
200037_s_at	18165.191
200038_s_at	26270.961
200039_s_at	7091.581
200040_at	6246.126
200041_s_at	7139.883
200042_at	4106.789
200043_at	13672.028
200044_at	8093.875
200045_at	2495.595
200046_at	5073.984
200047_s_at	5299.893
200048_s_at	8872.313
200049_at	1775.121
200050_at	2986.353
200051_at	637.899
200052_s_at	7366.609
200053_at	1526.111
200054_at	575.167
200055_at	5695.8
200056_s_at	1943.476
200057_s_at	9157.266
200058_s_at	8287.045
200059_s_at	14710.523
200060_s_at	5992.36
200061_s_at	24984.043
200062_s_at	33001.434
200063_s_at	25644.143
200064_at	19956.316
200065_s_at	13371.531
200066_at	3125.936
200067_x_at	3734.851
200068_s_at	18190.402
200069_at	893.544
200070_at	1085.713
200071_at	2310.531
200072_s_at	4634.538
200073_s_at	7711.024
200074_s_at	12524.781
200075_s_at	3273.378
200076_s_at	2061.615
200077_s_at	19654.275
200078_s_at	4155.661
200079_s_at	9098.473
200080_s_at	25201.566
200081_s_at	23000.512
200082_s_at	22629.693
200083_at	4887.549
200084_at	9799.367
200085_s_at	8754.409
200086_s_at	7887.524
200087_s_at	13358.836
200088_x_at	23599.268
200089_s_at	21373.717
200090_at	6954.097
200091_s_at	17222.041
200092_s_at	28390.354
200093_s_at	15057.944
200094_s_at	17546.125
200095_x_at	30320.354
200096_s_at	8730.605
200097_s_at	8247.026
200098_s_at	6161.671
200099_s_at	29206.559
200593_s_at	3122.9
200594_x_at	9020.852
200595_s_at	6236.905
200596_s_at	2393.714
200597_at	509.871
200598_s_at	16960.275
200599_s_at	23007.6
200600_at	7863.998
200601_at	13492.437
200602_at	8849.02
200603_at	14897.247
200604_s_at	6316.434
200605_s_at	15101.915
200606_at	557.757
200607_s_at	2502.305
200608_s_at	6385.439
200609_s_at	3994.101
200610_s_at	14718.521
200611_s_at	7151.333
200612_s_at	2708.963
200613_at	6599.239
200614_at	17175.678
200615_s_at	2212.647
200616_s_at	6770.41
200617_at	11518.439
200618_at	5702.988
200619_at	3031.795
200620_at	7123.271
200621_at	11496.41
200622_x_at	1487.421
200623_s_at	2441.656
200624_s_at	8107.177
200625_s_at	6750.68
200626_s_at	8597.358
200627_at	11875.387
200628_s_at	1556.05
200629_at	2476.687
200630_x_at	7124.566
200631_s_at	6687.057
200632_s_at	7622.2
200633_at	29957.562
200634_at	17218.797
200635_s_at	1310.396
200636_s_at	3401.578
200637_s_at	792.957
200638_s_at	9600.696
200639_s_at	10401.506
200640_at	9752.297
200641_s_at	6530.47
200642_at	23697.045
200643_at	956.515
200644_at	15176.712
200645_at	11282.962
200646_s_at	2158.629
200647_x_at	12260.354
200648_s_at	896.704
200649_at	4338.228
200650_s_at	26578.951
200651_at	27535.055
200652_at	12778.174
200653_s_at	6735.044
200654_at	28158.07
200655_s_at	4603.455
200656_s_at	18551.955
200657_at	13085.631
200658_s_at	7043.679
200659_s_at	2335.191
200660_at	15912.109
200661_at	7907.482
200662_s_at	10233.445
200663_at	23670.275
200664_s_at	2304.929
200665_s_at	31347.965
200666_s_at	4915.147
200667_at	1360.002
200668_s_at	8892.976
200669_s_at	4966.207
200670_at	6095.866
200671_s_at	604.379
200672_x_at	641.682
200673_at	15663.17
200674_s_at	20970.668
200675_at	10905.424
200676_s_at	1018.359
200677_at	15379.158
200678_x_at	4291.519
200679_x_at	8369.779
200680_x_at	21584.518
200681_at	6796.104
200682_s_at	8539.297
200683_s_at	2780.703
200684_s_at	2112.244
200685_at	392.197
200686_s_at	6788.619
200687_s_at	3850.26
200688_at	575.394
200689_x_at	18159.262
200690_at	831.757
200691_s_at	5505.639
200692_s_at	4011.811
200693_at	10525.682
200694_s_at	3790.535
200695_at	2284.793
200696_s_at	8215.473
200697_at	4753.45
200698_at	12084.432
200699_at	8560.667
200700_s_at	9273.991
200701_at	6706.734
200702_s_at	1193.669
200703_at	20877.885
200704_at	7673.64
200705_s_at	15001.394
200706_s_at	4624.008
200707_at	1821.477
200708_at	4157.342
200709_at	15759.32
200710_at	4891.522
200711_s_at	3447.955
200712_s_at	3449.366
200713_s_at	7407.275
200714_x_at	4409.662
200715_x_at	16534.453
200716_x_at	30988.605
200717_x_at	33598.504
200718_s_at	23403.26
200719_at	488.874
200720_s_at	976.763
200721_s_at	1206.137
200722_s_at	5559.569
200723_s_at	10313.472
200724_at	193.245
200725_x_at	25226.5
200726_at	8844.469
200727_s_at	1697.262
200728_at	7106.072
200729_s_at	6776.146
200730_s_at	2036.054
200731_s_at	2155.632
200732_s_at	2438.429
200733_s_at	6082.024
200734_s_at	2929.655
200735_x_at	21242.312
200736_s_at	15.956
200737_at	4220.025
200738_s_at	12982.266
200739_s_at	1744.609
200740_s_at	7220.681
200741_s_at	31726.799
200742_s_at	2701.761
200743_s_at	2320.673
200744_s_at	2774.89
200745_s_at	4432.291
200746_s_at	4534.902
200747_s_at	1082.578
200748_s_at	10872.4
200749_at	1831.973
200750_s_at	11634.357
200751_s_at	4180.543
200752_s_at	561.366
200753_x_at	4288.666
200754_x_at	10151.087
200755_s_at	13484.858
200756_x_at	7865.702
200757_s_at	17943.842
200758_s_at	3852.516
200759_x_at	4202.465
200760_s_at	2248.286
200761_s_at	4440.288
200762_at	9172.369
200763_s_at	32390.742
200764_s_at	5420.132
200765_x_at	8605.205
200766_at	1239.816
200767_s_at	823.771
200768_s_at	4167.343
200769_s_at	765.794
200770_s_at	7451.544
200771_at	12181.702
200772_x_at	15407.608
200773_x_at	18937.047
200774_at	9299.657
200775_s_at	12721.949
200776_s_at	7920.922
200777_s_at	7158.796
200778_s_at	3402.003
200779_at	5235.107
200780_x_at	30711.895
200781_s_at	24582.301
200782_at	10767.276
200783_s_at	1335.782
200784_s_at	334.605
200785_s_at	356.58
200786_at	5734.463
200787_s_at	4597.726
200788_s_at	8744.229
200789_at	3509.996
200790_at	1809.478
200791_s_at	4638.378
200792_at	13989.243
200793_s_at	3284.27
200794_x_at	6898.819
200795_at	53.422
200796_s_at	1203.39
200797_s_at	12284.562
200798_x_at	7052.569
200799_at	9317.939
200800_s_at	2893
200801_x_at	39843.223
200802_at	2452.569
200803_s_at	11741.511
200804_at	6892.515
200805_at	2188.994
200806_s_at	14314.413
200807_s_at	22977.535
200808_s_at	5749.55
200809_x_at	19709.361
200810_s_at	3097.829
200811_at	1492.863
200812_at	4617.832
200813_s_at	1668.176
200814_at	2500.296
200815_s_at	2796.07
200816_s_at	2589.635
200817_x_at	33108.805
200818_at	11486.976
200819_s_at	22671.947
200820_at	5258.814
200821_at	3584.274
200822_x_at	10601.565
200823_x_at	11261.316
200824_at	6519.394
200825_s_at	11700.206
200826_at	13425.515
200827_at	3862.852
200828_s_at	6366.653
200829_x_at	3099.727
200830_at	5276.238
200831_s_at	1173.586
200832_s_at	3515.162
200833_s_at	4300.041
200834_s_at	32078.135
200835_s_at	54.551
200836_s_at	1101.983
200837_at	11682.386
200838_at	8694.391
200839_s_at	9668.549
200840_at	12269.476
200841_s_at	905.729
200842_s_at	3613.781
200843_s_at	3050.061
200844_s_at	9520.466
200845_s_at	9320.742
200846_s_at	3039.107
200847_s_at	5478.911
200848_at	2616.986
200849_s_at	2660.11
200850_s_at	6334.305
200851_s_at	3303.692
200852_x_at	4493.891
200853_at	9248.01
200854_at	1415.236
200855_at	213.543
200856_x_at	207.968
200857_s_at	1116.779
200858_s_at	22397.443
200859_x_at	18494.086
200860_s_at	3521.858
200861_at	1099.931
200862_at	2326.226
200863_s_at	7901.755
200864_s_at	1350.077
200865_at	2.449
200866_s_at	10165.874
200867_at	2450.117
200868_s_at	2323.129
200869_at	25420.043
200870_at	6275.153
200871_s_at	17499.979
200872_at	24054.582
200873_s_at	12260.695
200874_s_at	650.744
200875_s_at	3277.332
200876_s_at	8839.735
200877_at	15060.642
200878_at	1751.505
200879_s_at	187.167
200880_at	3390.488
200881_s_at	9339.757
200882_s_at	6095.608
200883_at	3915.15
200884_at	395.932
200885_at	7403.374
200886_s_at	9494.697
200887_s_at	3052.177
200888_s_at	16867.051
200889_s_at	3600.952
200890_s_at	1262.541
200891_s_at	8848.621
200892_s_at	5496.777
200893_at	9516.092
200894_s_at	727.857
200895_s_at	1341.235
200896_x_at	9656.637
200897_s_at	1112.615
200898_s_at	783.327
200899_s_at	1190.681
200900_s_at	973.212
200901_s_at	1504.456
200902_at	6476.531
200903_s_at	6189.14
200904_at	1238.218
200905_x_at	5314.972
200906_s_at	248.118
200907_s_at	941.837
200908_s_at	258.188
200909_s_at	21321.039
200910_at	12898.982
200911_s_at	2335.149
200912_s_at	17815.863
200913_at	1485.543
200914_x_at	3112.328
200915_x_at	5169.661
200916_at	9281.841
200917_s_at	907.912
200918_s_at	5030.072
200919_at	5358.504
200920_s_at	4681.506
200921_s_at	5586.894
200922_at	3844.002
200923_at	9788.212
200924_s_at	625.503
200925_at	12354.721
200926_at	36505.711
200927_s_at	2002.082
200928_s_at	50.397
200929_at	10092.582
200930_s_at	27.283
200931_s_at	4526.654
200932_s_at	1897.133
200933_x_at	26196.357
200934_at	8238.837
200935_at	1353.882
200936_at	23308.479
200937_s_at	18696.043
200938_s_at	9.285
200939_s_at	275.998
200940_s_at	1361.741
200941_at	5957.142
200942_s_at	10568.896
200943_at	12399.516
200944_s_at	10984.641
200945_s_at	5522.354
200946_x_at	1601.605
200947_s_at	1429.404
200948_at	4631.692
200949_x_at	24558.344
200950_at	9959.482
200951_s_at	8.412
200952_s_at	4.536
200953_s_at	152.195
200954_at	2378.968
200955_at	3842.411
200956_s_at	2066.68
200957_s_at	1821.566
200958_s_at	8961.868
200959_at	4340.026
200960_x_at	12349.145
200961_at	3323.296
200962_at	617.49
200963_x_at	30363.658
200964_at	6270.145
200965_s_at	411.455
200966_x_at	20818.982
200967_at	17122.08
200968_s_at	11968.388
200969_at	1624.506
200970_s_at	2569.043
200971_s_at	10481.717
200972_at	11246.207
200973_s_at	5226.94
200974_at	1082.83
200975_at	6620.724
200976_s_at	7189.499
200977_s_at	6866.603
200978_at	10052.639
200979_at	579.507
200980_s_at	2594.105
200981_x_at	31056.688
200982_s_at	5528.14
200983_x_at	16709.609
200984_s_at	16723.389
200985_s_at	17498.764
200986_at	289.577
200987_x_at	2505.321
200988_s_at	975.747
200989_at	11268.979
200990_at	8302.787
200991_s_at	3477.11
200992_at	6546.155
200993_at	5915.034
200994_at	4589.958
200995_at	1907.165
200996_at	7290.35
200997_at	2150.813
200998_s_at	4380.296
200999_s_at	6653.818
201000_at	6452.527
201001_s_at	3806.55
201002_s_at	5986.465
201003_x_at	2264.952
201004_at	16987.426
201005_at	14773.809
201006_at	99.433
201007_at	6275.203
201008_s_at	2331.333
201009_s_at	2621.136
