^SAMPLE = GSM587217
!Sample_title = glioblastoma stem-like cell line, serum free, later passage_GS-12 p11
!Sample_geo_accession = GSM587217
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma stem-like cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: GS-12 p11
!Sample_characteristics_ch1 = sample type: glioblastoma stem-like (GS) cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = glioblastoma stem-like cell lines, serum free conditions, later passage
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587217/suppl/GSM587217.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.633845
1053_at	9.160658
117_at	4.086065
121_at	3.736895
1255_g_at	2.00229
1294_at	2.565387
1316_at	2.949225
1320_at	2.828546
1405_i_at	2.732073
1431_at	2.346514
1438_at	6.576826
1487_at	4.861849
1494_f_at	2.515248
1552256_a_at	8.144289
1552257_a_at	7.848073
1552258_at	2.464804
1552261_at	2.562613
1552263_at	3.068641
1552264_a_at	6.082209
1552266_at	2.694832
1552269_at	2.3726
1552271_at	2.228529
1552272_a_at	1.995024
1552274_at	5.575918
1552275_s_at	4.907056
1552276_a_at	2.439669
1552277_a_at	7.284756
1552278_a_at	2.592848
1552279_a_at	3.785109
1552280_at	2.254401
1552281_at	3.102072
1552283_s_at	3.450431
1552286_at	3.632674
1552287_s_at	5.777101
1552288_at	3.333103
1552289_a_at	1.795147
1552291_at	9.95197
1552293_at	2.813844
1552295_a_at	4.650465
1552296_at	1.882384
1552299_at	2.785324
1552301_a_at	2.935629
1552302_at	3.378681
1552303_a_at	2.558682
1552304_at	2.047577
1552306_at	3.721946
1552307_a_at	2.849947
1552309_a_at	1.882908
1552310_at	7.632585
1552311_a_at	3.505975
1552312_a_at	3.541926
1552314_a_at	3.363003
1552315_at	2.415739
1552316_a_at	1.897005
1552318_at	2.568947
1552319_a_at	2.627775
1552320_a_at	3.344555
1552321_a_at	2.180287
1552322_at	2.221694
1552323_s_at	3.040184
1552325_at	3.406864
1552326_a_at	2.789955
1552327_at	3.354698
1552329_at	5.720057
1552330_at	5.242887
1552332_at	4.241526
1552334_at	4.251776
1552335_at	2.925497
1552337_s_at	2.706063
1552338_at	1.892681
1552340_at	2.176431
1552343_s_at	2.74673
1552344_s_at	4.7444
1552347_at	5.883291
1552348_at	2.468409
1552349_a_at	2.495659
1552354_at	2.62017
1552355_s_at	2.531011
1552359_at	2.370823
1552360_a_at	3.801101
1552362_a_at	4.229159
1552364_s_at	3.7019
1552365_at	2.017735
1552367_a_at	2.650865
1552368_at	2.296021
1552370_at	3.498092
1552372_at	2.082269
1552373_s_at	2.158761
1552375_at	3.133048
1552377_s_at	2.429181
1552378_s_at	3.400577
1552379_at	2.024177
1552381_at	5.321918
1552383_at	4.162734
1552384_a_at	2.463917
1552386_at	2.131617
