^SAMPLE = GSM1400429
!Sample_title = MCC13_3_GPL570
!Sample_geo_accession = GSM1400429
!Sample_status = Public on Dec 23 2014
!Sample_submission_date = May 29 2014
!Sample_last_update_date = Dec 23 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCC13 cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MCC13 cell line
!Sample_characteristics_ch1 = sample_type: cell line
!Sample_characteristics_ch1 = mcv_status: negative
!Sample_growth_protocol_ch1 = Mkl-1, WaGa, MCC13, MCC26, and UISO cells were grown and passaged in RPMI-1640 medium (Gibco by Life Technologies) supplemented with 10% FBS (Hyclone – Thermo Fisher), 100 U/mL penicillin, 0.1 mg/mL streptomycin, and 0.1 mg/ml Normocin (InvivoGen).
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cell lines using the RNeasy Mini Kit (Qiagen Cat. No. 74104). All samples were treated with RNase-free DNase (Qiagen Cat. No. 79254).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA (100 ng) was reverse-transcribed and labeled with biotin using the Affymetrix 3' IVT Express Kit following manufacturer's protocol.
!Sample_hyb_protocol = The samples were hybridized to Affymetrix GeneChip Human Genome U133 Plus 2.0 Array.
!Sample_scan_protocol = The chips were scanned on Affymetrix GeneChip Scanner 3000G. Data were collected using Affymetrix GeneChip Command Console (AGCC) Software.
!Sample_description = MCC13_3
!Sample_data_processing = All microarray expression analysis was performed using R. The R package “affy” was used to read in probe intensity data, and the Robust Multi-Array Average (RMA) procedure from the “affy” package was used for background correction, quantile normalisation and probeset summarization. Data for platform GPL570 was normalized with a subset of data from GSE36133 (see supplementary file on Series record)and processed with ComBat to remove batch effects.
!Sample_platform_id = GPL570
!Sample_contact_name = Isaac,,Brownell
!Sample_contact_email = isaac.brownell@nih.gov
!Sample_contact_department = Dermatology Branch
!Sample_contact_institute = National Cancer Institute
!Sample_contact_address = 10 Center Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1400nnn/GSM1400429/suppl/GSM1400429_6_MCC13_p38_CSAS14377.CEL.gz
!Sample_series_id = GSE50451
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.96928059
1053_at	8.612066649
117_at	3.763825143
121_at	6.420214018
1255_g_at	3.381380211
1294_at	6.661539536
1316_at	5.672722145
1320_at	4.297377534
1405_i_at	3.54871302
1431_at	3.97651883
1438_at	5.991127591
1487_at	7.025394048
1494_f_at	5.716422118
1552256_a_at	7.704784091
1552257_a_at	8.672701426
1552258_at	5.233497711
1552261_at	4.189821662
1552263_at	7.339050016
1552264_a_at	9.017388835
1552266_at	3.690625414
1552269_at	3.755362579
1552271_at	4.070446478
1552272_a_at	5.423410738
1552274_at	7.72818456
1552275_s_at	8.109543631
1552276_a_at	5.098816233
1552277_a_at	9.672748816
1552278_a_at	4.261494625
1552279_a_at	7.042226323
1552280_at	3.857172847
1552281_at	5.005547216
1552283_s_at	6.253646979
1552286_at	5.878360635
1552287_s_at	8.381753728
1552288_at	4.226055968
1552289_a_at	3.833316441
1552291_at	9.424567957
1552293_at	3.942198136
1552295_a_at	7.76274771
1552296_at	3.910444475
1552299_at	4.645825645
1552301_a_at	4.064020966
1552302_at	5.460145561
1552303_a_at	4.473811737
1552304_at	5.404044501
1552306_at	5.721004091
1552307_a_at	5.733155965
1552309_a_at	3.52173841
1552310_at	7.865375466
1552311_a_at	4.681385583
1552312_a_at	7.642715049
1552314_a_at	4.440526238
1552315_at	4.109652542
1552316_a_at	3.278862576
1552318_at	3.811749838
1552319_a_at	3.492936695
1552320_a_at	3.551979125
1552321_a_at	3.747042112
1552322_at	3.346426351
1552323_s_at	4.680596237
1552325_at	3.131882877
1552326_a_at	4.531467307
1552327_at	4.627945947
1552329_at	7.693555601
1552330_at	8.806463456
1552332_at	6.610227234
1552334_at	6.127646124
1552335_at	5.949306231
1552337_s_at	5.698429864
1552338_at	3.525133278
1552340_at	3.827345429
1552343_s_at	4.027016927
1552344_s_at	6.689367454
1552347_at	7.021636685
1552348_at	5.448813098
1552349_a_at	3.906891616
1552354_at	3.562393703
1552355_s_at	4.857896665
1552359_at	3.648913026
1552360_a_at	5.846530442
1552362_a_at	6.035417927
1552364_s_at	7.019820914
1552365_at	3.844831066
1552367_a_at	4.431335147
1552368_at	5.453027264
1552370_at	7.099376592
1552372_at	3.168317951
1552373_s_at	3.417072053
1552375_at	4.674380568
1552377_s_at	5.861469035
1552378_s_at	4.92448079
1552379_at	3.359670009
1552381_at	2.502718712
1552383_at	4.727324063
1552384_a_at	3.794097069
1552386_at	3.725476448
1552388_at	4.806915681
1552389_at	3.899910935
