^SAMPLE = GSM1230815
!Sample_title = OVCAR-3:PTX_1
!Sample_geo_accession = GSM1230815
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OVCAR-3 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: OVCAR-3
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230815/suppl/GSM1230815_CEL_282_4658_02_06_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.272
AFFX-BioB-M_at	6.298
AFFX-BioB-3_at	5.73
AFFX-BioC-5_at	7.197
AFFX-BioC-3_at	7.855
AFFX-BioDn-5_at	8.704
AFFX-BioDn-3_at	9.787
AFFX-CreX-5_at	11.263
AFFX-CreX-3_at	11.489
AFFX-DapX-5_at	1.982
AFFX-DapX-M_at	1.838
AFFX-DapX-3_at	2.555
AFFX-LysX-5_at	1.846
AFFX-LysX-M_at	2.443
AFFX-LysX-3_at	1.858
AFFX-PheX-5_at	2.303
AFFX-PheX-M_at	2.006
AFFX-PheX-3_at	3.478
AFFX-ThrX-5_at	2.402
AFFX-ThrX-M_at	2.092
AFFX-ThrX-3_at	3.234
AFFX-TrpnX-5_at	2.761
AFFX-TrpnX-M_at	2.326
AFFX-TrpnX-3_at	1.824
AFFX-r2-Ec-bioB-5_at	6.159
AFFX-r2-Ec-bioB-M_at	6.497
AFFX-r2-Ec-bioB-3_at	6.467
AFFX-r2-Ec-bioC-5_at	7.749
AFFX-r2-Ec-bioC-3_at	8.104
AFFX-r2-Ec-bioD-5_at	9.81
AFFX-r2-Ec-bioD-3_at	10.404
AFFX-r2-P1-cre-5_at	11.929
AFFX-r2-P1-cre-3_at	12.11
AFFX-r2-Bs-dap-5_at	2.172
AFFX-r2-Bs-dap-M_at	1.854
AFFX-r2-Bs-dap-3_at	1.821
AFFX-r2-Bs-lys-5_at	1.825
AFFX-r2-Bs-lys-M_at	1.999
AFFX-r2-Bs-lys-3_at	2.278
AFFX-r2-Bs-phe-5_at	1.82
AFFX-r2-Bs-phe-M_at	1.959
AFFX-r2-Bs-phe-3_at	2.065
AFFX-r2-Bs-thr-3_s_at	2.696
AFFX-r2-Bs-thr-M_s_at	2.824
AFFX-r2-Bs-thr-5_s_at	2.231
AFFX-HUMISGF3A/M97935_5_at	4.469
AFFX-HUMISGF3A/M97935_MA_at	5.392
AFFX-HUMISGF3A/M97935_MB_at	5.426
AFFX-HUMISGF3A/M97935_3_at	8.002
AFFX-HUMRGE/M10098_5_at	12.707
AFFX-HUMRGE/M10098_M_at	12.192
AFFX-HUMRGE/M10098_3_at	11.704
AFFX-HUMGAPDH/M33197_5_at	12.203
AFFX-HUMGAPDH/M33197_M_at	12.39
AFFX-HUMGAPDH/M33197_3_at	12.4
AFFX-HSAC07/X00351_5_at	10.599
AFFX-HSAC07/X00351_M_at	11.147
AFFX-HSAC07/X00351_3_at	11.641
AFFX-M27830_5_at	12.262
AFFX-M27830_M_at	10.232
AFFX-M27830_3_at	4.146
AFFX-hum_alu_at	12.933
1007_s_at	9.622
1053_at	7.224
117_at	4.265
121_at	9.795
1255_g_at	2.058
1294_at	4.539
1316_at	4.791
1320_at	4.229
1405_i_at	2.024
1431_at	2.68
1438_at	4.916
1487_at	7.386
1494_f_at	4.705
1598_g_at	6.365
160020_at	5.736
1729_at	7.059
1773_at	5.155
177_at	4.216
179_at	7.11
1861_at	6.329
200000_s_at	7.517
200001_at	9.132
200002_at	12.232
200003_s_at	12.178
200004_at	12.108
200005_at	9.617
200006_at	12.013
200007_at	11.472
200008_s_at	8.792
200009_at	10.282
200010_at	11.953
200011_s_at	8.612
200012_x_at	12.384
200013_at	12.634
200014_s_at	10.849
200015_s_at	10.345
200016_x_at	12.36
200017_at	12.281
200018_at	12.567
200019_s_at	11.821
200020_at	9.949
200021_at	11.707
200022_at	11.525
200023_s_at	11.489
200024_at	11.982
200025_s_at	12.3
200026_at	12.211
200027_at	10.938
200028_s_at	9.599
200029_at	12.068
200030_s_at	11.864
200031_s_at	12.152
200032_s_at	12.185
200033_at	12.251
200034_s_at	12.406
200035_at	7.181
200036_s_at	11.67
200037_s_at	11.42
200038_s_at	12.075
200039_s_at	10.356
200040_at	10.367
200041_s_at	8.705
200042_at	8.991
200043_at	11.535
200044_at	10.669
200045_at	8.88
200046_at	10.061
200047_s_at	11.059
200048_s_at	11.47
200049_at	6.8
200050_at	10.708
200051_at	7.599
200052_s_at	10.833
200053_at	8.351
200054_at	7.493
200055_at	9.751
200056_s_at	8.93
200057_s_at	11.311
200058_s_at	9.186
200059_s_at	11.291
200060_s_at	9.922
200061_s_at	12.726
200062_s_at	12.617
200063_s_at	12.238
200064_at	10.982
200065_s_at	10.147
200066_at	8.991
200067_x_at	10.195
200068_s_at	10.649
200069_at	8.199
200070_at	7.542
200071_at	9.989
200072_s_at	10.444
200073_s_at	11.133
200074_s_at	11.41
200075_s_at	8.639
200076_s_at	6.785
200077_s_at	11.831
200078_s_at	8.741
200079_s_at	10.118
200080_s_at	12.597
200081_s_at	12.647
200082_s_at	12.032
200083_at	9.848
200084_at	10.708
200085_s_at	10.233
200086_s_at	11.266
200087_s_at	11.078
200088_x_at	12.724
200089_s_at	12.14
200090_at	10.698
200091_s_at	11.807
200092_s_at	12.876
200093_s_at	10.962
200094_s_at	10.688
200095_x_at	12.64
200096_s_at	9.982
200097_s_at	10.751
200098_s_at	9.423
200099_s_at	12.866
200593_s_at	9.779
200594_x_at	11.221
200595_s_at	10.644
200596_s_at	9.399
200597_at	8.163
200598_s_at	11.101
200599_s_at	11.214
200600_at	9.189
200601_at	8.12
200602_at	9.952
200603_at	10.838
200604_s_at	7.377
200605_s_at	10.585
200606_at	10.825
200607_s_at	9.722
200608_s_at	11.151
200609_s_at	9.84
200610_s_at	10.791
200611_s_at	9.079
200612_s_at	7.567
200613_at	8.239
200614_at	11.782
200615_s_at	5.834
200616_s_at	9.772
200617_at	6.965
200618_at	9.724
200619_at	9.264
200620_at	10.365
200621_at	8.432
200622_x_at	7.028
200623_s_at	6.615
200624_s_at	10.21
200625_s_at	9.936
200626_s_at	10.908
200627_at	11.632
200628_s_at	6.993
200629_at	8.372
200630_x_at	11.765
200631_s_at	11.362
200632_s_at	9.34
200633_at	12.192
200634_at	9.322
200635_s_at	8.136
200636_s_at	9.635
200637_s_at	6.544
200638_s_at	11.668
200639_s_at	11.098
200640_at	11.061
200641_s_at	10.927
200642_at	11.603
200643_at	6.876
200644_at	10.501
200645_at	9.748
200646_s_at	4.192
200647_x_at	10.175
200648_s_at	6.732
200649_at	5.278
200650_s_at	11.969
200651_at	12.043
200652_at	11.379
200653_s_at	10.681
200654_at	10.482
200655_s_at	11.019
200656_s_at	8.922
200657_at	11.706
200658_s_at	9.803
200659_s_at	8.64
200660_at	9.008
200661_at	7.97
200662_s_at	11.288
200663_at	10.509
200664_s_at	7.34
200665_s_at	4.064
200666_s_at	8.273
200667_at	9.605
200668_s_at	10.967
200669_s_at	10.952
200670_at	9.019
200671_s_at	5.485
200672_x_at	7.155
200673_at	10.511
200674_s_at	12.582
200675_at	9.539
200676_s_at	6.352
200677_at	11.169
200678_x_at	8.011
200679_x_at	10.828
200680_x_at	11.898
200681_at	10.374
200682_s_at	10.268
200683_s_at	8.457
200684_s_at	7.715
200685_at	8.121
200686_s_at	10.452
200687_s_at	7.438
