^SAMPLE = GSM1229999
!Sample_title = BT-20_PTX_2
!Sample_geo_accession = GSM1229999
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Dec 17 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = BT-20 Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: BT-20
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1229nnn/GSM1229999/suppl/GSM1229999_CEL_284_4740_04_03_2012.CEL.gz
!Sample_relation = Reanalyzed by: GSE123917
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.136
AFFX-BioB-M_at	7.41
AFFX-BioB-3_at	7.115
AFFX-BioC-5_at	8.385
AFFX-BioC-3_at	8.915
AFFX-BioDn-5_at	9.867
AFFX-BioDn-3_at	10.729
AFFX-CreX-5_at	11.889
AFFX-CreX-3_at	12.148
AFFX-DapX-5_at	2.474
AFFX-DapX-M_at	2.36
AFFX-DapX-3_at	2.982
AFFX-LysX-5_at	2.255
AFFX-LysX-M_at	2.968
AFFX-LysX-3_at	1.949
AFFX-PheX-5_at	2.524
AFFX-PheX-M_at	2.259
AFFX-PheX-3_at	3.942
AFFX-ThrX-5_at	2.721
AFFX-ThrX-M_at	2.345
AFFX-ThrX-3_at	3.632
AFFX-TrpnX-5_at	3.209
AFFX-TrpnX-M_at	2.809
AFFX-TrpnX-3_at	2.362
AFFX-r2-Ec-bioB-5_at	7.241
AFFX-r2-Ec-bioB-M_at	7.419
AFFX-r2-Ec-bioB-3_at	7.422
AFFX-r2-Ec-bioC-5_at	8.803
AFFX-r2-Ec-bioC-3_at	9.084
AFFX-r2-Ec-bioD-5_at	10.959
AFFX-r2-Ec-bioD-3_at	11.23
AFFX-r2-P1-cre-5_at	12.437
AFFX-r2-P1-cre-3_at	12.6
AFFX-r2-Bs-dap-5_at	2.626
AFFX-r2-Bs-dap-M_at	2.344
AFFX-r2-Bs-dap-3_at	2.05
AFFX-r2-Bs-lys-5_at	2.086
AFFX-r2-Bs-lys-M_at	2.29
AFFX-r2-Bs-lys-3_at	2.443
AFFX-r2-Bs-phe-5_at	2.292
AFFX-r2-Bs-phe-M_at	2.474
AFFX-r2-Bs-phe-3_at	2.52
AFFX-r2-Bs-thr-3_s_at	3.346
AFFX-r2-Bs-thr-M_s_at	3.152
AFFX-r2-Bs-thr-5_s_at	2.689
AFFX-HUMISGF3A/M97935_5_at	5.769
AFFX-HUMISGF3A/M97935_MA_at	6.572
AFFX-HUMISGF3A/M97935_MB_at	7.172
AFFX-HUMISGF3A/M97935_3_at	9.704
AFFX-HUMRGE/M10098_5_at	13.127
AFFX-HUMRGE/M10098_M_at	12.618
AFFX-HUMRGE/M10098_3_at	12.37
AFFX-HUMGAPDH/M33197_5_at	12.555
AFFX-HUMGAPDH/M33197_M_at	12.765
AFFX-HUMGAPDH/M33197_3_at	12.829
AFFX-HSAC07/X00351_5_at	11.643
AFFX-HSAC07/X00351_M_at	12.242
AFFX-HSAC07/X00351_3_at	12.703
AFFX-M27830_5_at	12.664
AFFX-M27830_M_at	10.856
AFFX-M27830_3_at	5.407
AFFX-hum_alu_at	13.269
1007_s_at	10.393
1053_at	8.023
117_at	7.576
121_at	7.031
1255_g_at	2.524
1294_at	5.22
1316_at	4.621
1320_at	4.747
1405_i_at	2.323
1431_at	3.006
1438_at	5.434
1487_at	7.516
1494_f_at	5.021
1598_g_at	6.92
160020_at	5.733
1729_at	8.728
1773_at	5.4
177_at	5.045
179_at	7.469
1861_at	7.165
200000_s_at	8.987
200001_at	9.482
200002_at	12.437
200003_s_at	12.627
200004_at	12.084
200005_at	10.466
200006_at	11.734
200007_at	11.743
200008_s_at	9.171
200009_at	10.915
200010_at	12.158
200011_s_at	8.271
200012_x_at	12.853
200013_at	12.764
200014_s_at	11.073
200015_s_at	10.752
200016_x_at	12.27
200017_at	12.421
200018_at	12.719
200019_s_at	11.869
200020_at	10.165
200021_at	11.987
200022_at	12.512
200023_s_at	11.889
200024_at	12.224
200025_s_at	12.766
200026_at	11.645
200027_at	10.693
200028_s_at	10.35
200029_at	12.386
200030_s_at	11.722
200031_s_at	12.806
200032_s_at	12.602
200033_at	11.697
200034_s_at	12.434
200035_at	8.014
200036_s_at	11.771
200037_s_at	11.839
200038_s_at	12.2
200039_s_at	11.032
200040_at	10.462
200041_s_at	9.424
200042_at	9.219
200043_at	11.54
200044_at	11.039
200045_at	9.597
200046_at	10.266
200047_s_at	11.355
200048_s_at	11.697
200049_at	7.047
200050_at	10.226
200051_at	8.171
200052_s_at	10.693
200053_at	8.952
200054_at	8.813
200055_at	10.543
200056_s_at	9.622
200057_s_at	11.139
200058_s_at	9.701
200059_s_at	11.396
200060_s_at	10.078
200061_s_at	12.616
200062_s_at	12.761
200063_s_at	12.39
200064_at	11.412
200065_s_at	10.752
200066_at	9.114
200067_x_at	11.738
200068_s_at	11.249
200069_at	8.206
200070_at	7.551
200071_at	9.69
200072_s_at	10.624
200073_s_at	10.656
200074_s_at	11.585
200075_s_at	9.786
200076_s_at	8.2
200077_s_at	12.303
200078_s_at	9.385
200079_s_at	11.772
200080_s_at	12.556
200081_s_at	12.397
200082_s_at	12.619
200083_at	9.991
200084_at	11.177
200085_s_at	11.092
200086_s_at	11.873
200087_s_at	11.449
200088_x_at	12.672
200089_s_at	12.374
200090_at	10.531
200091_s_at	12.198
200092_s_at	13.08
200093_s_at	11.698
200094_s_at	11.672
200095_x_at	13.126
200096_s_at	11.581
200097_s_at	10.989
200098_s_at	9.445
200099_s_at	13.378
200593_s_at	9.782
200594_x_at	11.202
200595_s_at	9.827
200596_s_at	8.865
200597_at	6.187
200598_s_at	10.986
200599_s_at	11.142
200600_at	9.06
200601_at	8.503
200602_at	10.579
200603_at	10.871
200604_s_at	7.456
200605_s_at	10.459
200606_at	10.118
200607_s_at	9.532
200608_s_at	11.207
200609_s_at	10.311
200610_s_at	11.306
200611_s_at	9.95
200612_s_at	8.422
200613_at	9.047
200614_at	11.732
200615_s_at	8.651
200616_s_at	10.336
200617_at	7.584
200618_at	10.743
200619_at	8.866
200620_at	10.338
200621_at	9.002
200622_x_at	9.49
200623_s_at	8.504
200624_s_at	10.315
200625_s_at	10.662
200626_s_at	10.878
200627_at	11.912
200628_s_at	7.159
200629_at	8.353
200630_x_at	12.465
200631_s_at	11.972
200632_s_at	6.511
200633_at	12.946
200634_at	10.646
200635_s_at	9.69
200636_s_at	10.865
200637_s_at	7.923
200638_s_at	11.896
200639_s_at	11.367
200640_at	11.344
200641_s_at	11.022
200642_at	11.992
200643_at	7.799
200644_at	7.156
200645_at	10.585
200646_s_at	4.624
200647_x_at	9.924
200648_s_at	5.194
200649_at	6.203
200650_s_at	12.357
200651_at	12.489
200652_at	10.302
200653_s_at	10.935
200654_at	10.393
200655_s_at	11.354
200656_s_at	8.706
200657_at	12.461
200658_s_at	9.975
200659_s_at	8.118
200660_at	10.209
200661_at	9.368
200662_s_at	11.088
200663_at	11.371
200664_s_at	8.829
200665_s_at	2.885
200666_s_at	9.209
200667_at	9.894
200668_s_at	11.376
200669_s_at	11.131
200670_at	8.267
200671_s_at	6.037
200672_x_at	7.958
200673_at	11.232
200674_s_at	12.873
200675_at	10.182
200676_s_at	5.255
200677_at	11.275
200678_x_at	8.477
200679_x_at	11.71
200680_x_at	12.613
200681_at	11.151
200682_s_at	10.441
200683_s_at	8.368
200684_s_at	7.168
200685_at	5.958
