^SAMPLE = GSM198781
!Sample_title = GSf Neurospheres Hamburg GS-9-2
!Sample_geo_accession = GSM198781
!Sample_status = Public on Dec 04 2007
!Sample_submission_date = Jun 07 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma derived neurosphere cultures
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = GSf
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = otal RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol.
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = Gene expression data from glioblastoma derived neurosphere cultures
!Sample_data_processing = gcRMA package for R Version 2.3.1
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198781/suppl/GSM198781.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198781/suppl/GSM198781.EXP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8049
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Log2 gcRMA processed signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.31986713
1053_at	8.484593391
117_at	3.610274076
121_at	3.431566715
1255_g_at	1.934770226
1294_at	3.190835476
1316_at	3.459892273
1320_at	2.804652691
1405_i_at	2.755161524
1431_at	2.546455383
1438_at	3.662248135
1487_at	5.475867748
1494_f_at	2.741980791
1552256_a_at	8.156021118
1552257_a_at	8.604840279
1552258_at	2.914131403
1552261_at	2.824735165
1552263_at	3.275218964
1552264_a_at	5.946609974
1552266_at	3.030884743
1552269_at	2.837314367
1552271_at	2.275920153
1552272_a_at	1.980265498
1552274_at	6.143194199
1552275_s_at	5.690275192
1552276_a_at	2.285051823
1552277_a_at	8.41020298
1552278_a_at	2.496455431
1552279_a_at	3.496546984
1552280_at	2.132944822
1552281_at	2.909832716
1552283_s_at	5.101434231
1552286_at	3.751863241
1552287_s_at	6.381063461
1552288_at	3.28384757
1552289_a_at	1.85474503
1552291_at	10.05931377
1552293_at	2.819690704
1552295_a_at	3.803786039
1552296_at	2.283465385
1552299_at	3.986314535
1552301_a_at	3.05256176
1552302_at	3.347314358
1552303_a_at	2.42594409
1552304_at	2.557368279
1552306_at	4.725981236
1552307_a_at	2.743002176
1552309_a_at	1.960606933
1552310_at	6.191738129
1552311_a_at	3.40601182
1552312_a_at	3.75509119
1552314_a_at	3.997500181
1552315_at	2.613111496
1552316_a_at	2.44408989
1552318_at	2.600397348
1552319_a_at	2.702427387
1552320_a_at	3.262760878
1552321_a_at	2.217453718
1552322_at	2.165573597
1552323_s_at	3.583835363
1552325_at	4.12016964
1552326_a_at	3.423306227
1552327_at	3.407232285
1552329_at	6.012262821
1552330_at	4.668954372
1552332_at	3.989466429
1552334_at	3.876033545
1552335_at	3.098610401
1552337_s_at	2.492552042
1552338_at	1.533593178
1552340_at	2.091065168
1552343_s_at	2.922507524
1552344_s_at	5.590900898
1552347_at	6.670469761
1552348_at	2.756371021
1552349_a_at	2.773430109
1552354_at	2.372776508
1552355_s_at	2.257313967
1552359_at	2.493601799
1552360_a_at	3.457443237
1552362_a_at	3.821179152
1552364_s_at	3.695565701
1552365_at	2.189294577
1552367_a_at	2.839042425
1552368_at	2.745631456
1552370_at	4.96355629
1552372_at	2.411052465
1552373_s_at	2.571183205
1552375_at	3.661677837
1552377_s_at	2.581760406
1552378_s_at	3.887771368
1552379_at	2.260898113
1552381_at	4.978806973
1552383_at	4.152340412
1552384_a_at	2.531530857
1552386_at	2.366037369
1552388_at	2.281638861
1552389_at	3.493709326
1552390_a_at	2.588483334
1552391_at	3.477275848
1552393_at	2.691721439
1552394_a_at	2.435845852
1552395_at	2.72846818
1552396_at	2.545114279
1552398_a_at	2.373402357
1552399_a_at	2.93792367
1552400_a_at	2.828835011
1552401_a_at	2.943694353
1552402_at	2.763391972
1552405_at	2.125673532
1552408_at	2.137226105
1552409_a_at	2.997706175
1552410_at	2.086118698
1552411_at	0.980959833
1552412_a_at	2.749297857
1552414_at	2.878689051
1552415_a_at	2.672860861
1552417_a_at	5.494394779
1552418_at	2.072417736
1552419_s_at	2.625218868
1552421_a_at	2.045440435
1552422_at	2.836696386
1552423_at	3.083820343
1552424_at	2.607660294
1552425_a_at	2.61051631
1552426_a_at	9.70690155
1552427_at	3.945695877
1552430_at	4.567878246
1552432_at	2.459225655
1552436_a_at	1.908295274
1552438_a_at	2.43319869
1552439_s_at	3.474718571
1552440_at	3.241564035
1552445_a_at	2.876883984
1552448_a_at	1.690929055
1552449_a_at	2.137946367
1552450_a_at	2.373094559
1552452_at	2.211759567
1552453_a_at	1.576369882
1552455_at	2.567937136
1552456_a_at	2.403936863
1552457_a_at	2.239797354
1552458_at	2.658019066
1552459_a_at	2.573344231
1552461_at	1.999169111
1552463_at	2.344356537
1552466_x_at	3.360140562
1552467_at	3.616473913
1552468_a_at	2.034443617
1552470_a_at	2.473487139
1552472_a_at	4.048472404
1552473_at	3.125082016
1552474_a_at	6.978971481
1552476_s_at	2.572278738
1552477_a_at	1.936479449
1552478_a_at	2.49617672
1552480_s_at	2.488212109
1552481_s_at	3.67232728
1552482_at	2.496715784
1552484_at	2.427711248
1552485_at	4.315339088
1552486_s_at	4.503405094
1552487_a_at	2.046340704
1552489_s_at	2.444370747
1552490_at	2.805488348
1552491_at	2.536106586
1552493_s_at	2.284378052
1552494_at	2.535650015
1552496_a_at	3.068482876
1552497_a_at	3.008106947
1552498_at	2.352548599
1552499_a_at	2.412026644
1552501_a_at	2.698428392
1552502_s_at	2.596683264
1552503_at	2.187886715
1552504_a_at	4.053358555
1552506_at	1.879786611
1552507_at	5.433167458
1552508_at	4.597870827
1552509_a_at	2.45486021
1552510_at	3.189883232
1552511_a_at	1.751882434
1552514_at	2.196791172
1552515_at	2.18524456
1552516_a_at	4.446188927
1552518_s_at	6.335659504
1552519_at	2.129496813
1552520_at	2.866387844
1552521_a_at	2.997500181
1552522_at	3.941864967
1552523_a_at	4.168674469
1552524_at	2.775903463
1552526_at	2.109030962
1552528_at	2.66152072
1552531_a_at	2.453949928
1552532_a_at	3.063507318
1552535_at	2.703170061
1552536_at	2.718164206
1552538_a_at	2.855127335
1552540_s_at	3.452851057
1552541_at	2.833906651
1552542_s_at	2.251642227
1552543_a_at	2.203644276
1552544_at	2.868969679
1552546_a_at	2.5738585
1552548_at	2.551048756
1552549_a_at	3.099829674
1552552_s_at	2.227020979
1552553_a_at	2.08974576
1552554_a_at	1.953354955
1552555_at	2.817528486
1552557_a_at	4.603327751
1552558_a_at	3.018437147
1552559_a_at	2.964724064
1552562_at	2.252451181
1552563_a_at	1.896868587
1552564_at	2.91770792
1552566_at	1.93828845
1552568_at	2.705907106
1552569_a_at	2.067946911
1552570_at	2.57098484
1552572_a_at	1.918278098
1552573_s_at	2.875711441
1552575_a_at	2.769617319
1552576_at	2.432434559
1552578_a_at	2.535061598
1552579_a_at	2.647830009
1552580_at	2.549286842
1552582_at	2.561925411
1552583_s_at	2.22221756
1552584_at	2.258915663
1552585_s_at	2.426112175
1552586_at	2.565897465
1552587_at	2.903263092
1552588_a_at	1.77810514
1552590_a_at	1.716727257
1552592_at	2.586341143
1552594_at	2.342996836
1552596_at	1.663454652
1552598_at	2.384185314
1552599_at	2.189227104
1552602_at	2.874943972
1552604_at	2.673217297
1552605_s_at	3.01890707
