^SAMPLE = GSM587168
!Sample_title = conventional glioma cell line, serum_U118MG
!Sample_geo_accession = GSM587168
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = conventional glioma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: U118MG
!Sample_characteristics_ch1 = sample type: conventional glioma cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = conventional glioma cell line, serum conditions
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587168/suppl/GSM587168.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.054961
1053_at	8.676961
117_at	2.999304
121_at	4.03197
1255_g_at	1.794688
1294_at	3.778826
1316_at	3.069914
1320_at	3.691364
1405_i_at	2.573398
1431_at	2.210486
1438_at	3.058961
1487_at	5.638181
1494_f_at	2.988931
1552256_a_at	6.018986
1552257_a_at	7.890729
1552258_at	3.032345
1552261_at	2.538434
1552263_at	3.324949
1552264_a_at	8.310651
1552266_at	2.626288
1552269_at	2.067775
1552271_at	2.383967
1552272_a_at	2.601677
1552274_at	7.309522
1552275_s_at	7.428595
1552276_a_at	2.996379
1552277_a_at	9.865616
1552278_a_at	2.450261
1552279_a_at	3.344996
1552280_at	1.777088
1552281_at	2.768696
1552283_s_at	2.852537
1552286_at	3.258279
1552287_s_at	7.261562
1552288_at	2.773554
1552289_a_at	1.649202
1552291_at	7.982838
1552293_at	2.672417
1552295_a_at	5.900962
1552296_at	2.148773
1552299_at	3.252438
1552301_a_at	3.358694
1552302_at	3.886677
1552303_a_at	3.579291
1552304_at	2.871587
1552306_at	6.54717
1552307_a_at	4.329847
1552309_a_at	6.797487
1552310_at	8.256783
1552311_a_at	3.20045
1552312_a_at	6.721376
1552314_a_at	3.692418
1552315_at	2.350415
1552316_a_at	1.819272
1552318_at	2.191296
1552319_a_at	2.653812
1552320_a_at	2.842867
1552321_a_at	2.243941
1552322_at	2.024364
1552323_s_at	2.670193
1552325_at	3.16439
1552326_a_at	2.265274
1552327_at	3.0003
1552329_at	4.953309
1552330_at	5.607787
1552332_at	4.395016
1552334_at	5.495024
1552335_at	3.482616
1552337_s_at	2.055267
1552338_at	1.42295
1552340_at	2.478085
1552343_s_at	3.280881
1552344_s_at	6.212433
1552347_at	6.475181
1552348_at	2.765138
1552349_a_at	2.655198
1552354_at	2.428927
1552355_s_at	2.59225
1552359_at	2.641999
1552360_a_at	3.470915
1552362_a_at	3.875892
1552364_s_at	2.78491
1552365_at	2.172148
1552367_a_at	2.550122
1552368_at	2.267655
1552370_at	4.304107
1552372_at	2.387116
1552373_s_at	2.296393
1552375_at	2.870664
1552377_s_at	2.938311
1552378_s_at	3.55537
1552379_at	2.061095
1552381_at	2.316119
1552383_at	3.539345
1552384_a_at	2.350294
1552386_at	1.994013
1552388_at	2.257624
1552389_at	3.129142
1552390_a_at	2.7101
1552391_at	3.281909
1552393_at	2.56163
1552394_a_at	2.096866
1552395_at	2.908532
1552396_at	2.49913
1552398_a_at	2.374298
1552399_a_at	3.457126
1552400_a_at	2.443606
1552401_a_at	2.404797
1552402_at	2.904031
1552405_at	2.234073
1552408_at	2.391121
1552409_a_at	2.78132
1552410_at	2.029631
1552411_at	1.004044
1552412_a_at	2.559032
1552414_at	2.864944
1552415_a_at	2.745705
1552417_a_at	6.521171
1552418_at	2.077601
1552419_s_at	2.721303
1552421_a_at	2.197219
1552422_at	3.926426
1552423_at	2.808437
1552424_at	2.530752
1552425_a_at	1.884818
1552426_a_at	9.276396
1552427_at	3.270942
1552430_at	2.876376
1552432_at	2.644462
1552436_a_at	1.914382
1552438_a_at	2.348454
1552439_s_at	2.054497
1552440_at	2.605269
1552445_a_at	2.923266
1552448_a_at	1.999507
1552449_a_at	2.018649
1552450_a_at	1.777002
1552452_at	2.243868
1552453_a_at	1.790988
1552455_at	2.972072
1552456_a_at	2.266568
1552457_a_at	3.574691
1552458_at	2.63246
1552459_a_at	2.260438
1552461_at	1.853549
1552463_at	2.487917
1552466_x_at	3.116791
1552467_at	3.535283
1552468_a_at	2.044145
1552470_a_at	2.275593
1552472_a_at	5.783076
1552473_at	3.335209
1552474_a_at	6.803261
1552476_s_at	3.373987
1552477_a_at	1.86559
1552478_a_at	2.178176
1552480_s_at	2.191627
1552481_s_at	4.723754
1552482_at	3.275317
1552484_at	2.490659
1552485_at	6.375973
1552486_s_at	7.109331
1552487_a_at	1.841631
1552489_s_at	5.825469
1552490_at	2.572702
1552491_at	2.681568
1552493_s_at	2.366268
1552494_at	2.535082
1552496_a_at	2.128644
1552497_a_at	2.162123
1552498_at	2.53395
1552499_a_at	2.660918
1552501_a_at	2.650956
1552502_s_at	3.2786
1552503_at	2.237522
1552504_a_at	2.511787
1552506_at	1.405679
1552507_at	3.050044
1552508_at	2.422189
1552509_a_at	2.244561
1552510_at	2.702809
1552511_a_at	1.885768
1552514_at	1.927072
1552515_at	2.295221
1552516_a_at	3.50811
1552518_s_at	4.042519
1552519_at	2.522278
1552520_at	3.624947
1552521_a_at	3.566032
1552522_at	2.709704
1552523_a_at	2.578283
1552524_at	2.747729
1552526_at	1.974259
1552528_at	2.444022
1552531_a_at	2.665293
1552532_a_at	2.736897
1552535_at	2.281851
1552536_at	2.655438
1552538_a_at	2.262212
1552540_s_at	2.632996
1552541_at	2.917955
1552542_s_at	1.527959
1552543_a_at	2.363984
1552544_at	2.730634
1552546_a_at	3.20236
1552548_at	2.717587
1552549_a_at	2.838661
1552552_s_at	2.198103
1552553_a_at	2.239291
1552554_a_at	2.000472
1552555_at	3.447247
1552557_a_at	3.613792
1552558_a_at	2.638084
1552559_a_at	2.510853
1552562_at	2.25997
1552563_a_at	1.82554
1552564_at	2.302063
1552566_at	1.89991
1552568_at	2.557043
1552569_a_at	2.104661
1552570_at	2.28816
1552572_a_at	2.128043
1552573_s_at	2.489988
1552575_a_at	3.367031
1552576_at	2.316536
1552578_a_at	1.942911
1552579_a_at	2.53938
1552580_at	2.205216
1552582_at	2.276723
1552583_s_at	1.910587
1552584_at	2.374186
1552585_s_at	2.087227
1552586_at	2.688471
1552587_at	2.266527
1552588_a_at	1.559436
1552590_a_at	1.844428
1552592_at	2.530931
1552594_at	2.019815
1552596_at	1.630655
1552598_at	1.917017
1552599_at	2.037572
1552602_at	2.762098
1552604_at	2.984168
1552605_s_at	2.937487
1552607_at	3.112645
1552608_at	2.493075
1552609_s_at	2.232824
1552610_a_at	7.582252
1552611_a_at	6.313521
1552612_at	3.799763
1552613_s_at	5.930299
1552615_at	3.156919
1552616_a_at	1.584775
1552617_a_at	6.117021
1552618_at	6.0655
1552619_a_at	11.090299
1552620_at	3.402852
1552621_at	6.543429
1552622_s_at	7.484072
1552623_at	2.20353
1552625_a_at	4.930043
1552626_a_at	2.516937
1552627_a_at	6.06796
1552628_a_at	9.421382
1552629_a_at	2.131468
