^SAMPLE = GSM587176
!Sample_title = conventional glioma cell line, serum_G28T
!Sample_geo_accession = GSM587176
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = conventional glioma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: G28T
!Sample_characteristics_ch1 = sample type: conventional glioma cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = conventional glioma cell line, serum conditions
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587176/suppl/GSM587176.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.186505
1053_at	8.941206
117_at	3.19989
121_at	3.856015
1255_g_at	1.934114
1294_at	3.343846
1316_at	3.188657
1320_at	3.505975
1405_i_at	2.451964
1431_at	2.487581
1438_at	3.944514
1487_at	6.642976
1494_f_at	2.911213
1552256_a_at	6.675966
1552257_a_at	7.724486
1552258_at	2.526509
1552261_at	2.844836
1552263_at	3.875892
1552264_a_at	6.943408
1552266_at	2.743133
1552269_at	2.432276
1552271_at	2.341496
1552272_a_at	2.460653
1552274_at	8.130315
1552275_s_at	7.930091
1552276_a_at	2.811934
1552277_a_at	10.102545
1552278_a_at	4.089711
1552279_a_at	3.55537
1552280_at	1.840406
1552281_at	2.883374
1552283_s_at	3.184826
1552286_at	3.353073
1552287_s_at	6.297699
1552288_at	3.072342
1552289_a_at	1.732101
1552291_at	8.423312
1552293_at	2.8544
1552295_a_at	7.369905
1552296_at	2.403049
1552299_at	2.833393
1552301_a_at	3.916796
1552302_at	4.396043
1552303_a_at	4.453617
1552304_at	2.552182
1552306_at	4.232252
1552307_a_at	3.302452
1552309_a_at	8.314002
1552310_at	7.595907
1552311_a_at	3.239539
1552312_a_at	6.709784
1552314_a_at	3.689812
1552315_at	2.232955
1552316_a_at	1.782167
1552318_at	2.62813
1552319_a_at	2.759903
1552320_a_at	3.01241
1552321_a_at	1.944755
1552322_at	2.60005
1552323_s_at	3.590143
1552325_at	3.24241
1552326_a_at	2.211539
1552327_at	2.525751
1552329_at	3.43154
1552330_at	4.289377
1552332_at	4.035833
1552334_at	4.596578
1552335_at	3.345102
1552337_s_at	2.446308
1552338_at	1.977819
1552340_at	2.006072
1552343_s_at	2.17878
1552344_s_at	6.196963
1552347_at	6.856326
1552348_at	2.88114
1552349_a_at	2.512834
1552354_at	2.277828
1552355_s_at	2.467988
1552359_at	2.078025
1552360_a_at	3.324949
1552362_a_at	3.680175
1552364_s_at	3.185492
1552365_at	1.800529
1552367_a_at	2.338476
1552368_at	2.254178
1552370_at	3.638126
1552372_at	2.385645
1552373_s_at	2.56861
1552375_at	2.724836
1552377_s_at	2.471311
1552378_s_at	4.227
1552379_at	2.010983
1552381_at	2.324287
