^SAMPLE = GSM1230542
!Sample_title = HEC-108_control_1
!Sample_geo_accession = GSM1230542
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HEC-108 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HEC-108
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230542/suppl/GSM1230542_CEL_273_4318_12_06_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.074
AFFX-BioB-M_at	3.929
AFFX-BioB-3_at	3.567
AFFX-BioC-5_at	6.939
AFFX-BioC-3_at	7.578
AFFX-BioDn-5_at	8.77
AFFX-BioDn-3_at	9.711
AFFX-CreX-5_at	11.044
AFFX-CreX-3_at	11.492
AFFX-DapX-5_at	2.341
AFFX-DapX-M_at	2.252
AFFX-DapX-3_at	2.568
AFFX-LysX-5_at	2.144
AFFX-LysX-M_at	2.557
AFFX-LysX-3_at	2.187
AFFX-PheX-5_at	2.632
AFFX-PheX-M_at	2.47
AFFX-PheX-3_at	4.503
AFFX-ThrX-5_at	2.595
AFFX-ThrX-M_at	2.63
AFFX-ThrX-3_at	3.576
AFFX-TrpnX-5_at	2.889
AFFX-TrpnX-M_at	2.742
AFFX-TrpnX-3_at	2.33
AFFX-r2-Ec-bioB-5_at	4.029
AFFX-r2-Ec-bioB-M_at	4.325
AFFX-r2-Ec-bioB-3_at	4.743
AFFX-r2-Ec-bioC-5_at	7.481
AFFX-r2-Ec-bioC-3_at	7.951
AFFX-r2-Ec-bioD-5_at	10.179
AFFX-r2-Ec-bioD-3_at	10.222
AFFX-r2-P1-cre-5_at	11.826
AFFX-r2-P1-cre-3_at	12.153
AFFX-r2-Bs-dap-5_at	2.472
AFFX-r2-Bs-dap-M_at	2.267
AFFX-r2-Bs-dap-3_at	2.032
AFFX-r2-Bs-lys-5_at	2.132
AFFX-r2-Bs-lys-M_at	2.324
AFFX-r2-Bs-lys-3_at	2.47
AFFX-r2-Bs-phe-5_at	2.021
AFFX-r2-Bs-phe-M_at	2.45
AFFX-r2-Bs-phe-3_at	2.847
AFFX-r2-Bs-thr-3_s_at	3.261
AFFX-r2-Bs-thr-M_s_at	2.9
AFFX-r2-Bs-thr-5_s_at	2.815
AFFX-HUMISGF3A/M97935_5_at	7.611
AFFX-HUMISGF3A/M97935_MA_at	7.77
AFFX-HUMISGF3A/M97935_MB_at	7.91
