^SAMPLE = GSM587209
!Sample_title = glioblastoma stem-like cell line, serum free, early passage_GS-5 p9
!Sample_geo_accession = GSM587209
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma stem-like cell line, GSf cell line (Günther HS et al.)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: GS-5 p9
!Sample_characteristics_ch1 = sample type: glioblastoma stem-like (GS) cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = glioblastoma stem-like cell lines, serum free conditions, early passage
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587209/suppl/GSM587209.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.973393
1053_at	9.809036
117_at	3.055253
121_at	3.5198
1255_g_at	1.792638
1294_at	3.260944
1316_at	2.824378
1320_at	3.004597
1405_i_at	2.644555
1431_at	1.941425
1438_at	7.441324
1487_at	5.745647
1494_f_at	2.885389
1552256_a_at	8.220903
1552257_a_at	9.347231
1552258_at	2.748727
1552261_at	2.751856
1552263_at	3.065828
1552264_a_at	7.503599
1552266_at	2.874004
1552269_at	2.315017
1552271_at	2.075327
1552272_a_at	2.320561
1552274_at	5.580626
1552275_s_at	4.258372
1552276_a_at	2.393732
1552277_a_at	9.182766
1552278_a_at	2.514069
1552279_a_at	3.889361
1552280_at	1.992756
1552281_at	2.58355
1552283_s_at	5.601723
1552286_at	4.030678
1552287_s_at	4.53342
1552288_at	3.465177
1552289_a_at	1.567113
1552291_at	9.676725
1552293_at	2.387078
1552295_a_at	4.573858
1552296_at	2.18597
1552299_at	3.064527
1552301_a_at	2.668489
1552302_at	3.175834
1552303_a_at	2.185559
1552304_at	2.15081
1552306_at	2.752356
1552307_a_at	2.743038
1552309_a_at	2.055449
1552310_at	5.72798
1552311_a_at	3.367504
1552312_a_at	4.37087
1552314_a_at	3.847408
1552315_at	2.690542
1552316_a_at	1.96615
1552318_at	2.581577
1552319_a_at	2.958067
1552320_a_at	3.215855
1552321_a_at	2.202342
1552322_at	2.317597
1552323_s_at	2.90046
1552325_at	3.131745
1552326_a_at	2.858464
1552327_at	2.826266
1552329_at	3.429889
1552330_at	2.751911
1552332_at	4.268208
1552334_at	3.476545
1552335_at	2.863169
1552337_s_at	2.428498
1552338_at	1.67751
1552340_at	2.110176
1552343_s_at	2.671385
1552344_s_at	5.418411
1552347_at	7.521366
1552348_at	3.115354
1552349_a_at	2.557458
1552354_at	2.898696
1552355_s_at	2.48515
1552359_at	2.336602
1552360_a_at	3.58614
1552362_a_at	4.816962
1552364_s_at	2.823464
1552365_at	1.664471
1552367_a_at	2.655485
1552368_at	2.783538
1552370_at	3.669182
1552372_at	2.313852
1552373_s_at	2.121505
1552375_at	2.761833
1552377_s_at	2.994021
1552378_s_at	2.926122
1552379_at	2.31431
1552381_at	4.284083
1552383_at	4.476303
1552384_a_at	2.180543
1552386_at	1.960786
1552388_at	2.322417
1552389_at	3.003105
