^SAMPLE = GSM749882
!Sample_title = BJ cells, IR, 3h, rep3
!Sample_geo_accession = GSM749882
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 28 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = BJ cells, IR 3h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: BJ
!Sample_characteristics_ch1 = stress: 5 Gy IR
!Sample_characteristics_ch1 = time: 3h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from irradiated BJ cells, 3h (5 Gy)
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM749nnn/GSM749882/suppl/GSM749882_B.IR3c.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM749nnn/GSM749882/suppl/GSM749882_B.IR3c.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.06135
AFFX-BioB-M_at	7.51202
AFFX-BioB-3_at	7.05376
AFFX-BioC-5_at	8.61223
AFFX-BioC-3_at	8.65566
AFFX-BioDn-5_at	10.157
AFFX-BioDn-3_at	11.288
AFFX-CreX-5_at	12.1886
AFFX-CreX-3_at	12.5214
AFFX-DapX-5_at	7.76491
AFFX-DapX-M_at	9.03342
AFFX-DapX-3_at	9.92435
AFFX-LysX-5_at	4.87475
AFFX-LysX-M_at	5.76278
AFFX-LysX-3_at	7.1467
AFFX-PheX-5_at	6.00669
AFFX-PheX-M_at	6.27067
AFFX-PheX-3_at	6.94676
AFFX-ThrX-5_at	6.49931
AFFX-ThrX-M_at	7.02663
AFFX-ThrX-3_at	8.23785
AFFX-TrpnX-5_at	2.62572
AFFX-TrpnX-M_at	2.58648
AFFX-TrpnX-3_at	2.49583
AFFX-r2-Ec-bioB-5_at	7.46838
AFFX-r2-Ec-bioB-M_at	7.82924
AFFX-r2-Ec-bioB-3_at	7.71483
AFFX-r2-Ec-bioC-5_at	9.29646
AFFX-r2-Ec-bioC-3_at	9.22753
AFFX-r2-Ec-bioD-5_at	11.4584
AFFX-r2-Ec-bioD-3_at	11.7917
AFFX-r2-P1-cre-5_at	12.9876
AFFX-r2-P1-cre-3_at	12.91
AFFX-r2-Bs-dap-5_at	8.46997
AFFX-r2-Bs-dap-M_at	8.97122
AFFX-r2-Bs-dap-3_at	9.75377
AFFX-r2-Bs-lys-5_at	5.59628
AFFX-r2-Bs-lys-M_at	6.28148
AFFX-r2-Bs-lys-3_at	6.12452
AFFX-r2-Bs-phe-5_at	6.89063
AFFX-r2-Bs-phe-M_at	6.13188
AFFX-r2-Bs-phe-3_at	7.49317
AFFX-r2-Bs-thr-3_s_at	8.66896
AFFX-r2-Bs-thr-M_s_at	7.63731
AFFX-r2-Bs-thr-5_s_at	7.34887
AFFX-HUMISGF3A/M97935_5_at	4.61397
AFFX-HUMISGF3A/M97935_MA_at	6.96554
AFFX-HUMISGF3A/M97935_MB_at	7.27764
AFFX-HUMISGF3A/M97935_3_at	9.97861
AFFX-HUMRGE/M10098_5_at	10.6127
AFFX-HUMRGE/M10098_M_at	5.07476
AFFX-HUMRGE/M10098_3_at	4.79522
AFFX-HUMGAPDH/M33197_5_at	12.9808
AFFX-HUMGAPDH/M33197_M_at	13.0029
AFFX-HUMGAPDH/M33197_3_at	12.9864
AFFX-HSAC07/X00351_5_at	12.0717
AFFX-HSAC07/X00351_M_at	12.6768
AFFX-HSAC07/X00351_3_at	13.3377
