^SAMPLE = GSM748827
!Sample_title = G361 cells, IR, 6h, rep1
!Sample_geo_accession = GSM748827
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = G361 cells, IR 6h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: G361
!Sample_characteristics_ch1 = stress: 5 Gy IR
!Sample_characteristics_ch1 = time: 6h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from irradiated G361 cells, 6h (5 Gy)
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748827/suppl/GSM748827_G.IR6.a.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748827/suppl/GSM748827_G.IR6a.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.11055
AFFX-BioB-M_at	7.36147
AFFX-BioB-3_at	7.06047
AFFX-BioC-5_at	8.33554
AFFX-BioC-3_at	8.64623
AFFX-BioDn-5_at	9.92537
AFFX-BioDn-3_at	11.0133
AFFX-CreX-5_at	11.942
AFFX-CreX-3_at	12.2595
AFFX-DapX-5_at	6.59654
AFFX-DapX-M_at	8.44999
AFFX-DapX-3_at	9.50403
AFFX-LysX-5_at	4.36649
AFFX-LysX-M_at	5.08157
AFFX-LysX-3_at	6.8374
AFFX-PheX-5_at	4.94172
AFFX-PheX-M_at	5.66872
AFFX-PheX-3_at	6.71209
AFFX-ThrX-5_at	5.36056
AFFX-ThrX-M_at	6.35923
AFFX-ThrX-3_at	7.90714
AFFX-TrpnX-5_at	2.60328
AFFX-TrpnX-M_at	2.56088
AFFX-TrpnX-3_at	2.35988
AFFX-r2-Ec-bioB-5_at	7.4805
AFFX-r2-Ec-bioB-M_at	7.51137
AFFX-r2-Ec-bioB-3_at	7.76281
AFFX-r2-Ec-bioC-5_at	8.98707
AFFX-r2-Ec-bioC-3_at	9.02839
AFFX-r2-Ec-bioD-5_at	11.0735
AFFX-r2-Ec-bioD-3_at	11.4367
AFFX-r2-P1-cre-5_at	12.6963
AFFX-r2-P1-cre-3_at	12.5762
AFFX-r2-Bs-dap-5_at	7.13498
AFFX-r2-Bs-dap-M_at	8.23873
AFFX-r2-Bs-dap-3_at	9.39107
AFFX-r2-Bs-lys-5_at	4.82989
AFFX-r2-Bs-lys-M_at	5.64654
AFFX-r2-Bs-lys-3_at	5.64558
AFFX-r2-Bs-phe-5_at	5.5493
AFFX-r2-Bs-phe-M_at	5.65609
AFFX-r2-Bs-phe-3_at	7.14018
AFFX-r2-Bs-thr-3_s_at	8.22833
AFFX-r2-Bs-thr-M_s_at	7.00148
AFFX-r2-Bs-thr-5_s_at	6.41517
AFFX-HUMISGF3A/M97935_5_at	3.60304
AFFX-HUMISGF3A/M97935_MA_at	5.73582
AFFX-HUMISGF3A/M97935_MB_at	5.2099
AFFX-HUMISGF3A/M97935_3_at	8.8845
AFFX-HUMRGE/M10098_5_at	3.91521
AFFX-HUMRGE/M10098_M_at	3.85336
AFFX-HUMRGE/M10098_3_at	4.8747
AFFX-HUMGAPDH/M33197_5_at	12.462
AFFX-HUMGAPDH/M33197_M_at	13.1918
AFFX-HUMGAPDH/M33197_3_at	13.3992
AFFX-HSAC07/X00351_5_at	11.3712
AFFX-HSAC07/X00351_M_at	12.7037
AFFX-HSAC07/X00351_3_at	13.3085
AFFX-M27830_5_at	6.37651
AFFX-M27830_M_at	9.11336
AFFX-M27830_3_at	4.54472
AFFX-hum_alu_at	13.571
1007_s_at	8.21695
1053_at	8.58059
117_at	4.4893
121_at	6.14988
1255_g_at	2.35384
1294_at	4.95115
1316_at	4.12527
1320_at	3.28239
1405_i_at	3.02468
1431_at	2.48715
1438_at	3.96046
1487_at	7.45269
1494_f_at	3.8268
1598_g_at	6.51057
160020_at	8.33572
1729_at	6.60173
1773_at	5.77933
177_at	4.78562
179_at	6.63171
1861_at	4.9029
200000_s_at	9.14682
200001_at	10.326
200002_at	12.6822
200003_s_at	12.2094
200004_at	12.0056
200005_at	11.6526
200006_at	12.0526
200007_at	11.911
200008_s_at	9.28127
200009_at	11.4831
200010_at	12.3016
200011_s_at	9.36767
200012_x_at	12.9416
200013_at	12.7353
200014_s_at	10.5979
200015_s_at	11.1197
200016_x_at	12.7769
200017_at	12.6075
200018_at	13.2382
200019_s_at	12.1803
200020_at	10.1907
200021_at	13.0977
200022_at	12.653
200023_s_at	11.9613
200024_at	12.2615
200025_s_at	13.1566
200026_at	11.859
200027_at	12.0161
200028_s_at	11.3102
200029_at	13.3053
200030_s_at	12.5053
200031_s_at	11.7893
200032_s_at	13.0155
200033_at	11.4129
200034_s_at	12.5132
200035_at	8.525
200036_s_at	12.5478
200037_s_at	11.5677
200038_s_at	13.0086
200039_s_at	11.1041
200040_at	11.0452
200041_s_at	10.9277
200042_at	10.7508
200043_at	11.1162
200044_at	9.87701
200045_at	8.98716
200046_at	9.71436
200047_s_at	10.4927
200048_s_at	10.9771
200049_at	7.61916
200050_at	9.85749
200051_at	7.84696
200052_s_at	10.2802
200053_at	8.08717
200054_at	7.8268
200055_at	10.6103
200056_s_at	8.90721
200057_s_at	11.5305
200058_s_at	9.77385
200059_s_at	12.0309
200060_s_at	9.6883
200061_s_at	12.4914
200062_s_at	12.9672
200063_s_at	12.9555
200064_at	12.6
200065_s_at	10.2589
200066_at	9.57726
200067_x_at	10.0857
200068_s_at	11.8358
200069_at	8.58073
200070_at	7.49488
200071_at	9.41137
200072_s_at	10.4493
200073_s_at	10.9273
200074_s_at	12.2063
200075_s_at	8.72529
200076_s_at	9.4209
200077_s_at	12.3297
200078_s_at	9.93371
200079_s_at	10.9262
200080_s_at	11.7709
200081_s_at	12.845
200082_s_at	12.8995
200083_at	8.10368
200084_at	10.7938
200085_s_at	11.204
200086_s_at	11.4078
200087_s_at	10.9991
200088_x_at	13.4229
200089_s_at	12.6016
200090_at	10.9646
200091_s_at	11.1473
200092_s_at	13.1041
200093_s_at	10.5935
200094_s_at	12.037
200095_x_at	13.3334
200096_s_at	10.6285
200097_s_at	10.4707
200098_s_at	10.7258
200099_s_at	12.9086
200593_s_at	10.1819
200594_x_at	11.1386
200595_s_at	9.95962
200596_s_at	8.77926
200597_at	7.92822
200598_s_at	9.18473
200599_s_at	11.4211
200600_at	10.1197
200601_at	8.90758
200602_at	8.91083
200603_at	10.8866
200604_s_at	10.1016
200605_s_at	10.9526
200606_at	5.34912
200607_s_at	8.163
200608_s_at	9.7781
200609_s_at	10.552
200610_s_at	11.2225
200611_s_at	10.2768
200612_s_at	8.76346
200613_at	10.3675
200614_at	12.5294
200615_s_at	8.35313
200616_s_at	9.0312
200617_at	8.7581
200618_at	9.54058
200619_at	9.9894
200620_at	10.0931
200621_at	8.99868
200622_x_at	6.97791
200623_s_at	7.85276
200624_s_at	9.92116
200625_s_at	11.6926
200626_s_at	10.4306
200627_at	12.1344
200628_s_at	8.45566
200629_at	10.251
200630_x_at	8.66477
200631_s_at	11.1295
200632_s_at	8.2003
200633_at	13.2657
200634_at	10.6995
200635_s_at	5.83071
200636_s_at	7.80087
200637_s_at	5.03565
200638_s_at	11.6903
200639_s_at	11.7803
200640_at	11.9473
200641_s_at	10.5937
200642_at	11.7824
200643_at	8.37626
200644_at	10.8751
200645_at	10.0422
200646_s_at	5.72185
200647_x_at	11.7043
200648_s_at	6.61361
200649_at	8.48151
200650_s_at	13.3472
200651_at	12.6052
200652_at	10.9052
200653_s_at	11.348
200654_at	10.6922
200655_s_at	11.0686
200656_s_at	8.77515
200657_at	12.6458
200658_s_at	10.7794
200659_s_at	9.26249
200660_at	10.6064
200661_at	9.86885
200662_s_at	11.0178
200663_at	12.6289
200664_s_at	8.89801
200665_s_at	11.9723
200666_s_at	9.95279
200667_at	9.73044
200668_s_at	10.7681
200669_s_at	9.43985
200670_at	7.53108
200671_s_at	5.21134
200672_x_at	6.6441
200673_at	11.0854
200674_s_at	13.4921
200675_at	10.3828
200676_s_at	6.83368
200677_at	11.4254
200678_x_at	9.13427
200679_x_at	10.4039
200680_x_at	12.5818
200681_at	12.1523
200682_s_at	11.2417
200683_s_at	8.98798
200684_s_at	8.2021
200685_at	6.63977
200686_s_at	9.88662
200687_s_at	9.14983
200688_at	6.06894
200689_x_at	12.842
200690_at	8.52946
200691_s_at	11.6637
200692_s_at	10.4558
200693_at	11.4301
200694_s_at	9.14931
200695_at	8.5925
200696_s_at	10.9134
200697_at	9.5154
200698_at	10.1153
200699_at	10.1651
200700_s_at	10.6496
200701_at	10.2449
200702_s_at	6.12648
200703_at	11.3813
200704_at	10.8298
200705_s_at	12.5714
200706_s_at	9.55406
200707_at	8.12981
200708_at	10.0801
200709_at	11.815
200710_at	8.5678
200711_s_at	10.0774
200712_s_at	8.5204
200713_s_at	10.7859
200714_x_at	9.21746
200715_x_at	12.4853
200716_x_at	13.2769
200717_x_at	13.3101
200718_s_at	11.9841
200719_at	7.38439
200720_s_at	7.77606
