^SAMPLE = GSM206526
!Sample_title = MIAPaCa2
!Sample_geo_accession = GSM206526
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MIAPaCa2 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206526/suppl/GSM206526.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	544.632
AFFX-BioB-M_at	699.523
AFFX-BioB-3_at	301.477
AFFX-BioC-5_at	1098.459
AFFX-BioC-3_at	1021.488
AFFX-BioDn-5_at	1516.013
AFFX-BioDn-3_at	6239.908
AFFX-CreX-5_at	16224.757
AFFX-CreX-3_at	17504.09
AFFX-DapX-5_at	1976.991
AFFX-DapX-M_at	3747.224
AFFX-DapX-3_at	4378.436
AFFX-LysX-5_at	513.936
AFFX-LysX-M_at	802.252
AFFX-LysX-3_at	1419.705
AFFX-PheX-5_at	597.814
AFFX-PheX-M_at	721.198
AFFX-PheX-3_at	564.428
AFFX-ThrX-5_at	13131.707
AFFX-ThrX-M_at	19980.094
AFFX-ThrX-3_at	24749.137
AFFX-TrpnX-5_at	14.7
AFFX-TrpnX-M_at	19.968
AFFX-TrpnX-3_at	7.768
AFFX-r2-Ec-bioB-5_at	479.076
AFFX-r2-Ec-bioB-M_at	646.791
AFFX-r2-Ec-bioB-3_at	585.038
AFFX-r2-Ec-bioC-5_at	1375.907
AFFX-r2-Ec-bioC-3_at	1649.155
AFFX-r2-Ec-bioD-5_at	6046.988
AFFX-r2-Ec-bioD-3_at	6489.736
AFFX-r2-P1-cre-5_at	23070.318
AFFX-r2-P1-cre-3_at	26252.549
AFFX-r2-Bs-dap-5_at	2313.718
AFFX-r2-Bs-dap-M_at	4627.994
AFFX-r2-Bs-dap-3_at	5708.526
AFFX-r2-Bs-lys-5_at	698.342
AFFX-r2-Bs-lys-M_at	679.306
AFFX-r2-Bs-lys-3_at	594.633
AFFX-r2-Bs-phe-5_at	767.979
AFFX-r2-Bs-phe-M_at	922.047
AFFX-r2-Bs-phe-3_at	1473.327
AFFX-r2-Bs-thr-3_s_at	30384.125
AFFX-r2-Bs-thr-M_s_at	23744.781
AFFX-r2-Bs-thr-5_s_at	17391.682
AFFX-HUMISGF3A/M97935_5_at	401.613
AFFX-HUMISGF3A/M97935_MA_at	814.869
AFFX-HUMISGF3A/M97935_MB_at	1068.915
AFFX-HUMISGF3A/M97935_3_at	3491.541
AFFX-HUMRGE/M10098_5_at	171.525
AFFX-HUMRGE/M10098_M_at	144.634
AFFX-HUMRGE/M10098_3_at	158.73
AFFX-HUMGAPDH/M33197_5_at	31632.361
AFFX-HUMGAPDH/M33197_M_at	28375.818
AFFX-HUMGAPDH/M33197_3_at	29962.877
AFFX-HSAC07/X00351_5_at	29675.404
AFFX-HSAC07/X00351_M_at	31316.594
AFFX-HSAC07/X00351_3_at	31542.596
AFFX-M27830_5_at	917.954
AFFX-M27830_M_at	990.028
AFFX-M27830_3_at	312.517
AFFX-hum_alu_at	10765.585
1007_s_at	1706.288
1053_at	1766.812
117_at	124.558
121_at	1988.417
1255_g_at	12.596
1294_at	313.674
1316_at	134.62
1320_at	14.82
1405_i_at	314.503
1431_at	28.497
1438_at	83.466
1487_at	1249.341
1494_f_at	155.019
1598_g_at	1151.439
160020_at	648.103
1729_at	452.33
1773_at	215.174
177_at	94.525
179_at	952.212
1861_at	298.589
200000_s_at	7005.409
200001_at	12938.738
200002_at	22658.949
200003_s_at	27330.148
200004_at	19039.664
200005_at	7655.23
200006_at	21186.406
200007_at	12357.583
200008_s_at	8065.048
200009_at	13321.15
200010_at	24542.803
200011_s_at	3633.145
200012_x_at	19055.668
200013_at	26867.443
200014_s_at	10142.598
200015_s_at	13616.68
200016_x_at	28473.75
200017_at	30051.404
200018_at	26581.346
200019_s_at	19168.652
200020_at	6981.532
200021_at	22605.582
200022_at	29273.018
200023_s_at	10120.37
200024_at	21059.01
200025_s_at	28265.234
200026_at	20655.369
200027_at	11756.083
200028_s_at	7707.286
200029_at	24191.262
200030_s_at	18622.498
200031_s_at	31443.689
200032_s_at	27759.012
200033_at	15845.827
200034_s_at	21525.15
200035_at	1498.012
200036_s_at	18203.049
200037_s_at	12972.369
200038_s_at	29312.521
200039_s_at	11395.557
200040_at	10833.333
200041_s_at	13942.394
200042_at	3300.812
200043_at	21561.221
200044_at	10484.948
200045_at	3075.371
200046_at	6225.073
200047_s_at	8871.87
200048_s_at	8095.049
200049_at	1033.169
200050_at	4388.14
200051_at	816.663
200052_s_at	9678.885
200053_at	1694.068
200054_at	1395.255
200055_at	5011.497
200056_s_at	1808.377
200057_s_at	20856.041
200058_s_at	6338.021
200059_s_at	17383.453
200060_s_at	8271.115
200061_s_at	24335.082
