^SAMPLE = GSM1230678
!Sample_title = KLE_ERI_2
!Sample_geo_accession = GSM1230678
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = KLE Eribulin 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: KLE
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230678/suppl/GSM1230678_CEL_277_4473_12_18_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.929
AFFX-BioB-M_at	5.116
AFFX-BioB-3_at	4.319
AFFX-BioC-5_at	8.722
AFFX-BioC-3_at	9.363
AFFX-BioDn-5_at	10.333
AFFX-BioDn-3_at	11.194
AFFX-CreX-5_at	12.305
AFFX-CreX-3_at	12.594
AFFX-DapX-5_at	2.526
AFFX-DapX-M_at	2.29
AFFX-DapX-3_at	2.58
AFFX-LysX-5_at	2.129
AFFX-LysX-M_at	2.687
AFFX-LysX-3_at	2.285
AFFX-PheX-5_at	2.617
AFFX-PheX-M_at	2.527
AFFX-PheX-3_at	4.053
AFFX-ThrX-5_at	2.784
AFFX-ThrX-M_at	2.68
AFFX-ThrX-3_at	3.47
AFFX-TrpnX-5_at	2.847
AFFX-TrpnX-M_at	2.577
AFFX-TrpnX-3_at	2.193
AFFX-r2-Ec-bioB-5_at	4.85
AFFX-r2-Ec-bioB-M_at	5.243
AFFX-r2-Ec-bioB-3_at	5.521
AFFX-r2-Ec-bioC-5_at	9.271
AFFX-r2-Ec-bioC-3_at	9.71
AFFX-r2-Ec-bioD-5_at	11.569
AFFX-r2-Ec-bioD-3_at	11.81
AFFX-r2-P1-cre-5_at	12.796
AFFX-r2-P1-cre-3_at	12.911
AFFX-r2-Bs-dap-5_at	2.592
AFFX-r2-Bs-dap-M_at	2.246
AFFX-r2-Bs-dap-3_at	2.196
AFFX-r2-Bs-lys-5_at	2.069
AFFX-r2-Bs-lys-M_at	2.352
AFFX-r2-Bs-lys-3_at	2.463
AFFX-r2-Bs-phe-5_at	2.24
AFFX-r2-Bs-phe-M_at	2.379
AFFX-r2-Bs-phe-3_at	3.111
AFFX-r2-Bs-thr-3_s_at	3.198
AFFX-r2-Bs-thr-M_s_at	3.296
AFFX-r2-Bs-thr-5_s_at	2.502
AFFX-HUMISGF3A/M97935_5_at	7.244
AFFX-HUMISGF3A/M97935_MA_at	7.555
AFFX-HUMISGF3A/M97935_MB_at	8.638
AFFX-HUMISGF3A/M97935_3_at	10.808
AFFX-HUMRGE/M10098_5_at	12.995
AFFX-HUMRGE/M10098_M_at	12.328
AFFX-HUMRGE/M10098_3_at	12.068
AFFX-HUMGAPDH/M33197_5_at	12.581
AFFX-HUMGAPDH/M33197_M_at	12.849
AFFX-HUMGAPDH/M33197_3_at	12.887
AFFX-HSAC07/X00351_5_at	11.686
AFFX-HSAC07/X00351_M_at	12.167
AFFX-HSAC07/X00351_3_at	12.295
AFFX-M27830_5_at	12.056
AFFX-M27830_M_at	9.961
AFFX-M27830_3_at	5.12
AFFX-hum_alu_at	13.294
1007_s_at	10.315
1053_at	8.385
117_at	5.365
121_at	9.576
1255_g_at	2.633
1294_at	5.504
1316_at	5.34
1320_at	4.993
1405_i_at	4.74
1431_at	3.4
1438_at	5.347
1487_at	7.164
1494_f_at	5.319
1598_g_at	7.128
160020_at	6.205
1729_at	7.371
1773_at	5.949
177_at	4.898
179_at	7.793
1861_at	6.372
200000_s_at	8.643
200001_at	11.353
200002_at	12.399
200003_s_at	12.977
200004_at	12.458
200005_at	10.643
200006_at	12.452
200007_at	11.8
200008_s_at	9.631
200009_at	11.117
200010_at	12.764
200011_s_at	9.234
200012_x_at	12.298
200013_at	12.84
200014_s_at	11.354
200015_s_at	11.33
200016_x_at	12.581
200017_at	12.799
200018_at	12.678
200019_s_at	12.115
200020_at	10.433
200021_at	12.096
200022_at	12.233
200023_s_at	11.627
200024_at	12.622
200025_s_at	12.826
200026_at	12.481
200027_at	11.981
200028_s_at	10.524
200029_at	12.545
200030_s_at	12.333
200031_s_at	12.838
200032_s_at	12.597
200033_at	12.232
200034_s_at	12.88
200035_at	8.585
200036_s_at	11.679
200037_s_at	11.95
200038_s_at	12.803
200039_s_at	12.121
200040_at	10.932
200041_s_at	9.399
200042_at	9.446
200043_at	12.264
200044_at	11.199
200045_at	9.458
200046_at	11.664
