^SAMPLE = GSM711719
!Sample_title = FUOV-1
!Sample_geo_accession = GSM711719
!Sample_status = Public on May 21 2013
!Sample_submission_date = Apr 19 2011
!Sample_last_update_date = May 21 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Cultured ovarian cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: cultured ovarian carcinoma
!Sample_characteristics_ch1 = cell line: FUOV-1
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted by Qiagen RNEasy kit according to the manufacturer's instructions.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_data_processing = Data were normalized by Robust Multichip Average (RMA) using R with Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Tuan Zea,,Tan
!Sample_contact_email = csittz@nus.edu.sg
!Sample_contact_department = Cancer Science Institute Singapore
!Sample_contact_institute = National University of Singapore
!Sample_contact_address = 14 Medical Drive, #11-01, Singapore
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 117599
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM711nnn/GSM711719/suppl/GSM711719_AFG1127-60.CEL.gz
!Sample_series_id = GSE28724
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.23747182
1053_at	8.15979789
117_at	4.392740849
121_at	10.46565773
1255_g_at	2.742014175
1294_at	5.793184471
1316_at	6.967450398
1320_at	4.640777552
1405_i_at	3.083803882
1431_at	3.815029216
1438_at	5.388001788
1487_at	8.610999038
1494_f_at	5.217173022
1552256_a_at	8.167477826
1552257_a_at	8.781239925
1552258_at	6.252259134
1552261_at	4.245155339
1552263_at	5.207185879
1552264_a_at	5.815401639
1552266_at	2.909664998
1552269_at	3.388285583
1552271_at	5.031020577
1552272_a_at	4.221186365
1552274_at	6.824186701
1552275_s_at	6.243942493
1552276_a_at	5.781511511
1552277_a_at	8.710625309
1552278_a_at	4.790928014
1552279_a_at	6.415869971
1552280_at	3.570878102
1552281_at	6.061721643
1552283_s_at	4.475806944
1552286_at	5.887904315
1552287_s_at	7.768685045
1552288_at	4.039496233
1552289_a_at	4.72077868
1552291_at	8.434416734
1552293_at	4.484266271
1552295_a_at	7.447790764
1552296_at	3.767655544
1552299_at	3.786269195
1552301_a_at	4.978436711
1552302_at	2.902686656
1552303_a_at	5.338278637
1552304_at	5.216126408
1552306_at	6.265117897
1552307_a_at	6.468272392
1552309_a_at	5.469879131
1552310_at	8.331935355
1552311_a_at	7.219885716
1552312_a_at	6.031010019
1552314_a_at	5.958790297
1552315_at	4.860207365
1552316_a_at	2.560457395
1552318_at	3.307783462
1552319_a_at	4.609575736
1552320_a_at	2.781255673
1552321_a_at	2.851073321
1552322_at	3.096564964
1552323_s_at	4.945757749
1552325_at	2.597444037
1552326_a_at	4.049540777
1552327_at	2.986560751
1552329_at	6.154850981
1552330_at	6.922142158
1552332_at	6.688935564
1552334_at	5.426764375
1552335_at	6.296011584
1552337_s_at	5.805364442
1552338_at	4.467946781
1552340_at	4.093838279
1552343_s_at	4.206420269
1552344_s_at	7.150048623
1552347_at	6.337967757
1552348_at	4.487377992
1552349_a_at	4.222552931
1552354_at	4.118994204
1552355_s_at	5.105816323
1552359_at	2.410995298
1552360_a_at	5.475421418
1552362_a_at	5.053642839
1552364_s_at	7.023714025
1552365_at	9.551854315
1552367_a_at	8.389931707
1552368_at	3.092230017
1552370_at	4.735940572
1552372_at	2.521313796
1552373_s_at	2.398023123
1552375_at	4.34954121
1552377_s_at	6.335493503
1552378_s_at	5.372147018
1552379_at	2.329941281
1552381_at	6.665793265
1552383_at	5.484327347
1552384_a_at	4.178484497
1552386_at	2.620021123
1552388_at	6.060240809
1552389_at	3.231299546
1552390_a_at	3.873163513
1552391_at	4.014737026
1552393_at	2.653763534
1552394_a_at	2.906578997
1552395_at	6.609385996
1552396_at	3.722185693
1552398_a_at	3.231255396
1552399_a_at	3.237573838
1552400_a_at	4.307991804
1552401_a_at	2.994552236
1552402_at	3.81820597
1552405_at	4.171094745
1552408_at	2.936320373
1552409_a_at	6.013959678
1552410_at	3.874163594
1552411_at	6.101022721
1552412_a_at	2.944312446
1552414_at	2.956801883
1552415_a_at	4.134756145
1552417_a_at	6.644496526
1552418_at	3.996619274
1552419_s_at	4.910257348
1552421_a_at	2.876711661
1552422_at	4.141932595
1552423_at	4.737878823
1552424_at	3.182424013
1552425_a_at	3.826898851
1552426_a_at	9.221042016
1552427_at	5.134082258
1552430_at	5.149173413
1552432_at	4.955622186
1552436_a_at	4.849258989
1552438_a_at	3.116931642
1552439_s_at	2.884397178
1552440_at	3.801292436
1552445_a_at	3.324898184
1552448_a_at	3.158361017
1552449_a_at	2.696502268
1552450_a_at	5.080926958
1552452_at	3.456976619
1552453_a_at	3.449563341
1552455_at	3.296895819
1552456_a_at	4.396998758
1552457_a_at	3.179576843
1552458_at	2.921472202
1552459_a_at	3.797624817
1552461_at	2.494108119
1552463_at	2.620063722
1552466_x_at	2.764907126
1552467_at	5.818142423
1552468_a_at	4.63710639
1552470_a_at	4.206420269
1552472_a_at	8.61257222
1552473_at	7.066037926
1552474_a_at	8.33256082
1552476_s_at	5.15880116
1552477_a_at	3.158761866
1552478_a_at	2.907755505
1552480_s_at	2.206586746
1552481_s_at	4.709764314
1552482_at	3.313158522
1552484_at	5.234930359
1552485_at	6.088135121
1552486_s_at	6.284574875
1552487_a_at	2.673779202
1552489_s_at	2.795974412
1552490_at	4.043858182
1552491_at	4.133855817
1552493_s_at	4.266856563
1552494_at	4.410153348
1552496_a_at	4.27644293
1552497_a_at	4.212257189
1552498_at	4.931994865
1552499_a_at	4.359778903
1552501_a_at	6.009031179
1552502_s_at	2.704990242
1552503_at	5.415979415
1552504_a_at	3.623560532
1552506_at	4.002360376
1552507_at	3.40807164
1552508_at	3.246968916
1552509_a_at	3.863815156
1552510_at	8.139006849
1552511_a_at	2.461274509
1552514_at	3.245334062
1552515_at	2.798787429
1552516_a_at	3.49710129
1552518_s_at	5.420817264
1552519_at	4.27204202
1552520_at	4.32461149
1552521_a_at	3.437589322
1552522_at	2.661346128
1552523_a_at	3.995781778
1552524_at	5.883412335
1552526_at	3.755263848
1552528_at	6.480706483
1552531_a_at	3.71685435
