^SAMPLE = GSM1229994
!Sample_title = BT-20_Ctrl_3
!Sample_geo_accession = GSM1229994
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Dec 17 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = BT-20 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: BT-20
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1229nnn/GSM1229994/suppl/GSM1229994_CEL_284_4735_04_03_2012.CEL.gz
!Sample_relation = Reanalyzed by: GSE123917
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.273
AFFX-BioB-M_at	7.402
AFFX-BioB-3_at	7.032
AFFX-BioC-5_at	8.378
AFFX-BioC-3_at	8.881
AFFX-BioDn-5_at	9.909
AFFX-BioDn-3_at	10.718
AFFX-CreX-5_at	11.923
AFFX-CreX-3_at	12.178
AFFX-DapX-5_at	2.274
AFFX-DapX-M_at	2.198
AFFX-DapX-3_at	2.855
AFFX-LysX-5_at	2.221
AFFX-LysX-M_at	2.9
AFFX-LysX-3_at	2.17
AFFX-PheX-5_at	2.526
AFFX-PheX-M_at	2.335
AFFX-PheX-3_at	3.873
AFFX-ThrX-5_at	2.649
AFFX-ThrX-M_at	2.393
AFFX-ThrX-3_at	3.729
AFFX-TrpnX-5_at	3.416
AFFX-TrpnX-M_at	2.589
AFFX-TrpnX-3_at	2.279
AFFX-r2-Ec-bioB-5_at	7.27
AFFX-r2-Ec-bioB-M_at	7.439
AFFX-r2-Ec-bioB-3_at	7.498
AFFX-r2-Ec-bioC-5_at	8.856
AFFX-r2-Ec-bioC-3_at	9.116
AFFX-r2-Ec-bioD-5_at	10.962
AFFX-r2-Ec-bioD-3_at	11.334
AFFX-r2-P1-cre-5_at	12.446
AFFX-r2-P1-cre-3_at	12.618
AFFX-r2-Bs-dap-5_at	2.639
AFFX-r2-Bs-dap-M_at	2.073
AFFX-r2-Bs-dap-3_at	2.045
AFFX-r2-Bs-lys-5_at	2.212
AFFX-r2-Bs-lys-M_at	2.033
AFFX-r2-Bs-lys-3_at	2.151
AFFX-r2-Bs-phe-5_at	2.144
AFFX-r2-Bs-phe-M_at	2.373
AFFX-r2-Bs-phe-3_at	2.335
AFFX-r2-Bs-thr-3_s_at	3.245
AFFX-r2-Bs-thr-M_s_at	3.233
AFFX-r2-Bs-thr-5_s_at	2.319
AFFX-HUMISGF3A/M97935_5_at	5.779
AFFX-HUMISGF3A/M97935_MA_at	6.575
AFFX-HUMISGF3A/M97935_MB_at	7.252
AFFX-HUMISGF3A/M97935_3_at	9.778
AFFX-HUMRGE/M10098_5_at	13.179
AFFX-HUMRGE/M10098_M_at	12.741
AFFX-HUMRGE/M10098_3_at	12.426
AFFX-HUMGAPDH/M33197_5_at	12.609
AFFX-HUMGAPDH/M33197_M_at	12.831
AFFX-HUMGAPDH/M33197_3_at	12.874
AFFX-HSAC07/X00351_5_at	11.434
AFFX-HSAC07/X00351_M_at	12.053
AFFX-HSAC07/X00351_3_at	12.637
AFFX-M27830_5_at	12.572
AFFX-M27830_M_at	10.605
AFFX-M27830_3_at	5.156
AFFX-hum_alu_at	13.284
1007_s_at	10.51
1053_at	8.259
117_at	7.254
121_at	6.844
1255_g_at	2.478
1294_at	5.78
1316_at	4.93
1320_at	4.803
1405_i_at	2.274
1431_at	3.234
1438_at	5.224
1487_at	7.587
1494_f_at	5.073
1598_g_at	6.655
160020_at	5.355
1729_at	8.612
1773_at	5.283
177_at	5.287
179_at	7.346
1861_at	7.184
200000_s_at	9.088
200001_at	9.604
200002_at	12.462
200003_s_at	12.657
200004_at	12.131
200005_at	10.406
200006_at	11.684
200007_at	11.794
200008_s_at	9.008
200009_at	10.867
200010_at	12.188
200011_s_at	8.483
200012_x_at	12.846
200013_at	12.746
200014_s_at	11.135
200015_s_at	10.877
200016_x_at	12.295
200017_at	12.441
200018_at	12.718
200019_s_at	11.893
200020_at	10.048
200021_at	12.049
200022_at	12.471
200023_s_at	11.882
200024_at	12.241
200025_s_at	12.736
200026_at	11.727
200027_at	10.671
200028_s_at	10.454
200029_at	12.457
200030_s_at	11.646
200031_s_at	12.827
200032_s_at	12.594
200033_at	11.76
200034_s_at	12.504
200035_at	8.163
200036_s_at	11.722
200037_s_at	11.856
200038_s_at	12.131
200039_s_at	11.024
200040_at	10.538
200041_s_at	9.221
200042_at	9.075
200043_at	11.531
200044_at	11.095
200045_at	9.632
200046_at	10.245
200047_s_at	11.345
200048_s_at	11.823
200049_at	7.186
200050_at	10.083
200051_at	8.199
200052_s_at	10.56
200053_at	8.758
200054_at	8.649
200055_at	10.63
200056_s_at	9.602
200057_s_at	11.121
200058_s_at	9.989
200059_s_at	11.507
200060_s_at	10.027
200061_s_at	12.633
200062_s_at	12.746
200063_s_at	12.403
200064_at	11.372
200065_s_at	10.76
200066_at	9.181
200067_x_at	11.737
200068_s_at	11.234
200069_at	7.888
200070_at	7.723
200071_at	9.479
200072_s_at	10.76
200073_s_at	10.783
