^SAMPLE = GSM1230127
!Sample_title = HCC-1143_Ctrl_2
!Sample_geo_accession = GSM1230127
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HCC-1143 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HCC-1143
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230127/suppl/GSM1230127_CEL_284_4868_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.866
AFFX-BioB-M_at	8.132
AFFX-BioB-3_at	7.916
AFFX-BioC-5_at	8.969
AFFX-BioC-3_at	9.446
AFFX-BioDn-5_at	10.424
AFFX-BioDn-3_at	11.174
AFFX-CreX-5_at	12.301
AFFX-CreX-3_at	12.532
AFFX-DapX-5_at	2.704
AFFX-DapX-M_at	2.46
AFFX-DapX-3_at	3.058
AFFX-LysX-5_at	2.306
AFFX-LysX-M_at	2.545
AFFX-LysX-3_at	2.061
AFFX-PheX-5_at	2.546
AFFX-PheX-M_at	2.466
AFFX-PheX-3_at	3.836
AFFX-ThrX-5_at	2.893
AFFX-ThrX-M_at	2.311
AFFX-ThrX-3_at	3.528
AFFX-TrpnX-5_at	3.504
AFFX-TrpnX-M_at	2.831
AFFX-TrpnX-3_at	2.446
AFFX-r2-Ec-bioB-5_at	8.048
AFFX-r2-Ec-bioB-M_at	8.214
AFFX-r2-Ec-bioB-3_at	8.16
AFFX-r2-Ec-bioC-5_at	9.454
AFFX-r2-Ec-bioC-3_at	9.631
AFFX-r2-Ec-bioD-5_at	11.454
AFFX-r2-Ec-bioD-3_at	11.725
AFFX-r2-P1-cre-5_at	12.781
AFFX-r2-P1-cre-3_at	12.9
AFFX-r2-Bs-dap-5_at	2.395
AFFX-r2-Bs-dap-M_at	2.097
AFFX-r2-Bs-dap-3_at	2.154
AFFX-r2-Bs-lys-5_at	1.94
AFFX-r2-Bs-lys-M_at	2.379
AFFX-r2-Bs-lys-3_at	2.453
AFFX-r2-Bs-phe-5_at	2.251
AFFX-r2-Bs-phe-M_at	2.736
AFFX-r2-Bs-phe-3_at	2.712
AFFX-r2-Bs-thr-3_s_at	3.392
AFFX-r2-Bs-thr-M_s_at	3.341
AFFX-r2-Bs-thr-5_s_at	2.455
AFFX-HUMISGF3A/M97935_5_at	5.753
AFFX-HUMISGF3A/M97935_MA_at	7.174
AFFX-HUMISGF3A/M97935_MB_at	7.691
AFFX-HUMISGF3A/M97935_3_at	9.807
AFFX-HUMRGE/M10098_5_at	12.92
AFFX-HUMRGE/M10098_M_at	12.405
AFFX-HUMRGE/M10098_3_at	11.918
AFFX-HUMGAPDH/M33197_5_at	12.266
AFFX-HUMGAPDH/M33197_M_at	12.514
AFFX-HUMGAPDH/M33197_3_at	12.62
AFFX-HSAC07/X00351_5_at	10.692
AFFX-HSAC07/X00351_M_at	11.574
AFFX-HSAC07/X00351_3_at	12.138
AFFX-M27830_5_at	11.833
AFFX-M27830_M_at	9.487
AFFX-M27830_3_at	4.908
AFFX-hum_alu_at	13.133
1007_s_at	10.558
1053_at	7.924
117_at	5.113
121_at	6.756
1255_g_at	2.416
1294_at	4.975
1316_at	5.08
1320_at	4.273
1405_i_at	5.224
1431_at	3.123
1438_at	4.584
1487_at	7.169
1494_f_at	4.867
1598_g_at	7.722
160020_at	6.121
1729_at	7.648
1773_at	5.995
177_at	6.586
179_at	7.38
1861_at	6.003
200000_s_at	8.543
200001_at	8.868
200002_at	12.005
200003_s_at	12.431
200004_at	11.901
200005_at	11.441
200006_at	11.782
200007_at	11.308
200008_s_at	10.417
200009_at	11.603
200010_at	12.165
200011_s_at	7.78
200012_x_at	12.893
200013_at	12.615
200014_s_at	11.206
200015_s_at	11.173
200016_x_at	12.375
200017_at	12.56
200018_at	12.51
200019_s_at	12.008
200020_at	10.066
200021_at	12.292
200022_at	12.236
200023_s_at	11.641
