^SAMPLE = GSM170978
!Sample_title = Melanoma cell line MM548
!Sample_geo_accession = GSM170978
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 22 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line MM548
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr Peter G. Parsons
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170978/suppl/GSM170978.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170978/suppl/GSM170978.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	245.474	P	0.000224668
AFFX-BioB-M_at	356.518	P	4.42873e-05
AFFX-BioB-3_at	210.277	P	7.00668e-05
AFFX-BioC-5_at	528.727	P	4.42873e-05
AFFX-BioC-3_at	560.26	P	4.42873e-05
AFFX-BioDn-5_at	619.44	P	4.42873e-05
AFFX-BioDn-3_at	2477.27	P	5.16732e-05
AFFX-CreX-5_at	6206.4	P	5.16732e-05
AFFX-CreX-3_at	8859.57	P	4.42873e-05
AFFX-DapX-5_at	223.346	P	4.42873e-05
AFFX-DapX-M_at	381.977	P	0.000856509
AFFX-DapX-3_at	387.388	P	7.00668e-05
AFFX-LysX-5_at	32.0205	P	0.0061833
AFFX-LysX-M_at	38.4144	P	0.0125468
AFFX-LysX-3_at	75.3336	P	0.000169227
AFFX-PheX-5_at	36.6798	P	8.14279e-05
AFFX-PheX-M_at	44.8964	P	0.002867
AFFX-PheX-3_at	43.2871	P	0.0166701
AFFX-ThrX-5_at	55.9466	P	0.000296708
AFFX-ThrX-M_at	79.8645	P	0.000389797
AFFX-ThrX-3_at	83.4291	P	0.000146581
AFFX-TrpnX-5_at	3.85143	A	0.48511
AFFX-TrpnX-M_at	0.775759	A	0.976071
AFFX-TrpnX-3_at	6.74437	A	0.440646
AFFX-r2-Ec-bioB-5_at	300.784	P	0.000244141
AFFX-r2-Ec-bioB-M_at	412.759	P	0.000244141
AFFX-r2-Ec-bioB-3_at	270.198	P	0.000244141
AFFX-r2-Ec-bioC-5_at	553.96	P	0.000244141
AFFX-r2-Ec-bioC-3_at	809.383	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2396.64	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3016.73	P	0.000244141
AFFX-r2-P1-cre-5_at	10117.5	P	0.000244141
AFFX-r2-P1-cre-3_at	12337.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	315.808	P	0.000244141
AFFX-r2-Bs-dap-M_at	363.9	P	0.000244141
AFFX-r2-Bs-dap-3_at	503.358	P	0.000244141
AFFX-r2-Bs-lys-5_at	36.7103	P	0.0012207
AFFX-r2-Bs-lys-M_at	40.807	P	0.00195313
AFFX-r2-Bs-lys-3_at	45.0027	P	0.00195313
AFFX-r2-Bs-phe-5_at	45.2858	P	0.000244141
AFFX-r2-Bs-phe-M_at	52.552	P	0.000732422
AFFX-r2-Bs-phe-3_at	127.493	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	134.099	P	0.00415039
AFFX-r2-Bs-thr-M_s_at	133.033	P	0.00585938
AFFX-r2-Bs-thr-5_s_at	88.758	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	110.33	P	0.00110197
AFFX-HUMISGF3A/M97935_MA_at	180.86	P	0.000296708
AFFX-HUMISGF3A/M97935_MB_at	164.693	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	505.283	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	386.686	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	255.327	P	4.42873e-05
AFFX-HUMRGE/M10098_3_at	240.394	P	0.000195116
AFFX-HUMGAPDH/M33197_5_at	10844.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	10099.6	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	11074.6	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	9185.25	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9765.86	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	9910.45	P	4.42873e-05
AFFX-M27830_5_at	664.266	P	4.42873e-05
AFFX-M27830_M_at	975.132	P	0.000753643
AFFX-M27830_3_at	32.8702	A	0.287743
AFFX-hum_alu_at	11879.1	P	2.6068e-13
1007_s_at	1023.11	P	0.000218889
1053_at	281.039	P	0.000561689
117_at	68.3472	P	0.00189162
121_at	184.905	P	0.00754291
1255_g_at	2.6603	A	0.660442
1294_at	37.3409	A	0.0668649
1316_at	26.1125	P	0.00754291
1320_at	10.4527	A	0.5
1405_i_at	7.59657	A	0.318883
1431_at	3.15271	A	0.218983
1438_at	9.0065	A	0.35869
1487_at	329.995	P	0.00160229
1494_f_at	21.5358	A	0.107301
1598_g_at	168.157	P	0.00261695
160020_at	287.81	P	0.000959383
1729_at	245.068	P	0.000467546
1773_at	283.743	P	0.0011411
