^SAMPLE = GSM320602
!Sample_title = breast cancer cell line_MCF7
!Sample_geo_accession = GSM320602
!Sample_status = Public on Jan 12 2009
!Sample_submission_date = Sep 15 2008
!Sample_last_update_date = Feb 29 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gene_expression_subtype: Luminal
!Sample_characteristics_ch1 = Her2_status: Nonamplified
!Sample_treatment_protocol_ch1 = Cells untreated
!Sample_growth_protocol_ch1 = Cell maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = breast cancer cell line_MCF7
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Mark,,Lackner
!Sample_contact_email = lackner.mark@gene.com
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM320nnn/GSM320602/suppl/GSM320602.CEL.gz
!Sample_relation = Reanalysis of: GSM275978
!Sample_series_id = GSE12777
!Sample_series_id = GSE12790
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	301.404
AFFX-BioB-M_at	369.9516
AFFX-BioB-3_at	174.9053
AFFX-BioC-5_at	927.112
AFFX-BioC-3_at	994.1204
AFFX-BioDn-5_at	1731.858
AFFX-BioDn-3_at	5961.685
AFFX-CreX-5_at	9808.661
AFFX-CreX-3_at	14247.84
AFFX-DapX-5_at	274.1109
AFFX-DapX-M_at	480.1332
AFFX-DapX-3_at	634.3318
AFFX-LysX-5_at	56.20917
AFFX-LysX-M_at	148.8197
AFFX-LysX-3_at	151.6562
AFFX-PheX-5_at	36.53447
AFFX-PheX-M_at	51.43813
AFFX-PheX-3_at	84.43581
AFFX-ThrX-5_at	69.78839
AFFX-ThrX-M_at	96.68423
AFFX-ThrX-3_at	139.0746
AFFX-TrpnX-5_at	6.476395
AFFX-TrpnX-M_at	4.099362
AFFX-TrpnX-3_at	16.05074
AFFX-r2-Ec-bioB-5_at	416.3972
AFFX-r2-Ec-bioB-M_at	504.6151
AFFX-r2-Ec-bioB-3_at	448.2747
AFFX-r2-Ec-bioC-5_at	1317.137
AFFX-r2-Ec-bioC-3_at	1447.593
AFFX-r2-Ec-bioD-5_at	7240.288
AFFX-r2-Ec-bioD-3_at	7394.957
AFFX-r2-P1-cre-5_at	17743.11
AFFX-r2-P1-cre-3_at	24328.21
AFFX-r2-Bs-dap-5_at	193.1298
AFFX-r2-Bs-dap-M_at	458.174
AFFX-r2-Bs-dap-3_at	734.4293
AFFX-r2-Bs-lys-5_at	67.45053
AFFX-r2-Bs-lys-M_at	86.47415
AFFX-r2-Bs-lys-3_at	96.07713
AFFX-r2-Bs-phe-5_at	52.89482
AFFX-r2-Bs-phe-M_at	70.24819
AFFX-r2-Bs-phe-3_at	211.6933
AFFX-r2-Bs-thr-3_s_at	214.8365
AFFX-r2-Bs-thr-M_s_at	202.4669
AFFX-r2-Bs-thr-5_s_at	172.0257
AFFX-HUMISGF3A/M97935_5_at	404.2322
AFFX-HUMISGF3A/M97935_MA_at	1159.469
AFFX-HUMISGF3A/M97935_MB_at	1063.277
AFFX-HUMISGF3A/M97935_3_at	2997.466
AFFX-HUMRGE/M10098_5_at	48.38629
AFFX-HUMRGE/M10098_M_at	139.9523
AFFX-HUMRGE/M10098_3_at	148.8795
AFFX-HUMGAPDH/M33197_5_at	33517.58
AFFX-HUMGAPDH/M33197_M_at	31954.54
AFFX-HUMGAPDH/M33197_3_at	33618.9
AFFX-HSAC07/X00351_5_at	33360.75
AFFX-HSAC07/X00351_M_at	35834.09
AFFX-HSAC07/X00351_3_at	34234.2
AFFX-M27830_5_at	260.9215
AFFX-M27830_M_at	364.6486
AFFX-M27830_3_at	92.56635
AFFX-hum_alu_at	4280.43
1007_s_at	6136.937
1053_at	1655.669
117_at	97.44994
121_at	1331.067
1255_g_at	16.7401
1294_at	178.3475
1316_at	136.484
1320_at	16.12708
1405_i_at	30.53589
1431_at	6.30335
1438_at	423.0565
1487_at	1022.145
1494_f_at	208.0748
1598_g_at	929.854
160020_at	335.2101
1729_at	775.6393
1773_at	444.0742
177_at	198.6322
179_at	1753.184
1861_at	464.7524
200000_s_at	8215.468
200001_at	13008.89
200002_at	26406.1
200003_s_at	30771.64
200004_at	17554.03
200005_at	7066.55
200006_at	18108.66
200007_at	16579.96
200008_s_at	6534.137
200009_at	12176.92
200010_at	24009.1
200011_s_at	7007.539
200012_x_at	23459.75
200013_at	31615.57
200014_s_at	8832.423
200015_s_at	8697.007
200016_x_at	23618.59
200017_at	27897.39
200018_at	26013.86
200019_s_at	25569.18
200020_at	7069.615
200021_at	26187.13
200022_at	33097.45
200023_s_at	7362.072
200024_at	22087.38
200025_s_at	25251.85
200026_at	17700.39
200027_at	5228.502
200028_s_at	6361.707
200029_at	21857.18
200030_s_at	19058.99
200031_s_at	35061.28
200032_s_at	28558.65
200033_at	18199.93
200034_s_at	25354.86
200035_at	1913.481
200036_s_at	18154.33
200037_s_at	14538.65
200038_s_at	24724.28
200039_s_at	9705.112
200040_at	8273.635
200041_s_at	11951
200042_at	2386.535
200043_at	17115.45
200044_at	15797.16
200045_at	2884.363
200046_at	6344.358
200047_s_at	10629.73
200048_s_at	12833.82
200049_at	1937.227
200050_at	3603.981
200051_at	1365.596
200052_s_at	9552.37
200053_at	3922.046
200054_at	635.31
200055_at	4106.841
200056_s_at	1809.551
200057_s_at	16219.62
200058_s_at	9932.632
200059_s_at	21355.36
200060_s_at	9860.363
200061_s_at	28011.98
200062_s_at	37087.07
200063_s_at	23966.04
200064_at	24558.54
200065_s_at	11821.06
200066_at	2974.542
200067_x_at	4360.472
200068_s_at	8134.48
200069_at	613.9124
200070_at	2021.619
200071_at	2374.348
200072_s_at	7413.453
200073_s_at	8095.642
200074_s_at	15663.69
200075_s_at	4331.706
200076_s_at	1996.059
200077_s_at	20652.09
200078_s_at	3837.518
200079_s_at	14440.95
200080_s_at	23310.93
200081_s_at	27542.59
200082_s_at	29175.09
200083_at	3916.58
200084_at	6144.6
200085_s_at	14046.57
200086_s_at	14894.94
200087_s_at	13573.3
200088_x_at	33938.02
200089_s_at	24759.12
200090_at	2127.204
200091_s_at	21541.19
200092_s_at	31554.38
200093_s_at	14052.18
200094_s_at	19041.37
200095_x_at	38001.07
200096_s_at	13532.08
200097_s_at	8516.118
200098_s_at	7021.672
200099_s_at	31126.59
200593_s_at	3976.345
200594_x_at	8760.303
200595_s_at	4560.461
200596_s_at	1886.435
200597_at	483.5769
