^SAMPLE = GSM1230036
!Sample_title = Hs578T_PTX_3
!Sample_geo_accession = GSM1230036
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Hs578T Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Hs578T
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230036/suppl/GSM1230036_CEL_284_4777_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.514
AFFX-BioB-M_at	7.849
AFFX-BioB-3_at	7.449
AFFX-BioC-5_at	8.628
AFFX-BioC-3_at	9.207
AFFX-BioDn-5_at	10.168
AFFX-BioDn-3_at	10.999
AFFX-CreX-5_at	12.042
AFFX-CreX-3_at	12.264
AFFX-DapX-5_at	2.367
AFFX-DapX-M_at	2.386
AFFX-DapX-3_at	3.341
AFFX-LysX-5_at	2.231
AFFX-LysX-M_at	2.919
AFFX-LysX-3_at	2.327
AFFX-PheX-5_at	2.844
AFFX-PheX-M_at	2.483
AFFX-PheX-3_at	3.937
AFFX-ThrX-5_at	2.751
AFFX-ThrX-M_at	2.375
AFFX-ThrX-3_at	3.857
AFFX-TrpnX-5_at	3.261
AFFX-TrpnX-M_at	2.77
AFFX-TrpnX-3_at	2.216
AFFX-r2-Ec-bioB-5_at	7.676
AFFX-r2-Ec-bioB-M_at	7.922
AFFX-r2-Ec-bioB-3_at	7.769
AFFX-r2-Ec-bioC-5_at	9.339
AFFX-r2-Ec-bioC-3_at	9.54
AFFX-r2-Ec-bioD-5_at	11.308
AFFX-r2-Ec-bioD-3_at	11.586
AFFX-r2-P1-cre-5_at	12.583
AFFX-r2-P1-cre-3_at	12.678
AFFX-r2-Bs-dap-5_at	2.368
AFFX-r2-Bs-dap-M_at	2.474
AFFX-r2-Bs-dap-3_at	1.999
AFFX-r2-Bs-lys-5_at	2.099
AFFX-r2-Bs-lys-M_at	2.524
AFFX-r2-Bs-lys-3_at	2.008
AFFX-r2-Bs-phe-5_at	2.121
AFFX-r2-Bs-phe-M_at	2.49
AFFX-r2-Bs-phe-3_at	2.564
AFFX-r2-Bs-thr-3_s_at	3.51
AFFX-r2-Bs-thr-M_s_at	3.35
AFFX-r2-Bs-thr-5_s_at	2.748
AFFX-HUMISGF3A/M97935_5_at	4.54
AFFX-HUMISGF3A/M97935_MA_at	5.932
AFFX-HUMISGF3A/M97935_MB_at	5.524
AFFX-HUMISGF3A/M97935_3_at	8.211
AFFX-HUMRGE/M10098_5_at	12.85
AFFX-HUMRGE/M10098_M_at	12.344
AFFX-HUMRGE/M10098_3_at	12.015
AFFX-HUMGAPDH/M33197_5_at	12.146
AFFX-HUMGAPDH/M33197_M_at	12.402
AFFX-HUMGAPDH/M33197_3_at	12.489
AFFX-HSAC07/X00351_5_at	11.097
AFFX-HSAC07/X00351_M_at	11.677
AFFX-HSAC07/X00351_3_at	12.288
AFFX-M27830_5_at	12.689
AFFX-M27830_M_at	10.973
AFFX-M27830_3_at	4.837
AFFX-hum_alu_at	13.167
1007_s_at	8.347
1053_at	8.574
117_at	8.874
121_at	7.236
1255_g_at	2.581
1294_at	5.1
1316_at	5.679
1320_at	4.77
1405_i_at	2.636
1431_at	2.958
1438_at	4.93
1487_at	7.982
1494_f_at	5.302
1598_g_at	8.878
160020_at	7.077
1729_at	6.786
1773_at	5.348
177_at	4.686
179_at	7.624
1861_at	7.939
200000_s_at	8.836
200001_at	9.399
200002_at	12.702
200003_s_at	12.82
200004_at	11.77
200005_at	10.734
200006_at	11.634
200007_at	11.442
200008_s_at	9.576
200009_at	11.308
200010_at	12.273
200011_s_at	7.414
200012_x_at	12.734
200013_at	12.83
200014_s_at	11.268
200015_s_at	10.798
200016_x_at	12.597
200017_at	12.648
200018_at	12.857
200019_s_at	12.464
200020_at	10.028
200021_at	12.239
200022_at	12.626
200023_s_at	11.952
200024_at	12.535
200025_s_at	13.035
200026_at	12.405
200027_at	10.441
200028_s_at	10.288
200029_at	12.788
200030_s_at	12.293
200031_s_at	12.839
200032_s_at	12.804
200033_at	11.742
200034_s_at	12.762
200035_at	8.571
200036_s_at	12.296
200037_s_at	11.513
200038_s_at	12.308
200039_s_at	10.807
200040_at	10.602
200041_s_at	9.48
200042_at	9.031
200043_at	11.985
200044_at	11.132
200045_at	10.075
200046_at	10.423
200047_s_at	11.346
200048_s_at	11.363
200049_at	7.298
200050_at	10.433
200051_at	8.437
200052_s_at	10.7
200053_at	8.758
200054_at	9.048
200055_at	10.266
200056_s_at	9.243
200057_s_at	11.358
200058_s_at	9.605
200059_s_at	11.892
200060_s_at	10.12
200061_s_at	13.004
200062_s_at	12.852
200063_s_at	12.685
200064_at	12.006
200065_s_at	10.935
200066_at	9.231
200067_x_at	10.894
200068_s_at	11.473
200069_at	9.223
200070_at	7.466
200071_at	10.209
200072_s_at	10.889
200073_s_at	11.355
200074_s_at	12.313
200075_s_at	9.537
200076_s_at	8.56
200077_s_at	12.38
200078_s_at	9.862
200079_s_at	10.593
200080_s_at	11.995
200081_s_at	12.558
200082_s_at	12.582
200083_at	9.328
200084_at	11.071
200085_s_at	11.615
200086_s_at	11.071
200087_s_at	11.572
200088_x_at	12.803
200089_s_at	12.043
200090_at	10.48
200091_s_at	12.435
200092_s_at	12.912
200093_s_at	12.096
200094_s_at	11.277
200095_x_at	13.338
200096_s_at	11.258
200097_s_at	11.073
200098_s_at	9.878
200099_s_at	13.066
200593_s_at	10.17
200594_x_at	11.323
200595_s_at	10.532
200596_s_at	9.615
200597_at	8.07
200598_s_at	10.881
200599_s_at	11.529
200600_at	10.318
200601_at	8.09
200602_at	9.92
200603_at	11.108
200604_s_at	7.442
200605_s_at	10.468
200606_at	9.534
200607_s_at	9.103
200608_s_at	11.088
200609_s_at	10.871
200610_s_at	11.418
200611_s_at	10.001
200612_s_at	9.137
200613_at	8.612
200614_at	11.945
200615_s_at	8.434
200616_s_at	10.461
200617_at	7.767
200618_at	10.745
200619_at	9.436
200620_at	9.879
200621_at	8.608
200622_x_at	9.077
200623_s_at	8.647
200624_s_at	10.489
200625_s_at	10.765
200626_s_at	11.119
200627_at	11.768
200628_s_at	7.174
200629_at	8.368
200630_x_at	12.278
200631_s_at	11.728
200632_s_at	9.273
200633_at	12.966
200634_at	10.818
200635_s_at	8.511
200636_s_at	10.046
200637_s_at	6.738
200638_s_at	11.883
200639_s_at	11.008
200640_at	11.128
200641_s_at	10.908
200642_at	11.662
200643_at	7.069
200644_at	8.406
200645_at	10.546
200646_s_at	4.523
200647_x_at	10.185
200648_s_at	6.641
200649_at	6.068
200650_s_at	12.571
200651_at	12.559
200652_at	10.862
200653_s_at	10.959
200654_at	10.624
200655_s_at	11.356
200656_s_at	8.919
200657_at	11.534
200658_s_at	10.424
200659_s_at	8.955
200660_at	9.839
200661_at	8.885
200662_s_at	11.621
200663_at	11.167
200664_s_at	9.16
200665_s_at	7.447
200666_s_at	10.099
200667_at	10.609
200668_s_at	11.43
200669_s_at	11.2
200670_at	8.1
200671_s_at	6.006
200672_x_at	8.107
200673_at	11.344
200674_s_at	12.962
200675_at	9.989
200676_s_at	6.235
200677_at	11.491
200678_x_at	8.761
200679_x_at	10.721
200680_x_at	12.038
200681_at	11.886
200682_s_at	10.46
200683_s_at	8.277
200684_s_at	7.647
200685_at	6.742
200686_s_at	10.538
200687_s_at	8.02
200688_at	6.05
200689_x_at	12.403
200690_at	8.392
200691_s_at	11.392
200692_s_at	10.216
200693_at	11.653
200694_s_at	10.144
200695_at	7.067
200696_s_at	7.226
200697_at	9.956
200698_at	10.521
200699_at	9.553
200700_s_at	10.54
200701_at	10.993
200702_s_at	9.17
200703_at	11.735
200704_at	8.849
200705_s_at	12.335
200706_s_at	8.669
200707_at	6.173
200708_at	9.974
200709_at	8.172
200710_at	8.866
200711_s_at	10.382
200712_s_at	8.855
200713_s_at	11.256
200714_x_at	7.588
200715_x_at	11.496
200716_x_at	12.729
200717_x_at	12.883
200718_s_at	12.37
200719_at	7.245
200720_s_at	9.433
200721_s_at	8.046
200722_s_at	8.188
200723_s_at	10.807
200724_at	4.63
200725_x_at	11.942
200726_at	11.712
200727_s_at	8.741
200728_at	10.796
200729_s_at	10.355
200730_s_at	10.208
200731_s_at	8.591
200732_s_at	9.471
200733_s_at	10.994
200734_s_at	7.709
200735_x_at	12.366
200736_s_at	11.573
200737_at	9.98
200738_s_at	11.917
200739_s_at	8.848
200740_s_at	10.556
200741_s_at	12.876
200742_s_at	5.706
200743_s_at	7.602
200744_s_at	9.225
200745_s_at	10.371
200746_s_at	9.941
200747_s_at	7.873
