^SAMPLE = GSM587206
!Sample_title = glioblastoma stem-like cell line, serum free_GS-3 clone  2
!Sample_geo_accession = GSM587206
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma stem-like cell line, GSf cell line, clonal cell line from GS3
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: GS-3 clone  2
!Sample_characteristics_ch1 = sample type: clonal subline derived from glioblastoma stem-like (GS) cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = glioblastoma stem-like cell lines, serum free conditions
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587206/suppl/GSM587206.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.59369
1053_at	8.952592
117_at	4.323217
121_at	3.419533
1255_g_at	2.150984
1294_at	3.046582
1316_at	3.735302
1320_at	2.949618
1405_i_at	2.829888
1431_at	2.621895
1438_at	4.743076
1487_at	5.707121
1494_f_at	2.458851
1552256_a_at	8.649525
1552257_a_at	6.456731
1552258_at	2.261843
1552261_at	2.689074
1552263_at	2.507737
1552264_a_at	5.771985
1552266_at	2.775338
1552269_at	2.457889
1552271_at	2.39342
1552272_a_at	2.056148
1552274_at	5.080989
1552275_s_at	4.56482
1552276_a_at	2.655087
1552277_a_at	7.355879
1552278_a_at	2.220158
1552279_a_at	3.618254
1552280_at	1.708892
1552281_at	2.778467
1552283_s_at	5.099488
1552286_at	4.131076
1552287_s_at	5.915527
1552288_at	2.679364
1552289_a_at	1.683992
1552291_at	9.689376
1552293_at	2.760073
1552295_a_at	4.545403
1552296_at	2.14311
1552299_at	2.907389
1552301_a_at	2.427869
1552302_at	3.164581
1552303_a_at	2.071261
1552304_at	2.268542
1552306_at	3.081036
1552307_a_at	2.782085
1552309_a_at	1.796492
1552310_at	7.480723
1552311_a_at	3.156756
1552312_a_at	4.380484
1552314_a_at	4.099266
1552315_at	2.426492
1552316_a_at	2.336357
1552318_at	2.620075
1552319_a_at	2.355993
1552320_a_at	3.390017
1552321_a_at	2.065456
1552322_at	2.304548
1552323_s_at	2.575077
1552325_at	3.470667
1552326_a_at	2.815783
1552327_at	3.491366
1552329_at	4.156858
1552330_at	6.543832
1552332_at	3.979147
1552334_at	3.974419
1552335_at	2.763473
1552337_s_at	2.796798
1552338_at	2.279225
1552340_at	2.403125
1552343_s_at	3.654735
1552344_s_at	4.277546
1552347_at	7.479205
1552348_at	2.968229
1552349_a_at	2.534118
1552354_at	2.870187
1552355_s_at	2.32124
1552359_at	2.118405
1552360_a_at	3.99659
1552362_a_at	4.024649
1552364_s_at	3.057722
1552365_at	1.921569
1552367_a_at	2.944817
1552368_at	2.313397
1552370_at	3.199519
1552372_at	2.30802
1552373_s_at	2.639052
1552375_at	2.824749
1552377_s_at	2.523728
1552378_s_at	2.938072
1552379_at	2.175466
1552381_at	5.050882
1552383_at	4.087408
1552384_a_at	2.067992
1552386_at	2.09541
1552388_at	2.463168
1552389_at	2.819564
