^SAMPLE = GSM162934
!Sample_title = Melanoma cell line COLOF
!Sample_geo_accession = GSM162934
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 15 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line COLOF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = ATCC
!Sample_treatment_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2).
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM162nnn/GSM162934/suppl/GSM162934.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM162nnn/GSM162934/suppl/GSM162934.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_series_id = GSE7152
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	221.291	P	0.000581214
AFFX-BioB-M_at	336.362	P	4.42873e-05
AFFX-BioB-3_at	181.742	P	0.000340305
AFFX-BioC-5_at	455.532	P	6.02111e-05
AFFX-BioC-3_at	497.74	P	4.42873e-05
AFFX-BioDn-5_at	504.562	P	4.42873e-05
AFFX-BioDn-3_at	2355.44	P	5.16732e-05
AFFX-CreX-5_at	5622.5	P	5.16732e-05
AFFX-CreX-3_at	8013.32	P	4.42873e-05
AFFX-DapX-5_at	199.096	P	8.14279e-05
AFFX-DapX-M_at	360.749	P	0.000856509
AFFX-DapX-3_at	424.152	P	6.02111e-05
AFFX-LysX-5_at	18.6727	P	0.00448081
AFFX-LysX-M_at	36.059	M	0.050229
AFFX-LysX-3_at	99.9314	P	0.000258358
AFFX-PheX-5_at	38.7763	P	0.000340305
AFFX-PheX-M_at	37.9782	P	0.0151826
AFFX-PheX-3_at	79.7675	P	0.00499819
AFFX-ThrX-5_at	57.4212	P	0.000509415
AFFX-ThrX-M_at	83.5119	P	0.00010954
AFFX-ThrX-3_at	100.554	P	0.000195116
AFFX-TrpnX-5_at	20.272	P	0.0166701
AFFX-TrpnX-M_at	1.83973	A	0.814869
AFFX-TrpnX-3_at	4.50056	A	0.724854
AFFX-r2-Ec-bioB-5_at	249.098	P	0.000244141
AFFX-r2-Ec-bioB-M_at	363.666	P	0.000244141
AFFX-r2-Ec-bioB-3_at	248.262	P	0.000244141
AFFX-r2-Ec-bioC-5_at	489.15	P	0.000244141
AFFX-r2-Ec-bioC-3_at	718.761	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2361.2	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2619.04	P	0.000244141
AFFX-r2-P1-cre-5_at	9978.93	P	0.000244141
AFFX-r2-P1-cre-3_at	11131.2	P	0.000244141
AFFX-r2-Bs-dap-5_at	303.652	P	0.000244141
AFFX-r2-Bs-dap-M_at	391.449	P	0.000244141
AFFX-r2-Bs-dap-3_at	524.632	P	0.000244141
AFFX-r2-Bs-lys-5_at	40.6765	P	0.000732422
AFFX-r2-Bs-lys-M_at	41.7616	P	0.000244141
AFFX-r2-Bs-lys-3_at	37.4442	P	0.0012207
AFFX-r2-Bs-phe-5_at	48.5336	P	0.00585938
AFFX-r2-Bs-phe-M_at	41.8861	P	0.00195313
AFFX-r2-Bs-phe-3_at	144.023	P	0.00415039
AFFX-r2-Bs-thr-3_s_at	106.771	P	0.0107422
AFFX-r2-Bs-thr-M_s_at	100.608	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	66.6932	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	107.46	P	0.0012475
AFFX-HUMISGF3A/M97935_MA_at	190.301	P	0.000340305
AFFX-HUMISGF3A/M97935_MB_at	173.894	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	510.584	P	8.14279e-05
AFFX-HUMRGE/M10098_5_at	65.422	P	0.0200219
AFFX-HUMRGE/M10098_M_at	67.7401	P	0.0022732
AFFX-HUMRGE/M10098_3_at	82.0197	P	0.00762003
AFFX-HUMGAPDH/M33197_5_at	11556.9	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	10338.5	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	10752.8	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8022.61	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	8320.72	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	8689.82	P	4.42873e-05
AFFX-M27830_5_at	396.926	P	4.42873e-05
AFFX-M27830_M_at	866.96	P	0.0032123
AFFX-M27830_3_at	9.347	A	0.699394
AFFX-hum_alu_at	12078.6	P	2.6068e-13
1007_s_at	169.122	P	0.00189162
1053_at	447.187	P	0.000467546
117_at	32.4725	A	0.089405
121_at	180.289	P	0.00222768
1255_g_at	2.87037	A	0.781017
1294_at	52.6055	P	0.0278597
1316_at	34.7079	P	0.00564279
1320_at	27.4651	A	0.458816
1405_i_at	1.47369	A	0.979337
1431_at	20.9581	P	0.00564279
1438_at	28.2637	A	0.250724
1487_at	286.469	P	0.0193035
1494_f_at	22.5043	A	0.089405
1598_g_at	193.489	P	0.00754291
160020_at	1244.51	P	0.000265621
1729_at	133.024	P	0.00358487
1773_at	136.417	P	0.0130918
177_at	69.6924	P	0.00306668
179_at	225.216	P	0.0489947
1861_at	189.898	P	0.000321521
200000_s_at	1674.25	P	0.000244141
200001_at	3058.15	P	0.000244141
200002_at	6625.07	P	0.000244141
200003_s_at	11160.8	P	0.000244141
200004_at	5469.4	P	0.000244141
200005_at	4156.67	P	0.000244141
200006_at	5003.55	P	0.000244141
200007_at	4663.86	P	0.000244141
200008_s_at	3363.75	P	0.000244141
200009_at	5093.98	P	0.000244141
200010_at	8766.08	P	0.000244141
200011_s_at	884.408	P	0.000244141
200012_x_at	6568.35	P	0.000244141
200013_at	9808.23	P	0.000244141
200014_s_at	2089.94	P	0.000244141
200015_s_at	4468.03	P	0.000732422
200016_x_at	7450.24	P	0.000244141
200017_at	10207.3	P	0.000244141
200018_at	9849.22	P	0.000244141
200019_s_at	7067.16	P	0.000244141
200020_at	1409.16	P	0.000244141
200021_at	7974.36	P	0.0012207
200022_at	9044.32	P	0.000244141
200023_s_at	3150.22	P	0.000244141
200024_at	7416.4	P	0.000244141
200025_s_at	7822.97	P	0.000244141
200026_at	7492.98	P	0.000244141
200027_at	2184.81	P	0.000244141
200028_s_at	2031.91	P	0.000244141
200029_at	7101.7	P	0.000244141
200030_s_at	5339.99	P	0.000244141
200031_s_at	10634.7	P	0.000244141
200032_s_at	10916.5	P	0.000244141
200033_at	5391.72	P	0.000244141
200034_s_at	7675.48	P	0.000244141
200035_at	379.453	P	0.000732422
200036_s_at	4948.47	P	0.000244141
200037_s_at	3456.38	P	0.000244141
200038_s_at	8490.31	P	0.000244141
200039_s_at	3785.85	P	0.000244141
200040_at	1696.6	P	0.000244141
200041_s_at	2718.29	P	0.000244141
200042_at	1153.05	P	0.000244141
200043_at	4946.46	P	0.000244141
200044_at	2241.93	P	0.000244141
200045_at	767.113	P	0.000244141
200046_at	3074.7	P	0.000244141
200047_s_at	1727.19	P	0.000244141
200048_s_at	2002.47	P	0.000244141
200049_at	479.824	P	0.000244141
200050_at	1322.59	P	0.000244141
200051_at	503.145	P	0.000244141
200052_s_at	2346.06	P	0.000244141
200053_at	733.068	P	0.000244141
200054_at	596.194	P	0.000732422
200055_at	1750.92	P	0.000244141
200056_s_at	768.769	P	0.000244141
200057_s_at	4328.12	P	0.000244141
200058_s_at	2012.39	P	0.000244141
200059_s_at	5751.68	P	0.000244141
200060_s_at	2002.1	P	0.000732422
200061_s_at	7505.66	P	0.000244141
200062_s_at	8825.12	P	0.000244141
200063_s_at	7364.43	P	0.000244141
200064_at	6293.53	P	0.000244141
200065_s_at	5532.61	P	0.000244141
200066_at	639.154	P	0.000244141
200067_x_at	1609.56	P	0.000244141
200068_s_at	3295.98	P	0.000244141
200069_at	242.676	P	0.000244141
200070_at	259.664	P	0.000244141
200071_at	1484.97	P	0.000244141
200072_s_at	2743.28	P	0.000244141
200073_s_at	2986.17	P	0.000244141
200074_s_at	4568.65	P	0.000244141
200075_s_at	1805.73	P	0.000244141
200076_s_at	737.492	P	0.000732422
200077_s_at	7275.62	P	0.000244141
200078_s_at	1283.23	P	0.000244141
200079_s_at	1990.94	P	0.000244141
200080_s_at	5665.24	P	0.000244141
200081_s_at	9271.89	P	0.000244141
200082_s_at	9578.31	P	0.000244141
200083_at	1034.38	P	0.000244141
200084_at	2509.06	P	0.000244141
200085_s_at	3199.45	P	0.000244141
200086_s_at	2296.98	P	0.000244141
200087_s_at	3810.38	P	0.000244141
200088_x_at	9246.22	P	0.000244141
200089_s_at	7442.05	P	0.000244141
200090_at	2945.25	P	0.000244141
