^SAMPLE = GSM1230002
!Sample_title = CAL-51_Ctrl_2
!Sample_geo_accession = GSM1230002
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = CAL-51 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: CAL-51
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230002/suppl/GSM1230002_CEL_284_4743_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.787
AFFX-BioB-M_at	4.978
AFFX-BioB-3_at	4.589
AFFX-BioC-5_at	6.249
AFFX-BioC-3_at	6.51
AFFX-BioDn-5_at	7.649
AFFX-BioDn-3_at	8.545
AFFX-CreX-5_at	10.261
AFFX-CreX-3_at	10.449
AFFX-DapX-5_at	2.343
AFFX-DapX-M_at	2.156
AFFX-DapX-3_at	2.794
AFFX-LysX-5_at	2.041
AFFX-LysX-M_at	2.719
AFFX-LysX-3_at	2.098
AFFX-PheX-5_at	2.755
AFFX-PheX-M_at	2.273
AFFX-PheX-3_at	4.142
AFFX-ThrX-5_at	2.724
AFFX-ThrX-M_at	2.374
AFFX-ThrX-3_at	3.671
AFFX-TrpnX-5_at	3.127
AFFX-TrpnX-M_at	2.581
AFFX-TrpnX-3_at	2.189
AFFX-r2-Ec-bioB-5_at	4.88
AFFX-r2-Ec-bioB-M_at	5.011
AFFX-r2-Ec-bioB-3_at	5.278
AFFX-r2-Ec-bioC-5_at	6.387
AFFX-r2-Ec-bioC-3_at	6.82
AFFX-r2-Ec-bioD-5_at	8.693
AFFX-r2-Ec-bioD-3_at	9.076
AFFX-r2-P1-cre-5_at	11.063
AFFX-r2-P1-cre-3_at	11.181
AFFX-r2-Bs-dap-5_at	2.446
AFFX-r2-Bs-dap-M_at	2.208
AFFX-r2-Bs-dap-3_at	2.108
AFFX-r2-Bs-lys-5_at	2.161
AFFX-r2-Bs-lys-M_at	2.193
AFFX-r2-Bs-lys-3_at	2.47
AFFX-r2-Bs-phe-5_at	2.133
AFFX-r2-Bs-phe-M_at	2.389
AFFX-r2-Bs-phe-3_at	2.754
AFFX-r2-Bs-thr-3_s_at	3.537
AFFX-r2-Bs-thr-M_s_at	3.385
AFFX-r2-Bs-thr-5_s_at	2.76
AFFX-HUMISGF3A/M97935_5_at	4.82
AFFX-HUMISGF3A/M97935_MA_at	5.669
AFFX-HUMISGF3A/M97935_MB_at	5.602
AFFX-HUMISGF3A/M97935_3_at	8.309
AFFX-HUMRGE/M10098_5_at	12.989
AFFX-HUMRGE/M10098_M_at	12.549
AFFX-HUMRGE/M10098_3_at	11.956
AFFX-HUMGAPDH/M33197_5_at	12.587
AFFX-HUMGAPDH/M33197_M_at	12.724
AFFX-HUMGAPDH/M33197_3_at	12.692
AFFX-HSAC07/X00351_5_at	11.489
AFFX-HSAC07/X00351_M_at	11.981
AFFX-HSAC07/X00351_3_at	12.316
AFFX-M27830_5_at	11.776
AFFX-M27830_M_at	10.097
AFFX-M27830_3_at	4.597
AFFX-hum_alu_at	13.172
1007_s_at	8.944
1053_at	8.663
117_at	4.089
121_at	7.862
1255_g_at	2.669
1294_at	4.341
1316_at	5.487
1320_at	4.241
1405_i_at	2.277
1431_at	2.925
1438_at	4.705
1487_at	6.768
1494_f_at	5.285
1598_g_at	6.617
160020_at	6.255
1729_at	6.922
1773_at	5.303
177_at	5.022
179_at	7.441
1861_at	6.148
200000_s_at	8.575
200001_at	9.699
200002_at	12.145
200003_s_at	12.355
200004_at	12.039
200005_at	10.085
200006_at	11.89
200007_at	11.696
200008_s_at	9.824
200009_at	11.474
200010_at	12.147
200011_s_at	7.852
200012_x_at	12.799
200013_at	12.588
200014_s_at	11.387
200015_s_at	11.358
200016_x_at	12.852
200017_at	12.497
200018_at	12.603
200019_s_at	11.87
200020_at	10.276
200021_at	11.924
200022_at	11.834
200023_s_at	11.52
200024_at	12.131
200025_s_at	12.586
200026_at	11.631
200027_at	11.578
200028_s_at	10.678
200029_at	12.497
200030_s_at	12.238
200031_s_at	12.463
200032_s_at	12.469
200033_at	11.827
200034_s_at	12.412
200035_at	7.981
200036_s_at	11.722
200037_s_at	11.623
200038_s_at	12.613
200039_s_at	10.984
