^SAMPLE = GSM1230664
!Sample_title = MFE-280_PTX_2
!Sample_geo_accession = GSM1230664
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MFE-280 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MFE-280
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230664/suppl/GSM1230664__52001900916281081813414633589309.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.443
AFFX-BioB-M_at	5.043
AFFX-BioB-3_at	4.107
AFFX-BioC-5_at	8.381
AFFX-BioC-3_at	8.951
AFFX-BioDn-5_at	10.221
AFFX-BioDn-3_at	10.774
AFFX-CreX-5_at	12.153
AFFX-CreX-3_at	12.398
AFFX-DapX-5_at	2.586
AFFX-DapX-M_at	2.16
AFFX-DapX-3_at	2.689
AFFX-LysX-5_at	2.18
AFFX-LysX-M_at	2.439
AFFX-LysX-3_at	2.028
AFFX-PheX-5_at	2.549
AFFX-PheX-M_at	2.402
AFFX-PheX-3_at	4.057
AFFX-ThrX-5_at	2.81
AFFX-ThrX-M_at	2.516
AFFX-ThrX-3_at	3.494
AFFX-TrpnX-5_at	2.702
AFFX-TrpnX-M_at	2.516
AFFX-TrpnX-3_at	2.021
AFFX-r2-Ec-bioB-5_at	4.723
AFFX-r2-Ec-bioB-M_at	5.033
AFFX-r2-Ec-bioB-3_at	5.209
AFFX-r2-Ec-bioC-5_at	8.633
AFFX-r2-Ec-bioC-3_at	9.176
AFFX-r2-Ec-bioD-5_at	11.197
AFFX-r2-Ec-bioD-3_at	11.433
AFFX-r2-P1-cre-5_at	12.641
AFFX-r2-P1-cre-3_at	12.83
AFFX-r2-Bs-dap-5_at	2.539
AFFX-r2-Bs-dap-M_at	2.155
AFFX-r2-Bs-dap-3_at	2.007
AFFX-r2-Bs-lys-5_at	2.386
AFFX-r2-Bs-lys-M_at	2.352
AFFX-r2-Bs-lys-3_at	2.478
AFFX-r2-Bs-phe-5_at	2.128
AFFX-r2-Bs-phe-M_at	2.106
AFFX-r2-Bs-phe-3_at	2.668
AFFX-r2-Bs-thr-3_s_at	3.104
AFFX-r2-Bs-thr-M_s_at	3.026
AFFX-r2-Bs-thr-5_s_at	2.58
AFFX-HUMISGF3A/M97935_5_at	5.134
AFFX-HUMISGF3A/M97935_MA_at	5.454
AFFX-HUMISGF3A/M97935_MB_at	6.465
AFFX-HUMISGF3A/M97935_3_at	8.871
AFFX-HUMRGE/M10098_5_at	12.825
AFFX-HUMRGE/M10098_M_at	12.069
AFFX-HUMRGE/M10098_3_at	11.718
AFFX-HUMGAPDH/M33197_5_at	12.112
AFFX-HUMGAPDH/M33197_M_at	12.314
AFFX-HUMGAPDH/M33197_3_at	12.44
AFFX-HSAC07/X00351_5_at	11.52
AFFX-HSAC07/X00351_M_at	12.011
AFFX-HSAC07/X00351_3_at	12.381
AFFX-M27830_5_at	12.221
AFFX-M27830_M_at	10.553
AFFX-M27830_3_at	4.92
AFFX-hum_alu_at	13.419
1007_s_at	10.752
1053_at	9.12
117_at	4.637
121_at	10.775
1255_g_at	2.415
1294_at	4.891
1316_at	6.806
1320_at	4.39
1405_i_at	2.221
1431_at	3.538
1438_at	6.342
1487_at	6.29
1494_f_at	4.908
1598_g_at	7.361
160020_at	5.894
1729_at	6.729
1773_at	5.468
177_at	4.671
179_at	6.985
1861_at	6.331
200000_s_at	9.489
200001_at	10.058
200002_at	12.603
200003_s_at	12.733
200004_at	12.005
200005_at	10.434
200006_at	11.235
200007_at	11.921
200008_s_at	8.975
200009_at	10.573
200010_at	12.477
200011_s_at	8.258
200012_x_at	12.849
200013_at	12.264
200014_s_at	11.626
200015_s_at	11.143
200016_x_at	12.795
200017_at	12.63
200018_at	12.766
200019_s_at	11.96
200020_at	10.495
200021_at	11.871
200022_at	12.433
200023_s_at	11.613
200024_at	12.272
200025_s_at	12.999
200026_at	12.115
200027_at	11.31
200028_s_at	10.651
200029_at	13.356
200030_s_at	12.261
200031_s_at	12.967
200032_s_at	12.767
200033_at	12.548
200034_s_at	12.903
200035_at	8.087
200036_s_at	12.268
200037_s_at	12.065
200038_s_at	12.822
200039_s_at	12.113
200040_at	11.295
200041_s_at	10.067
200042_at	9.561
200043_at	11.957
200044_at	11.557
200045_at	9.339
200046_at	10.848
200047_s_at	11.791
200048_s_at	11.658
200049_at	8.753
200050_at	11.542
200051_at	7.493
200052_s_at	11.658
200053_at	9.24
200054_at	7.859
200055_at	9.854
200056_s_at	9.956
200057_s_at	12.233
200058_s_at	10.586
200059_s_at	11.735
200060_s_at	10.153
200061_s_at	13.054
200062_s_at	12.717
200063_s_at	12.893
200064_at	11.558
200065_s_at	11.012
200066_at	10.183
200067_x_at	11.87
200068_s_at	11.694
200069_at	9.299
200070_at	8.201
200071_at	10.829
200072_s_at	11.452
200073_s_at	11.72
200074_s_at	12.013
200075_s_at	9.033
200076_s_at	8.175
200077_s_at	12.415
200078_s_at	10.645
200079_s_at	10.652
200080_s_at	12.95
200081_s_at	12.651
200082_s_at	12.693
200083_at	11.018
200084_at	11.139
200085_s_at	11.283
200086_s_at	11.661
200087_s_at	12.172
200088_x_at	12.894
200089_s_at	12.201
200090_at	11.107
200091_s_at	12.977
200092_s_at	12.988
200093_s_at	11.863
200094_s_at	10.553
200095_x_at	13.354
200096_s_at	11.202
200097_s_at	11.66
200098_s_at	10.252
200099_s_at	13.342
200593_s_at	10.711
200594_x_at	11.756
200595_s_at	10.62
200596_s_at	9.862
200597_at	7.945
200598_s_at	11.844
200599_s_at	12.138
200600_at	10.819
200601_at	8.068
200602_at	10.82
200603_at	11.433
200604_s_at	8.354
200605_s_at	11.23
200606_at	11.918
200607_s_at	10.085
200608_s_at	11.582
200609_s_at	9.732
200610_s_at	11.415
200611_s_at	9.276
200612_s_at	7.364
200613_at	9.658
200614_at	12.41
200615_s_at	6.938
200616_s_at	10.539
200617_at	7.954
200618_at	10.711
200619_at	9.432
200620_at	11.287
200621_at	8.95
200622_x_at	9.43
200623_s_at	7.777
200624_s_at	11.081
200625_s_at	10.688
200626_s_at	11.726
200627_at	12.764
200628_s_at	8.376
200629_at	9.414
200630_x_at	12.56
200631_s_at	12.101
200632_s_at	7.314
200633_at	4.965
200634_at	10.455
200635_s_at	9.177
200636_s_at	10.686
200637_s_at	7.193
200638_s_at	11.552
200639_s_at	11.339
200640_at	11.072
200641_s_at	10.25
200642_at	12.481
200643_at	7.888
200644_at	11.468
200645_at	11.125
200646_s_at	4.004
200647_x_at	10.397
200648_s_at	7.959
200649_at	5.965
200650_s_at	11.323
200651_at	12.65
200652_at	11.683
200653_s_at	11.779
200654_at	10.411
200655_s_at	12.068
200656_s_at	9.178
200657_at	11.813
200658_s_at	11.204
200659_s_at	9.192
200660_at	8.986
200661_at	8.71
200662_s_at	11.544
200663_at	11.747
200664_s_at	7.955
200665_s_at	6.201
200666_s_at	8.758
200667_at	10.475
200668_s_at	11.559
200669_s_at	11.162
200670_at	9.883
200671_s_at	5.698
200672_x_at	7.164
200673_at	11.775
200674_s_at	12.708
200675_at	10.485
200676_s_at	6.755
200677_at	11.694
200678_x_at	9.69
200679_x_at	10.998
200680_x_at	12.006
200681_at	11.281
200682_s_at	10.831
200683_s_at	8.826
200684_s_at	7.976
200685_at	8.185
200686_s_at	11.858
200687_s_at	9.964
200688_at	7.366
200689_x_at	12.798
200690_at	8.14
200691_s_at	10.897
200692_s_at	9.918
200693_at	12.192
200694_s_at	10.079
200695_at	6.434
200696_s_at	7.473
200697_at	9.12
200698_at	11.113
200699_at	10.332
200700_s_at	10.628
200701_at	11.255
200702_s_at	9.68
200703_at	12.029
200704_at	8.98
200705_s_at	12.47
200706_s_at	9.003
200707_at	3.879
200708_at	9.436
200709_at	8.321
200710_at	9.547
200711_s_at	10.194
200712_s_at	9.431
200713_s_at	11.715
200714_x_at	7.912
200715_x_at	11.031
200716_x_at	12.891
200717_x_at	13.146
200718_s_at	12.447
200719_at	7.1
200720_s_at	8.746
200721_s_at	7.384
200722_s_at	8.656
200723_s_at	10.994
200724_at	4.648
200725_x_at	12.724
200726_at	11.827
200727_s_at	8.934
200728_at	10.593
200729_s_at	10.856
200730_s_at	9.357
200731_s_at	7.925
200732_s_at	9.009
200733_s_at	10.487
200734_s_at	8.664
200735_x_at	12.495
200736_s_at	11.189
200737_at	10.311
200738_s_at	12.131
200739_s_at	9.197
200740_s_at	11.421
200741_s_at	13.203
200742_s_at	5.917
200743_s_at	7.641
200744_s_at	8.722
200745_s_at	9.605
200746_s_at	9.083
200747_s_at	8.247
200748_s_at	12.059
200749_at	10.965
200750_s_at	12.379
200751_s_at	11.594
200752_s_at	6.571
200753_x_at	10.425
200754_x_at	11.459
200755_s_at	8.896
200756_x_at	8.087
200757_s_at	10.259
200758_s_at	9.364
200759_x_at	9.712
200760_s_at	9.578
200761_s_at	9.907
200762_at	11.024
200763_s_at	12.852
200764_s_at	9.212
200765_x_at	10.246
200766_at	6.206
200767_s_at	7.566
200768_s_at	10.167
200769_s_at	7.395
200770_s_at	9.224
200771_at	10.947
200772_x_at	12.238
200773_x_at	12.249
200774_at	11.461
200775_s_at	12.249
200776_s_at	10.26
200777_s_at	11.459
200778_s_at	9.531
200779_at	11.27
200780_x_at	13.066
200781_s_at	12.94
200782_at	10.891
200783_s_at	9.708
200784_s_at	5.827
