^SAMPLE = GSM629484
!Sample_title = G519_1_sensitive
!Sample_geo_accession = GSM629484
!Sample_status = Public on Jul 01 2011
!Sample_submission_date = Nov 24 2010
!Sample_last_update_date = Jul 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Mantel cell lymphoma cell line, sensitive to ABT-737
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: Mantel Cell Lymphoma
!Sample_characteristics_ch1 = cell line: G519
!Sample_growth_protocol_ch1 = Cells were cultured in RPMI-1640 medium supplemented with 10% FBS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = The cells were harvested with TRIzol Reagent (Invitrogen)  and the RNA was extracted according to the manufacturer's instructions. As a last step of the extraction procedure, the RNA was purified with the RNeasy Mini-kit (Qiagen, Hilden, Germany).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = The cDNA was prepared from 2 microg total RNA using the One –Cycle cDNA Synthesis kit from Affymetrix. This cDNA was used for synthezising the cRNA using the IVT labeling kit (Affymetrix). The synthezised cRNA was purified with the GeneChip Sample Cleanup Module (Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 microg of cRNA were hybridized to the Affymetrix HG-U133Plus2 chip according to the protocols provided by the manufacturer.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 from Affymetrix.
!Sample_description = G519_D1_3
!Sample_data_processing = RMA in Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Vicente,Jose,Fresquet
!Sample_contact_email = vfresquet@unav.es
!Sample_contact_phone = 34-948-194700
!Sample_contact_fax = 34-948-194714
!Sample_contact_laboratory = Molecular Oncology
!Sample_contact_department = Division of Oncology
!Sample_contact_institute = Center for Applied Medical Research (Cima)
!Sample_contact_address = Av Pio XII 55
!Sample_contact_city = Pamplona
!Sample_contact_state = Navarra
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM629nnn/GSM629484/suppl/GSM629484.CEL.gz
!Sample_series_id = GSE25613
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal (log2 scale)
!sample_table_begin
ID_REF	VALUE
1007_s_at	7.310203178
1053_at	7.950415
117_at	4.196997232
121_at	6.79700082
1255_g_at	2.907659683
1294_at	6.550758906
1316_at	4.543442333
1320_at	3.185380602
1405_i_at	8.057164384
1431_at	3.36054575
1438_at	4.112786258
1487_at	7.713999944
1494_f_at	5.416165373
1552256_a_at	8.307226136
1552257_a_at	8.473568287
1552258_at	4.106497174
1552261_at	3.501558383
1552263_at	7.832528792
1552264_a_at	8.138182806
1552266_at	2.63935165
1552269_at	2.576434083
1552271_at	4.70588696
1552272_a_at	4.851892961
1552274_at	8.188421735
1552275_s_at	7.200980223
1552276_a_at	4.834808596
1552277_a_at	7.766967499
1552278_a_at	3.412227122
1552279_a_at	5.991921062
1552280_at	2.797276582
1552281_at	5.521103872
1552283_s_at	4.692233729
1552286_at	5.825193762
1552287_s_at	6.982954721
1552288_at	3.073084162
1552289_a_at	3.918478075
1552291_at	6.914472048
1552293_at	3.804770066
1552295_a_at	5.570863656
1552296_at	3.798341071
1552299_at	3.836689434
1552301_a_at	3.936093048
1552302_at	5.680204658
1552303_a_at	6.359825196
1552304_at	3.59607852
1552306_at	4.133375902
1552307_a_at	5.216616535
1552309_a_at	6.414513405
1552310_at	7.351082408
1552311_a_at	5.314650997
1552312_a_at	5.538530662
1552314_a_at	4.15661707
1552315_at	4.210925094
1552316_a_at	3.141679895
1552318_at	3.072429245
1552319_a_at	3.082022561
1552320_a_at	2.386768213
1552321_a_at	2.815113548
1552322_at	2.730251126
1552323_s_at	4.575862422
1552325_at	2.405786834
1552326_a_at	3.919844054
1552327_at	2.815113548
1552329_at	6.682848029
1552330_at	5.549425072
1552332_at	6.722004285
1552334_at	6.150702615
1552335_at	4.393045207
1552337_s_at	3.601729628
1552338_at	3.774382967
1552340_at	4.313290329
1552343_s_at	7.13807964
1552344_s_at	6.398510112
1552347_at	7.138998753
1552348_at	4.185530699
1552349_a_at	3.27709363
1552354_at	4.044391799
1552355_s_at	5.073565889
1552359_at	2.459916604
1552360_a_at	6.309306261
1552362_a_at	7.249050882
1552364_s_at	6.692205151
1552365_at	2.574703801
1552367_a_at	2.429995949
1552368_at	2.682913886
1552370_at	6.415764913
1552372_at	2.301009264
1552373_s_at	2.410025449
1552375_at	6.770755975
1552377_s_at	6.215605292
1552378_s_at	3.599502926
1552379_at	2.476607131
1552381_at	2.633490377
1552383_at	5.696778055
1552384_a_at	4.417647168
1552386_at	3.989396628
1552388_at	5.390013021
1552389_at	2.476607131
1552390_a_at	2.280386688
1552391_at	2.907504965
1552393_at	2.844039034
1552394_a_at	3.00416762
1552395_at	7.185617354
1552396_at	3.242030023
1552398_a_at	2.840511288
1552399_a_at	4.083468796
1552400_a_at	4.347226257
1552401_a_at	3.683608553
1552402_at	2.9762436
1552405_at	3.378345278
1552408_at	2.995455227
1552409_a_at	5.204808702
1552410_at	3.987154038
1552411_at	5.444959542
1552412_a_at	2.711996078
1552414_at	2.891379644
1552415_a_at	3.716929998
1552417_a_at	6.931745638
1552418_at	4.69963559
1552419_s_at	5.006206316
1552421_a_at	2.854195976
1552422_at	4.070985765
1552423_at	5.428360268
1552424_at	2.81105462
1552425_a_at	3.820386927
1552426_a_at	9.115105551
1552427_at	6.524119997
1552430_at	3.083431632
1552432_at	4.118494212
1552436_a_at	3.790925233
1552438_a_at	2.898047705
1552439_s_at	3.776717396
1552440_at	2.686164888
1552445_a_at	3.140684487
1552448_a_at	3.291083141
1552449_a_at	2.844593486
1552450_a_at	4.123023562
1552452_at	2.859165036
1552453_a_at	2.817098455
1552455_at	2.962864311
1552456_a_at	4.409843236
1552457_a_at	2.947040642
1552458_at	2.431260458
1552459_a_at	3.338422491
1552461_at	2.504696095
1552463_at	2.855257367
1552466_x_at	2.692170444
1552467_at	6.253582979
1552468_a_at	3.99688047
1552470_a_at	3.454834352
1552472_a_at	5.998312882
1552473_at	6.290697337
1552474_a_at	6.331146163
1552476_s_at	5.249138868
1552477_a_at	2.69467654
1552478_a_at	2.480700468
1552480_s_at	3.015972057
1552481_s_at	2.797015994
1552482_at	2.49391967
1552484_at	5.480311718
1552485_at	5.684712325
1552486_s_at	6.099427322
1552487_a_at	2.325223248
1552489_s_at	2.52646815
1552490_at	2.815113548
1552491_at	5.062180082
1552493_s_at	3.610562616
1552494_at	4.053684942
1552496_a_at	4.499929694
1552497_a_at	6.547634368
1552498_at	2.861295625
1552499_a_at	3.324657209
1552501_a_at	4.970609128
1552502_s_at	2.738414742
1552503_at	3.985333605
1552504_a_at	4.982793139
1552506_at	3.236294889
1552507_at	3.904378084
1552508_at	2.831411481
1552509_a_at	3.004395774
1552510_at	7.448485928
1552511_a_at	2.260392398
1552514_at	4.079394611
1552515_at	2.938800605
1552516_a_at	4.387087353
1552518_s_at	5.042047136
1552519_at	3.503373642
1552520_at	3.245581892
1552521_a_at	2.491302604
1552522_at	2.406023923
1552523_a_at	3.411370192
1552524_at	4.248654323
1552526_at	3.418324938
1552528_at	5.824454401
