^SAMPLE = GSM881267
!Sample_title = UNC7_HNSCC_rep2
!Sample_geo_accession = GSM881267
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Feb 27 2012
!Sample_last_update_date = Jul 19 2016
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HNSCC cell line UNC7
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: UNC7
!Sample_characteristics_ch1 = cell type: HNSCC (head and neck squamous cell carcinoma)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated from the cell lines using Qiagen RNeasy Mini kit as directed (Qiagen, Valencia, CA). The quality and quantity of the RNA was determined using the Agilent RNA 6000 NanoLabChip kit and Agilent 2100 bioanalyzer (Agilent Technologies, Santa Clara, CA).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = The RNA was labeled with GeneChipR One-Cycle Target Labeling and Control Reagents.
!Sample_hyb_protocol = Following fragmentation, the RNA was loaded on to the Affymetrix Human Genome U133 plus 2.0 GeneChip as directed (Affymetrix, Santa Clara, CA).
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner 7G.
!Sample_description = 940CC0059-20090511-Hu133.CEL
!Sample_description = '7 day cetuximab cell survival assay' (% colony area in Cetuximab relative to control): Matrigel was purchased from (BD Matrigel Matrix Growth Factor Reduced). After thawing on ice overnight, matrigel solution (45ul/well) was put into 96-well culture plates. For 30 min incubation at 37C to form a solid surface, cells (1000 cells/well) were seeded on the surface of the matrigel in triplicate for each condition. The reagents were added 24hr later. The media and reagents were replaced every 3 days. After 7 days treatment, cell colonies were stained by 4mg/ml 3-(4,5-Dimethythiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT)  (Sigma, NY) for 2 hr. Then, cell colonies were scanned and analyzed with GelCountTM(Oxford Optronix Ltd; UK). The total area (average colony area x number of colonies) of treated cells divided by that of control cells was considered the survival rate to the reagents.
!Sample_data_processing = fRMA normalization and removal of date effect estimated with a limma linear model
!Sample_platform_id = GPL570
!Sample_contact_name = Elana,Judith,Fertig
!Sample_contact_email = ejfertig@jhmi.edu, ejfertig@som.umaryland.edu
!Sample_contact_department = Institute for Genome Sciences
!Sample_contact_institute = University of Maryland, Baltimore
!Sample_contact_address = 670 W. Baltimore Street, 3rd floor
!Sample_contact_city = Baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21201
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM881nnn/GSM881267/suppl/GSM881267_940CC0059-20090511-Hu133.CEL.gz
!Sample_series_id = GSE36110
!Sample_series_id = GSE84557
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = fRMA normalized log2 expression.
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.32506198
1053_at	9.286371299
117_at	5.359090676
121_at	7.900414536
1255_g_at	3.695970056
1294_at	5.877306329
1316_at	6.584814344
1320_at	4.525194807
1405_i_at	4.066568135
1431_at	3.987355778
1438_at	7.837832932
1487_at	8.324893134
1494_f_at	5.780998633
1552256_a_at	9.669199847
1552257_a_at	8.80071182
1552258_at	3.93367074
1552261_at	4.161440966
1552263_at	5.506907749
1552264_a_at	7.931018516
1552266_at	3.598200593
1552269_at	5.319926037
1552271_at	5.94541189
1552272_a_at	5.377297682
1552274_at	6.271641928
1552275_s_at	6.02686932
1552276_a_at	6.26313881
1552277_a_at	9.093567015
1552278_a_at	4.97604014
1552279_a_at	7.038730692
1552280_at	4.406829643
1552281_at	6.449468351
1552283_s_at	4.78831463
1552286_at	7.780695638
1552287_s_at	7.0549354
1552288_at	3.616140997
1552289_a_at	4.657994952
1552291_at	6.786985977
1552293_at	5.010774897
1552295_a_at	7.498169719
1552296_at	4.027658328
1552299_at	4.873005623
1552301_a_at	6.633868454
1552302_at	3.241905549
1552303_a_at	4.776936183
1552304_at	4.495572677
1552306_at	6.186907708
1552307_a_at	6.429772132
1552309_a_at	6.620436549
1552310_at	7.557255933
1552311_a_at	6.163398882
1552312_a_at	6.980335698
1552314_a_at	4.352354691
1552315_at	4.972510216
1552316_a_at	3.461782399
1552318_at	3.574879934
1552319_a_at	9.126611362
1552320_a_at	4.068953995
1552321_a_at	3.819126369
1552322_at	3.42932364
1552323_s_at	5.430879684
1552325_at	3.095246136
1552326_a_at	4.415490913
1552327_at	3.536129672
1552329_at	5.776850617
1552330_at	7.546886075
1552332_at	6.911033794
1552334_at	5.121766491
1552335_at	5.325937624
1552337_s_at	5.686631531
1552338_at	4.625070628
1552340_at	4.251964564
1552343_s_at	5.062284377
1552344_s_at	6.168027153
1552347_at	6.191094383
1552348_at	5.85981493
1552349_a_at	4.908358392
1552354_at	4.985186579
1552355_s_at	5.109964496
1552359_at	3.266781078
1552360_a_at	4.910875074
1552362_a_at	5.779490655
1552364_s_at	6.378450133
1552365_at	3.914673422
1552367_a_at	3.856437055
1552368_at	3.416468565
1552370_at	6.474757587
1552372_at	3.014823373
1552373_s_at	3.224171187
1552375_at	3.992696823
1552377_s_at	6.341190923
1552378_s_at	7.210165676
1552379_at	3.085058923
1552381_at	3.587915135
1552383_at	6.090873531
1552384_a_at	4.692610163
1552386_at	3.348397481
1552388_at	5.766933185
1552389_at	3.684286632
1552390_a_at	3.952228262
1552391_at	4.408367772
1552393_at	3.281877686
1552394_a_at	3.549976507
1552395_at	6.731150573
1552396_at	4.482906659
1552398_a_at	3.599227573
1552399_a_at	5.204026934
1552400_a_at	5.390334238
1552401_a_at	4.04244985
1552402_at	4.271143183
1552405_at	4.279675645
1552408_at	3.678702405
1552409_a_at	5.607672585
1552410_at	5.034797799
1552411_at	5.543468607
1552412_a_at	3.640789313
1552414_at	4.138554345
1552415_a_at	4.653887666
1552417_a_at	7.19856108
1552418_at	4.867360371
1552419_s_at	5.452915366
1552421_a_at	3.938950274
1552422_at	4.213542992
1552423_at	5.102072544
1552424_at	3.409607531
1552425_a_at	4.14893944
1552426_a_at	8.054183139
1552427_at	3.550506733
1552430_at	3.244321987
1552432_at	6.088814799
1552436_a_at	4.688734582
1552438_a_at	4.096797222
1552439_s_at	3.166984373
1552440_at	4.079190145
1552445_a_at	3.44025241
1552448_a_at	3.883563546
1552449_a_at	3.641597864
1552450_a_at	5.081372616
1552452_at	3.594754095
1552453_a_at	3.826804559
1552455_at	4.028088493
1552456_a_at	4.192244086
1552457_a_at	3.682609532
1552458_at	3.647336015
1552459_a_at	4.372764709
1552461_at	3.258064151
1552463_at	3.717089528
1552466_x_at	3.329729974
1552467_at	5.919261936
1552468_a_at	5.181804414
1552470_a_at	6.141707052
1552472_a_at	5.888895401
1552473_at	7.849524152
1552474_a_at	8.444233894
1552476_s_at	6.867405892
1552477_a_at	9.573545801
1552478_a_at	7.612378782
1552480_s_at	3.074402679
1552481_s_at	6.044435077
1552482_at	3.705723245
1552484_at	5.956253549
1552485_at	5.649800457
1552486_s_at	5.751152281
1552487_a_at	7.386330588
1552489_s_at	3.201376215
1552490_at	3.955291012
1552491_at	4.270538255
1552493_s_at	4.751598282
1552494_at	5.078273782
1552496_a_at	4.958638879
1552497_a_at	4.924822539
1552498_at	4.997319081
1552499_a_at	4.371585517
1552501_a_at	6.017168344
1552502_s_at	5.024634654
1552503_at	4.500813287
1552504_a_at	6.6193202
1552506_at	4.700080432
1552507_at	4.172863378
1552508_at	3.838465627
1552509_a_at	3.821363927
1552510_at	7.743937657
1552511_a_at	3.455490406
1552514_at	3.363724388
1552515_at	4.038026005
1552516_a_at	5.48779895
1552518_s_at	3.661277259
1552519_at	4.814465772
1552520_at	4.071819955
1552521_a_at	3.308245844
1552522_at	3.386786853
1552523_a_at	4.256045126
1552524_at	5.461645551
1552526_at	4.10754044
1552528_at	7.094219694
1552531_a_at	3.993768409
1552532_a_at	3.492967763
1552535_at	5.264145095
1552536_at	4.018096804
1552538_a_at	4.414038318
1552540_s_at	5.609576066
1552541_at	7.625353716
1552542_s_at	3.973666836
1552543_a_at	5.827230485
1552544_at	4.365097164
1552546_a_at	5.448287271
1552548_at	4.514719282
1552549_a_at	5.672344378
1552552_s_at	3.542413839
1552553_a_at	4.103375822
1552554_a_at	3.567267643
1552555_at	5.758756511
1552557_a_at	3.761471307
1552558_a_at	6.714546413
1552559_a_at	4.547560621
1552562_at	4.040150098
1552563_a_at	3.401959846
1552564_at	3.657640258
1552566_at	4.037878341
1552568_at	5.352035042
1552569_a_at	4.31372451
1552570_at	4.236742937
1552572_a_at	3.364586726
1552573_s_at	3.662702033
1552575_a_at	7.484204742
1552576_at	5.24632482
1552578_a_at	4.60287985
1552579_a_at	4.744495955
1552580_at	4.828373646
1552582_at	3.253734393
1552583_s_at	3.975205603
1552584_at	3.939186405
1552585_s_at	3.633267566
1552586_at	5.148594344
1552587_at	3.472055535
1552588_a_at	3.085124691
1552590_a_at	3.557687425
1552592_at	3.319745204
1552594_at	5.83372117
1552596_at	5.826451863
1552598_at	4.801397113
1552599_at	3.826177887
1552602_at	4.618779389
1552604_at	4.393496717
1552605_s_at	4.450785732
1552607_at	4.419686311
1552608_at	3.876429645
1552609_s_at	3.785027766
1552610_a_at	8.430727476
1552611_a_at	8.422089833
1552612_at	7.164057387
1552613_s_at	6.844126388
1552615_at	7.867067416
1552616_a_at	5.54611197
1552617_a_at	7.836360559
1552618_at	8.044816494
1552619_a_at	10.77115986
1552620_at	8.763522352
1552621_at	8.325086398
1552622_s_at	7.392691438
1552623_at	4.011099296
1552625_a_at	5.691844565
1552626_a_at	4.634103264
1552627_a_at	6.589702107
1552628_a_at	8.562014676
1552629_a_at	4.269826471
1552630_a_at	5.566235093
1552631_a_at	6.402954474
1552632_a_at	4.156783863
1552633_at	6.780328191
1552634_a_at	5.991964502
1552637_at	3.830504847
1552639_at	4.576556182
1552641_s_at	7.955340613
1552643_at	4.122087425
1552644_a_at	5.686360165
1552646_at	6.078039582
1552648_a_at	6.914547945
1552649_a_at	5.354416511
1552651_a_at	5.610229591
1552652_at	5.588907544
1552656_s_at	6.923513319
1552657_a_at	5.759825905
1552658_a_at	3.840161548
1552660_a_at	7.573996918
1552661_at	2.914289472
1552662_a_at	5.299589813
1552663_a_at	6.823958094
1552664_at	7.042619648
1552665_at	5.981845016
1552666_a_at	3.925580371
1552667_a_at	5.66086418
1552669_at	4.245799229
1552670_a_at	4.245773294
1552671_a_at	5.141047539
1552672_a_at	5.750438164
1552673_at	3.321813017
1552674_at	3.354580525
1552675_at	3.088217291
1552676_at	5.031005916
1552677_a_at	4.768931259
1552678_a_at	6.666342456
1552680_a_at	7.748228529
1552682_a_at	5.812428226
1552684_a_at	4.338192973
1552685_a_at	5.960635354
1552686_at	4.313641998
1552687_a_at	4.043425244
1552689_at	6.729653498
1552690_a_at	4.623106967
1552691_at	3.088894842
1552693_at	3.265814176
1552694_at	3.088501975
1552695_a_at	3.826375573
1552696_at	5.662277064
1552698_at	5.279479643
1552701_a_at	7.047422223
1552703_s_at	8.421303397
1552705_at	3.576932107
1552708_a_at	3.846878281
1552711_a_at	8.551031574
1552712_a_at	5.117789789
1552713_a_at	3.984105261
1552714_at	6.475894913
1552715_a_at	3.211958145
1552716_at	3.854979848
1552717_s_at	4.90549117
1552718_at	4.403904047
1552719_at	4.156705838
1552721_a_at	4.051694275
1552722_at	3.055973883
1552724_at	4.378079793
1552725_s_at	3.789291032
1552726_at	4.191145257
1552727_s_at	3.808196654
1552729_at	6.288892883
1552730_at	3.703047653
1552731_at	3.409230677
1552732_at	3.154362626
1552733_at	3.717960929
1552734_at	3.543522167
1552735_at	3.905086188
1552736_a_at	4.591088478
1552737_s_at	5.604675434
1552738_a_at	5.346320164
1552739_s_at	5.858097661
1552740_at	4.196550557
1552742_at	3.243995246
1552743_at	5.202607055
1552745_at	3.583607646
1552747_a_at	3.614386589
1552749_a_at	7.212185195
1552750_at	3.933968879
1552751_a_at	5.259388529
1552752_a_at	3.572602252
1552754_a_at	3.424201949
1552755_at	4.058245229
1552757_s_at	3.744911865
1552758_at	3.674058221
1552760_at	3.520949281
1552761_at	5.970619984
1552763_at	3.084880329
1552765_x_at	3.517830587
1552766_at	3.561116821
1552767_a_at	4.524598185
1552768_at	5.439048183
1552769_at	4.215879962
1552770_s_at	3.943462805
1552771_a_at	3.536421533
1552772_at	4.21023392
1552773_at	4.124726938
1552774_a_at	4.352816888
1552775_at	4.65003192
1552777_a_at	4.757316155
1552779_a_at	4.083379685
1552782_at	4.216162698
1552783_at	3.068191407
1552785_at	3.473846376
1552787_at	4.689486649
1552788_a_at	5.163129397
1552789_at	4.030392062
1552790_a_at	5.883373844
1552791_a_at	3.330521171
1552792_at	4.359245968
1552793_at	3.680215571
1552794_a_at	3.64813181
1552796_a_at	4.949450233
1552797_s_at	9.685628402
1552798_a_at	4.763790433
1552799_at	5.102682982
1552800_at	6.8111117
1552801_at	4.037920287
1552803_a_at	4.345998558
1552804_a_at	6.274448634
1552806_a_at	4.552813671
1552807_a_at	4.723477504
1552808_at	3.794787205
1552809_at	3.504781283
1552811_at	5.970942184
1552812_a_at	6.826581329
1552813_at	4.771201636
1552814_a_at	4.689250515
1552816_at	3.681491914
1552818_a_at	3.628525919
1552819_at	4.315756026
1552822_at	3.550643511
1552825_at	3.615603771
1552826_at	3.204324635
1552827_s_at	3.666419599
1552828_at	5.350782138
1552829_at	4.710541752
1552830_at	4.068949005
1552833_at	4.792623668
1552834_at	5.498841827
1552835_at	3.508785996
1552836_at	5.577708501
1552837_at	2.97545509
1552839_at	4.216213379
1552841_s_at	3.675331017
1552842_at	4.53603651
1552843_at	3.532796456
1552845_at	5.581527991
1552846_s_at	5.520123841
1552848_a_at	3.841167543
1552849_at	3.107553097
1552851_at	3.437370823
1552852_a_at	3.384981751
1552853_at	4.532547874
1552854_a_at	4.459956158
1552856_at	4.198743229
1552857_a_at	4.449539768
1552858_at	2.901602989
1552860_at	3.953156016
1552862_at	4.96491995
1552863_a_at	7.317241215
1552865_a_at	5.094063746
1552867_at	4.065120474
1552868_at	6.357626904
1552870_s_at	3.153810783
1552872_at	5.293745513
1552873_s_at	5.953359806
1552875_a_at	3.457074391
1552876_at	3.637505344
1552877_s_at	4.362739324
1552878_at	3.4980047
1552879_a_at	4.227999401
1552880_at	3.672104843
1552882_a_at	4.623069154
1552884_at	4.86882116
1552885_a_at	6.281048599
1552887_at	4.737711055
1552889_a_at	7.565431769
1552890_a_at	4.360171214
1552892_at	6.13042492
1552893_at	6.704243149
1552895_a_at	3.890332906
1552897_a_at	3.950079782
1552898_a_at	3.853925599
1552899_at	4.101697708
1552900_a_at	3.473669541
1552902_a_at	4.484479764
1552903_at	5.290238144
1552904_at	2.928179354
1552906_at	3.006218287
1552908_at	3.389412503
1552910_at	4.135903965
1552911_at	4.6627903
1552912_a_at	3.08207184
1552913_at	3.1004237
1552914_a_at	6.494339566
1552915_at	4.208575402
1552917_at	4.510552424
1552919_at	4.413213441
1552921_a_at	6.917476914
1552922_at	3.576150256
1552923_a_at	4.826304729
1552924_a_at	4.676739142
1552925_at	4.162156423
1552927_at	5.197517246
1552928_s_at	5.333596204
1552929_at	3.444945829
1552930_at	5.578435597
1552931_a_at	6.839641479
1552932_at	4.285725395
1552933_at	3.521322268
1552935_at	4.674888376
1552937_s_at	6.675366753
1552938_at	4.155621732
1552939_at	3.025911879
1552940_at	3.910619252
1552942_at	5.433092617
1552943_at	3.04852081
1552944_a_at	7.179280663
1552946_at	4.701086968
1552947_x_at	4.487770828
1552948_at	4.243549726
1552950_at	3.365334174
1552952_at	3.685335463
1552953_a_at	4.498738767
1552954_at	4.228653303
1552955_at	4.598612059
1552957_at	3.36306809
1552960_at	4.328475714
1552961_at	3.414724189
1552964_at	4.508086384
1552965_a_at	3.892762905
1552967_at	4.014089416
1552969_a_at	4.026793257
1552970_s_at	3.505349493
1552971_at	3.410178984
1552972_at	5.559335366
1552973_at	3.964714068
1552974_at	2.941319835
1552975_x_at	3.156040584
1552976_at	5.181648336
1552977_a_at	7.948772646
1552978_a_at	7.706406064
1552979_at	3.329618208
1552980_at	4.937275536
1552982_a_at	4.079565253
1552985_at	4.208552157
1552986_at	4.082522008
1552987_a_at	3.196637987
1552988_at	3.525832197
1552990_at	3.733288758
1552991_at	4.025387994
1552993_at	2.89207925
1552995_at	5.880406836
1552997_a_at	5.528684998
1552998_at	3.605211833
1552999_a_at	4.493775034
1553002_at	3.590853266
1553003_at	4.053487965
1553004_at	4.019011246
1553006_at	3.916197923
1553007_a_at	4.129582465
1553009_s_at	4.316284865
1553011_at	4.514811668
1553013_at	4.495525069
1553015_a_at	8.08467947
1553016_at	4.8496478
1553019_at	5.861612297
1553020_at	3.522945127
1553021_s_at	7.691123542
1553022_at	3.261611918
1553023_a_at	4.177636242
1553024_at	3.499108969
1553025_at	3.400170412
1553027_a_at	4.620717002
1553028_at	4.355249508
1553030_a_at	6.55058646
1553031_at	5.958407347
1553032_at	3.599630749
1553033_at	4.157708548
1553034_at	5.130994356
1553036_at	3.293822239
1553037_a_at	4.321284141
1553039_a_at	7.503400698
1553041_at	4.595744983
1553042_a_at	5.647449516
1553043_a_at	4.540265384
1553044_at	4.710548364
1553045_at	5.557019928
1553046_s_at	5.671873872
1553047_at	6.27477038
1553048_a_at	6.388120923
1553051_s_at	5.200685009
1553052_at	3.328564868
1553053_at	4.616355272
1553055_a_at	6.620166442
1553057_at	4.724836666
1553058_at	4.260001568
1553059_at	4.460367355
1553060_at	4.535050929
1553061_at	4.428327369
1553062_at	4.763029795
1553063_at	5.284722578
1553064_at	4.536794362
1553066_at	3.845633857
1553067_a_at	4.897080994
1553069_at	3.839409649
1553070_a_at	5.126705297
1553071_a_at	4.750308353
1553072_at	5.562733937
1553074_at	3.822304878
1553075_a_at	3.267417993
1553076_at	3.366509561
1553077_at	5.151008772
1553078_at	4.412794854
1553079_at	4.084381282
1553080_at	3.559263459
1553081_at	5.961381811
1553082_at	4.52269047
1553083_at	4.580692303
1553084_at	3.471300754
1553086_at	3.566177461
1553087_at	4.142121981
1553088_a_at	6.078183055
1553089_a_at	4.700611057
1553093_a_at	3.678332821
1553094_at	4.801433887
1553096_s_at	7.889697186
1553099_at	6.847352586
1553101_a_at	8.88198589
1553102_a_at	4.123769088
1553103_at	8.361880364
1553105_s_at	8.130589624
1553106_at	6.748816863
1553107_s_at	7.338586593
1553108_at	4.905001299
1553111_a_at	5.872729705
1553112_s_at	6.625754547
1553113_s_at	6.295471828
1553114_a_at	6.469675773
1553115_at	5.18397418
1553117_a_at	8.175215184
1553118_at	6.840783665
1553120_at	3.931864953
1553122_s_at	5.77535774
1553123_at	4.222188358
1553125_x_at	4.153677305
1553126_a_at	3.27430785
1553127_a_at	3.749884697
1553129_at	3.185616987
1553130_at	5.702777177
1553131_a_at	6.100688597
1553132_a_at	4.662811974
1553133_at	3.971952157
1553134_s_at	3.264069871
1553136_at	6.068399522
1553137_s_at	5.468175746
1553138_a_at	3.883514921
1553139_s_at	5.568460517
1553140_at	3.327022987
1553141_at	3.905917994
1553142_at	3.211371901
1553145_at	5.441729282
1553146_at	3.707224221
1553147_at	3.509117677
1553148_a_at	6.324591815
1553150_at	4.493823169
1553151_at	4.345860196
1553153_at	5.264960132
1553155_x_at	4.82883967
1553156_at	5.098654855
1553157_at	4.29813315
1553158_at	6.036920778
1553159_at	4.912952442
1553162_x_at	6.115333245
1553163_at	5.352354802
1553165_at	4.454160011
1553166_at	5.699133268
1553167_a_at	6.448362184
1553168_at	5.248884502
1553169_at	4.044063849
1553171_x_at	3.52654742
1553172_at	6.744226454
1553174_at	5.765123882
1553175_s_at	4.796514098
1553176_at	3.435509686
1553177_at	4.147622222
1553178_a_at	5.697403416
1553179_at	3.795922699
1553180_at	3.165331817
1553181_at	4.603041813
1553183_at	4.356875775
1553185_at	9.390449351
1553186_x_at	9.246160107
1553188_s_at	3.734543804
1553190_s_at	5.518188626
1553191_at	3.295005369
1553192_at	3.358819871
1553193_at	3.516487245
1553194_at	3.867439283
1553196_a_at	4.06844836
1553197_at	3.621625063
1553199_at	3.363027227
1553202_at	4.443888378
1553204_at	4.893240291
1553205_at	6.767077571
1553207_at	4.72686305
1553208_s_at	3.905912687
1553209_at	4.750920583
1553211_at	3.772333319
1553212_at	5.460336415
1553213_a_at	4.107569441
1553214_a_at	2.989876919
1553215_s_at	4.753870717
1553216_at	5.291906468
1553217_s_at	3.951475391
1553218_a_at	7.32579895
1553219_a_at	6.536644262
1553220_at	4.704134363
1553221_at	4.096964053
1553222_at	7.356544426
1553224_at	3.774169416
1553225_s_at	5.306179753
1553226_at	3.61793288
1553227_s_at	4.869145619
1553228_at	3.149321107
1553229_at	3.949592587
1553232_at	4.194214836
1553234_at	5.044659346
1553235_at	4.452971507
1553237_x_at	4.634948678
1553238_a_at	5.043065312
1553239_at	5.907086749
1553241_at	4.059011665
1553243_at	3.445140477
1553244_at	3.815062205
1553246_a_at	5.04731093
1553247_a_at	3.488752834
1553248_at	4.309837356
1553249_at	3.663647105
1553252_a_at	6.45313765
1553253_at	6.472808068
1553254_at	3.729871475
1553255_at	4.96263097
1553257_at	4.692159042
1553258_at	4.400013681
1553260_s_at	3.358527447
1553261_x_at	2.940684276
1553262_a_at	7.015933966
1553263_at	6.985028509
1553264_a_at	6.193588054
1553265_at	3.950091519
1553266_at	2.911458588
1553267_a_at	4.618805104
1553268_at	4.621370778
1553269_at	4.363161947
1553271_at	3.627902313
1553272_at	6.194495396
1553274_a_at	7.301266029
1553275_s_at	3.376388121
1553276_at	3.223441411
1553277_at	2.998002628
1553279_at	6.248469778
1553280_at	4.917164093
1553281_at	4.576241632
1553282_at	3.906221852
1553284_s_at	5.315977394
1553285_s_at	4.485901926
1553286_at	5.768271671
1553288_a_at	4.489384267
1553292_s_at	4.16494469
1553293_at	3.720859249
1553295_at	2.96642619
1553296_at	3.604536815
1553297_a_at	5.942649869
1553298_at	3.271542431
1553299_at	3.381202101
1553300_a_at	3.769572007
1553301_a_at	3.949238056
1553303_at	5.396620688
1553304_at	6.109037865
1553306_at	4.507116957
1553310_at	3.345482001
1553311_at	3.178579331
1553313_s_at	4.887818736
1553314_a_at	4.56939427
1553315_at	3.598686587
1553316_at	3.979830223
1553317_s_at	3.124756187
1553318_at	4.343429797
1553319_at	3.672549686
1553320_s_at	2.98164077
1553321_a_at	3.576376752
1553322_s_at	5.112080374
1553323_a_at	4.141021613
1553325_at	4.450134161
1553326_at	3.692079089
1553327_a_at	3.920456851
1553328_a_at	4.503412128
1553329_at	3.458030027
1553330_at	3.636667243
1553333_at	3.703034653
1553335_x_at	3.531261338
1553336_a_at	4.98526398
1553338_at	6.83447183
1553340_s_at	5.548803141
1553341_at	3.9263598
1553344_at	3.135569362
1553346_a_at	4.586349752
1553347_s_at	4.287138277
1553348_a_at	6.664246587
1553349_at	4.306012434
1553350_at	4.764241838
1553351_at	3.855057914
1553352_x_at	4.355540322
1553354_a_at	5.066832614
1553355_at	4.30915284
1553356_at	3.145285948
1553357_at	3.502259607
1553359_at	7.31389312
1553361_x_at	6.149952949
1553362_at	3.358891253
1553363_at	3.547434351
1553364_at	3.482480917
1553365_at	3.603814338
1553366_s_at	5.927086105
1553367_a_at	5.25468985
1553369_at	4.314315711
1553371_at	3.755763726
1553372_at	4.278826508
1553373_at	4.229872175
1553374_at	3.056974249
1553375_at	4.449688835
1553376_a_at	3.503392317
1553378_a_at	3.585313407
1553380_at	3.185907021
1553383_at	3.159596106
1553385_at	4.854568746
1553386_at	4.968676911
1553387_at	4.385987767
1553388_at	4.109035147
1553389_at	3.686939659
1553390_at	3.900782081
1553391_at	4.179583535
1553392_at	3.944496797
1553394_a_at	3.647210865
1553395_a_at	4.700706897
1553396_a_at	5.692500114
1553397_at	6.907335688
1553398_at	3.529282304
1553399_a_at	6.287052125
1553400_a_at	4.812018735
1553401_at	3.820290511
1553402_a_at	4.302585801
1553403_at	4.235917649
1553405_a_at	4.009800406
1553407_at	4.166929622
1553409_at	3.230689838
1553410_a_at	3.939406669
1553411_s_at	3.503484536
1553412_at	4.907814224
1553413_at	4.659603258
1553415_at	3.066410165
1553417_at	3.921783811
1553418_a_at	3.915576101
1553420_at	3.854825664
1553422_s_at	4.473883532
1553423_a_at	3.226423244
1553424_at	3.954791908
1553425_at	4.319657764
1553426_at	4.101174423
1553427_at	4.878343944
1553428_at	3.44475624
1553429_at	4.733769108
1553430_a_at	6.192410595
1553432_s_at	5.008784233
1553433_at	2.956849397
1553434_at	3.414655992
1553435_at	4.698152092
1553436_at	4.365255723
1553437_at	4.963554177
1553438_at	6.708218291
1553439_at	4.445878989
1553440_at	3.363072069
1553441_at	2.948189086
1553442_a_at	3.664942311
1553443_at	4.047647764
1553444_a_at	5.719949985
1553446_at	3.666957248
1553447_at	3.637358515
1553448_at	3.807293207
1553449_at	4.195857166
1553450_s_at	3.725311898
1553451_at	3.97169477
1553452_at	3.692377644
1553453_at	4.478494474
1553454_at	5.240842338
1553456_at	4.255268732
1553457_at	4.416083594
1553458_at	4.776296648
1553459_at	4.590793999
1553460_at	4.282237543
1553461_at	3.400574218
1553462_at	3.261128572
1553464_at	6.346686857
1553465_a_at	4.001683021
1553466_at	4.581200517
1553467_at	3.64908053
1553468_at	3.503079482
1553470_at	3.864481632
1553471_at	3.672939087
1553472_at	3.630438215
1553474_at	3.194502186
1553475_at	3.547982158
1553478_at	4.859708207
1553479_at	5.11178619
1553482_at	3.292632581
1553483_at	4.545471554
1553484_at	3.520410283
1553485_at	3.951782035
1553486_a_at	3.601760761
1553488_at	4.346718382
1553489_a_at	4.517662616
1553491_at	4.660964971
1553492_a_at	3.860206001
1553493_a_at	5.570028701
1553494_at	3.48216676
1553497_at	3.44861316
1553498_at	4.25570147
1553499_s_at	6.806247238
1553500_at	4.359709342
1553502_a_at	3.51986566
1553504_at	4.15981241
1553505_at	3.827057692
1553506_at	4.193366184
1553507_a_at	5.595903468
1553508_at	3.928930629
1553510_s_at	8.542404577
1553511_at	5.773115222
1553512_at	4.67945796
1553513_at	3.417972688
1553514_a_at	3.919852235
1553515_at	4.495226722
1553517_at	4.99599833
1553518_at	4.132285193
1553519_at	3.247929049
1553521_at	3.28591589
1553523_at	4.339771204
1553524_at	3.185297156
1553525_at	4.356169374
1553526_at	5.762656453
1553527_at	4.716910117
1553528_a_at	6.902532309
1553529_at	4.592168692
1553530_a_at	9.867270236
1553531_at	3.530367741
1553532_a_at	5.727638286
1553533_at	4.638573039
1553534_at	3.485883721
1553535_a_at	9.374644447
1553536_at	4.530975672
1553537_at	4.002461992
1553538_s_at	14.21143663
1553539_at	4.943927896
1553540_a_at	4.925767691
1553541_at	4.142830538
1553542_at	6.333905719
1553544_at	5.121934114
1553545_at	4.671050012
1553546_at	3.176367833
1553547_at	3.662626579
1553549_at	3.932071613
1553550_at	3.781591451
1553551_s_at	13.14730896
1553552_at	4.1045469
1553553_at	4.045831048
1553555_at	4.437769699
1553556_at	3.519142553
1553558_at	3.90988972
1553559_at	5.283964695
1553560_at	3.759153424
1553561_at	3.457497559
1553562_at	4.224337617
1553564_at	4.270054503
1553565_s_at	4.824422839
1553566_at	5.31910489
1553567_s_at	14.09415883
1553568_a_at	4.77478077
1553569_at	13.91077764
1553570_x_at	14.03208907
