^SAMPLE = GSM1230023
!Sample_title = BT-549_ERI_2
!Sample_geo_accession = GSM1230023
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = BT-549 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: BT-549
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230023/suppl/GSM1230023_CEL_284_4764_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.96
AFFX-BioB-M_at	7.126
AFFX-BioB-3_at	6.874
AFFX-BioC-5_at	8.108
AFFX-BioC-3_at	8.76
AFFX-BioDn-5_at	9.566
AFFX-BioDn-3_at	10.594
AFFX-CreX-5_at	11.78
AFFX-CreX-3_at	12.064
AFFX-DapX-5_at	2.441
AFFX-DapX-M_at	2.297
AFFX-DapX-3_at	3.008
AFFX-LysX-5_at	2.111
AFFX-LysX-M_at	2.743
AFFX-LysX-3_at	2.251
AFFX-PheX-5_at	2.739
AFFX-PheX-M_at	2.469
AFFX-PheX-3_at	3.669
AFFX-ThrX-5_at	3.225
AFFX-ThrX-M_at	2.371
AFFX-ThrX-3_at	3.7
AFFX-TrpnX-5_at	3.167
AFFX-TrpnX-M_at	2.69
AFFX-TrpnX-3_at	2.284
AFFX-r2-Ec-bioB-5_at	7.142
AFFX-r2-Ec-bioB-M_at	7.289
AFFX-r2-Ec-bioB-3_at	7.318
AFFX-r2-Ec-bioC-5_at	8.756
AFFX-r2-Ec-bioC-3_at	9.082
AFFX-r2-Ec-bioD-5_at	10.889
AFFX-r2-Ec-bioD-3_at	11.219
AFFX-r2-P1-cre-5_at	12.367
AFFX-r2-P1-cre-3_at	12.554
AFFX-r2-Bs-dap-5_at	2.439
AFFX-r2-Bs-dap-M_at	2.048
AFFX-r2-Bs-dap-3_at	1.895
AFFX-r2-Bs-lys-5_at	1.994
AFFX-r2-Bs-lys-M_at	2.172
AFFX-r2-Bs-lys-3_at	2.262
AFFX-r2-Bs-phe-5_at	2.331
AFFX-r2-Bs-phe-M_at	2.552
AFFX-r2-Bs-phe-3_at	2.211
AFFX-r2-Bs-thr-3_s_at	3.408
AFFX-r2-Bs-thr-M_s_at	3.28
AFFX-r2-Bs-thr-5_s_at	2.522
AFFX-HUMISGF3A/M97935_5_at	4.473
AFFX-HUMISGF3A/M97935_MA_at	5.743
AFFX-HUMISGF3A/M97935_MB_at	5.277
AFFX-HUMISGF3A/M97935_3_at	8.112
AFFX-HUMRGE/M10098_5_at	13.027
AFFX-HUMRGE/M10098_M_at	12.603
AFFX-HUMRGE/M10098_3_at	12.281
AFFX-HUMGAPDH/M33197_5_at	12.275
AFFX-HUMGAPDH/M33197_M_at	12.511
AFFX-HUMGAPDH/M33197_3_at	12.626
AFFX-HSAC07/X00351_5_at	11.864
AFFX-HSAC07/X00351_M_at	12.355
AFFX-HSAC07/X00351_3_at	12.732
AFFX-M27830_5_at	12.622
AFFX-M27830_M_at	10.894
AFFX-M27830_3_at	5.323
AFFX-hum_alu_at	13.166
1007_s_at	8.067
1053_at	8.239
117_at	6.064
121_at	7.505
1255_g_at	2.463
1294_at	4.454
1316_at	4.873
1320_at	4.667
1405_i_at	3.629
1431_at	3.166
1438_at	4.892
1487_at	7.666
1494_f_at	5.497
1598_g_at	9.432
160020_at	8.053
1729_at	7.674
1773_at	5.269
177_at	4.525
179_at	7.711
1861_at	7.253
200000_s_at	9.004
200001_at	9.754
200002_at	12.344
200003_s_at	12.715
200004_at	11.479
200005_at	10.612
200006_at	12.25
200007_at	11.351
200008_s_at	9.924
200009_at	11.519
200010_at	12.397
200011_s_at	7.714
200012_x_at	12.835
200013_at	12.542
200014_s_at	11.184
200015_s_at	10.727
200016_x_at	12.531
200017_at	12.258
200018_at	12.595
200019_s_at	12.204
200020_at	10.123
200021_at	12.387
200022_at	12.559
200023_s_at	11.485
200024_at	12.571
200025_s_at	12.656
200026_at	11.832
200027_at	11.593
200028_s_at	9.745
200029_at	12.457
200030_s_at	11.75
200031_s_at	12.707
200032_s_at	12.507
200033_at	11.545
200034_s_at	12.403
200035_at	8.313
200036_s_at	11.942
200037_s_at	11.578
200038_s_at	12.602
200039_s_at	10.943
200040_at	10.877
200041_s_at	9.278
200042_at	9.274
200043_at	11.771
200044_at	10.733
200045_at	9.244
200046_at	10.746
200047_s_at	11.062
200048_s_at	11.389
200049_at	6.844
200050_at	9.903
200051_at	8.191
200052_s_at	9.735
200053_at	8.396
200054_at	8.992
200055_at	9.831
200056_s_at	9.404
200057_s_at	11.706
200058_s_at	9.142
200059_s_at	11.846
200060_s_at	10.138
200061_s_at	12.874
200062_s_at	12.977
200063_s_at	12.72
200064_at	11.53
200065_s_at	10.689
200066_at	9.53
200067_x_at	11.196
200068_s_at	11.694
200069_at	7.607
200070_at	8.413
200071_at	9.817
200072_s_at	10.923
200073_s_at	10.85
200074_s_at	12.003
200075_s_at	9.492
200076_s_at	8.627
200077_s_at	12.251
200078_s_at	10.681
200079_s_at	10.39
200080_s_at	12.288
200081_s_at	12.771
200082_s_at	12.231
200083_at	9.974
200084_at	10.734
200085_s_at	10.944
200086_s_at	11.152
200087_s_at	11.431
200088_x_at	12.388
200089_s_at	12.125
200090_at	11.037
200091_s_at	12.316
200092_s_at	12.961
200093_s_at	12.271
200094_s_at	10.955
200095_x_at	13.04
200096_s_at	11.739
200097_s_at	11.305
200098_s_at	9.932
200099_s_at	12.833
200593_s_at	9.866
200594_x_at	11.358
200595_s_at	10.104
200596_s_at	8.961
200597_at	7.448
200598_s_at	11.172
200599_s_at	11.475
200600_at	10.436
200601_at	8.362
200602_at	10.285
200603_at	10.825
200604_s_at	7.34
200605_s_at	10.271
200606_at	4.315
200607_s_at	9.593
200608_s_at	11.371
200609_s_at	10.612
200610_s_at	11.123
200611_s_at	9.799
200612_s_at	8.985
200613_at	8.74
200614_at	10.555
200615_s_at	8.382
200616_s_at	10.243
200617_at	7.639
200618_at	10.106
200619_at	9.02
200620_at	10.371
200621_at	8.541
200622_x_at	9.127
200623_s_at	8.567
200624_s_at	10.428
200625_s_at	11.262
200626_s_at	11.165
200627_at	11.763
200628_s_at	7.66
200629_at	8.841
200630_x_at	11.929
200631_s_at	11.559
200632_s_at	7.119
200633_at	13.104
200634_at	11.204
200635_s_at	8.17
200636_s_at	9.492
200637_s_at	6.28
200638_s_at	12.019
200639_s_at	11.332
200640_at	11.353
200641_s_at	11.129
200642_at	11.228
200643_at	7.318
200644_at	10.554
200645_at	11.144
200646_s_at	4.766
200647_x_at	11.006
200648_s_at	5.049
200649_at	6.666
200650_s_at	12.461
200651_at	12.636
200652_at	11.452
200653_s_at	10.828
200654_at	10.758
200655_s_at	11.214
200656_s_at	9.183
200657_at	12.5
200658_s_at	9.832
200659_s_at	7.459
200660_at	10.007
200661_at	9.662
200662_s_at	11.297
200663_at	11.565
200664_s_at	8.112
200665_s_at	9.173
200666_s_at	8.889
200667_at	10.037
200668_s_at	11.19
200669_s_at	10.693
200670_at	8.352
200671_s_at	5.491
200672_x_at	7.326
200673_at	11.445
200674_s_at	13.157
200675_at	10.025
200676_s_at	6.268
200677_at	11.828
200678_x_at	8.319
200679_x_at	11.099
200680_x_at	12.237
200681_at	10.741
200682_s_at	10.505
200683_s_at	8.369
200684_s_at	7.759
200685_at	7.961
200686_s_at	10.639
200687_s_at	8.233
200688_at	5.909
200689_x_at	12.353
200690_at	8.905
200691_s_at	11.595
200692_s_at	10.314
200693_at	11.7
200694_s_at	9.687
200695_at	6.863
200696_s_at	6.871
200697_at	10.376
200698_at	11.361
200699_at	10.199
200700_s_at	11.05
200701_at	10.58
200702_s_at	8.367
200703_at	11.696
200704_at	7.052
200705_s_at	12.005
200706_s_at	6.948
200707_at	6.586
200708_at	10.175
200709_at	10.038
200710_at	8.691
200711_s_at	10.049
200712_s_at	8.862
200713_s_at	11.527
200714_x_at	8.116
200715_x_at	11.013
200716_x_at	12.736
200717_x_at	13.146
200718_s_at	12.29
200719_at	7.253
200720_s_at	9.338
200721_s_at	8.263
200722_s_at	8.091
200723_s_at	10.661
200724_at	4.602
200725_x_at	12.678
200726_at	11.101
200727_s_at	8.467
200728_at	10.427
200729_s_at	9.69
200730_s_at	9.825
200731_s_at	8.685
200732_s_at	9.724
200733_s_at	10.735
200734_s_at	8.874
200735_x_at	12.145
200736_s_at	11.321
200737_at	9.843
200738_s_at	11.886
200739_s_at	8.261
200740_s_at	10.416
200741_s_at	12.902
200742_s_at	6.588
200743_s_at	8.079
200744_s_at	10.042
200745_s_at	11.118
200746_s_at	10.67
200747_s_at	7.63
200748_s_at	12.787
200749_at	9.986
200750_s_at	11.719
200751_s_at	10.969
200752_s_at	6.2
200753_x_at	9.964
200754_x_at	10.915
200755_s_at	9.665
200756_x_at	8.594
200757_s_at	10.726
200758_s_at	7.783
200759_x_at	8.345
200760_s_at	9.078
200761_s_at	9.794
200762_at	11.869
200763_s_at	12.705
200764_s_at	8.853
200765_x_at	10.317
200766_at	5.982
200767_s_at	7.517
200768_s_at	10.147
200769_s_at	7.652
200770_s_at	9.029
200771_at	10.174
200772_x_at	12.27
200773_x_at	12.321
200774_at	11.59
200775_s_at	11.986
200776_s_at	9.501
200777_s_at	10.785
200778_s_at	8.942
200779_at	11.335
200780_x_at	12.416
200781_s_at	12.54
200782_at	11.417
200783_s_at	10.092
200784_s_at	6.099
200785_s_at	5.258
200786_at	11.535
200787_s_at	6.733
200788_s_at	9.323
200789_at	8.73
200790_at	11.316
200791_s_at	10.012
200792_at	11.142
200793_s_at	8.041
200794_x_at	10.813
200795_at	2.72
200796_s_at	4.935
200797_s_at	10.482
200798_x_at	9.612
200799_at	11.614
200800_s_at	10.837
200801_x_at	12.918
200802_at	10.243
200803_s_at	9.813
200804_at	10.061
200805_at	9.692
200806_s_at	11.633
200807_s_at	12.335
200808_s_at	7.352
200809_x_at	12.363
200810_s_at	9.628
200811_at	7.948
200812_at	10.676
200813_s_at	7.602
200814_at	10.423
200815_s_at	9.452
200816_s_at	9.419
200817_x_at	12.976
200818_at	11.222
200819_s_at	12.573
200820_at	10.42
200821_at	11.366
200822_x_at	11.448
200823_x_at	12.256
200824_at	10.034
200825_s_at	8.253
200826_at	12.145
200827_at	9.208
200828_s_at	9.923
200829_x_at	10.474
200830_at	10.293
200831_s_at	7.162
200832_s_at	9.405
200833_s_at	11.112
200834_s_at	12.983
200835_s_at	8.432
200836_s_at	7.065
200837_at	10.57
200838_at	11.668
200839_s_at	12.367
200840_at	11.803
200841_s_at	7.451
200842_s_at	10.253
200843_s_at	9.513
200844_s_at	10.532
200845_s_at	10.088
200846_s_at	10.067
200847_s_at	11.291
200848_at	8.522
200849_s_at	8.769
200850_s_at	9.528
200851_s_at	9.262
200852_x_at	9.537
200853_at	11.84
200854_at	8.16
200855_at	6.885
200856_x_at	7.049
200857_s_at	7.508
200858_s_at	12.158
200859_x_at	8.49
200860_s_at	9.186
200861_at	5.819
200862_at	7.599
200863_s_at	9.953
200864_s_at	8.68
200865_at	2.483
200866_s_at	9.273
200867_at	8.323
200868_s_at	8.757
200869_at	12.325
200870_at	11.199
200871_s_at	10.572
200872_at	11.313
200873_s_at	11.288
200874_s_at	8.399
200875_s_at	10.823
200876_s_at	11.272
200877_at	11.599
200878_at	11.426
200879_s_at	5.041
200880_at	10.883
200881_s_at	11.765
200882_s_at	9.987
200883_at	9.552
200884_at	7.194
200885_at	10.839
200886_s_at	12.212
200887_s_at	9.039
200888_s_at	11.83
200889_s_at	9.741
200890_s_at	8.9
200891_s_at	11.399
200892_s_at	10.118
200893_at	11.388
200894_s_at	7.927
200895_s_at	8.433
200896_x_at	10.512
200897_s_at	8.839
200898_s_at	7.884
200899_s_at	9.859
200900_s_at	8.796
200901_s_at	9.22
200902_at	10.549
200903_s_at	10.545
200904_at	7.852
200905_x_at	10.007
200906_s_at	7.753
200907_s_at	8.328
200908_s_at	5.151
200909_s_at	12.113
200910_at	11.171
200911_s_at	9.731
200912_s_at	11.808
200913_at	8.911
200914_x_at	10.969
200915_x_at	11.069
200916_at	10.631
200917_s_at	6.36
200918_s_at	7.486
200919_at	10.168
200920_s_at	9.078
200921_s_at	9.697
200922_at	7.872
200923_at	4.666
200924_s_at	8.445
200925_at	11.496
200926_at	12.974
200927_s_at	8.939
200928_s_at	3.546
200929_at	9.69
200930_s_at	3.432
200931_s_at	11.104
200932_s_at	9.092
200933_x_at	12.611
200934_at	11.49
200935_at	7.09
200936_at	12.511
200937_s_at	12.198
200938_s_at	4.335
200939_s_at	3.82
200940_s_at	8.583
200941_at	9.302
200942_s_at	10.688
200943_at	11.448
200944_s_at	11.467
200945_s_at	10.025
200946_x_at	9.262
200947_s_at	10.061
200948_at	7.731
200949_x_at	12.709
200950_at	10.441
200951_s_at	3.883
200952_s_at	2.774
200953_s_at	3.231
200954_at	8.025
200955_at	9.586
200956_s_at	9.118
200957_s_at	9.434
200958_s_at	11.739
200959_at	10.461
200960_x_at	11.493
200961_at	9.802
200962_at	6.933
200963_x_at	12.471
200964_at	7.893
200965_s_at	5.728
200966_x_at	11.927
200967_at	12.063
200968_s_at	11.1
200969_at	9.328
200970_s_at	9.371
200971_s_at	10.487
200972_at	9.678
200973_s_at	8.291
200974_at	8.755
200975_at	10.401
200976_s_at	10.248
200977_s_at	10.209
200978_at	10.506
200979_at	7.558
200980_s_at	10.315
200981_x_at	11.654
200982_s_at	8.251
200983_x_at	10.738
200984_s_at	10.124
200985_s_at	10.713
200986_at	3.768
200987_x_at	8.765
200988_s_at	6.305
200989_at	11.477
200990_at	8.002
200991_s_at	8.526
200992_at	9.79
200993_at	10.134
200994_at	10.095
200995_at	9.153
200996_at	11.017
200997_at	9.807
200998_s_at	8.994
200999_s_at	9.808
201000_at	9.191
201001_s_at	9.602
201002_s_at	10.192
201003_x_at	8.398
201004_at	12.062
201005_at	11.071
201006_at	5.476
201007_at	9.795
201008_s_at	5.886
201009_s_at	6.674
201010_s_at	7.061
201011_at	10.117
201012_at	11.575
201013_s_at	10.567
201014_s_at	9.338
201015_s_at	5.832
201016_at	10.02
201017_at	9.528
201018_at	8.945
201019_s_at	11.003
201020_at	9.194
201021_s_at	11.456
201022_s_at	12.275
201023_at	9.817
201024_x_at	9.878
201025_at	7.45
201026_at	7.616
201027_s_at	8.287
201028_s_at	8.022
201029_s_at	10.031
201030_x_at	11.724
201031_s_at	11.39
201032_at	8.764
201033_x_at	12.777
201034_at	2.845
201035_s_at	8.248
201036_s_at	8.682
201037_at	10.703
201038_s_at	8.27
201039_s_at	7.672
201040_at	8.379
201041_s_at	10.545
201042_at	8.699
201043_s_at	8.826
201044_x_at	5.168
201045_s_at	5.407
201046_s_at	8.524
201047_x_at	10.275
201048_x_at	5.602
201049_s_at	13.168
201050_at	5.815
201051_at	9.754
201052_s_at	7.576
201053_s_at	8.917
201054_at	10.681
201055_s_at	9.182
201056_at	6.513
201057_s_at	7.657
201058_s_at	7.461
201059_at	10.299
201060_x_at	8.852
201061_s_at	9.386
201062_at	3.145
201063_at	10.95
201064_s_at	9.737
201065_s_at	9.55
201066_at	11.015
201067_at	7.944
201068_s_at	11.106
201069_at	6.831
201070_x_at	7.478
201071_x_at	10.699
201072_s_at	9.721
201073_s_at	7.772
201074_at	9.854
201075_s_at	8.827
201076_at	8.555
201077_s_at	10.926
201078_at	10.44
201079_at	8.128
