^SAMPLE = GSM1230221
!Sample_title = HCC-70_PTX_1
!Sample_geo_accession = GSM1230221
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HCC-70 Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HCC-70
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230221/suppl/GSM1230221_CEL_284_4963_04_03_2012_2.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.828
AFFX-BioB-M_at	7.016
AFFX-BioB-3_at	6.68
AFFX-BioC-5_at	7.811
AFFX-BioC-3_at	8.325
AFFX-BioDn-5_at	9.465
AFFX-BioDn-3_at	10.384
AFFX-CreX-5_at	11.741
AFFX-CreX-3_at	11.997
AFFX-DapX-5_at	2.441
AFFX-DapX-M_at	2.298
AFFX-DapX-3_at	2.88
AFFX-LysX-5_at	2.249
AFFX-LysX-M_at	3.027
AFFX-LysX-3_at	2.17
AFFX-PheX-5_at	2.645
AFFX-PheX-M_at	2.515
AFFX-PheX-3_at	3.65
AFFX-ThrX-5_at	2.895
AFFX-ThrX-M_at	2.493
AFFX-ThrX-3_at	3.678
AFFX-TrpnX-5_at	3.152
AFFX-TrpnX-M_at	2.622
AFFX-TrpnX-3_at	2.151
AFFX-r2-Ec-bioB-5_at	6.907
AFFX-r2-Ec-bioB-M_at	7.077
AFFX-r2-Ec-bioB-3_at	6.955
AFFX-r2-Ec-bioC-5_at	8.292
AFFX-r2-Ec-bioC-3_at	8.572
AFFX-r2-Ec-bioD-5_at	10.594
AFFX-r2-Ec-bioD-3_at	10.864
AFFX-r2-P1-cre-5_at	12.3
AFFX-r2-P1-cre-3_at	12.505
AFFX-r2-Bs-dap-5_at	2.746
AFFX-r2-Bs-dap-M_at	2.224
AFFX-r2-Bs-dap-3_at	1.947
AFFX-r2-Bs-lys-5_at	2.102
AFFX-r2-Bs-lys-M_at	2.007
AFFX-r2-Bs-lys-3_at	2.668
AFFX-r2-Bs-phe-5_at	2.309
AFFX-r2-Bs-phe-M_at	2.516
AFFX-r2-Bs-phe-3_at	2.585
AFFX-r2-Bs-thr-3_s_at	3.533
AFFX-r2-Bs-thr-M_s_at	3.366
AFFX-r2-Bs-thr-5_s_at	2.809
AFFX-HUMISGF3A/M97935_5_at	5.022
AFFX-HUMISGF3A/M97935_MA_at	6.228
AFFX-HUMISGF3A/M97935_MB_at	6.69
AFFX-HUMISGF3A/M97935_3_at	9.31
