^SAMPLE = GSM1230174
!Sample_title = MDA-MB-468_ERI_2
!Sample_geo_accession = GSM1230174
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MDA-MB-468 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MDA-MB-468
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230174/suppl/GSM1230174_CEL_284_4916_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.11
AFFX-BioB-M_at	3.669
AFFX-BioB-3_at	4.002
AFFX-BioC-5_at	7.793
AFFX-BioC-3_at	8.275
AFFX-BioDn-5_at	9.465
AFFX-BioDn-3_at	10.335
AFFX-CreX-5_at	11.525
AFFX-CreX-3_at	11.882
AFFX-DapX-5_at	2.554
AFFX-DapX-M_at	2.205
AFFX-DapX-3_at	2.887
AFFX-LysX-5_at	2.026
AFFX-LysX-M_at	2.764
AFFX-LysX-3_at	2.067
AFFX-PheX-5_at	2.768
AFFX-PheX-M_at	2.472
AFFX-PheX-3_at	4.096
AFFX-ThrX-5_at	2.673
AFFX-ThrX-M_at	2.57
AFFX-ThrX-3_at	3.665
AFFX-TrpnX-5_at	3.169
AFFX-TrpnX-M_at	2.634
AFFX-TrpnX-3_at	2.22
AFFX-r2-Ec-bioB-5_at	3.769
AFFX-r2-Ec-bioB-M_at	4.113
AFFX-r2-Ec-bioB-3_at	4.141
AFFX-r2-Ec-bioC-5_at	8.138
AFFX-r2-Ec-bioC-3_at	8.437
AFFX-r2-Ec-bioD-5_at	10.466
AFFX-r2-Ec-bioD-3_at	10.841
AFFX-r2-P1-cre-5_at	12.139
AFFX-r2-P1-cre-3_at	12.321
AFFX-r2-Bs-dap-5_at	2.331
AFFX-r2-Bs-dap-M_at	2.374
AFFX-r2-Bs-dap-3_at	2.21
AFFX-r2-Bs-lys-5_at	2.063
AFFX-r2-Bs-lys-M_at	2.315
AFFX-r2-Bs-lys-3_at	2.59
AFFX-r2-Bs-phe-5_at	2.121
AFFX-r2-Bs-phe-M_at	2.234
AFFX-r2-Bs-phe-3_at	2.677
AFFX-r2-Bs-thr-3_s_at	3.537
AFFX-r2-Bs-thr-M_s_at	3.27
AFFX-r2-Bs-thr-5_s_at	2.801
AFFX-HUMISGF3A/M97935_5_at	4.657
AFFX-HUMISGF3A/M97935_MA_at	5.972
AFFX-HUMISGF3A/M97935_MB_at	6.421
AFFX-HUMISGF3A/M97935_3_at	9.046
AFFX-HUMRGE/M10098_5_at	12.96
AFFX-HUMRGE/M10098_M_at	12.425
AFFX-HUMRGE/M10098_3_at	12.096
AFFX-HUMGAPDH/M33197_5_at	12.18
AFFX-HUMGAPDH/M33197_M_at	12.416
AFFX-HUMGAPDH/M33197_3_at	12.456
AFFX-HSAC07/X00351_5_at	11.408
AFFX-HSAC07/X00351_M_at	11.968
AFFX-HSAC07/X00351_3_at	12.274
AFFX-M27830_5_at	12.312
AFFX-M27830_M_at	10.857
AFFX-M27830_3_at	4.66
AFFX-hum_alu_at	13.137
1007_s_at	10.793
1053_at	7.625
117_at	5.435
121_at	6.843
1255_g_at	2.613
1294_at	4.881
1316_at	4.915
1320_at	4.277
1405_i_at	2.508
1431_at	3.101
1438_at	4.999
1487_at	8.116
1494_f_at	5.136
1598_g_at	7.147
160020_at	5.856
1729_at	7.864
1773_at	5.414
177_at	4.685
179_at	7.413
1861_at	6.828
200000_s_at	8.494
200001_at	9.034
200002_at	12.017
200003_s_at	12.783
200004_at	12.092
200005_at	10.567
200006_at	11.595
200007_at	11.375
200008_s_at	10.2
200009_at	11.601
200010_at	12.643
200011_s_at	7.137
200012_x_at	12.543
200013_at	12.637
200014_s_at	11.412
200015_s_at	10.701
200016_x_at	12.525
200017_at	12.534
200018_at	12.608
200019_s_at	12.381
200020_at	10.219
200021_at	12.277
200022_at	12.374
200023_s_at	11.071
200024_at	12.419
200025_s_at	12.509
200026_at	11.544
200027_at	11.333
200028_s_at	10.67
200029_at	12.35
200030_s_at	11.924
200031_s_at	12.614
200032_s_at	12.413
200033_at	11.912
200034_s_at	12.347
200035_at	7.428
200036_s_at	11.855
200037_s_at	11.942
200038_s_at	12.428
200039_s_at	11.727
200040_at	11.103
200041_s_at	9.385
200042_at	9.654
200043_at	11.569
200044_at	10.392
200045_at	9.706
200046_at	10.415
200047_s_at	11.005
200048_s_at	11.857
200049_at	6.832
200050_at	10.693
200051_at	7.783
200052_s_at	11.087
200053_at	8.467
200054_at	9.302
200055_at	9.014
200056_s_at	9.759
200057_s_at	11.535
200058_s_at	9.931
200059_s_at	11.623
200060_s_at	9.567
200061_s_at	12.775
200062_s_at	12.572
200063_s_at	12.624
200064_at	11.554
200065_s_at	10.975
200066_at	9.511
200067_x_at	11.143
200068_s_at	11.577
200069_at	7.445
200070_at	7.852
200071_at	10.305
200072_s_at	11.057
200073_s_at	11.212
200074_s_at	11.902
200075_s_at	9.874
200076_s_at	8.919
200077_s_at	12.279
200078_s_at	10.298
200079_s_at	11.296
200080_s_at	12.523
200081_s_at	12.485
200082_s_at	12.726
200083_at	9.32
200084_at	10.386
200085_s_at	10.812
200086_s_at	11.757
200087_s_at	11.32
200088_x_at	12.678
200089_s_at	11.987
200090_at	10.24
200091_s_at	12.367
200092_s_at	12.82
200093_s_at	11.952
200094_s_at	10.75
200095_x_at	13.147
200096_s_at	11.195
200097_s_at	10.886
200098_s_at	9.044
200099_s_at	12.858
200593_s_at	10.466
200594_x_at	11.332
200595_s_at	10.169
200596_s_at	9.081
200597_at	7.48
200598_s_at	10.484
200599_s_at	11.457
200600_at	9.62
200601_at	8.116
200602_at	10.502
200603_at	11.094
200604_s_at	7.964
200605_s_at	10.917
200606_at	11.688
200607_s_at	8.402
200608_s_at	10.775
200609_s_at	10.2
200610_s_at	11.307
200611_s_at	9.165
200612_s_at	8.32
200613_at	7.71
200614_at	11.433
200615_s_at	6.935
200616_s_at	9.841
200617_at	6.838
200618_at	10.111
200619_at	9.359
200620_at	10.759
200621_at	9.159
200622_x_at	8.461
200623_s_at	8.052
200624_s_at	10.816
200625_s_at	11.412
200626_s_at	11.259
200627_at	11.999
200628_s_at	7.229
200629_at	8.266
200630_x_at	11.983
200631_s_at	11.708
200632_s_at	7.852
200633_at	12.757
200634_at	9.742
200635_s_at	9.297
200636_s_at	11.172
200637_s_at	7.788
200638_s_at	12.127
200639_s_at	11.269
200640_at	11.395
200641_s_at	11.415
200642_at	12.108
200643_at	6.965
200644_at	10.593
200645_at	9.613
200646_s_at	4.119
200647_x_at	9.634
200648_s_at	7.395
200649_at	5.534
200650_s_at	12.257
200651_at	12.543
200652_at	11.04
200653_s_at	10.795
200654_at	10.285
200655_s_at	11.079
200656_s_at	8.556
200657_at	12.453
200658_s_at	9.729
200659_s_at	7.834
200660_at	10.132
200661_at	8.136
200662_s_at	11.693
200663_at	10.998
200664_s_at	9.012
200665_s_at	3.654
200666_s_at	9.47
200667_at	10.369
200668_s_at	11.11
200669_s_at	10.827
