^SAMPLE = GSM711697
!Sample_title = OAW42
!Sample_geo_accession = GSM711697
!Sample_status = Public on May 21 2013
!Sample_submission_date = Apr 19 2011
!Sample_last_update_date = May 21 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Cultured ovarian cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: cultured ovarian carcinoma
!Sample_characteristics_ch1 = cell line: OAW42
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted by Qiagen RNEasy kit according to the manufacturer's instructions.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_data_processing = Data were normalized by Robust Multichip Average (RMA) using R with Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Tuan Zea,,Tan
!Sample_contact_email = csittz@nus.edu.sg
!Sample_contact_department = Cancer Science Institute Singapore
!Sample_contact_institute = National University of Singapore
!Sample_contact_address = 14 Medical Drive, #11-01, Singapore
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 117599
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM711nnn/GSM711697/suppl/GSM711697_AFG1127-23.CEL.gz
!Sample_series_id = GSE28724
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.54182444
1053_at	9.052584363
117_at	5.483172634
121_at	10.65463309
1255_g_at	2.886715819
1294_at	7.000778705
1316_at	6.445515328
1320_at	5.232205935
1405_i_at	3.351220959
1431_at	3.87085256
1438_at	5.562737159
1487_at	8.495347937
1494_f_at	6.100382018
1552256_a_at	7.51270047
1552257_a_at	8.743032469
1552258_at	5.678731323
1552261_at	4.747745156
1552263_at	6.716923215
1552264_a_at	7.663295107
1552266_at	2.869020225
1552269_at	4.453349925
1552271_at	5.870926901
1552272_a_at	5.543909083
1552274_at	6.288244304
1552275_s_at	6.466087402
1552276_a_at	6.008753856
1552277_a_at	10.39900982
1552278_a_at	5.562435697
1552279_a_at	6.700084809
1552280_at	3.836787433
1552281_at	6.581758035
1552283_s_at	4.447219563
1552286_at	6.523898481
1552287_s_at	7.362601003
1552288_at	4.134140502
1552289_a_at	5.011727849
1552291_at	9.311070697
1552293_at	5.147347497
1552295_a_at	7.793522006
1552296_at	3.610685597
1552299_at	4.893473901
1552301_a_at	5.159467802
1552302_at	3.196626911
1552303_a_at	5.881191352
1552304_at	6.141821183
1552306_at	7.208125338
1552307_a_at	7.233314281
1552309_a_at	7.59073305
1552310_at	7.241898364
1552311_a_at	7.628455078
1552312_a_at	6.973722118
1552314_a_at	5.433821027
1552315_at	4.190157291
1552316_a_at	3.086512023
1552318_at	3.212212348
1552319_a_at	4.621605122
1552320_a_at	2.780672666
1552321_a_at	2.915039515
1552322_at	3.34821953
1552323_s_at	6.549790467
1552325_at	2.75890759
1552326_a_at	4.982756585
1552327_at	3.629714931
1552329_at	6.433074959
1552330_at	6.014619756
1552332_at	7.967881856
1552334_at	6.640360484
1552335_at	7.076617908
1552337_s_at	6.376680807
1552338_at	4.426310529
1552340_at	4.07575209
1552343_s_at	4.852422958
1552344_s_at	8.298358774
1552347_at	8.318635525
1552348_at	5.217941599
1552349_a_at	4.767432864
1552354_at	4.653242803
1552355_s_at	5.41985028
1552359_at	3.686178738
1552360_a_at	6.678948047
1552362_a_at	5.349679408
1552364_s_at	5.29662141
1552365_at	3.321094275
1552367_a_at	3.218563494
1552368_at	3.382842132
1552370_at	8.330384079
1552372_at	2.700881601
1552373_s_at	3.048204298
1552375_at	3.783766915
1552377_s_at	6.926790254
1552378_s_at	6.080927228
1552379_at	2.845376135
1552381_at	4.447713527
1552383_at	6.01933899
1552384_a_at	4.229767375
1552386_at	2.718137572
1552388_at	6.287265389
1552389_at	5.554301932
1552390_a_at	7.081353426
1552391_at	4.666587452
1552393_at	2.960176906
1552394_a_at	3.125211577
1552395_at	7.189808793
1552396_at	4.631319953
1552398_a_at	2.639608013
1552399_a_at	3.501613932
1552400_a_at	4.775016264
1552401_a_at	3.048200403
1552402_at	4.402869235
1552405_at	4.369282473
1552408_at	3.552212076
1552409_a_at	6.201505244
1552410_at	4.59683005
1552411_at	6.52617028
1552412_a_at	3.663408459
1552414_at	3.820074521
1552415_a_at	4.876662139
1552417_a_at	8.168958369
1552418_at	5.151512504
1552419_s_at	5.578290129
1552421_a_at	3.43737833
1552422_at	5.332350908
1552423_at	5.553368082
1552424_at	3.19383543
1552425_a_at	4.505212576
