^SAMPLE = GSM231667
!Sample_title = SH-SY5Y(ECACC)_RA_2d_rep3
!Sample_geo_accession = GSM231667
!Sample_status = Public on Sep 01 2009
!Sample_submission_date = Sep 26 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma cell, retinoic acid (RA), 2day
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line: SH-SY5Y (EC94030304, obtained from ECACC (European Collection of Cell Cultures))
!Sample_treatment_protocol_ch1 = SH-SY5Y-E cells were seeded in laminin coated culture dishes (BioCoat Laminin Cellware; BD Biosciences) for 1 day and then transferred to a medium containing 10 μM of RA  for five days.
!Sample_growth_protocol_ch1 = Tissue culture cells were maintained in D-MEM/F12 1:1 mixture supplemented with 15% FBS (Fetal Bovine Serum) and 1% NEAA (Non-essential amino acid) in a 5% CO2 humidified incubator at 37oC. The culture medium was changed twice a week.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total cellular RNA was extracted from the cells at specific intervals using the RiboPure Kit (Ambion, An Applied Biosystems Business, Austin, TX, USA) according to the manufacturer’s instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = First-strand cDNA was synthesized using 5 μg of total RNA and the GeneChip One-cycle cDNA Synthesis Kit (Affymetrix, Inc.). Biotin-labeled cRNA was generated by the GeneChip IVT labeling Kit (Affymetrix, Inc.)
!Sample_hyb_protocol = Biotin-labeled cRNA was applied on the Human Genome U133 Plus 2.0 Array (Affymetrix, Inc.) and then hybridized at 45oC for 17 h in a GeneChip Hybridization Oven (Affymetrix, Inc.).
!Sample_scan_protocol = Washing, staining and scanning of the array were performed using the GeneChip Wash and Stain Kit and a GeneChip Scanner 3000 (Affymetrix, Inc.), respectively.
!Sample_description = Sampling of RNA was performed at six different time points (0h, 6h, 1d, 2d, 3d, and 5d, respectively) under RA inducible conditions and at five different time points (0h, 6h, 1d, 2d and 3d, respectively) after the cells were transferred to serum-free medium containing BDNF.
!Sample_data_processing = The average signal intensity for all probes was initially tuned to 500 as global scaling and individual signal intensities were evaluated by detection call (present/marginal/absent) using the Affymetrix Micro Array Suite 5.0 (MAS 5.0) software (Affymetrix, Inc.).
!Sample_platform_id = GPL570
!Sample_contact_name = Tadayuki,,Takeda
!Sample_contact_email = ttakeda@gsc.riken.jp
!Sample_contact_phone = (+81) 45 503 9286
!Sample_contact_fax = (+81) 45 503 9176
!Sample_contact_laboratory = Genome Annotation and Comparative Analysis Team
!Sample_contact_department = Computatinal and Experimental Systems Biology Group
!Sample_contact_institute = RIKEN GSC
!Sample_contact_address = 1-7-22, Suehiro-cho, Tsurumi-ku
!Sample_contact_city = Yokohama
!Sample_contact_state = Kanagawa
!Sample_contact_zip/postal_code = 230-0045
!Sample_contact_country = Japan
!Sample_contact_web_link = http://hgp.gsc.riken.go.jp/index.php/Main_Page
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM231nnn/GSM231667/suppl/GSM231667.CEL.gz
!Sample_series_id = GSE9169
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Signal
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	690.148	P	0.000662269
AFFX-BioB-M_at	782.896	P	6.02111e-05
AFFX-BioB-3_at	523.335	P	9.4506e-05
AFFX-BioC-5_at	1581.93	P	5.16732e-05
AFFX-BioC-3_at	2226.08	P	4.42873e-05
AFFX-BioDn-5_at	4362.16	P	4.42873e-05
AFFX-BioDn-3_at	8599.87	P	8.14279e-05
AFFX-CreX-5_at	20459.6	P	5.16732e-05
AFFX-CreX-3_at	22029.5	P	4.42873e-05
AFFX-DapX-5_at	816.01	P	6.02111e-05
AFFX-DapX-M_at	1551	P	0.000340305
AFFX-DapX-3_at	1767.03	P	4.42873e-05
AFFX-LysX-5_at	105.868	P	0.000753643
AFFX-LysX-M_at	211.076	P	0.0103167
AFFX-LysX-3_at	371.05	P	4.42873e-05
AFFX-PheX-5_at	170.894	P	5.16732e-05
AFFX-PheX-M_at	215.283	P	0.000389797
AFFX-PheX-3_at	192.43	P	0.000389797
AFFX-ThrX-5_at	217.255	P	0.000224668
AFFX-ThrX-M_at	286.857	P	6.02111e-05
AFFX-ThrX-3_at	505.19	P	7.00668e-05
AFFX-TrpnX-5_at	7.07878	A	0.631562
AFFX-TrpnX-M_at	4.24343	A	0.876448
AFFX-TrpnX-3_at	9.52651	A	0.58862
AFFX-r2-Ec-bioB-5_at	814.588	P	0.000244141
AFFX-r2-Ec-bioB-M_at	960.164	P	0.000244141
AFFX-r2-Ec-bioB-3_at	739.82	P	0.000244141
AFFX-r2-Ec-bioC-5_at	2096.53	P	0.000244141
AFFX-r2-Ec-bioC-3_at	2548.86	P	0.000244141
AFFX-r2-Ec-bioD-5_at	10516.8	P	0.000244141
AFFX-r2-Ec-bioD-3_at	12254.6	P	0.000244141
AFFX-r2-P1-cre-5_at	24279.9	P	0.000244141
AFFX-r2-P1-cre-3_at	32282	P	0.000244141
AFFX-r2-Bs-dap-5_at	954.473	P	0.000244141
AFFX-r2-Bs-dap-M_at	1652.88	P	0.000244141
AFFX-r2-Bs-dap-3_at	2534.84	P	0.000244141
AFFX-r2-Bs-lys-5_at	157.209	P	0.000244141
AFFX-r2-Bs-lys-M_at	151.807	P	0.000244141
AFFX-r2-Bs-lys-3_at	179.502	P	0.000244141
AFFX-r2-Bs-phe-5_at	254.437	P	0.000244141
AFFX-r2-Bs-phe-M_at	280.603	P	0.000244141
AFFX-r2-Bs-phe-3_at	496.892	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	731.612	P	0.00292969
AFFX-r2-Bs-thr-M_s_at	715.988	P	0.00195313
AFFX-r2-Bs-thr-5_s_at	317.687	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	203.572	P	0.000856509
AFFX-HUMISGF3A/M97935_MA_at	453.084	P	0.00179591
AFFX-HUMISGF3A/M97935_MB_at	474.629	P	5.16014e-05
AFFX-HUMISGF3A/M97935_3_at	1974	P	7.00668e-05
AFFX-HUMRGE/M10098_5_at	197.869	P	0.00110197
AFFX-HUMRGE/M10098_M_at	132.806	P	0.000581214
AFFX-HUMRGE/M10098_3_at	291.687	P	0.00499819
AFFX-HUMGAPDH/M33197_5_at	29704	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	25831.6	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	29302	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	22076.1	P	4.42873e-05
