^SAMPLE = GSM155074
!Sample_title = REC-1cell line treated with emetine followed by actinomycin D treatment. Pool of a time course
!Sample_geo_accession = GSM155074
!Sample_status = Public on Dec 31 2007
!Sample_submission_date = Jan 12 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = REC-1 cell line treated with emetine followed by actinomycin D treatment. Pool of a time course
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Mantle Cell Lymphoma cell line
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = TRIzol extraction followed by a cleanup using the QUIAGEN RNAesy Mini kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotynilated cRNA were prepared according to the standard Affymetrix protocol from 2 micrograms Total RNA (Expression Analysis Technical Manual (Affymetrix Inc)
!Sample_hyb_protocol = Following fragmentation, 10 micrograms of cRNA were hybridized for 16 hours at 45ºC on human 133 Plus 2.0 . GeneChips were washed and stained in the Affymetrix Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix 3000 Scanner system
!Sample_description = Gene expression data from Rec-1 cell line treated with emetine
!Sample_data_processing = The data were analyzed with GCOS 1.4 using the Affymetrix default analysis settings and global scailing as normalization method. The target intensity used was arbitrarily set to 150
!Sample_platform_id = GPL570
!Sample_contact_name = Pedro,,Jares
!Sample_contact_email = pjares@clinic.ub.es
!Sample_contact_department = Genomics Unit
!Sample_contact_institute = IDIBAPS
!Sample_contact_address = c/ Villarroel 170
!Sample_contact_city = Barcelona
!Sample_contact_state = Barcelona
!Sample_contact_zip/postal_code = 08036
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM155nnn/GSM155074/suppl/GSM155074.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE6728
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5-calculated Signal intensity
#ABS_CALL = the call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M)
#DETECTION P-VALUE = 'detection p-value', p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	386.7	P	0.000446
AFFX-BioB-M_at	507.5	P	0.000044
AFFX-BioB-3_at	360.2	P	0.000127
AFFX-BioC-5_at	731.9	P	0.000052
AFFX-BioC-3_at	843.6	P	0.000044
AFFX-BioDn-5_at	1075.7	P	0.000044
AFFX-BioDn-3_at	4498.3	P	0.000052
AFFX-CreX-5_at	9151.2	P	0.000052
AFFX-CreX-3_at	11831.3	P	0.000044
AFFX-DapX-5_at	18.1	A	0.0727
AFFX-DapX-M_at	15.1	A	0.275146
AFFX-DapX-3_at	5.5	A	0.354453
AFFX-LysX-5_at	15.4	A	0.083592
AFFX-LysX-M_at	18.2	A	0.58862
AFFX-LysX-3_at	12.2	A	0.156732
AFFX-PheX-5_at	2.1	A	0.868639
AFFX-PheX-M_at	1.6	A	0.957038
AFFX-PheX-3_at	3.1	A	0.737173
AFFX-ThrX-5_at	17.1	A	0.195266
AFFX-ThrX-M_at	2.5	A	0.843268
AFFX-ThrX-3_at	3.5	A	0.617401
AFFX-TrpnX-5_at	14.3	A	0.250796
AFFX-TrpnX-M_at	5	A	0.699394
AFFX-TrpnX-3_at	5.5	A	0.470241
AFFX-r2-Ec-bioB-5_at	498	P	0.000244
AFFX-r2-Ec-bioB-M_at	626.6	P	0.000244
AFFX-r2-Ec-bioB-3_at	433.1	P	0.000244
AFFX-r2-Ec-bioC-5_at	923.6	P	0.000244
AFFX-r2-Ec-bioC-3_at	1270.4	P	0.000244
AFFX-r2-Ec-bioD-5_at	3910.1	P	0.000244
AFFX-r2-Ec-bioD-3_at	4800.4	P	0.000244
AFFX-r2-P1-cre-5_at	14037.9	P	0.000244
AFFX-r2-P1-cre-3_at	17517.3	P	0.000244
AFFX-r2-Bs-dap-5_at	1.8	A	0.929688
AFFX-r2-Bs-dap-M_at	2.7	A	0.5
AFFX-r2-Bs-dap-3_at	1	A	0.870361
AFFX-r2-Bs-lys-5_at	8	A	0.149658
AFFX-r2-Bs-lys-M_at	7.6	A	0.525635
AFFX-r2-Bs-lys-3_at	15.4	A	0.219482
AFFX-r2-Bs-phe-5_at	2.4	A	0.601074
AFFX-r2-Bs-phe-M_at	4	A	0.72583
AFFX-r2-Bs-phe-3_at	13.4	A	0.246094
AFFX-r2-Bs-thr-3_s_at	25.3	A	0.398926
AFFX-r2-Bs-thr-M_s_at	18.9	A	0.171387
AFFX-r2-Bs-thr-5_s_at	15.2	P	0.046143
AFFX-HUMISGF3A/M97935_5_at	56.6	P	0.012547
AFFX-HUMISGF3A/M97935_MA_at	116.6	P	0.009337
AFFX-HUMISGF3A/M97935_MB_at	112.4	P	0.000044
AFFX-HUMISGF3A/M97935_3_at	341.8	P	0.000147
AFFX-HUMRGE/M10098_5_at	8748.9	P	0.000044
AFFX-HUMRGE/M10098_M_at	1442.3	P	0.000044
AFFX-HUMRGE/M10098_3_at	1482.5	P	0.000044
AFFX-HUMGAPDH/M33197_5_at	4557.5	P	0.000044
AFFX-HUMGAPDH/M33197_M_at	4632.6	P	0.000044
AFFX-HUMGAPDH/M33197_3_at	4936.5	P	0.000044
AFFX-HSAC07/X00351_5_at	6130.3	P	0.000044
