^SAMPLE = GSM1230818
!Sample_title = OV-90:Ctrl_1
!Sample_geo_accession = GSM1230818
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OV-90 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: OV-90
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230818/suppl/GSM1230818_CEL_282_4661_02_06_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	5.18
AFFX-BioB-M_at	5.628
AFFX-BioB-3_at	5.033
AFFX-BioC-5_at	6.652
AFFX-BioC-3_at	7.215
AFFX-BioDn-5_at	8.291
AFFX-BioDn-3_at	9.228
AFFX-CreX-5_at	10.736
AFFX-CreX-3_at	11.003
AFFX-DapX-5_at	2.012
AFFX-DapX-M_at	1.771
AFFX-DapX-3_at	2.601
AFFX-LysX-5_at	1.845
AFFX-LysX-M_at	1.983
AFFX-LysX-3_at	1.799
AFFX-PheX-5_at	2.4
AFFX-PheX-M_at	2.023
AFFX-PheX-3_at	3.483
AFFX-ThrX-5_at	2.203
AFFX-ThrX-M_at	2.113
AFFX-ThrX-3_at	3.172
AFFX-TrpnX-5_at	2.783
AFFX-TrpnX-M_at	2.281
AFFX-TrpnX-3_at	1.96
AFFX-r2-Ec-bioB-5_at	5.354
AFFX-r2-Ec-bioB-M_at	5.792
AFFX-r2-Ec-bioB-3_at	5.788
AFFX-r2-Ec-bioC-5_at	7.112
AFFX-r2-Ec-bioC-3_at	7.53
AFFX-r2-Ec-bioD-5_at	9.401
AFFX-r2-Ec-bioD-3_at	9.77
AFFX-r2-P1-cre-5_at	11.436
AFFX-r2-P1-cre-3_at	11.688
AFFX-r2-Bs-dap-5_at	2.137
AFFX-r2-Bs-dap-M_at	1.937
AFFX-r2-Bs-dap-3_at	1.706
AFFX-r2-Bs-lys-5_at	1.869
AFFX-r2-Bs-lys-M_at	1.867
AFFX-r2-Bs-lys-3_at	2.15
AFFX-r2-Bs-phe-5_at	1.879
AFFX-r2-Bs-phe-M_at	2.176
AFFX-r2-Bs-phe-3_at	2.061
AFFX-r2-Bs-thr-3_s_at	2.964
AFFX-r2-Bs-thr-M_s_at	2.928
AFFX-r2-Bs-thr-5_s_at	2.309
AFFX-HUMISGF3A/M97935_5_at	5.89
AFFX-HUMISGF3A/M97935_MA_at	6.669
AFFX-HUMISGF3A/M97935_MB_at	6.72
