^SAMPLE = GSM170844
!Sample_title = Melanoma cell line A06
!Sample_geo_accession = GSM170844
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 21 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line A06
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr C. Schmidt
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set.
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170844/suppl/GSM170844.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170844/suppl/GSM170844.CHP.gz
!Sample_relation = Affiliated with: GSM700984
!Sample_relation = Affiliated with: GSM804318
!Sample_relation = Affiliated with: GSM804319
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_series_id = GSE7152
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	263.554	P	0.000195116
AFFX-BioB-M_at	417.226	P	4.42873e-05
AFFX-BioB-3_at	249.097	P	6.02111e-05
AFFX-BioC-5_at	605.154	P	4.42873e-05
AFFX-BioC-3_at	642.657	P	4.42873e-05
AFFX-BioDn-5_at	732.199	P	4.42873e-05
AFFX-BioDn-3_at	2881.64	P	4.42873e-05
AFFX-CreX-5_at	7422.99	P	5.16732e-05
AFFX-CreX-3_at	10702.8	P	4.42873e-05
AFFX-DapX-5_at	429.562	P	6.02111e-05
AFFX-DapX-M_at	633.742	P	0.000445901
AFFX-DapX-3_at	719.848	P	6.02111e-05
AFFX-LysX-5_at	59.4509	P	0.00012664
AFFX-LysX-M_at	54.4324	P	0.00359458
AFFX-LysX-3_at	149.615	P	0.000169227
AFFX-PheX-5_at	66.0852	P	6.02111e-05
AFFX-PheX-M_at	69.9898	P	0.000509415
AFFX-PheX-3_at	77.8741	P	0.000169227
AFFX-ThrX-5_at	80.7512	P	0.000169227
AFFX-ThrX-M_at	132.366	P	6.02111e-05
AFFX-ThrX-3_at	183.674	P	5.16732e-05
AFFX-TrpnX-5_at	13.9564	A	0.455413
AFFX-TrpnX-M_at	1.51054	A	0.794268
AFFX-TrpnX-3_at	1.38415	A	0.617411
AFFX-r2-Ec-bioB-5_at	359.829	P	0.000244141
AFFX-r2-Ec-bioB-M_at	564.832	P	0.000244141
AFFX-r2-Ec-bioB-3_at	339.224	P	0.000244141
AFFX-r2-Ec-bioC-5_at	702.978	P	0.000244141
AFFX-r2-Ec-bioC-3_at	979.456	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2774.14	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3335.76	P	0.000244141
AFFX-r2-P1-cre-5_at	12712.9	P	0.000244141
AFFX-r2-P1-cre-3_at	14039.7	P	0.000244141
AFFX-r2-Bs-dap-5_at	628.472	P	0.000244141
AFFX-r2-Bs-dap-M_at	716.738	P	0.000244141
AFFX-r2-Bs-dap-3_at	922.37	P	0.000244141
AFFX-r2-Bs-lys-5_at	79.9966	P	0.000244141
AFFX-r2-Bs-lys-M_at	51.7963	P	0.0012207
AFFX-r2-Bs-lys-3_at	65.1171	P	0.000244141
AFFX-r2-Bs-phe-5_at	105.979	P	0.000244141
AFFX-r2-Bs-phe-M_at	102.799	P	0.000244141
AFFX-r2-Bs-phe-3_at	149.367	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	225.546	P	0.0012207
AFFX-r2-Bs-thr-M_s_at	201.939	P	0.0012207
AFFX-r2-Bs-thr-5_s_at	149.506	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	186.829	P	0.000169227
AFFX-HUMISGF3A/M97935_MA_at	278.731	P	8.14279e-05
AFFX-HUMISGF3A/M97935_MB_at	269.3	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	820.792	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	95.3775	P	0.0020226
AFFX-HUMRGE/M10098_M_at	61.3413	P	0.00141043
AFFX-HUMRGE/M10098_3_at	110.611	P	0.00179591
AFFX-HUMGAPDH/M33197_5_at	14530.4	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	12887.8	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	13777.6	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8964.12	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9503.2	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10166.5	P	4.42873e-05
AFFX-M27830_5_at	480.102	P	4.42873e-05
AFFX-M27830_M_at	1101.79	P	0.000972149
AFFX-M27830_3_at	6.82516	A	0.52976
AFFX-hum_alu_at	14271.6	P	2.6068e-13
1007_s_at	270.843	P	0.00135385
1053_at	651.542	P	0.000265621
117_at	77.8403	P	0.000804598
121_at	183.697	P	0.00564279
1255_g_at	3.11263	A	0.732537
1294_at	88.4675	P	0.00754291
1316_at	26.0544	P	0.0393654
1320_at	14.8455	A	0.541184
1405_i_at	3.13916	A	0.537511
1431_at	7.23651	A	0.397994
1438_at	74.7008	P	0.00486276
1487_at	130.021	P	0.0489947
1494_f_at	23.962	A	0.107301
1598_g_at	52.1101	A	0.138765
160020_at	540.293	P	0.000265621
1729_at	120.074	P	0.00222768
1773_at	396.163	P	0.000321521
177_at	36.736	P	0.000673102
179_at	228.502	P	0.0218664
1861_at	154.306	P	0.000388206
200000_s_at	1406.23	P	0.000244141
200001_at	2245.09	P	0.000244141
