^SAMPLE = GSM206508
!Sample_title = Hop92
!Sample_geo_accession = GSM206508
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Hop_92 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206508/suppl/GSM206508_1.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206508/suppl/GSM206508_2.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	717.95
AFFX-BioB-M_at	962.49
AFFX-BioB-3_at	516.13
AFFX-BioC-5_at	1793.39
AFFX-BioC-3_at	1656.32
AFFX-BioDn-5_at	1862.78
AFFX-BioDn-3_at	8605.15
AFFX-CreX-5_at	24943.96
AFFX-CreX-3_at	26332.39
AFFX-DapX-5_at	2626.09
AFFX-DapX-M_at	4639.82
AFFX-DapX-3_at	5674.1
AFFX-LysX-5_at	574.11
AFFX-LysX-M_at	828.23
AFFX-LysX-3_at	1489.98
AFFX-PheX-5_at	718.99
AFFX-PheX-M_at	931.91
AFFX-PheX-3_at	678.8
AFFX-ThrX-5_at	14686.16
AFFX-ThrX-M_at	22804.32
AFFX-ThrX-3_at	30607.93
AFFX-TrpnX-5_at	24.01
AFFX-TrpnX-M_at	8.61
AFFX-TrpnX-3_at	18
AFFX-r2-Ec-bioB-5_at	797.56
AFFX-r2-Ec-bioB-M_at	1006.51
AFFX-r2-Ec-bioB-3_at	1025.15
AFFX-r2-Ec-bioC-5_at	1776.96
AFFX-r2-Ec-bioC-3_at	2634.12
AFFX-r2-Ec-bioD-5_at	9296.82
AFFX-r2-Ec-bioD-3_at	12598.94
AFFX-r2-P1-cre-5_at	35140.88
AFFX-r2-P1-cre-3_at	39979.19
AFFX-r2-Bs-dap-5_at	3031.31
AFFX-r2-Bs-dap-M_at	5833.01
AFFX-r2-Bs-dap-3_at	7294.03
AFFX-r2-Bs-lys-5_at	829.25
AFFX-r2-Bs-lys-M_at	922.45
AFFX-r2-Bs-lys-3_at	888.29
AFFX-r2-Bs-phe-5_at	845.7
AFFX-r2-Bs-phe-M_at	1127.91
AFFX-r2-Bs-phe-3_at	1658.86
AFFX-r2-Bs-thr-3_s_at	37970.38
AFFX-r2-Bs-thr-M_s_at	29118.98
AFFX-r2-Bs-thr-5_s_at	18942.71
AFFX-HUMISGF3A/M97935_5_at	255.93
AFFX-HUMISGF3A/M97935_MA_at	440.25
AFFX-HUMISGF3A/M97935_MB_at	675.43
AFFX-HUMISGF3A/M97935_3_at	2025.8
AFFX-HUMRGE/M10098_5_at	1961.91
AFFX-HUMRGE/M10098_M_at	444.24
