^SAMPLE = GSM385071
!Sample_title = human non-Hodgkins lymphoma cell line, WSU-FSCCL_rep2
!Sample_geo_accession = GSM385071
!Sample_status = Public on May 11 2009
!Sample_submission_date = Mar 20 2009
!Sample_last_update_date = May 11 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human non-Hodgkins lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: WSU-FSCCL
!Sample_characteristics_ch1 = cell type: human non-Hodgkins lymphoma
!Sample_treatment_protocol_ch1 = Cells were untreated.
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = WSU-FSCCL_rep2
!Sample_data_processing = Expression was normalized and estimated using the GC-RMA package of BioConductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Peng,,Yue
!Sample_contact_email = pengy@gene.com
!Sample_contact_phone = 650-467-3587
!Sample_contact_institute = Genentech Inc
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM385nnn/GSM385071/suppl/GSM385071.CEL.gz
!Sample_series_id = GSE15329
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = GC-RMA value
!sample_table_begin
ID_REF	VALUE
1007_s_at	3.405094375
1053_at	10.9318536
117_at	3.159137469
121_at	5.929101404
1255_g_at	1.977664746
1294_at	3.220895695
1316_at	2.935074616
1320_at	2.671309457
1405_i_at	5.118464428
1431_at	2.949054124
1438_at	2.118373165
1487_at	7.768972537
1494_f_at	2.39727788
1552256_a_at	11.13667782
1552257_a_at	9.817998841
1552258_at	2.38479875
1552261_at	3.092611102
1552263_at	9.165818084
1552264_a_at	8.671268997
1552266_at	4.105580818
1552269_at	2.137961814
1552271_at	1.532160965
1552272_a_at	1.998872137
1552274_at	11.52265598
1552275_s_at	10.9074755
1552276_a_at	2.271623057
1552277_a_at	10.00378428
1552278_a_at	2.374369721
1552279_a_at	2.2819399
1552280_at	2.298036984
1552281_at	2.196159436
1552283_s_at	5.008265651
1552286_at	5.051486711
1552287_s_at	9.217327754
1552288_at	3.253826074
1552289_a_at	1.560413458
1552291_at	10.031002
1552293_at	2.434998006
1552295_a_at	4.783449501
1552296_at	2.772244496
1552299_at	2.668610355
1552301_a_at	2.989710959
1552302_at	7.491439031
1552303_a_at	7.456718907
1552304_at	2.343984698
1552306_at	7.638002406
1552307_a_at	5.25916464
1552309_a_at	6.086888375
1552310_at	9.160581986
1552311_a_at	3.459931044
1552312_a_at	5.572690275
1552314_a_at	3.864342558
1552315_at	2.01228275
1552316_a_at	2.704574296
1552318_at	3.179436449
1552319_a_at	3.185948983
1552320_a_at	3.692053264
1552321_a_at	2.680987713
1552322_at	2.357683588
1552323_s_at	2.969931862
1552325_at	4.51977585
1552326_a_at	1.980282285
1552327_at	2.625026379
1552329_at	7.779774392
1552330_at	6.3556633
1552332_at	6.452324988
1552334_at	5.41545603
1552335_at	2.051855735
1552337_s_at	2.117784964
1552338_at	1.563707179
1552340_at	2.160418114
1552343_s_at	3.640718497
1552344_s_at	7.777758521
1552347_at	10.27486148
1552348_at	3.066548492
1552349_a_at	2.160318582
1552354_at	2.446575118
1552355_s_at	1.928402728
1552359_at	2.747206721
1552360_a_at	7.279844702
1552362_a_at	6.084219733
1552364_s_at	3.904090082
1552365_at	2.86360983
1552367_a_at	3.117446155
