^SAMPLE = GSM562813
!Sample_title = LP-1
!Sample_geo_accession = GSM562813
!Sample_status = Public on Apr 30 2011
!Sample_submission_date = Jul 06 2010
!Sample_last_update_date = Nov 06 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Multiple myeloma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: LP-1
!Sample_characteristics_ch1 = culturing medium: IMDM, 10% FBS
!Sample_treatment_protocol_ch1 = Untreated. The density of the culture was determined and 5 million cells were harvested and stored in 1 ml Trizol until RNA extraction.
!Sample_growth_protocol_ch1 = The cell lines were subcultured 2 times per week. Subcultured 24 hours before harvest for RNA extraction.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using Invitrogen TRIzol Reagent combined with Qiagen RNeasy Mini kit. RNA quality was assessed using the Bioanalyser
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 ug total RNA (Expression Analysis Technical Manual, P/N 702232 Rev. 2, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 -18 hr at 45˚ C on GeneChip HG U133 Plus 2.0. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner.
!Sample_description = Gene expression data from the multiple myeloma cell line LP-1
!Sample_data_processing = .CEL files were background corrected and normalized by the just.rma function in the Bioconductor package affy
!Sample_platform_id = GPL570
!Sample_contact_name = Martin,,Boegsted
!Sample_contact_email = martin.boegsted@rn.dk
!Sample_contact_department = Department of Haematology
!Sample_contact_institute = Aalborg Hospital, Aarhus University Hospital
!Sample_contact_address = Sdr. Skovvej 15
!Sample_contact_city = Aalborg
!Sample_contact_zip/postal_code = 9000
!Sample_contact_country = Denmark
!Sample_contact_web_link = www.blodet.dk
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562813/suppl/GSM562813.CEL.gz
!Sample_relation = Reanalyzed by: GSM1300959
!Sample_series_id = GSE22759
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	5.866553591
1053_at	9.209718183
117_at	5.819917667
121_at	8.150263398
1255_g_at	3.045920781
1294_at	6.018884025
1316_at	5.879425971
1320_at	4.506431862
1405_i_at	4.887127362
1431_at	4.339755724
1438_at	5.51502167
1487_at	9.090866092
1494_f_at	5.701746293
1552256_a_at	9.670143831
1552257_a_at	9.670444425
1552258_at	5.806772941
1552261_at	5.221407683
1552263_at	7.98369344
1552264_a_at	9.280234703
1552266_at	3.284860492
1552269_at	4.350829546
1552271_at	6.095579582
1552272_a_at	6.794103806
1552274_at	6.927728991
1552275_s_at	6.283168246
1552276_a_at	6.848879557
1552277_a_at	8.163396689
1552278_a_at	4.638138772
1552279_a_at	6.59045641
1552280_at	4.316440407
1552281_at	7.566161346
1552283_s_at	5.691647391
1552286_at	7.854731026
1552287_s_at	8.185279852
1552288_at	4.345400892
1552289_a_at	4.767372999
1552291_at	7.923146412
1552293_at	5.52119596
1552295_a_at	8.087875847
1552296_at	4.400993596
1552299_at	5.525987413
1552301_a_at	5.479127517
1552302_at	4.588837779
1552303_a_at	5.838904539
1552304_at	5.761924345
1552306_at	6.801005204
1552307_a_at	4.649250499
1552309_a_at	3.600538697
1552310_at	9.393856673
1552311_a_at	7.392548156
1552312_a_at	7.743897595
1552314_a_at	6.415298559
1552315_at	6.23909738
1552316_a_at	6.205158021
1552318_at	4.460043334
1552319_a_at	4.499364193
1552320_a_at	3.484401462
1552321_a_at	3.556768062
1552322_at	3.722068707
1552323_s_at	5.356145029
1552325_at	3.390632577
1552326_a_at	5.135239274
1552327_at	3.540392467
1552329_at	7.733716415
1552330_at	8.138942038
1552332_at	7.511936291
1552334_at	6.53240218
1552335_at	5.361273946
1552337_s_at	4.740655109
1552338_at	5.115510565
1552340_at	5.092238646
1552343_s_at	6.073913479
1552344_s_at	8.444712606
1552347_at	8.416056469
1552348_at	6.65580548
1552349_a_at	5.092723728
1552354_at	4.935073039
1552355_s_at	5.848122023
1552359_at	3.16026339
1552360_a_at	5.818534764
1552362_a_at	6.651544451
1552364_s_at	6.58413453
1552365_at	3.289415679
1552367_a_at	3.483664595
1552368_at	3.501023096
1552370_at	7.285655918
1552372_at	2.996048286
1552373_s_at	3.131775581
1552375_at	4.510564574
1552377_s_at	7.271929254
1552378_s_at	5.406728144
