^SAMPLE = GSM1230805
!Sample_title = EFO-27:ERI_3
!Sample_geo_accession = GSM1230805
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = EFO-27 Eribulin 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: EFO-27
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230805/suppl/GSM1230805_CEL_282_4648_02_06_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.535
AFFX-BioB-M_at	6.685
AFFX-BioB-3_at	6.168
AFFX-BioC-5_at	7.608
AFFX-BioC-3_at	8.312
AFFX-BioDn-5_at	9.088
AFFX-BioDn-3_at	10.296
AFFX-CreX-5_at	11.461
AFFX-CreX-3_at	11.764
AFFX-DapX-5_at	1.958
AFFX-DapX-M_at	2.047
AFFX-DapX-3_at	2.499
AFFX-LysX-5_at	1.894
AFFX-LysX-M_at	2.432
AFFX-LysX-3_at	1.771
AFFX-PheX-5_at	2.213
AFFX-PheX-M_at	2.03
AFFX-PheX-3_at	3.547
AFFX-ThrX-5_at	2.381
AFFX-ThrX-M_at	2.033
AFFX-ThrX-3_at	3.097
AFFX-TrpnX-5_at	2.618
AFFX-TrpnX-M_at	2.402
AFFX-TrpnX-3_at	1.893
AFFX-r2-Ec-bioB-5_at	6.574
AFFX-r2-Ec-bioB-M_at	6.869
AFFX-r2-Ec-bioB-3_at	6.718
AFFX-r2-Ec-bioC-5_at	8.318
AFFX-r2-Ec-bioC-3_at	8.796
AFFX-r2-Ec-bioD-5_at	10.333
AFFX-r2-Ec-bioD-3_at	10.838
AFFX-r2-P1-cre-5_at	12.159
AFFX-r2-P1-cre-3_at	12.361
AFFX-r2-Bs-dap-5_at	2.187
AFFX-r2-Bs-dap-M_at	1.744
AFFX-r2-Bs-dap-3_at	1.815
AFFX-r2-Bs-lys-5_at	1.816
AFFX-r2-Bs-lys-M_at	1.962
AFFX-r2-Bs-lys-3_at	2.012
AFFX-r2-Bs-phe-5_at	1.999
AFFX-r2-Bs-phe-M_at	2.038
AFFX-r2-Bs-phe-3_at	2.202
AFFX-r2-Bs-thr-3_s_at	3.107
AFFX-r2-Bs-thr-M_s_at	3.246
AFFX-r2-Bs-thr-5_s_at	2.338
AFFX-HUMISGF3A/M97935_5_at	4.511
AFFX-HUMISGF3A/M97935_MA_at	5.779
AFFX-HUMISGF3A/M97935_MB_at	5.695
AFFX-HUMISGF3A/M97935_3_at	8.504
AFFX-HUMRGE/M10098_5_at	12.491
AFFX-HUMRGE/M10098_M_at	11.835
AFFX-HUMRGE/M10098_3_at	11.46
AFFX-HUMGAPDH/M33197_5_at	12.084
AFFX-HUMGAPDH/M33197_M_at	12.295
AFFX-HUMGAPDH/M33197_3_at	12.387
AFFX-HSAC07/X00351_5_at	11.586
AFFX-HSAC07/X00351_M_at	12.012
AFFX-HSAC07/X00351_3_at	12.337
AFFX-M27830_5_at	12.042
AFFX-M27830_M_at	10.258
AFFX-M27830_3_at	4.387
AFFX-hum_alu_at	13.015
1007_s_at	9.34
1053_at	7.677
117_at	4.383
121_at	8.847
1255_g_at	2.203
1294_at	5.131
1316_at	5.28
1320_at	3.948
1405_i_at	2.43
1431_at	2.91
1438_at	4.73
1487_at	7.193
1494_f_at	4.93
1598_g_at	7.607
160020_at	6.558
1729_at	7.225
1773_at	5.065
177_at	4.709
179_at	7.379
1861_at	6.215
200000_s_at	8.299
200001_at	9.234
200002_at	12.395
200003_s_at	12.209
200004_at	11.54
200005_at	10.088
200006_at	11.586
200007_at	11.241
200008_s_at	9.51
200009_at	11.031
200010_at	12.053
200011_s_at	7.656
200012_x_at	12.445
200013_at	12.269
200014_s_at	10.563
200015_s_at	10.897
200016_x_at	12.32
200017_at	12.19
200018_at	12.46
200019_s_at	11.648
200020_at	9.759
200021_at	11.949
200022_at	11.857
200023_s_at	11.241
200024_at	11.78
200025_s_at	12.528
