^SAMPLE = GSM1589665
!Sample_title = BA TNBC, TUM032_repB
!Sample_geo_accession = GSM1589665
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jun 18 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: TNBC
!Sample_characteristics_ch1 = array_batch: B6
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589665/suppl/GSM1589665_BC04_ARN0010_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589015
!Sample_relation = Reanalyzed by: GSM1715189
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.029375068
10000_at	2.046598228
10001_at	7.606535353
10002_at	2.5659652
10003_at	2.530717732
100048912_at	2.129308421
100049716_at	2.876783834
10004_at	2.222778593
10005_at	6.907457831
10006_at	10.12903698
10007_at	8.384972452
10008_at	3.656000486
100093630_at	10.25866577
10009_at	8.454889089
1000_at	2.317276066
100101938_at	1.90425735
10010_at	10.34459141
100113407_at	5.599533294
10011_at	7.150469397
100124700_at	11.91670236
100125288_at	2.4534734
100126784_at	2.433831791
100126791_at	2.119270828
100126793_at	2.444316061
100127886_at	2.455709592
100127888_at	1.912530376
100127891_at	2.614163062
100127983_at	3.029731916
100128003_at	2.117646868
100128025_at	1.772848133
100128071_at	1.812492048
100128074_at	1.87672115
100128090_at	2.076294463
100128093_at	2.187346117
100128098_at	2.27897449
100128124_at	3.113879301
100128126_at	1.968950036
100128139_at	2.588639927
100128164_at	2.170761444
100128191_at	2.284962783
100128236_at	1.974049436
100128239_at	2.282180126
100128288_at	3.640359576
100128292_at	2.431823886
100128334_at	4.107542364
100128361_at	2.024326801
100128370_at	2.706529274
100128392_at	2.790246415
100128403_at	1.886125979
100128430_at	2.545291807
100128496_at	2.092476871
100128511_at	2.027473876
100128731_at	10.91897047
100128737_at	1.960743329
100128782_at	2.177694926
100128788_at	2.153247754
100128822_at	9.416956667
100128843_at	2.267668376
100128881_at	1.471873938
100128893_at	3.197700322
100128909_at	1.906995657
100128922_at	2.365979255
100128927_at	3.093167361
100128977_at	2.181814046
100128998_at	2.623735929
100129098_at	2.690250643
100129104_at	3.062240774
100129122_at	2.615342093
100129128_at	1.686598241
100129194_at	2.059189411
100129195_at	5.435927396
100129250_at	5.184972547
100129268_at	2.535475548
100129271_at	2.162820972
100129335_at	2.025038624
100129361_at	10.30816763
100129387_at	5.8030904
100129482_at	6.005235235
100129500_at	1.791828521
100129503_at	2.100689057
100129550_at	3.714268317
100129637_at	2.478292995
100129656_at	1.826918948
100129716_at	1.966099362
100129726_at	2.105808801
100129792_at	2.723399493
100129794_at	3.003998412
100129827_at	2.181905926
100129890_at	2.403472598
100129907_at	2.706396051
100129935_at	2.249771837
100129969_at	2.167842462
100129988_at	2.37291128
100130054_at	1.948425181
100130100_at	3.2438923
100130111_at	2.210589988
100130155_at	2.395393961
100130262_at	2.085296082
100130264_at	2.526417567
100130285_at	3.459141287
100130331_at	2.005122242
100130418_at	2.508176387
100130449_at	2.291882779
100130452_at	2.423661026
100130458_at	2.146165276
100130494_at	1.690800087
100130502_at	2.088253259
100130503_at	2.621653963
100130522_at	2.280454018
100130557_at	2.086013366
100130613_at	2.865766404
100130633_at	7.553417616
100130691_at	2.817900953
100130700_at	3.306488988
100130717_at	1.949747214
100130733_at	2.437707982
100130776_at	1.72623921
100130840_at	2.594804859
100130872_at	2.329708145
100130889_at	2.247279036
100130905_at	1.730087488
100130911_at	2.584771066
100130938_at	1.971195391
100130958_at	4.465928896
100130967_at	1.874286754
100130987_at	3.862943546
100130992_at	2.565742745
100131138_at	2.133767762
100131187_at	9.502602048
100131211_at	3.136408561
100131213_at	4.424303342
100131227_at	1.894328633
100131261_at	9.27531766
100131283_at	2.700087502
100131311_at	1.799754559
100131354_at	1.898689355
100131414_at	6.071262862
100131435_at	2.338466102
100131454_at	2.516949802
100131455_at	1.799320183
100131496_at	2.660866634
100131512_at	2.346174218
100131561_at	1.899360149
100131564_at	3.765481259
100131683_at	2.092690228
100131733_at	2.804163477
100131754_at	15.71322188
100131756_at	2.353166824
100131801_at	8.743016374
100131814_at	2.442520587
100131816_at	2.063740062
100131827_at	1.906545314
100132013_at	2.863214587
100132051_at	2.139146939
100132234_at	2.104137126
100132288_at	7.062711941
100132319_at	2.185949993
100132341_at	7.03459577
100132354_at	2.391378132
100132356_at	2.179493548
100132369_at	2.610742851
100132386_at	1.794054581
100132464_at	5.667525163
100132570_at	1.863764447
100132596_at	2.13452719
100132618_at	2.27885805
100132625_at	1.866012017
100132707_at	2.124293432
100132767_at	1.988163876
100132884_at	4.587691435
100132911_at	2.572739106
100132923_at	2.474983723
100133116_at	1.870993635
100133142_at	2.523864051
100133205_at	2.494783512
100133308_at	2.239548782
100133311_at	1.994363606
100133321_at	3.202164492
100133612_at	1.986876273
100133941_at	13.2033845
100133985_at	2.143565912
100133991_at	2.884267657
100134229_at	4.111283723
100134259_at	2.198134352
100134368_at	1.972475538
100134713_at	2.528321375
100134934_at	3.950162054
10013_at	6.368234498
100141515_at	2.435275917
100144603_at	5.744750471
100144604_at	2.503095787
100144748_at	2.075020834
10014_at	5.10586227
10015_at	9.820795395
100169752_at	2.0723562
10016_at	8.745057096
100170229_at	2.346137107
100170765_at	2.483603811
100170841_at	6.510961822
10017_at	2.703629467
100188893_at	12.60169318
100188953_at	2.706731699
100189589_at	2.587489003
10018_at	3.998482722
100190938_at	2.37832249
100190939_at	1.586837366
100192378_at	2.65684291
100192379_at	2.287774778
100192386_at	2.080249384
10019_at	7.816406788
1001_at	8.850499834
10020_at	7.102935851
100216545_at	3.543744532
10021_at	2.081033757
10022_at	2.166623234
10023_at	3.114632146
100240726_at	2.483231863
10024_at	3.035989787
10025_at	6.300401899
100268168_at	1.987658894
10026_at	7.287411527
100270804_at	2.316166092
100271722_at	6.388477213
100271832_at	2.128104439
100272147_at	8.591680107
100286909_at	1.888796
100286922_at	2.213527132
100286938_at	2.297170254
100286977_at	4.495264212
100286989_at	1.73274641
100287005_at	2.329077606
100287008_at	1.942397388
100287015_at	4.00455327
100287019_at	2.112021328
100287025_at	5.139848639
100287027_at	1.832205065
100287035_at	4.914023664
100287037_at	1.910509084
100287039_at	7.206452979
100287050_at	2.223681535
100287051_at	2.134064526
100287052_at	3.168818157
100287056_at	2.008843747
100287076_at	5.406548945
100287081_at	5.739406031
100287094_at	2.052715726
100287098_at	2.321580511
100287105_at	1.825328145
100287109_at	1.851924174
100287114_at	2.016945946
100287132_at	2.317318916
100287147_at	2.084460143
100287158_at	2.215633407
100287166_at	3.683487578
100287177_at	2.494333771
100287182_at	2.488621863
100287210_at	2.183688682
100287216_at	2.563013232
100287227_at	2.456679038
100287237_at	7.826568587
100287246_at	1.990341724
100287249_at	2.360156524
100287297_at	5.137415136
100287308_at	2.211141964
100287322_at	2.060057813
100287331_at	2.581011642
100287347_at	1.969172095
100287366_at	2.162976101
100287375_at	1.808283266
100287391_at	2.208278848
100287402_at	10.85074106
100287412_at	3.177767293
100287426_at	2.411806356
100287432_at	2.529164543
100287437_at	2.664801176
100287449_at	3.145404013
100287455_at	2.157186537
100287479_at	2.100089985
100287482_at	2.663873746
100287483_at	2.246642168
100287499_at	1.816579949
100287521_at	1.82031791
100287525_at	2.068215963
100287552_at	9.190738927
100287556_at	2.414588781
100287569_at	1.969957967
100287572_at	6.98290054
100287576_at	2.732002688
100287584_at	2.139216952
100287587_at	1.878586988
100287590_at	5.834044121
100287593_at	3.11202089
100287598_at	1.846015616
100287600_at	1.968202253
100287602_at	1.879463999
100287621_at	2.017494053
100287628_at	3.559848547
100287676_at	1.927584637
100287697_at	2.277753912
100287714_at	1.656055765
100287750_at	2.379741046
100287799_at	10.57958857
100287808_at	2.532265471
100287813_at	2.10565595
100287814_at	2.12829242
100287825_at	1.976012036
100287841_at	2.671303299
100287864_at	2.628106341
100287877_at	1.871820558
100287878_at	2.231404084
100287896_at	6.494629813
100287902_at	1.957674065
100287911_at	2.171583721
100287932_at	11.26868186
100288004_at	2.364966178
100288009_at	2.08841652
100288065_at	2.400505048
100288068_at	1.780699072
100288079_at	2.31026
100288092_at	2.020457168
100288099_at	2.151618786
100288109_at	3.43742521
100288123_at	2.551836578
100288128_at	2.520905842
100288139_at	3.535458299
100288150_at	2.249859479
100288152_at	3.047793519
100288178_at	2.056728564
100288194_at	2.570908005
100288198_at	2.653819174
100288202_at	1.858783297
100288214_at	6.92070092
100288221_at	1.856593642
100288224_at	2.283401726
100288237_at	2.248016726
100288238_at	2.509189669
100288249_at	2.186093375
100288263_at	6.676651562
100288271_at	2.191701362
100288282_at	1.953547357
100288303_at	2.53051128
100288357_at	2.315199168
100288409_at	5.283659916
100288410_at	6.411967197
100288413_at	1.767264482
100288418_at	15.57580118
100288432_at	2.28617442
100288438_at	2.354898029
100288456_at	1.967972631
100288461_at	2.737428541
100288471_at	2.299052153
100288490_at	2.032257364
100288525_at	2.338679931
100288551_at	2.083495913
100288578_at	15.75761765
100288590_at	2.378430745
100288612_at	1.990230228
100288618_at	7.364122647
100288634_at	2.086061464
100288640_at	5.007668924
100288658_at	2.250009984
100288675_at	4.238463433
100288678_at	3.606597216
100288679_at	1.968655822
100288682_at	2.235543523
100288685_at	2.445415756
100288701_at	2.906679547
100288721_at	2.157507331
100288730_at	2.784191619
100288745_at	2.391889404
100288752_at	2.630529578
100288758_at	1.710171001
100288781_at	1.819845036
100288789_at	2.856527834
100288797_at	2.390286716
100288845_at	2.911097981
100288860_at	1.895131308
100288867_at	1.965145152
100288870_at	2.357285208
100288881_at	2.305450586
100288882_at	1.776009792
100288893_at	2.605742508
100288911_at	2.606022939
100288939_at	6.877787245
100288954_at	1.760894768
100288968_at	2.088529078
100288985_at	9.017075204
100288999_at	2.495010775
100289043_at	2.584656309
100289058_at	2.677100518
100289061_at	1.937991954
100289070_at	2.755760732
100289096_at	2.059042998
100289126_at	2.429172198
100289187_at	2.117446898
100289203_at	5.058665314
100289209_at	2.157162046
100289210_at	1.876756884
100289219_at	2.619502086
100289230_at	2.869526728
100289246_at	2.13184593
100289292_at	2.169645992
100289294_at	5.855964334
