^SAMPLE = GSM1230674
!Sample_title = KLE_control_1
!Sample_geo_accession = GSM1230674
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = KLE Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: KLE
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230674/suppl/GSM1230674_CEL_277_4469_12_18_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.466
AFFX-BioB-M_at	4.526
AFFX-BioB-3_at	3.921
AFFX-BioC-5_at	7.987
AFFX-BioC-3_at	8.574
AFFX-BioDn-5_at	9.653
AFFX-BioDn-3_at	10.579
AFFX-CreX-5_at	11.988
AFFX-CreX-3_at	12.196
AFFX-DapX-5_at	2.257
AFFX-DapX-M_at	2.345
AFFX-DapX-3_at	2.764
AFFX-LysX-5_at	2.078
AFFX-LysX-M_at	2.603
AFFX-LysX-3_at	2.308
AFFX-PheX-5_at	2.666
AFFX-PheX-M_at	2.477
AFFX-PheX-3_at	4.104
AFFX-ThrX-5_at	2.86
AFFX-ThrX-M_at	2.545
AFFX-ThrX-3_at	3.52
AFFX-TrpnX-5_at	2.726
AFFX-TrpnX-M_at	2.845
AFFX-TrpnX-3_at	2.218
AFFX-r2-Ec-bioB-5_at	4.428
AFFX-r2-Ec-bioB-M_at	4.416
AFFX-r2-Ec-bioB-3_at	5.028
AFFX-r2-Ec-bioC-5_at	8.391
AFFX-r2-Ec-bioC-3_at	8.872
AFFX-r2-Ec-bioD-5_at	10.955
AFFX-r2-Ec-bioD-3_at	11.204
AFFX-r2-P1-cre-5_at	12.496
AFFX-r2-P1-cre-3_at	12.638
AFFX-r2-Bs-dap-5_at	2.502
AFFX-r2-Bs-dap-M_at	2.06
AFFX-r2-Bs-dap-3_at	2.16
AFFX-r2-Bs-lys-5_at	1.969
AFFX-r2-Bs-lys-M_at	2.274
AFFX-r2-Bs-lys-3_at	2.267
AFFX-r2-Bs-phe-5_at	1.999
AFFX-r2-Bs-phe-M_at	2.28
AFFX-r2-Bs-phe-3_at	2.878
AFFX-r2-Bs-thr-3_s_at	3.21
AFFX-r2-Bs-thr-M_s_at	3.141
AFFX-r2-Bs-thr-5_s_at	2.692
AFFX-HUMISGF3A/M97935_5_at	7.377
AFFX-HUMISGF3A/M97935_MA_at	7.779
AFFX-HUMISGF3A/M97935_MB_at	8.875
AFFX-HUMISGF3A/M97935_3_at	10.982
AFFX-HUMRGE/M10098_5_at	13.033
AFFX-HUMRGE/M10098_M_at	12.38
AFFX-HUMRGE/M10098_3_at	12.127
AFFX-HUMGAPDH/M33197_5_at	12.652
AFFX-HUMGAPDH/M33197_M_at	12.83
AFFX-HUMGAPDH/M33197_3_at	12.878
AFFX-HSAC07/X00351_5_at	11.38
AFFX-HSAC07/X00351_M_at	11.892
AFFX-HSAC07/X00351_3_at	12.097
AFFX-M27830_5_at	12.152
AFFX-M27830_M_at	10.167
AFFX-M27830_3_at	5.137
AFFX-hum_alu_at	13.283
1007_s_at	10.567
1053_at	8.515
117_at	5.133
121_at	9.115
1255_g_at	2.444
1294_at	5.436
1316_at	5.738
1320_at	4.997
1405_i_at	5.231
1431_at	3.313
1438_at	5.45
1487_at	6.928
1494_f_at	4.916
1598_g_at	7.333
160020_at	6.123
1729_at	7.17
1773_at	6.063
177_at	4.853
179_at	7.968
1861_at	6.545
200000_s_at	8.45
200001_at	11.338
200002_at	12.403
200003_s_at	13.134
200004_at	12.401
200005_at	10.451
200006_at	12.498
200007_at	11.928
200008_s_at	9.509
200009_at	11.106
200010_at	12.81
200011_s_at	9.096
200012_x_at	12.333
200013_at	12.807
200014_s_at	11.538
200015_s_at	11.373
200016_x_at	12.688
200017_at	12.822
200018_at	12.694
200019_s_at	12.15
200020_at	10.385
200021_at	11.662
200022_at	12.343
200023_s_at	11.82
200024_at	12.745
200025_s_at	12.834
200026_at	12.352
200027_at	11.988
200028_s_at	10.591
200029_at	12.642
200030_s_at	12.337
200031_s_at	12.928
200032_s_at	12.596
200033_at	12.28
200034_s_at	12.904
200035_at	8.304
200036_s_at	11.757
200037_s_at	12.009
200038_s_at	12.876
200039_s_at	12.052
200040_at	11.109
200041_s_at	9.161
200042_at	9.369
200043_at	12.246
200044_at	11.213
200045_at	9.25
200046_at	11.641
200047_s_at	11.858
200048_s_at	11.817
200049_at	7.081
200050_at	11.706
200051_at	7.089
200052_s_at	10.974
200053_at	9.3
200054_at	8.004
200055_at	10.348
200056_s_at	10.761
200057_s_at	11.842
200058_s_at	10.376
200059_s_at	11.749
200060_s_at	9.972
200061_s_at	12.842
200062_s_at	12.857
200063_s_at	12.892
200064_at	11.867
200065_s_at	11.271
200066_at	9.646
200067_x_at	11.675
200068_s_at	11.744
200069_at	8.77
200070_at	7.962
200071_at	10.639
200072_s_at	11.109
200073_s_at	11.444
200074_s_at	11.841
200075_s_at	9.888
200076_s_at	7.582
200077_s_at	12.508
200078_s_at	10.314
200079_s_at	11.215
200080_s_at	12.927
200081_s_at	12.474
200082_s_at	12.179
200083_at	10.005
200084_at	10.898
200085_s_at	12.128
200086_s_at	11.99
200087_s_at	11.988
200088_x_at	12.791
200089_s_at	12.418
200090_at	10.874
200091_s_at	12.447
200092_s_at	13.154
200093_s_at	12.073
200094_s_at	11.102
200095_x_at	13.209
200096_s_at	11.798
200097_s_at	11.461
200098_s_at	10.3
200099_s_at	13.239
200593_s_at	10.743
200594_x_at	11.326
200595_s_at	10.971
200596_s_at	9.749
200597_at	7.809
200598_s_at	11.68
200599_s_at	12.073
200600_at	11.247
200601_at	10.488
200602_at	11.334
200603_at	11.738
200604_s_at	8.106
200605_s_at	11.224
200606_at	11.466
200607_s_at	8.681
200608_s_at	10.89
200609_s_at	10.298
200610_s_at	11.684
200611_s_at	9.711
200612_s_at	8.323
200613_at	9.571
200614_at	11.982
200615_s_at	8.288
200616_s_at	10.682
200617_at	7.977
200618_at	10.944
200619_at	9.289
200620_at	10.362
200621_at	9.434
200622_x_at	7.903
200623_s_at	7.234
200624_s_at	11.109
200625_s_at	11.462
200626_s_at	11.736
200627_at	12.286
200628_s_at	8.67
200629_at	9.876
200630_x_at	11.934
200631_s_at	11.486
200632_s_at	6.647
200633_at	12.978
200634_at	10.325
200635_s_at	9.452
200636_s_at	10.847
200637_s_at	7.388
200638_s_at	11.646
200639_s_at	11.49
200640_at	11.056
200641_s_at	10.256
200642_at	12.295
200643_at	8.193
200644_at	11
200645_at	10.712
200646_s_at	4.145
200647_x_at	10.796
200648_s_at	8.431
200649_at	5.909
200650_s_at	12.144
200651_at	12.88
200652_at	11.209
200653_s_at	11.419
200654_at	10.493
200655_s_at	11.817
200656_s_at	9.252
200657_at	12.277
200658_s_at	9.923
200659_s_at	8.716
200660_at	10.573
200661_at	9.095
200662_s_at	11.903
200663_at	11.908
200664_s_at	7.923
200665_s_at	11.41
200666_s_at	8.836
200667_at	10.997
200668_s_at	11.76
200669_s_at	11.579
200670_at	8.701
200671_s_at	6.244
200672_x_at	7.597
200673_at	11.541
200674_s_at	12.773
200675_at	11.176
200676_s_at	6.645
200677_at	12.267
200678_x_at	8.979
200679_x_at	10.643
200680_x_at	11.799
200681_at	11.143
200682_s_at	10.555
200683_s_at	8.485
200684_s_at	7.701
200685_at	7.674
200686_s_at	11.173
200687_s_at	8.97
200688_at	7.383
200689_x_at	12.467
200690_at	8.775
200691_s_at	11.345
200692_s_at	10.316
200693_at	11.587
200694_s_at	10.369
200695_at	5.842
200696_s_at	8.074
200697_at	9.25
200698_at	10.499
200699_at	9.709
200700_s_at	10.198
200701_at	11.641
200702_s_at	9.71
200703_at	11.943
200704_at	9.334
200705_s_at	12.068
200706_s_at	9.357
200707_at	6.153
200708_at	9.938
200709_at	9.252
200710_at	9.324
200711_s_at	10.941
200712_s_at	9.169
200713_s_at	11.219
200714_x_at	8.362
200715_x_at	10.889
200716_x_at	12.777
200717_x_at	12.963
200718_s_at	12.866
200719_at	8.262
200720_s_at	8.481
200721_s_at	6.879
200722_s_at	9.117
200723_s_at	11.031
200724_at	4.544
200725_x_at	11.929
200726_at	11.517
200727_s_at	9.963
200728_at	11.295
200729_s_at	11.501
200730_s_at	10.296
200731_s_at	8.974
200732_s_at	9.759
200733_s_at	10.988
200734_s_at	9.585
200735_x_at	12.597
200736_s_at	11.187
200737_at	10.177
200738_s_at	12.163
200739_s_at	9.279
200740_s_at	11.277
200741_s_at	13.142
200742_s_at	6.635
200743_s_at	8.888
200744_s_at	10.495
200745_s_at	11.117
200746_s_at	10.587
200747_s_at	8.062
200748_s_at	13.154
200749_at	11.076
200750_s_at	12.149
200751_s_at	11.273
200752_s_at	6.511
200753_x_at	10.152
200754_x_at	11.151
200755_s_at	9.523
200756_x_at	8.489
200757_s_at	10.773
200758_s_at	8.538
200759_x_at	8.753
200760_s_at	9.498
200761_s_at	10.001
200762_at	9.89
200763_s_at	13.248
200764_s_at	9.562
200765_x_at	10.501
200766_at	6.738
200767_s_at	7.472
200768_s_at	9.942
200769_s_at	8.371
200770_s_at	10.029
200771_at	11.006
200772_x_at	12.647
200773_x_at	12.625
200774_at	11.577
200775_s_at	11.986
200776_s_at	10.375
200777_s_at	11.182
200778_s_at	9.664
200779_at	11.107
200780_x_at	12.315
200781_s_at	12.847
200782_at	11.636
200783_s_at	9.359
200784_s_at	5.836
200785_s_at	4.922
200786_at	11.423
200787_s_at	8.172
200788_s_at	10.784
200789_at	11.512
200790_at	11.584
200791_s_at	8.899
200792_at	11.228
200793_s_at	7.811
200794_x_at	11.378
200795_at	3.141
200796_s_at	4.718
200797_s_at	10.725
200798_x_at	10.006
200799_at	10.625
200800_s_at	10.611
200801_x_at	12.138
200802_at	9.579
200803_s_at	11.273
200804_at	11.488
200805_at	9.901
200806_s_at	12.185
200807_s_at	12.69
200808_s_at	7.659
200809_x_at	12.669
200810_s_at	9.175
200811_at	8.104
200812_at	11.312
200813_s_at	7.12
200814_at	11.168
200815_s_at	8.467
200816_s_at	8.939
200817_x_at	13.151
200818_at	12.336
200819_s_at	12.767
200820_at	12.352
200821_at	11.043
200822_x_at	11.267
200823_x_at	12
200824_at	10.933
200825_s_at	7.829
200826_at	11.573
200827_at	7.247
200828_s_at	10.436
200829_x_at	10.536
200830_at	10.172
200831_s_at	8.502
200832_s_at	10.737
200833_s_at	11.746
200834_s_at	12.954
200835_s_at	8.679
200836_s_at	7.201
200837_at	10.305
200838_at	9.21
200839_s_at	10.007
200840_at	12.361
200841_s_at	8.446
200842_s_at	10.944
200843_s_at	10.429
200844_s_at	11.716
200845_s_at	11.202
200846_s_at	9.121
200847_s_at	10.858
200848_at	10.139
200849_s_at	10.184
200850_s_at	10.643
200851_s_at	10.189
200852_x_at	8.737
200853_at	12.117
200854_at	7.638
200855_at	6.389
200856_x_at	6.688
200857_s_at	6.568
200858_s_at	12.497
200859_x_at	9.205
200860_s_at	9.648
200861_at	5.614
200862_at	9.7
200863_s_at	10.694
200864_s_at	9.046
200865_at	2.508
200866_s_at	10.001
200867_at	8.154
200868_s_at	8.893
200869_at	12.205
200870_at	11.719
200871_s_at	11.241
200872_at	13.097
200873_s_at	12.029
200874_s_at	8.429
200875_s_at	11.425
200876_s_at	12.095
200877_at	11.934
200878_at	8.576
200879_s_at	3.564
200880_at	10.763
200881_s_at	11.605
200882_s_at	10.244
200883_at	10.263
200884_at	8.979
200885_at	9.56
200886_s_at	11.977
200887_s_at	11.711
200888_s_at	12.033
200889_s_at	9.641
200890_s_at	9.253
200891_s_at	11.462
200892_s_at	10.74
200893_at	11.432
200894_s_at	8.095
200895_s_at	8.216
200896_x_at	10.86
200897_s_at	11.013
200898_s_at	8.535
200899_s_at	10.457
200900_s_at	8.677
200901_s_at	9.607
200902_at	11.136
200903_s_at	10.519
200904_at	8.508
200905_x_at	10.899
200906_s_at	8.878
200907_s_at	9.952
200908_s_at	4.741
200909_s_at	12.479
200910_at	11.338
200911_s_at	8.696
200912_s_at	12.394
200913_at	8.589
200914_x_at	11.276
200915_x_at	11.772
200916_at	11.109
200917_s_at	6.361
200918_s_at	6.771
200919_at	9.619
200920_s_at	9.423
200921_s_at	10.223
200922_at	7.382
200923_at	9.13
200924_s_at	9.248
200925_at	12.118
200926_at	12.985
200927_s_at	8.9
200928_s_at	3.454
200929_at	10.833
200930_s_at	3.323
200931_s_at	10.936
200932_s_at	9.875
200933_x_at	13.068
200934_at	11.647
200935_at	6.068
200936_at	12.036
200937_s_at	12.359
200938_s_at	3.92
200939_s_at	3.642
200940_s_at	9.02
200941_at	10.386
200942_s_at	11.005
200943_at	12.028
200944_s_at	12.395
200945_s_at	10.295
200946_x_at	8.588
200947_s_at	9.933
200948_at	7.555
200949_x_at	12.092
200950_at	10.679
200951_s_at	3.736
200952_s_at	2.584
200953_s_at	3.303
200954_at	8.338
200955_at	10.016
200956_s_at	9.607
200957_s_at	8.904
200958_s_at	11.02
200959_at	11.139
200960_x_at	11.21
200961_at	10.062
200962_at	9.046
200963_x_at	12.937
200964_at	8.045
200965_s_at	11.158
200966_x_at	11.86
200967_at	11.679
200968_s_at	10.574
200969_at	10.266
200970_s_at	10.109
200971_s_at	10.867
200972_at	11.35
200973_s_at	10.063
200974_at	11.386
200975_at	11.79
200976_s_at	10.903
200977_s_at	10.839
200978_at	11.6
200979_at	8.223
200980_s_at	10.862
200981_x_at	11.66
200982_s_at	7.507
200983_x_at	10.227
200984_s_at	9.717
200985_s_at	10.087
200986_at	4.569
200987_x_at	8.35
200988_s_at	6.065
200989_at	12.401
200990_at	8.509
200991_s_at	8.217
200992_at	10.308
200993_at	10.018
200994_at	10.063
200995_at	8.407
200996_at	11.311
200997_at	9.822
200998_s_at	9.497
200999_s_at	10.675
201000_at	8.761
201001_s_at	9.66
201002_s_at	10.251
201003_x_at	9.903
201004_at	11.475
201005_at	12.282
201006_at	5.128
201007_at	10.095
201008_s_at	10.459
201009_s_at	10.939
201010_s_at	11.817
201011_at	11.003
201012_at	11.757
201013_s_at	10.846
201014_s_at	10.179
201015_s_at	8.368
201016_at	11.237
201017_at	10.372
201018_at	9.546
201019_s_at	11.79
201020_at	8.574
201021_s_at	11.901
201022_s_at	12.287
201023_at	10.522
201024_x_at	10.966
201025_at	8.659
201026_at	7.546
201027_s_at	9.37
201028_s_at	7.368
201029_s_at	9.537
201030_x_at	13.02
201031_s_at	11.668
201032_at	10.029
201033_x_at	13.042
201034_at	11.26
201035_s_at	8.831
201036_s_at	9.95
201037_at	9.116
201038_s_at	8.982
201039_s_at	7.787
201040_at	6.747
201041_s_at	10.125
201042_at	5.781
201043_s_at	9.423
201044_x_at	5.395
201045_s_at	5.446
201046_s_at	8.412
201047_x_at	10.384
201048_x_at	5.646
201049_s_at	13.333
201050_at	8.54
201051_at	10.644
201052_s_at	7.752
201053_s_at	9.708
201054_at	11.377
201055_s_at	9.723
201056_at	6.967
201057_s_at	8.355
201058_s_at	9.151
201059_at	9.467
201060_x_at	8.097
201061_s_at	8.163
