^SAMPLE = GSM320596
!Sample_title = breast cancer cell line_BT474
!Sample_geo_accession = GSM320596
!Sample_status = Public on Jan 12 2009
!Sample_submission_date = Sep 15 2008
!Sample_last_update_date = Feb 29 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gene_expression_subtype: Luminal
!Sample_characteristics_ch1 = Her2_status: Her2 amplified
!Sample_treatment_protocol_ch1 = Cells untreated
!Sample_growth_protocol_ch1 = Cell maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = breast cancer cell line_BT474
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Mark,,Lackner
!Sample_contact_email = lackner.mark@gene.com
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM320nnn/GSM320596/suppl/GSM320596.CEL.gz
!Sample_relation = Reanalysis of: GSM276004
!Sample_series_id = GSE12777
!Sample_series_id = GSE12790
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	325.2863
AFFX-BioB-M_at	419.1337
AFFX-BioB-3_at	280.1006
AFFX-BioC-5_at	1139.383
AFFX-BioC-3_at	1327.028
AFFX-BioDn-5_at	2348.996
AFFX-BioDn-3_at	7938.743
AFFX-CreX-5_at	14105.26
AFFX-CreX-3_at	16707.99
AFFX-DapX-5_at	46.95537
AFFX-DapX-M_at	81.05461
AFFX-DapX-3_at	85.659
AFFX-LysX-5_at	5.078393
AFFX-LysX-M_at	11.48949
AFFX-LysX-3_at	48.31211
AFFX-PheX-5_at	7.820249
AFFX-PheX-M_at	5.846089
AFFX-PheX-3_at	36.26566
AFFX-ThrX-5_at	11.41921
AFFX-ThrX-M_at	6.991148
AFFX-ThrX-3_at	32.40668
AFFX-TrpnX-5_at	15.34844
AFFX-TrpnX-M_at	8.520145
AFFX-TrpnX-3_at	5.895464
AFFX-r2-Ec-bioB-5_at	433.8496
AFFX-r2-Ec-bioB-M_at	606.0654
AFFX-r2-Ec-bioB-3_at	558.0345
AFFX-r2-Ec-bioC-5_at	1485.064
AFFX-r2-Ec-bioC-3_at	1716.325
AFFX-r2-Ec-bioD-5_at	7391.856
AFFX-r2-Ec-bioD-3_at	8679.023
AFFX-r2-P1-cre-5_at	19432.8
AFFX-r2-P1-cre-3_at	27020.95
AFFX-r2-Bs-dap-5_at	6.918758
AFFX-r2-Bs-dap-M_at	34.94624
AFFX-r2-Bs-dap-3_at	123.5355
AFFX-r2-Bs-lys-5_at	4.322595
AFFX-r2-Bs-lys-M_at	9.815692
AFFX-r2-Bs-lys-3_at	39.94597
AFFX-r2-Bs-phe-5_at	2.996897
AFFX-r2-Bs-phe-M_at	4.7685
AFFX-r2-Bs-phe-3_at	112.3707
AFFX-r2-Bs-thr-3_s_at	85.01282
AFFX-r2-Bs-thr-M_s_at	118.1639
AFFX-r2-Bs-thr-5_s_at	112.4141
AFFX-HUMISGF3A/M97935_5_at	237.6871
AFFX-HUMISGF3A/M97935_MA_at	673.7659
AFFX-HUMISGF3A/M97935_MB_at	566.436
AFFX-HUMISGF3A/M97935_3_at	1838.34
AFFX-HUMRGE/M10098_5_at	167.2426
AFFX-HUMRGE/M10098_M_at	183.4623
