^SAMPLE = GSM1230046
!Sample_title = T47D_Ctrl_2
!Sample_geo_accession = GSM1230046
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = T47D Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: T47D
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230046/suppl/GSM1230046_CEL_284_4787_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.019
AFFX-BioB-M_at	7.374
AFFX-BioB-3_at	7.043
AFFX-BioC-5_at	8.26
AFFX-BioC-3_at	8.831
AFFX-BioDn-5_at	9.861
AFFX-BioDn-3_at	10.673
AFFX-CreX-5_at	11.877
AFFX-CreX-3_at	12.139
AFFX-DapX-5_at	2.444
AFFX-DapX-M_at	2.221
AFFX-DapX-3_at	3.053
AFFX-LysX-5_at	2.141
AFFX-LysX-M_at	2.953
AFFX-LysX-3_at	2.169
AFFX-PheX-5_at	2.7
AFFX-PheX-M_at	2.66
AFFX-PheX-3_at	3.869
AFFX-ThrX-5_at	3.03
AFFX-ThrX-M_at	2.499
AFFX-ThrX-3_at	3.679
AFFX-TrpnX-5_at	3.249
AFFX-TrpnX-M_at	2.849
AFFX-TrpnX-3_at	2.345
AFFX-r2-Ec-bioB-5_at	7.17
AFFX-r2-Ec-bioB-M_at	7.39
AFFX-r2-Ec-bioB-3_at	7.313
AFFX-r2-Ec-bioC-5_at	8.822
AFFX-r2-Ec-bioC-3_at	9.103
AFFX-r2-Ec-bioD-5_at	10.979
AFFX-r2-Ec-bioD-3_at	11.276
AFFX-r2-P1-cre-5_at	12.488
AFFX-r2-P1-cre-3_at	12.584
AFFX-r2-Bs-dap-5_at	2.608
AFFX-r2-Bs-dap-M_at	2.109
AFFX-r2-Bs-dap-3_at	2.242
AFFX-r2-Bs-lys-5_at	2.31
AFFX-r2-Bs-lys-M_at	2.18
AFFX-r2-Bs-lys-3_at	2.443
AFFX-r2-Bs-phe-5_at	2.189
AFFX-r2-Bs-phe-M_at	2.176
AFFX-r2-Bs-phe-3_at	2.376
AFFX-r2-Bs-thr-3_s_at	3.414
AFFX-r2-Bs-thr-M_s_at	3.11
AFFX-r2-Bs-thr-5_s_at	2.787
AFFX-HUMISGF3A/M97935_5_at	5.676
AFFX-HUMISGF3A/M97935_MA_at	6.456
AFFX-HUMISGF3A/M97935_MB_at	6.937
AFFX-HUMISGF3A/M97935_3_at	9.425
AFFX-HUMRGE/M10098_5_at	12.952
AFFX-HUMRGE/M10098_M_at	12.362
AFFX-HUMRGE/M10098_3_at	11.966
AFFX-HUMGAPDH/M33197_5_at	11.538
AFFX-HUMGAPDH/M33197_M_at	11.658
AFFX-HUMGAPDH/M33197_3_at	11.721
AFFX-HSAC07/X00351_5_at	10.843
AFFX-HSAC07/X00351_M_at	11.422
AFFX-HSAC07/X00351_3_at	12.048
AFFX-M27830_5_at	12.269
AFFX-M27830_M_at	9.903
AFFX-M27830_3_at	5.023
AFFX-hum_alu_at	13.194
1007_s_at	10.512
1053_at	8.638
117_at	7.444
121_at	6.831
1255_g_at	2.395
1294_at	4.595
1316_at	5.494
1320_at	5.066
1405_i_at	3.501
1431_at	2.903
1438_at	5.447
1487_at	7.464
1494_f_at	5.088
1598_g_at	7.973
160020_at	5.703
1729_at	7.494
1773_at	5.648
177_at	5.833
179_at	7.503
1861_at	6.946
200000_s_at	8.394
200001_at	8.433
200002_at	12.49
200003_s_at	12.365
200004_at	11.728
200005_at	10.291
200006_at	11.833
200007_at	11.915
200008_s_at	10.231
200009_at	11.5
200010_at	12.259
200011_s_at	9.031
200012_x_at	12.627
200013_at	12.684
200014_s_at	11.226
200015_s_at	10.091
200016_x_at	12.506
200017_at	12.364
200018_at	12.642
200019_s_at	12.28
200020_at	10.02
200021_at	12.134
200022_at	12.063
200023_s_at	11.219
200024_at	12.084
200025_s_at	12.954
200026_at	11.791
200027_at	11.336
200028_s_at	9.609
200029_at	12.859
200030_s_at	12.321
200031_s_at	12.363
200032_s_at	12.558
200033_at	12.087
200034_s_at	12.789
200035_at	7.418
200036_s_at	11.94
200037_s_at	11.92
200038_s_at	12.52
200039_s_at	10.487
200040_at	10.522
200041_s_at	8.258
200042_at	9.092
200043_at	12.092
200044_at	11.315
200045_at	9.004
200046_at	10.409
200047_s_at	11.482
200048_s_at	11.838
200049_at	8.213
200050_at	9.624
200051_at	7.645
200052_s_at	10.783
200053_at	8.956
200054_at	8.482
200055_at	9.358
200056_s_at	8.989
200057_s_at	11.102
200058_s_at	9.491
200059_s_at	11.441
200060_s_at	9.721
200061_s_at	13.069
200062_s_at	12.973
200063_s_at	12.804
200064_at	11.549
200065_s_at	11.061
200066_at	9.994
200067_x_at	10.327
200068_s_at	11.449
200069_at	8.641
200070_at	8.102
200071_at	10.31
200072_s_at	10.873
200073_s_at	10.966
200074_s_at	12.206
200075_s_at	9.244
200076_s_at	7.575
200077_s_at	12.266
200078_s_at	9.822
200079_s_at	10.733
200080_s_at	12.846
200081_s_at	12.439
200082_s_at	12.182
200083_at	9.481
200084_at	10.768
200085_s_at	11.448
200086_s_at	11.954
200087_s_at	12.197
200088_x_at	12.701
200089_s_at	12.264
200090_at	10.85
200091_s_at	12.481
200092_s_at	13.02
200093_s_at	11.63
200094_s_at	11.028
200095_x_at	13.048
200096_s_at	11.307
200097_s_at	10.855
200098_s_at	10.053
200099_s_at	12.936
200593_s_at	10.143
200594_x_at	11.72
200595_s_at	10.161
200596_s_at	9.506
200597_at	7.322
200598_s_at	11.569
200599_s_at	11.984
200600_at	3.155
200601_at	6.888
200602_at	10.762
200603_at	11.768
200604_s_at	8.641
200605_s_at	11.489
200606_at	11.608
200607_s_at	9.41
200608_s_at	11.381
200609_s_at	9.512
200610_s_at	10.686
200611_s_at	8.387
200612_s_at	8.898
200613_at	9.218
200614_at	12.331
200615_s_at	8.931
200616_s_at	10.683
200617_at	7.523
200618_at	10.801
200619_at	9.216
200620_at	10.691
200621_at	8.543
200622_x_at	8.645
200623_s_at	7.613
200624_s_at	10.598
200625_s_at	10.037
200626_s_at	11.157
200627_at	12.157
200628_s_at	7.633
200629_at	9.158
200630_x_at	12.081
200631_s_at	11.741
200632_s_at	7.252
200633_at	12.763
200634_at	9.228
200635_s_at	8.441
200636_s_at	10.225
200637_s_at	6.699
200638_s_at	11.886
200639_s_at	10.912
200640_at	10.931
200641_s_at	10.972
200642_at	12.17
200643_at	7.085
200644_at	8.402
200645_at	10.752
200646_s_at	4.651
200647_x_at	10.587
200648_s_at	7.88
200649_at	6.031
200650_s_at	11.824
200651_at	12.341
200652_at	10.961
200653_s_at	11.315
200654_at	11.327
200655_s_at	11.474
200656_s_at	9.883
200657_at	11.618
200658_s_at	10.335
200659_s_at	8.605
200660_at	9.758
200661_at	9.511
200662_s_at	11.698
200663_at	11.749
200664_s_at	7.845
200665_s_at	3.151
200666_s_at	8.631
200667_at	10.052
200668_s_at	11.023
200669_s_at	10.708
200670_at	11.287
200671_s_at	5.087
200672_x_at	6.535
200673_at	11.31
200674_s_at	12.99
200675_at	9.089
200676_s_at	5.427
200677_at	11.411
200678_x_at	9.074
200679_x_at	10.733
200680_x_at	12.046
200681_at	10.948
200682_s_at	10.272
200683_s_at	7.8
200684_s_at	7.006
200685_at	6.929
200686_s_at	10.645
200687_s_at	8.134
200688_at	6.449
200689_x_at	12.576
200690_at	8.372
200691_s_at	11.531
200692_s_at	10.535
200693_at	11.115
200694_s_at	10.12
200695_at	6.302
200696_s_at	9.541
200697_at	9.809
200698_at	11.232
200699_at	10.056
200700_s_at	11.075
200701_at	11.102
200702_s_at	9.167
200703_at	11.661
200704_at	9.669
200705_s_at	11.781
200706_s_at	9.198
200707_at	5.844
200708_at	9.678
200709_at	7.41
200710_at	7.861
200711_s_at	10.452
200712_s_at	9.255
200713_s_at	11.162
200714_x_at	8.372
200715_x_at	11.198
200716_x_at	12.447
200717_x_at	13.131
200718_s_at	12.508
200719_at	7.214
200720_s_at	8.568
200721_s_at	7.448
200722_s_at	8.753
200723_s_at	11.196
200724_at	4.386
200725_x_at	11.832
200726_at	11.814
200727_s_at	8.944
200728_at	10.583
200729_s_at	10.527
200730_s_at	9.561
200731_s_at	8.494
200732_s_at	9.345
200733_s_at	10.363
200734_s_at	8.913
200735_x_at	12.814
200736_s_at	2.951
200737_at	9.29
200738_s_at	11.4
200739_s_at	8.618
200740_s_at	10.553
200741_s_at	13.004
200742_s_at	7.523
200743_s_at	7.999
200744_s_at	8.624
200745_s_at	10.019
200746_s_at	9.342
200747_s_at	8.427
200748_s_at	12.392
200749_at	10.518
200750_s_at	12.214
200751_s_at	11.064
200752_s_at	6.355
200753_x_at	10.072
200754_x_at	11.229
200755_s_at	8.232
200756_x_at	7.503
200757_s_at	9.236
200758_s_at	8.92
200759_x_at	9.522
200760_s_at	9.699
200761_s_at	10.306
200762_at	7.28
200763_s_at	12.947
200764_s_at	8.8
200765_x_at	10.195
200766_at	8.005
200767_s_at	7.28
200768_s_at	9.341
200769_s_at	7.735
200770_s_at	7.881
200771_at	8.447
200772_x_at	11.898
200773_x_at	12.043
200774_at	11.503
200775_s_at	11.865
200776_s_at	9.568
200777_s_at	10.477
200778_s_at	8.548
200779_at	11.23
200780_x_at	12.32
200781_s_at	12.912
200782_at	10.734
200783_s_at	9.276
200784_s_at	5.715
200785_s_at	4.392
200786_at	11.683
200787_s_at	6.936
200788_s_at	9.193
200789_at	8.976
200790_at	10.276
200791_s_at	9.227
200792_at	10.949
200793_s_at	7.841
200794_x_at	11.403
200795_at	2.728
200796_s_at	4.73
200797_s_at	10.328
200798_x_at	9.718
200799_at	11.826
200800_s_at	11.014
200801_x_at	12.191
200802_at	9.369
200803_s_at	11.407
200804_at	11.32
200805_at	9.16
200806_s_at	11.948
200807_s_at	12.51
200808_s_at	5.155
200809_x_at	12.683
200810_s_at	10.657
200811_at	9.231
200812_at	10.268
200813_s_at	7.647
200814_at	10.408
200815_s_at	8.882
200816_s_at	8.824
200817_x_at	12.981
200818_at	11.944
200819_s_at	12.445
200820_at	9.858
200821_at	10.633
200822_x_at	9.564
200823_x_at	11.425
200824_at	6.286
200825_s_at	8.213
200826_at	11.454
200827_at	7.025
200828_s_at	10.107
200829_x_at	10.748
200830_at	10.54
200831_s_at	8.106
200832_s_at	10.637
200833_s_at	11.231
200834_s_at	12.801
200835_s_at	6.792
200836_s_at	6.123
200837_at	9.151
200838_at	9.119
200839_s_at	10.483
200840_at	11.998
200841_s_at	8.544
200842_s_at	11.032
200843_s_at	10.38
200844_s_at	11.221
200845_s_at	10.787
200846_s_at	9.705
200847_s_at	11.038
200848_at	9.207
200849_s_at	9.463
200850_s_at	10.167
200851_s_at	10.053
200852_x_at	7.84
200853_at	11.809
200854_at	7.449
200855_at	5.699
200856_x_at	5.782
200857_s_at	6.687
200858_s_at	12.041
200859_x_at	5.96
200860_s_at	8.588
200861_at	5.604
200862_at	10.243
200863_s_at	10.897
200864_s_at	10.312
200865_at	2.27
200866_s_at	8.682
200867_at	9.321
200868_s_at	9.692
200869_at	11.862
200870_at	11.756
200871_s_at	10.283
200872_at	11.932
200873_s_at	11.719
200874_s_at	8.604
200875_s_at	10.52
200876_s_at	11.791
200877_at	11.434
200878_at	9.803
200879_s_at	3.69
200880_at	9.759
200881_s_at	11.105
200882_s_at	10.28
200883_at	10.448
200884_at	7.444
200885_at	10.164
200886_s_at	11.973
200887_s_at	10.196
200888_s_at	12.193
200889_s_at	9.527
200890_s_at	9.063
200891_s_at	11.288
200892_s_at	10.793
200893_at	11.535
200894_s_at	9.676
200895_s_at	9.866
200896_x_at	10.594
200897_s_at	10.307
200898_s_at	8.115
200899_s_at	9.355
200900_s_at	7.318
200901_s_at	7.944
200902_at	10.163
200903_s_at	10.577
200904_at	7.101
200905_x_at	9.588
200906_s_at	8.985
200907_s_at	9.933
200908_s_at	5.855
200909_s_at	11.961
200910_at	11.395
200911_s_at	9.527
200912_s_at	12.809
200913_at	7.842
200914_x_at	10.853
200915_x_at	11.011
200916_at	10.435
200917_s_at	7.827
200918_s_at	8.557
200919_at	7.799
200920_s_at	10.278
200921_s_at	11.02
200922_at	6.709
200923_at	5.843
200924_s_at	9.124
200925_at	12.254
200926_at	12.876
200927_s_at	9.983
200928_s_at	4.397
200929_at	11.259
200930_s_at	3.384
200931_s_at	9.47
200932_s_at	9.278
200933_x_at	12.383
200934_at	11.351
200935_at	6.371
200936_at	12.258
200937_s_at	12.136
200938_s_at	3.738
200939_s_at	2.865
200940_s_at	6.764
200941_at	10.016
200942_s_at	11.758
200943_at	11.726
200944_s_at	11.78
200945_s_at	9.469
200946_x_at	9.147
200947_s_at	10.017
200948_at	6.181
200949_x_at	12.582
200950_at	9.981
200951_s_at	3.682
200952_s_at	2.793
200953_s_at	2.787
200954_at	8.41
200955_at	9.316
200956_s_at	9.497
200957_s_at	9.605
200958_s_at	10.151
200959_at	10.534
200960_x_at	11.021
200961_at	11.261
200962_at	6.996
200963_x_at	12.41
200964_at	7.975
200965_s_at	8.102
200966_x_at	11.374
200967_at	11.944
200968_s_at	10.882
200969_at	10.1
200970_s_at	9.994
200971_s_at	10.556
200972_at	9.813
200973_s_at	8.554
200974_at	6.859
200975_at	11.081
200976_s_at	10.883
200977_s_at	10.691
200978_at	11.024
200979_at	8.27
200980_s_at	11.051
200981_x_at	11.597
200982_s_at	8.825
200983_x_at	10.378
200984_s_at	10.096
200985_s_at	10.606
200986_at	4.192
200987_x_at	8.807
200988_s_at	6.643
200989_at	11.258
200990_at	7.145
200991_s_at	8.18
200992_at	9.869
200993_at	9.838
200994_at	9.846
200995_at	7.844
200996_at	10.366
200997_at	10.857
200998_s_at	8.403
200999_s_at	9.6
201000_at	9.806
201001_s_at	8.836
201002_s_at	9.05
201003_x_at	9.095
201004_at	10.744
201005_at	10.421
201006_at	5.419
201007_at	10.561
201008_s_at	8.353
201009_s_at	8.751
201010_s_at	9.597
201011_at	9.849
201012_at	7.797
201013_s_at	10.172
201014_s_at	9.312
201015_s_at	9.648
201016_at	10.251
201017_at	9.632
201018_at	8.977
201019_s_at	11.176
201020_at	8.075
201021_s_at	12.028
201022_s_at	12.6
201023_at	10.629
201024_x_at	9.79
201025_at	6.969
201026_at	6.691
201027_s_at	7.894
201028_s_at	7.137
201029_s_at	9.292
201030_x_at	4.117
201031_s_at	11.393
201032_at	8.992
201033_x_at	12.96
201034_at	8.993
201035_s_at	8.715
201036_s_at	9.848
201037_at	8.783
201038_s_at	7.898
201039_s_at	7.556
201040_at	6.78
201041_s_at	7.679
201042_at	4.537
201043_s_at	9.426
201044_x_at	3.746
201045_s_at	5.521
201046_s_at	8.283
201047_x_at	10.38
201048_x_at	6.236
201049_s_at	13.168
201050_at	4.856
201051_at	9.713
201052_s_at	7.271
201053_s_at	9.237
201054_at	9.791
201055_s_at	8.771
201056_at	6.902
201057_s_at	8.777
201058_s_at	6.185
201059_at	10.201
201060_x_at	9.414
201061_s_at	9.353
201062_at	2.72
201063_at	10.171
201064_s_at	9.47
201065_s_at	9.398
201066_at	10.152
201067_at	7.49
201068_s_at	11.033
201069_at	4.849
201070_x_at	7.677
201071_x_at	10.756
201072_s_at	8.928
201073_s_at	6.629
