^SAMPLE = GSM711722
!Sample_title = A2780
!Sample_geo_accession = GSM711722
!Sample_status = Public on May 21 2013
!Sample_submission_date = Apr 19 2011
!Sample_last_update_date = May 21 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Cultured ovarian cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: cultured ovarian carcinoma
!Sample_characteristics_ch1 = cell line: A2780
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted by Qiagen RNEasy kit according to the manufacturer's instructions.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_data_processing = Data were normalized by Robust Multichip Average (RMA) using R with Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Tuan Zea,,Tan
!Sample_contact_email = csittz@nus.edu.sg
!Sample_contact_department = Cancer Science Institute Singapore
!Sample_contact_institute = National University of Singapore
!Sample_contact_address = 14 Medical Drive, #11-01, Singapore
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 117599
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM711nnn/GSM711722/suppl/GSM711722_AFG1127-68.CEL.gz
!Sample_series_id = GSE28724
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.292218581
1053_at	9.326692185
117_at	5.052912429
121_at	7.432734649
1255_g_at	2.837980988
1294_at	7.015543209
1316_at	6.720029552
1320_at	4.574930318
1405_i_at	3.474197819
1431_at	4.378515282
1438_at	5.776090843
1487_at	8.223506002
1494_f_at	5.059140963
1552256_a_at	7.708025507
1552257_a_at	9.018094585
1552258_at	5.712158145
1552261_at	4.006060912
1552263_at	7.39595413
1552264_a_at	8.104737984
1552266_at	2.60725004
1552269_at	4.310397684
1552271_at	5.250220537
1552272_a_at	4.925773009
1552274_at	6.376473754
1552275_s_at	6.434115194
1552276_a_at	5.45148446
1552277_a_at	9.059219108
1552278_a_at	5.563702552
1552279_a_at	6.582962496
1552280_at	3.407245115
1552281_at	6.073245326
1552283_s_at	5.929972272
1552286_at	7.389944584
1552287_s_at	7.709575526
1552288_at	4.157331661
1552289_a_at	4.912418042
1552291_at	8.149163328
1552293_at	4.192562146
1552295_a_at	6.666437104
1552296_at	4.227727788
1552299_at	4.135546612
1552301_a_at	4.724983982
1552302_at	2.727283368
1552303_a_at	5.168839405
1552304_at	5.381112912
1552306_at	6.197626405
1552307_a_at	3.806095369
1552309_a_at	7.035916661
1552310_at	8.64989384
1552311_a_at	6.724878748
1552312_a_at	6.379304338
1552314_a_at	5.470065193
1552315_at	4.415262
1552316_a_at	3.110893742
1552318_at	3.213746849
1552319_a_at	3.42144275
1552320_a_at	2.749373006
1552321_a_at	3.095998713
1552322_at	2.787269101
1552323_s_at	4.762136121
1552325_at	2.416147714
1552326_a_at	4.23903412
1552327_at	2.983496073
1552329_at	7.194375877
1552330_at	6.379585668
1552332_at	7.633854319
1552334_at	6.265222184
1552335_at	6.237809319
1552337_s_at	4.372133194
1552338_at	4.241768907
1552340_at	4.490392247
1552343_s_at	4.045073269
1552344_s_at	8.769603655
